project_id,estimated_cost,sanctioned_amount,revised_cost,tender_amount,released_amount,actual_expenditure,unspent_balance,fund_utilization_ratio
MPLADS-000073,2112000.0,2124000.0,2124000.0,2152000.0,2124000.0,2057000.0,67000.0,0.9685
MPLADS-000074,3148000.0,3193000.0,3193000.0,3074000.0,3193000.0,3063000.0,130000.0,0.9593
MPLADS-000075,370000.0,369000.0,369000.0,368000.0,369000.0,197000.0,172000.0,0.5339
MPLADS-000076,580000.0,608000.0,608000.0,582000.0,608000.0,534000.0,74000.0,0.8783
MPLADS-000077,1435000.0,1457000.0,1457000.0,1348000.0,1457000.0,1275000.0,182000.0,0.8751
MPLADS-000078,663000.0,662000.0,662000.0,613000.0,662000.0,611000.0,51000.0,0.923
MPLADS-000079,1648000.0,1653000.0,1653000.0,1570000.0,1653000.0,1470000.0,183000.0,0.8893
MPLADS-000080,3739000.0,3721000.0,3721000.0,3690000.0,3721000.0,3475000.0,246000.0,0.9339
MPLADS-000081,804000.0,831000.0,831000.0,740000.0,831000.0,760000.0,71000.0,0.9146
MPLADS-000082,3720000.0,3816000.0,3816000.0,3751000.0,3816000.0,3732000.0,84000.0,0.978
MPLADS-000083,3428000.0,3573000.0,3573000.0,3484000.0,3573000.0,3413000.0,160000.0,0.9552
MPLADS-000084,2995000.0,2974000.0,2974000.0,2815000.0,2974000.0,2594000.0,380000.0,0.8722
MPLADS-000085,2157000.0,2129000.0,2129000.0,2053000.0,2129000.0,2017000.0,112000.0,0.9474
MPLADS-000086,15246000.0,15168000.0,21111000.0,14278000.0,15168000.0,21111000.0,0.0,1.3918
MPLADS-000087,1507000.0,1485000.0,1485000.0,1534000.0,1485000.0,1286000.0,199000.0,0.866
MPLADS-000088,559000.0,582000.0,582000.0,535000.0,582000.0,550000.0,32000.0,0.945
MPLADS-000089,1657000.0,1731000.0,1731000.0,1577000.0,1731000.0,1533000.0,198000.0,0.8856
MPLADS-000090,2132000.0,2182000.0,2182000.0,2005000.0,2182000.0,2110000.0,72000.0,0.967
MPLADS-000091,12273000.0,12268000.0,12268000.0,11490000.0,12268000.0,11351000.0,917000.0,0.9253
MPLADS-000092,12410000.0,12743000.0,12743000.0,12514000.0,12743000.0,11963000.0,780000.0,0.9388
MPLADS-000093,2191000.0,2198000.0,2198000.0,2225000.0,2198000.0,1879000.0,319000.0,0.8549
MPLADS-000094,680000.0,696000.0,696000.0,634000.0,696000.0,634000.0,62000.0,0.9109
MPLADS-000095,1357000.0,1367000.0,1367000.0,1271000.0,1367000.0,1284000.0,83000.0,0.9393
MPLADS-000096,979000.0,976000.0,976000.0,914000.0,976000.0,884000.0,92000.0,0.9057
MPLADS-000097,2927000.0,3049000.0,3049000.0,2904000.0,3049000.0,2988000.0,61000.0,0.98
MPLADS-000098,460000.0,481000.0,481000.0,455000.0,481000.0,425000.0,56000.0,0.8836
MPLADS-000099,3962000.0,3915000.0,3915000.0,3728000.0,3915000.0,3810000.0,105000.0,0.9732
MPLADS-000100,1111000.0,1157000.0,1157000.0,1027000.0,1157000.0,1003000.0,154000.0,0.8669
MPLADS-000101,2332000.0,2335000.0,2335000.0,2168000.0,2335000.0,2050000.0,285000.0,0.8779
MPLADS-000102,8608000.0,8685000.0,8685000.0,8176000.0,8685000.0,8142000.0,543000.0,0.9375
MPLADS-000103,9882000.0,10235000.0,10235000.0,10009000.0,10235000.0,9615000.0,620000.0,0.9394
MPLADS-000104,2746000.0,2735000.0,2735000.0,2732000.0,2735000.0,2356000.0,379000.0,0.8614
MPLADS-000105,1094000.0,1144000.0,1144000.0,1017000.0,1144000.0,1113000.0,31000.0,0.9729
MPLADS-000106,2697000.0,2795000.0,2795000.0,2539000.0,2795000.0,2577000.0,218000.0,0.922
MPLADS-000107,653000.0,651000.0,651000.0,604000.0,651000.0,609000.0,42000.0,0.9355
MPLADS-000108,2459000.0,2457000.0,2457000.0,2447000.0,2457000.0,2251000.0,206000.0,0.9162
MPLADS-000109,1164000.0,1206000.0,1206000.0,1144000.0,1206000.0,1041000.0,165000.0,0.8632
MPLADS-000110,1595000.0,1602000.0,1602000.0,1577000.0,1602000.0,1501000.0,101000.0,0.937
MPLADS-000111,548000.0,543000.0,543000.0,526000.0,543000.0,498000.0,45000.0,0.9171
MPLADS-000112,2005000.0,2069000.0,2069000.0,1852000.0,2069000.0,1906000.0,163000.0,0.9212
MPLADS-000113,1307000.0,1320000.0,1320000.0,1253000.0,1320000.0,1128000.0,192000.0,0.8545
MPLADS-000114,1948000.0,1952000.0,1952000.0,1799000.0,1952000.0,1813000.0,139000.0,0.9288
MPLADS-000115,1008000.0,1037000.0,1037000.0,1026000.0,1037000.0,914000.0,123000.0,0.8814
MPLADS-000116,1834000.0,1891000.0,1891000.0,1806000.0,1891000.0,1708000.0,183000.0,0.9032
MPLADS-000117,9750000.0,9854000.0,9854000.0,9738000.0,9854000.0,9509000.0,345000.0,0.965
MPLADS-000118,3198000.0,3275000.0,3275000.0,2974000.0,3275000.0,3232000.0,43000.0,0.9869
MPLADS-000119,2596000.0,2666000.0,2666000.0,2612000.0,2666000.0,2272000.0,394000.0,0.8522
MPLADS-000120,2370000.0,2351000.0,2351000.0,2345000.0,2351000.0,2254000.0,97000.0,0.9587
MPLADS-000121,2817000.0,2776000.0,2776000.0,2642000.0,2776000.0,2552000.0,224000.0,0.9193
MPLADS-000122,5488000.0,5650000.0,5650000.0,5198000.0,5650000.0,5022000.0,628000.0,0.8888
MPLADS-000123,14447000.0,15128000.0,15128000.0,13295000.0,15128000.0,14186000.0,942000.0,0.9377
MPLADS-000124,2302000.0,2291000.0,2291000.0,2231000.0,2291000.0,1951000.0,340000.0,0.8516
MPLADS-000125,2952000.0,2902000.0,2902000.0,2927000.0,2902000.0,2469000.0,433000.0,0.8508
MPLADS-000126,1329000.0,1321000.0,1321000.0,1310000.0,1321000.0,1230000.0,91000.0,0.9311
MPLADS-000127,3720000.0,3729000.0,3729000.0,3615000.0,3729000.0,3464000.0,265000.0,0.9289
MPLADS-000128,3367000.0,3306000.0,3306000.0,3345000.0,3306000.0,2866000.0,440000.0,0.8669
MPLADS-000129,2022000.0,2009000.0,2009000.0,2061000.0,2009000.0,1954000.0,55000.0,0.9726
MPLADS-000130,2504000.0,2519000.0,2519000.0,2524000.0,2519000.0,2176000.0,343000.0,0.8638
MPLADS-000131,2913000.0,3052000.0,3052000.0,2871000.0,3052000.0,2951000.0,101000.0,0.9669
MPLADS-000132,2975000.0,2934000.0,2934000.0,3021000.0,2934000.0,2532000.0,402000.0,0.863
MPLADS-000133,1565000.0,1549000.0,1549000.0,1490000.0,1549000.0,1486000.0,63000.0,0.9593
MPLADS-000134,12767000.0,13362000.0,13362000.0,11821000.0,13362000.0,12775000.0,587000.0,0.9561
MPLADS-000135,15310000.0,15738000.0,15738000.0,14668000.0,15738000.0,13718000.0,2020000.0,0.8716
MPLADS-000136,645000.0,650000.0,650000.0,635000.0,650000.0,574000.0,76000.0,0.8831
MPLADS-000137,1814000.0,1850000.0,1850000.0,1710000.0,1850000.0,1675000.0,175000.0,0.9054
MPLADS-000138,472000.0,489000.0,489000.0,461000.0,489000.0,431000.0,58000.0,0.8814
MPLADS-000139,1971000.0,1942000.0,1942000.0,2006000.0,1942000.0,1942000.0,0.0,1.0
MPLADS-000140,14798000.0,14614000.0,14614000.0,14499000.0,14614000.0,13337000.0,1277000.0,0.9126
MPLADS-000141,1388000.0,1453000.0,1453000.0,1386000.0,1453000.0,1306000.0,147000.0,0.8988
MPLADS-000142,2988000.0,3137000.0,3137000.0,2803000.0,3137000.0,2968000.0,169000.0,0.9461
MPLADS-000143,15380000.0,15191000.0,15191000.0,14615000.0,15191000.0,13427000.0,1764000.0,0.8839
MPLADS-000144,2224000.0,2304000.0,2304000.0,2187000.0,2304000.0,2098000.0,206000.0,0.9106
MPLADS-000145,2919000.0,3012000.0,3012000.0,2909000.0,3012000.0,2726000.0,286000.0,0.905
MPLADS-000146,360000.0,354000.0,503000.0,347000.0,354000.0,503000.0,0.0,1.4209
MPLADS-000147,1781000.0,1853000.0,1853000.0,1773000.0,1853000.0,1704000.0,149000.0,0.9196
MPLADS-000148,457000.0,460000.0,460000.0,424000.0,460000.0,415000.0,45000.0,0.9022
MPLADS-000149,3926000.0,4095000.0,4095000.0,3942000.0,4095000.0,3763000.0,332000.0,0.9189
MPLADS-000150,3416000.0,3355000.0,3355000.0,3207000.0,3355000.0,3121000.0,234000.0,0.9303
MPLADS-000151,420000.0,424000.0,424000.0,416000.0,424000.0,408000.0,16000.0,0.9623
MPLADS-000152,9167000.0,9112000.0,9112000.0,8661000.0,9112000.0,7877000.0,1235000.0,0.8645
MPLADS-000153,2469000.0,2451000.0,2451000.0,2332000.0,2451000.0,2282000.0,169000.0,0.931
MPLADS-000154,493000.0,485000.0,485000.0,499000.0,485000.0,459000.0,26000.0,0.9464
MPLADS-000155,1434000.0,1465000.0,1465000.0,1434000.0,1465000.0,1257000.0,208000.0,0.858
MPLADS-000156,454000.0,453000.0,453000.0,443000.0,453000.0,403000.0,50000.0,0.8896
MPLADS-000157,1523000.0,1493000.0,1493000.0,1509000.0,1493000.0,1403000.0,90000.0,0.9397
MPLADS-000158,663000.0,661000.0,661000.0,670000.0,661000.0,574000.0,87000.0,0.8684
MPLADS-000159,1952000.0,2033000.0,2033000.0,1965000.0,2033000.0,1732000.0,301000.0,0.8519
MPLADS-000160,1349000.0,1339000.0,1339000.0,1260000.0,1339000.0,1246000.0,93000.0,0.9305
MPLADS-000161,448000.0,460000.0,460000.0,420000.0,460000.0,275000.0,185000.0,0.5978
MPLADS-000162,16668000.0,17277000.0,17277000.0,15850000.0,17277000.0,15743000.0,1534000.0,0.9112
MPLADS-000163,1333000.0,1367000.0,1367000.0,1284000.0,1367000.0,625000.0,742000.0,0.4572
MPLADS-000164,822000.0,861000.0,861000.0,835000.0,861000.0,811000.0,50000.0,0.9419
MPLADS-000165,61633000.0,61266000.0,61266000.0,60461000.0,61266000.0,53200000.0,8066000.0,0.8683
MPLADS-000166,3055000.0,3065000.0,3065000.0,2845000.0,3065000.0,2961000.0,104000.0,0.9661
MPLADS-000167,802000.0,832000.0,832000.0,818000.0,832000.0,747000.0,85000.0,0.8978
MPLADS-000168,2019000.0,2007000.0,2007000.0,1921000.0,2007000.0,1937000.0,70000.0,0.9651
MPLADS-000169,662000.0,679000.0,679000.0,652000.0,679000.0,649000.0,30000.0,0.9558
MPLADS-000170,1419000.0,1411000.0,1411000.0,1358000.0,1411000.0,1319000.0,92000.0,0.9348
MPLADS-000171,13295000.0,13537000.0,19245000.0,12987000.0,13537000.0,19245000.0,0.0,1.4217
MPLADS-000172,2217000.0,2276000.0,2276000.0,2250000.0,2276000.0,2091000.0,185000.0,0.9187
MPLADS-000173,599000.0,592000.0,592000.0,571000.0,592000.0,513000.0,79000.0,0.8666
MPLADS-000174,4030000.0,4086000.0,4086000.0,3860000.0,4086000.0,3630000.0,456000.0,0.8884
MPLADS-000175,1855000.0,1913000.0,2922000.0,1745000.0,1913000.0,2922000.0,0.0,1.5274
MPLADS-000176,1631000.0,1634000.0,1634000.0,1625000.0,1634000.0,1536000.0,98000.0,0.94
MPLADS-000177,1919000.0,1945000.0,1945000.0,1908000.0,1945000.0,1745000.0,200000.0,0.8972
MPLADS-000178,1733000.0,1754000.0,1754000.0,1602000.0,1754000.0,1616000.0,138000.0,0.9213
MPLADS-000179,7985000.0,8075000.0,8075000.0,7980000.0,8075000.0,7160000.0,915000.0,0.8867
MPLADS-000180,1997000.0,2032000.0,2032000.0,1934000.0,2032000.0,1903000.0,129000.0,0.9365
MPLADS-000181,363000.0,370000.0,370000.0,340000.0,370000.0,353000.0,17000.0,0.9541
MPLADS-000182,470000.0,490000.0,490000.0,476000.0,490000.0,448000.0,42000.0,0.9143
MPLADS-000183,1369000.0,1362000.0,1362000.0,1332000.0,1362000.0,1203000.0,159000.0,0.8833
MPLADS-000184,12720000.0,13268000.0,13268000.0,11771000.0,13268000.0,12378000.0,890000.0,0.9329
MPLADS-000185,4532000.0,4446000.0,4446000.0,4537000.0,4446000.0,4346000.0,100000.0,0.9775
MPLADS-000186,2329000.0,2343000.0,3200000.0,2219000.0,2343000.0,3200000.0,0.0,1.3658
MPLADS-000187,448000.0,440000.0,440000.0,450000.0,440000.0,395000.0,45000.0,0.8977
MPLADS-000188,594000.0,601000.0,601000.0,587000.0,601000.0,563000.0,38000.0,0.9368
MPLADS-000189,634000.0,646000.0,646000.0,609000.0,646000.0,631000.0,15000.0,0.9768
MPLADS-000190,14322000.0,14326000.0,14326000.0,14373000.0,14326000.0,13973000.0,353000.0,0.9754
MPLADS-000191,2505000.0,2532000.0,2532000.0,2327000.0,2532000.0,2476000.0,56000.0,0.9779
MPLADS-000192,669000.0,661000.0,661000.0,640000.0,661000.0,606000.0,55000.0,0.9168
MPLADS-000193,11841000.0,12264000.0,12264000.0,12024000.0,12264000.0,10855000.0,1409000.0,0.8851
MPLADS-000194,1812000.0,1801000.0,1801000.0,1809000.0,1801000.0,1750000.0,51000.0,0.9717
MPLADS-000195,2697000.0,2674000.0,2674000.0,2614000.0,2674000.0,2433000.0,241000.0,0.9099
MPLADS-000196,11709000.0,11604000.0,11604000.0,11719000.0,11604000.0,10515000.0,1089000.0,0.9062
MPLADS-000197,16328000.0,16802000.0,16802000.0,16599000.0,16802000.0,16130000.0,672000.0,0.96
MPLADS-000198,682000.0,699000.0,699000.0,665000.0,699000.0,612000.0,87000.0,0.8755
MPLADS-000199,663000.0,685000.0,685000.0,631000.0,685000.0,586000.0,99000.0,0.8555
MPLADS-000200,3784000.0,3946000.0,3946000.0,3737000.0,3946000.0,3577000.0,369000.0,0.9065
MPLADS-000201,1295000.0,1337000.0,1337000.0,1223000.0,1337000.0,1248000.0,89000.0,0.9334
MPLADS-000202,1830000.0,1850000.0,1850000.0,1722000.0,1850000.0,1747000.0,103000.0,0.9443
MPLADS-000203,1975000.0,2063000.0,2063000.0,1945000.0,2063000.0,1988000.0,75000.0,0.9636
MPLADS-000204,599000.0,588000.0,588000.0,597000.0,588000.0,550000.0,38000.0,0.9354
MPLADS-000205,1049000.0,1050000.0,1050000.0,1007000.0,1050000.0,933000.0,117000.0,0.8886
MPLADS-000206,590000.0,604000.0,604000.0,590000.0,604000.0,544000.0,60000.0,0.9007
MPLADS-000207,2582000.0,2601000.0,2601000.0,2523000.0,2601000.0,2231000.0,370000.0,0.8577
MPLADS-000208,2225000.0,2228000.0,2228000.0,2184000.0,2228000.0,1956000.0,272000.0,0.8779
MPLADS-000209,1214000.0,1218000.0,1947000.0,1160000.0,1218000.0,1947000.0,0.0,1.5985
MPLADS-000210,1953000.0,1941000.0,1941000.0,1882000.0,1941000.0,1875000.0,66000.0,0.966
MPLADS-000211,2392000.0,2344000.0,2344000.0,2228000.0,2344000.0,2043000.0,301000.0,0.8716
MPLADS-000212,663000.0,654000.0,654000.0,633000.0,654000.0,601000.0,53000.0,0.919
MPLADS-000213,3046000.0,3185000.0,3185000.0,3060000.0,3185000.0,3085000.0,100000.0,0.9686
MPLADS-000214,2399000.0,2379000.0,2379000.0,2321000.0,2379000.0,2260000.0,119000.0,0.95
MPLADS-000215,354000.0,360000.0,360000.0,353000.0,360000.0,351000.0,9000.0,0.975
MPLADS-000216,10121000.0,10028000.0,10028000.0,9371000.0,10028000.0,9282000.0,746000.0,0.9256
MPLADS-000217,1768000.0,1766000.0,1766000.0,1630000.0,1766000.0,774000.0,992000.0,0.4383
MPLADS-000218,2064000.0,2066000.0,2066000.0,1911000.0,2066000.0,1800000.0,266000.0,0.8712
MPLADS-000219,1595000.0,1568000.0,1568000.0,1595000.0,1568000.0,1358000.0,210000.0,0.8661
MPLADS-000220,1701000.0,1757000.0,1757000.0,1729000.0,1757000.0,1527000.0,230000.0,0.8691
MPLADS-000221,653000.0,658000.0,658000.0,602000.0,658000.0,603000.0,55000.0,0.9164
MPLADS-000222,1110000.0,1099000.0,1099000.0,1111000.0,1099000.0,1015000.0,84000.0,0.9236
MPLADS-000223,357000.0,357000.0,357000.0,343000.0,357000.0,329000.0,28000.0,0.9216
MPLADS-000224,2118000.0,2148000.0,2148000.0,2009000.0,2148000.0,1970000.0,178000.0,0.9171
MPLADS-000225,3444000.0,3443000.0,5357000.0,3393000.0,3443000.0,5357000.0,0.0,1.5559
MPLADS-000226,2250000.0,2250000.0,2250000.0,2255000.0,2250000.0,1082000.0,1168000.0,0.4809
MPLADS-000227,2128000.0,2098000.0,2098000.0,2157000.0,2098000.0,1828000.0,270000.0,0.8713
MPLADS-000228,1968000.0,1936000.0,1936000.0,1915000.0,1936000.0,1662000.0,274000.0,0.8585
MPLADS-000229,2106000.0,2211000.0,2211000.0,2045000.0,2211000.0,2037000.0,174000.0,0.9213
MPLADS-000230,2975000.0,2940000.0,2940000.0,2805000.0,2940000.0,2779000.0,161000.0,0.9452
MPLADS-000231,652000.0,640000.0,640000.0,647000.0,640000.0,570000.0,70000.0,0.8906
MPLADS-000232,2532000.0,2573000.0,2573000.0,2396000.0,2573000.0,2289000.0,284000.0,0.8896
MPLADS-000233,1453000.0,1445000.0,1445000.0,1462000.0,1445000.0,1396000.0,49000.0,0.9661
MPLADS-000234,527000.0,528000.0,528000.0,528000.0,528000.0,454000.0,74000.0,0.8598
MPLADS-000235,2038000.0,2111000.0,2111000.0,1913000.0,2111000.0,2037000.0,74000.0,0.9649
MPLADS-000236,431000.0,441000.0,441000.0,401000.0,441000.0,412000.0,29000.0,0.9342
MPLADS-000237,2104000.0,2164000.0,2164000.0,2034000.0,2164000.0,1978000.0,186000.0,0.914
MPLADS-000238,351000.0,351000.0,351000.0,350000.0,351000.0,332000.0,19000.0,0.9459
MPLADS-000239,2159000.0,2124000.0,2124000.0,2187000.0,2124000.0,2075000.0,49000.0,0.9769
MPLADS-000240,1117000.0,1111000.0,1111000.0,1029000.0,1111000.0,1081000.0,30000.0,0.973
MPLADS-000241,2007000.0,2011000.0,2011000.0,2039000.0,2011000.0,1935000.0,76000.0,0.9622
MPLADS-000242,10185000.0,10256000.0,10256000.0,10356000.0,10256000.0,8744000.0,1512000.0,0.8526
MPLADS-000243,2408000.0,2414000.0,2414000.0,2268000.0,2414000.0,2316000.0,98000.0,0.9594
MPLADS-000244,2581000.0,2635000.0,2635000.0,2375000.0,2635000.0,2334000.0,301000.0,0.8858
MPLADS-000245,3970000.0,4037000.0,4037000.0,3900000.0,4037000.0,3893000.0,144000.0,0.9643
MPLADS-000246,2019000.0,2018000.0,2018000.0,1952000.0,2018000.0,1831000.0,187000.0,0.9073
MPLADS-000247,3121000.0,3262000.0,3262000.0,3122000.0,3262000.0,2836000.0,426000.0,0.8694
MPLADS-000248,360000.0,367000.0,367000.0,364000.0,367000.0,312000.0,55000.0,0.8501
MPLADS-000249,2181000.0,2187000.0,2187000.0,2210000.0,2187000.0,2066000.0,121000.0,0.9447
MPLADS-000250,1945000.0,1983000.0,1983000.0,1913000.0,1983000.0,1767000.0,216000.0,0.8911
MPLADS-000251,655000.0,650000.0,650000.0,624000.0,650000.0,576000.0,74000.0,0.8862
MPLADS-000252,3782000.0,3815000.0,3815000.0,3611000.0,3815000.0,3386000.0,429000.0,0.8875
MPLADS-000253,1657000.0,1701000.0,1701000.0,1541000.0,1701000.0,1625000.0,76000.0,0.9553
MPLADS-000254,10186000.0,10669000.0,10669000.0,9672000.0,10669000.0,9938000.0,731000.0,0.9315
MPLADS-000255,406000.0,415000.0,415000.0,411000.0,415000.0,354000.0,61000.0,0.853
MPLADS-000256,2650000.0,2768000.0,2768000.0,2645000.0,2768000.0,2391000.0,377000.0,0.8638
MPLADS-000257,10421000.0,10786000.0,10786000.0,9682000.0,10786000.0,10315000.0,471000.0,0.9563
MPLADS-000258,1536000.0,1559000.0,1559000.0,1509000.0,1559000.0,1413000.0,146000.0,0.9064
MPLADS-000259,1245000.0,1241000.0,1241000.0,1164000.0,1241000.0,1178000.0,63000.0,0.9492
