agency_id,agency_name,district_id,state_id,agency_type
AGENCY-0027,ODI-District-13 - Water Supply & Sewerage Board,DIST-0418,ST-11,Public Works Department (PWD)
AGENCY-0028,TAM-District-30 - Water Supply & Sewerage Board,DIST-0257,ST-06,Public Works Department (PWD)
AGENCY-0029,MAH-District-25 - Water Supply & Sewerage Board,DIST-0100,ST-02,Public Works Department (PWD)
AGENCY-0030,ODI-District-30 - Water Supply & Sewerage Board,DIST-0435,ST-11,Panchayati Raj Institution (PRI)
AGENCY-0031,RAJ-District-35 - Panchayati Raj Institution (PRI),DIST-0300,ST-07,Rural Development Department (RDD)
AGENCY-0032,TAM-District-09 - Panchayati Raj Institution (PRI),DIST-0236,ST-06,Water Supply & Sewerage Board
AGENCY-0033,HAR-District-11 - Water Supply & Sewerage Board,DIST-0608,ST-18,Public Works Department (PWD)
AGENCY-0034,MAD-District-18 - Municipal Corporation (MC),DIST-0190,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0035,MAD-District-35 - Rural Development Department (RDD),DIST-0207,ST-05,Public Works Department (PWD)
AGENCY-0036,MAD-District-34 - Panchayati Raj Institution (PRI),DIST-0206,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0037,KAR-District-25 - Rural Development Department (RDD),DIST-0340,ST-08,Rural Development Department (RDD)
AGENCY-0038,PUN-District-09 - Panchayati Raj Institution (PRI),DIST-0550,ST-16,Rural Development Department (RDD)
AGENCY-0039,AND-District-15 - Panchayati Raj Institution (PRI),DIST-0394,ST-10,Panchayati Raj Institution (PRI)
AGENCY-0040,BIH-District-27 - Municipal Corporation (MC),DIST-0138,ST-03,Public Works Department (PWD)
AGENCY-0041,ASS-District-12 - Panchayati Raj Institution (PRI),DIST-0518,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0042,TAM-District-14 - Panchayati Raj Institution (PRI),DIST-0241,ST-06,Municipal Corporation (MC)
AGENCY-0043,RAJ-District-43 - Public Works Department (PWD),DIST-0308,ST-07,Panchayati Raj Institution (PRI)
AGENCY-0044,WES-District-17 - Public Works Department (PWD),DIST-0166,ST-04,Water Supply & Sewerage Board
AGENCY-0045,MAD-District-22 - Panchayati Raj Institution (PRI),DIST-0194,ST-05,Public Works Department (PWD)
AGENCY-0046,MAD-District-39 - Rural Development Department (RDD),DIST-0211,ST-05,Public Works Department (PWD)
AGENCY-0047,HAR-District-06 - Rural Development Department (RDD),DIST-0603,ST-18,Panchayati Raj Institution (PRI)
AGENCY-0048,GUJ-District-05 - Panchayati Raj Institution (PRI),DIST-0351,ST-09,Panchayati Raj Institution (PRI)
AGENCY-0049,GUJ-District-05 - Public Works Department (PWD),DIST-0351,ST-09,Municipal Corporation (MC)
AGENCY-0050,UTT-District-71 - Panchayati Raj Institution (PRI),DIST-0071,ST-01,Rural Development Department (RDD)
AGENCY-0051,RAJ-District-13 - Public Works Department (PWD),DIST-0278,ST-07,Municipal Corporation (MC)
AGENCY-0052,TAM-District-33 - Public Works Department (PWD),DIST-0260,ST-06,Public Works Department (PWD)
AGENCY-0053,KAR-District-20 - Municipal Corporation (MC),DIST-0335,ST-08,Panchayati Raj Institution (PRI)
AGENCY-0054,TEL-District-11 - Municipal Corporation (MC),DIST-0446,ST-12,Water Supply & Sewerage Board
AGENCY-0055,HAR-District-12 - Water Supply & Sewerage Board,DIST-0609,ST-18,Municipal Corporation (MC)
AGENCY-0056,RAJ-District-02 - Panchayati Raj Institution (PRI),DIST-0267,ST-07,Municipal Corporation (MC)
AGENCY-0057,MAH-District-30 - Municipal Corporation (MC),DIST-0105,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0058,KAR-District-08 - Water Supply & Sewerage Board,DIST-0323,ST-08,Municipal Corporation (MC)
AGENCY-0059,CHH-District-14 - Water Supply & Sewerage Board,DIST-0578,ST-17,Water Supply & Sewerage Board
AGENCY-0060,MAD-District-13 - Public Works Department (PWD),DIST-0185,ST-05,Rural Development Department (RDD)
AGENCY-0061,TEL-District-07 - Water Supply & Sewerage Board,DIST-0442,ST-12,Water Supply & Sewerage Board
AGENCY-0062,ODI-District-19 - Municipal Corporation (MC),DIST-0424,ST-11,Water Supply & Sewerage Board
AGENCY-0063,ODI-District-20 - Public Works Department (PWD),DIST-0425,ST-11,Panchayati Raj Institution (PRI)
AGENCY-0064,MAD-District-51 - Municipal Corporation (MC),DIST-0223,ST-05,Municipal Corporation (MC)
AGENCY-0065,MAD-District-11 - Rural Development Department (RDD),DIST-0183,ST-05,Public Works Department (PWD)
AGENCY-0066,MAD-District-10 - Water Supply & Sewerage Board,DIST-0182,ST-05,Municipal Corporation (MC)
AGENCY-0067,CHH-District-20 - Water Supply & Sewerage Board,DIST-0584,ST-17,Water Supply & Sewerage Board
AGENCY-0068,BIH-District-01 - Rural Development Department (RDD),DIST-0112,ST-03,Public Works Department (PWD)
AGENCY-0069,UTT-District-58 - Rural Development Department (RDD),DIST-0058,ST-01,Rural Development Department (RDD)
AGENCY-0070,UTT-District-10 - Water Supply & Sewerage Board,DIST-0010,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0071,ODI-District-01 - Municipal Corporation (MC),DIST-0406,ST-11,Water Supply & Sewerage Board
AGENCY-0072,MAH-District-17 - Rural Development Department (RDD),DIST-0092,ST-02,Rural Development Department (RDD)
AGENCY-0073,KAR-District-27 - Panchayati Raj Institution (PRI),DIST-0342,ST-08,Municipal Corporation (MC)
AGENCY-0074,GUJ-District-02 - Rural Development Department (RDD),DIST-0348,ST-09,Panchayati Raj Institution (PRI)
AGENCY-0075,CHH-District-33 - Panchayati Raj Institution (PRI),DIST-0597,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0076,MAH-District-34 - Public Works Department (PWD),DIST-0109,ST-02,Rural Development Department (RDD)
AGENCY-0077,UTT-District-16 - Panchayati Raj Institution (PRI),DIST-0016,ST-01,Water Supply & Sewerage Board
AGENCY-0078,RAJ-District-12 - Municipal Corporation (MC),DIST-0277,ST-07,Water Supply & Sewerage Board
AGENCY-0079,KER-District-05 - Municipal Corporation (MC),DIST-0473,ST-13,Municipal Corporation (MC)
AGENCY-0080,MAD-District-02 - Panchayati Raj Institution (PRI),DIST-0174,ST-05,Rural Development Department (RDD)
AGENCY-0081,JHA-District-13 - Panchayati Raj Institution (PRI),DIST-0495,ST-14,Water Supply & Sewerage Board
AGENCY-0082,BIH-District-05 - Public Works Department (PWD),DIST-0116,ST-03,Municipal Corporation (MC)
AGENCY-0083,KER-District-06 - Municipal Corporation (MC),DIST-0474,ST-13,Rural Development Department (RDD)
AGENCY-0084,UTT-District-06 - Rural Development Department (RDD),DIST-0006,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0085,TAM-District-29 - Water Supply & Sewerage Board,DIST-0256,ST-06,Water Supply & Sewerage Board
AGENCY-0086,KER-District-12 - Public Works Department (PWD),DIST-0480,ST-13,Public Works Department (PWD)
AGENCY-0087,RAJ-District-04 - Municipal Corporation (MC),DIST-0269,ST-07,Municipal Corporation (MC)
AGENCY-0088,MAD-District-12 - Public Works Department (PWD),DIST-0184,ST-05,Rural Development Department (RDD)
AGENCY-0089,JHA-District-09 - Water Supply & Sewerage Board,DIST-0491,ST-14,Water Supply & Sewerage Board
AGENCY-0090,GUJ-District-22 - Public Works Department (PWD),DIST-0368,ST-09,Water Supply & Sewerage Board
AGENCY-0091,MAH-District-20 - Rural Development Department (RDD),DIST-0095,ST-02,Water Supply & Sewerage Board
AGENCY-0092,RAJ-District-47 - Public Works Department (PWD),DIST-0312,ST-07,Panchayati Raj Institution (PRI)
AGENCY-0093,UTT-District-49 - Rural Development Department (RDD),DIST-0049,ST-01,Water Supply & Sewerage Board
AGENCY-0094,MAD-District-13 - Water Supply & Sewerage Board,DIST-0185,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0095,ODI-District-01 - Municipal Corporation (MC),DIST-0406,ST-11,Panchayati Raj Institution (PRI)
AGENCY-0096,UTT-District-22 - Water Supply & Sewerage Board,DIST-0022,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0097,ODI-District-01 - Panchayati Raj Institution (PRI),DIST-0406,ST-11,Municipal Corporation (MC)
AGENCY-0098,MAD-District-48 - Water Supply & Sewerage Board,DIST-0220,ST-05,Rural Development Department (RDD)
AGENCY-0099,AND-District-26 - Panchayati Raj Institution (PRI),DIST-0405,ST-10,Panchayati Raj Institution (PRI)
AGENCY-0100,UTT-District-14 - Rural Development Department (RDD),DIST-0014,ST-01,Public Works Department (PWD)
AGENCY-0101,RAJ-District-47 - Municipal Corporation (MC),DIST-0312,ST-07,Panchayati Raj Institution (PRI)
AGENCY-0102,KER-District-01 - Rural Development Department (RDD),DIST-0469,ST-13,Rural Development Department (RDD)
AGENCY-0103,RAJ-District-13 - Rural Development Department (RDD),DIST-0278,ST-07,Water Supply & Sewerage Board
AGENCY-0104,JHA-District-20 - Panchayati Raj Institution (PRI),DIST-0502,ST-14,Municipal Corporation (MC)
AGENCY-0105,UTT-District-16 - Public Works Department (PWD),DIST-0016,ST-01,Rural Development Department (RDD)
AGENCY-0106,TAM-District-14 - Rural Development Department (RDD),DIST-0241,ST-06,Panchayati Raj Institution (PRI)
AGENCY-0107,JHA-District-10 - Panchayati Raj Institution (PRI),DIST-0492,ST-14,Panchayati Raj Institution (PRI)
AGENCY-0108,UTT-District-38 - Rural Development Department (RDD),DIST-0038,ST-01,Water Supply & Sewerage Board
AGENCY-0109,JHA-District-20 - Public Works Department (PWD),DIST-0502,ST-14,Public Works Department (PWD)
AGENCY-0110,ASS-District-09 - Public Works Department (PWD),DIST-0515,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0111,ASS-District-06 - Municipal Corporation (MC),DIST-0512,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0112,TAM-District-07 - Municipal Corporation (MC),DIST-0234,ST-06,Municipal Corporation (MC)
AGENCY-0113,ASS-District-13 - Panchayati Raj Institution (PRI),DIST-0519,ST-15,Water Supply & Sewerage Board
AGENCY-0114,KER-District-09 - Public Works Department (PWD),DIST-0477,ST-13,Rural Development Department (RDD)
AGENCY-0115,JHA-District-13 - Public Works Department (PWD),DIST-0495,ST-14,Municipal Corporation (MC)
AGENCY-0116,MAD-District-39 - Rural Development Department (RDD),DIST-0211,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0117,CHH-District-13 - Water Supply & Sewerage Board,DIST-0577,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0118,UTT-District-03 - Water Supply & Sewerage Board,DIST-0003,ST-01,Water Supply & Sewerage Board
AGENCY-0119,GUJ-District-29 - Municipal Corporation (MC),DIST-0375,ST-09,Panchayati Raj Institution (PRI)
AGENCY-0120,UTT-District-08 - Public Works Department (PWD),DIST-0008,ST-01,Public Works Department (PWD)
AGENCY-0121,CHH-District-02 - Public Works Department (PWD),DIST-0566,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0122,MAD-District-53 - Public Works Department (PWD),DIST-0225,ST-05,Water Supply & Sewerage Board
AGENCY-0123,UTT-District-12 - Water Supply & Sewerage Board,DIST-0012,ST-01,Municipal Corporation (MC)
AGENCY-0124,JHA-District-10 - Public Works Department (PWD),DIST-0492,ST-14,Water Supply & Sewerage Board
AGENCY-0125,GUJ-District-25 - Panchayati Raj Institution (PRI),DIST-0371,ST-09,Municipal Corporation (MC)
AGENCY-0126,MAD-District-40 - Rural Development Department (RDD),DIST-0212,ST-05,Rural Development Department (RDD)
AGENCY-0127,GUJ-District-07 - Municipal Corporation (MC),DIST-0353,ST-09,Rural Development Department (RDD)
AGENCY-0128,WES-District-04 - Water Supply & Sewerage Board,DIST-0153,ST-04,Panchayati Raj Institution (PRI)
AGENCY-0129,ASS-District-27 - Rural Development Department (RDD),DIST-0533,ST-15,Rural Development Department (RDD)
AGENCY-0130,MAD-District-03 - Panchayati Raj Institution (PRI),DIST-0175,ST-05,Municipal Corporation (MC)
AGENCY-0131,RAJ-District-45 - Rural Development Department (RDD),DIST-0310,ST-07,Water Supply & Sewerage Board
AGENCY-0132,GUJ-District-09 - Rural Development Department (RDD),DIST-0355,ST-09,Public Works Department (PWD)
AGENCY-0133,GUJ-District-03 - Municipal Corporation (MC),DIST-0349,ST-09,Water Supply & Sewerage Board
AGENCY-0134,BIH-District-32 - Public Works Department (PWD),DIST-0143,ST-03,Water Supply & Sewerage Board
AGENCY-0135,KAR-District-26 - Public Works Department (PWD),DIST-0341,ST-08,Public Works Department (PWD)
AGENCY-0136,RAJ-District-30 - Municipal Corporation (MC),DIST-0295,ST-07,Rural Development Department (RDD)
AGENCY-0137,MAD-District-55 - Municipal Corporation (MC),DIST-0227,ST-05,Water Supply & Sewerage Board
AGENCY-0138,RAJ-District-39 - Panchayati Raj Institution (PRI),DIST-0304,ST-07,Rural Development Department (RDD)
AGENCY-0139,MAH-District-10 - Public Works Department (PWD),DIST-0085,ST-02,Water Supply & Sewerage Board
AGENCY-0140,UTT-District-23 - Water Supply & Sewerage Board,DIST-0023,ST-01,Rural Development Department (RDD)
AGENCY-0141,ODI-District-26 - Water Supply & Sewerage Board,DIST-0431,ST-11,Municipal Corporation (MC)
AGENCY-0142,TEL-District-17 - Rural Development Department (RDD),DIST-0452,ST-12,Panchayati Raj Institution (PRI)
AGENCY-0143,AND-District-19 - Panchayati Raj Institution (PRI),DIST-0398,ST-10,Public Works Department (PWD)
AGENCY-0144,CHH-District-01 - Public Works Department (PWD),DIST-0565,ST-17,Water Supply & Sewerage Board
AGENCY-0145,CHH-District-14 - Public Works Department (PWD),DIST-0578,ST-17,Municipal Corporation (MC)
AGENCY-0146,AND-District-14 - Rural Development Department (RDD),DIST-0393,ST-10,Water Supply & Sewerage Board
AGENCY-0147,UTT-District-69 - Rural Development Department (RDD),DIST-0069,ST-01,Water Supply & Sewerage Board
AGENCY-0148,TEL-District-25 - Public Works Department (PWD),DIST-0460,ST-12,Public Works Department (PWD)
AGENCY-0149,WES-District-11 - Public Works Department (PWD),DIST-0160,ST-04,Public Works Department (PWD)
AGENCY-0150,GUJ-District-08 - Public Works Department (PWD),DIST-0354,ST-09,Rural Development Department (RDD)
AGENCY-0151,MAD-District-23 - Water Supply & Sewerage Board,DIST-0195,ST-05,Water Supply & Sewerage Board
AGENCY-0152,ASS-District-18 - Rural Development Department (RDD),DIST-0524,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0153,RAJ-District-48 - Water Supply & Sewerage Board,DIST-0313,ST-07,Municipal Corporation (MC)
AGENCY-0154,PUN-District-21 - Panchayati Raj Institution (PRI),DIST-0562,ST-16,Water Supply & Sewerage Board
AGENCY-0155,TEL-District-26 - Municipal Corporation (MC),DIST-0461,ST-12,Municipal Corporation (MC)
AGENCY-0156,MAD-District-36 - Municipal Corporation (MC),DIST-0208,ST-05,Rural Development Department (RDD)
AGENCY-0157,AND-District-24 - Rural Development Department (RDD),DIST-0403,ST-10,Municipal Corporation (MC)
AGENCY-0158,GUJ-District-08 - Municipal Corporation (MC),DIST-0354,ST-09,Rural Development Department (RDD)
AGENCY-0159,JHA-District-09 - Water Supply & Sewerage Board,DIST-0491,ST-14,Public Works Department (PWD)
AGENCY-0160,MAD-District-45 - Municipal Corporation (MC),DIST-0217,ST-05,Water Supply & Sewerage Board
AGENCY-0161,TEL-District-22 - Panchayati Raj Institution (PRI),DIST-0457,ST-12,Rural Development Department (RDD)
AGENCY-0162,PUN-District-23 - Water Supply & Sewerage Board,DIST-0564,ST-16,Water Supply & Sewerage Board
AGENCY-0163,MAD-District-17 - Panchayati Raj Institution (PRI),DIST-0189,ST-05,Rural Development Department (RDD)
AGENCY-0164,CHH-District-27 - Water Supply & Sewerage Board,DIST-0591,ST-17,Public Works Department (PWD)
AGENCY-0165,WES-District-04 - Panchayati Raj Institution (PRI),DIST-0153,ST-04,Panchayati Raj Institution (PRI)
AGENCY-0166,RAJ-District-20 - Rural Development Department (RDD),DIST-0285,ST-07,Municipal Corporation (MC)
AGENCY-0167,PUN-District-15 - Water Supply & Sewerage Board,DIST-0556,ST-16,Panchayati Raj Institution (PRI)
AGENCY-0168,ASS-District-07 - Municipal Corporation (MC),DIST-0513,ST-15,Public Works Department (PWD)
AGENCY-0169,JHA-District-10 - Rural Development Department (RDD),DIST-0492,ST-14,Municipal Corporation (MC)
AGENCY-0170,TEL-District-12 - Water Supply & Sewerage Board,DIST-0447,ST-12,Water Supply & Sewerage Board
AGENCY-0171,JHA-District-15 - Panchayati Raj Institution (PRI),DIST-0497,ST-14,Panchayati Raj Institution (PRI)
AGENCY-0172,RAJ-District-09 - Water Supply & Sewerage Board,DIST-0274,ST-07,Rural Development Department (RDD)
AGENCY-0173,KAR-District-10 - Municipal Corporation (MC),DIST-0325,ST-08,Public Works Department (PWD)
AGENCY-0174,AND-District-14 - Rural Development Department (RDD),DIST-0393,ST-10,Rural Development Department (RDD)
AGENCY-0175,AND-District-06 - Public Works Department (PWD),DIST-0385,ST-10,Public Works Department (PWD)
AGENCY-0176,RAJ-District-17 - Panchayati Raj Institution (PRI),DIST-0282,ST-07,Public Works Department (PWD)
AGENCY-0177,MAD-District-52 - Rural Development Department (RDD),DIST-0224,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0178,MAD-District-15 - Public Works Department (PWD),DIST-0187,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0179,ASS-District-20 - Panchayati Raj Institution (PRI),DIST-0526,ST-15,Rural Development Department (RDD)
AGENCY-0180,RAJ-District-34 - Public Works Department (PWD),DIST-0299,ST-07,Rural Development Department (RDD)
AGENCY-0181,RAJ-District-07 - Panchayati Raj Institution (PRI),DIST-0272,ST-07,Panchayati Raj Institution (PRI)
AGENCY-0182,CHH-District-33 - Municipal Corporation (MC),DIST-0597,ST-17,Public Works Department (PWD)
AGENCY-0183,KAR-District-10 - Panchayati Raj Institution (PRI),DIST-0325,ST-08,Public Works Department (PWD)
AGENCY-0184,TAM-District-12 - Water Supply & Sewerage Board,DIST-0239,ST-06,Rural Development Department (RDD)
AGENCY-0185,RAJ-District-18 - Rural Development Department (RDD),DIST-0283,ST-07,Public Works Department (PWD)
AGENCY-0186,MAD-District-25 - Municipal Corporation (MC),DIST-0197,ST-05,Water Supply & Sewerage Board
AGENCY-0187,ODI-District-04 - Water Supply & Sewerage Board,DIST-0409,ST-11,Municipal Corporation (MC)
AGENCY-0188,ODI-District-03 - Panchayati Raj Institution (PRI),DIST-0408,ST-11,Public Works Department (PWD)
AGENCY-0189,TAM-District-28 - Water Supply & Sewerage Board,DIST-0255,ST-06,Panchayati Raj Institution (PRI)
AGENCY-0190,KER-District-04 - Public Works Department (PWD),DIST-0472,ST-13,Rural Development Department (RDD)
AGENCY-0191,MAD-District-14 - Rural Development Department (RDD),DIST-0186,ST-05,Water Supply & Sewerage Board
AGENCY-0192,RAJ-District-21 - Municipal Corporation (MC),DIST-0286,ST-07,Municipal Corporation (MC)
AGENCY-0193,TAM-District-33 - Water Supply & Sewerage Board,DIST-0260,ST-06,Rural Development Department (RDD)
AGENCY-0194,UTT-District-22 - Municipal Corporation (MC),DIST-0022,ST-01,Municipal Corporation (MC)
AGENCY-0195,WES-District-13 - Water Supply & Sewerage Board,DIST-0162,ST-04,Public Works Department (PWD)
AGENCY-0196,WES-District-07 - Public Works Department (PWD),DIST-0156,ST-04,Public Works Department (PWD)
AGENCY-0197,TEL-District-17 - Municipal Corporation (MC),DIST-0452,ST-12,Municipal Corporation (MC)
AGENCY-0198,ASS-District-27 - Public Works Department (PWD),DIST-0533,ST-15,Municipal Corporation (MC)
AGENCY-0199,UTT-District-72 - Water Supply & Sewerage Board,DIST-0072,ST-01,Municipal Corporation (MC)
AGENCY-0200,KER-District-03 - Panchayati Raj Institution (PRI),DIST-0471,ST-13,Rural Development Department (RDD)
AGENCY-0201,ODI-District-20 - Water Supply & Sewerage Board,DIST-0425,ST-11,Public Works Department (PWD)
AGENCY-0202,ASS-District-34 - Municipal Corporation (MC),DIST-0540,ST-15,Public Works Department (PWD)
AGENCY-0203,CHH-District-16 - Public Works Department (PWD),DIST-0580,ST-17,Municipal Corporation (MC)
AGENCY-0204,MAH-District-06 - Public Works Department (PWD),DIST-0081,ST-02,Municipal Corporation (MC)
AGENCY-0205,ODI-District-16 - Municipal Corporation (MC),DIST-0421,ST-11,Rural Development Department (RDD)
AGENCY-0206,ASS-District-02 - Public Works Department (PWD),DIST-0508,ST-15,Water Supply & Sewerage Board
AGENCY-0207,MAD-District-16 - Municipal Corporation (MC),DIST-0188,ST-05,Water Supply & Sewerage Board
AGENCY-0208,WES-District-10 - Panchayati Raj Institution (PRI),DIST-0159,ST-04,Water Supply & Sewerage Board
AGENCY-0209,ASS-District-30 - Rural Development Department (RDD),DIST-0536,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0210,MAD-District-35 - Panchayati Raj Institution (PRI),DIST-0207,ST-05,Rural Development Department (RDD)
AGENCY-0211,UTT-District-04 - Water Supply & Sewerage Board,DIST-0004,ST-01,Municipal Corporation (MC)
AGENCY-0212,RAJ-District-21 - Public Works Department (PWD),DIST-0286,ST-07,Public Works Department (PWD)
AGENCY-0213,RAJ-District-32 - Municipal Corporation (MC),DIST-0297,ST-07,Rural Development Department (RDD)
AGENCY-0214,TEL-District-26 - Rural Development Department (RDD),DIST-0461,ST-12,Public Works Department (PWD)
AGENCY-0215,KAR-District-18 - Public Works Department (PWD),DIST-0333,ST-08,Public Works Department (PWD)
AGENCY-0216,MAH-District-06 - Rural Development Department (RDD),DIST-0081,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0217,HAR-District-16 - Rural Development Department (RDD),DIST-0613,ST-18,Public Works Department (PWD)
AGENCY-0218,BIH-District-08 - Rural Development Department (RDD),DIST-0119,ST-03,Rural Development Department (RDD)
AGENCY-0219,MAD-District-27 - Water Supply & Sewerage Board,DIST-0199,ST-05,Rural Development Department (RDD)
AGENCY-0220,AND-District-14 - Municipal Corporation (MC),DIST-0393,ST-10,Public Works Department (PWD)
AGENCY-0221,WES-District-05 - Panchayati Raj Institution (PRI),DIST-0154,ST-04,Panchayati Raj Institution (PRI)
AGENCY-0222,UTT-District-09 - Municipal Corporation (MC),DIST-0009,ST-01,Rural Development Department (RDD)
AGENCY-0223,MAD-District-28 - Municipal Corporation (MC),DIST-0200,ST-05,Water Supply & Sewerage Board
AGENCY-0224,ASS-District-30 - Water Supply & Sewerage Board,DIST-0536,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0225,UTT-District-75 - Rural Development Department (RDD),DIST-0075,ST-01,Rural Development Department (RDD)
AGENCY-0226,MAD-District-14 - Rural Development Department (RDD),DIST-0186,ST-05,Public Works Department (PWD)
AGENCY-0227,BIH-District-05 - Municipal Corporation (MC),DIST-0116,ST-03,Panchayati Raj Institution (PRI)
AGENCY-0228,UTT-District-24 - Panchayati Raj Institution (PRI),DIST-0024,ST-01,Water Supply & Sewerage Board
AGENCY-0229,TAM-District-37 - Rural Development Department (RDD),DIST-0264,ST-06,Rural Development Department (RDD)
AGENCY-0230,TAM-District-08 - Rural Development Department (RDD),DIST-0235,ST-06,Water Supply & Sewerage Board
AGENCY-0231,HAR-District-18 - Rural Development Department (RDD),DIST-0615,ST-18,Water Supply & Sewerage Board
AGENCY-0232,ASS-District-23 - Public Works Department (PWD),DIST-0529,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0233,ODI-District-02 - Panchayati Raj Institution (PRI),DIST-0407,ST-11,Panchayati Raj Institution (PRI)
AGENCY-0234,RAJ-District-41 - Municipal Corporation (MC),DIST-0306,ST-07,Rural Development Department (RDD)
AGENCY-0235,GUJ-District-24 - Rural Development Department (RDD),DIST-0370,ST-09,Water Supply & Sewerage Board
AGENCY-0236,UTT-District-53 - Public Works Department (PWD),DIST-0053,ST-01,Public Works Department (PWD)
AGENCY-0237,MAD-District-45 - Municipal Corporation (MC),DIST-0217,ST-05,Water Supply & Sewerage Board
AGENCY-0238,RAJ-District-17 - Public Works Department (PWD),DIST-0282,ST-07,Rural Development Department (RDD)
AGENCY-0239,MAH-District-04 - Panchayati Raj Institution (PRI),DIST-0079,ST-02,Municipal Corporation (MC)
AGENCY-0240,UTT-District-22 - Municipal Corporation (MC),DIST-0022,ST-01,Rural Development Department (RDD)
AGENCY-0241,ODI-District-12 - Water Supply & Sewerage Board,DIST-0417,ST-11,Municipal Corporation (MC)
AGENCY-0242,ODI-District-10 - Municipal Corporation (MC),DIST-0415,ST-11,Public Works Department (PWD)
AGENCY-0243,MAH-District-10 - Rural Development Department (RDD),DIST-0085,ST-02,Municipal Corporation (MC)
AGENCY-0244,AND-District-04 - Municipal Corporation (MC),DIST-0383,ST-10,Rural Development Department (RDD)
AGENCY-0245,ASS-District-30 - Panchayati Raj Institution (PRI),DIST-0536,ST-15,Rural Development Department (RDD)
