tender_id,project_id,bid_count,single_bid_flag,tender_type,winning_bid_amount,winning_bid_deviation
TND-000036,MPLADS-000036,7,0,Open e-Tender,8797000.0,0.0015
TND-000037,MPLADS-000037,7,0,Open e-Tender,2281000.0,-0.0516
TND-000038,MPLADS-000038,6,0,Open e-Tender,1939000.0,-0.0551
TND-000039,MPLADS-000039,4,0,Open e-Tender,498000.0,-0.0254
TND-000040,MPLADS-000040,6,0,Open e-Tender,64384000.0,0.012
TND-000041,MPLADS-000041,6,0,Open e-Tender,1757000.0,-0.0341
TND-000042,MPLADS-000042,3,0,Open e-Tender,2087000.0,-0.0197
TND-000043,MPLADS-000043,5,0,Open e-Tender,10101000.0,-0.0187
TND-000044,MPLADS-000044,5,0,Open e-Tender,2913000.0,-0.0055
TND-000045,MPLADS-000045,4,0,Open e-Tender,2125000.0,0.0158
TND-000046,MPLADS-000046,4,0,Open e-Tender,1454000.0,-0.0268
TND-000047,MPLADS-000047,7,0,Open e-Tender,12231000.0,-0.0033
TND-000048,MPLADS-000048,5,0,Open e-Tender,645000.0,-0.0242
TND-000049,MPLADS-000049,7,0,Open e-Tender,2406000.0,-0.0732
TND-000050,MPLADS-000050,4,0,Open e-Tender,5592000.0,-0.0041
TND-000051,MPLADS-000051,4,0,Open e-Tender,11073000.0,-0.0375
TND-000052,MPLADS-000052,5,0,Open e-Tender,48082000.0,-0.0762
TND-000053,MPLADS-000053,6,0,Open e-Tender,850000.0,-0.0587
TND-000054,MPLADS-000054,7,0,Open e-Tender,8003000.0,-0.0502
TND-000055,MPLADS-000055,5,0,Open e-Tender,1182000.0,-0.0715
TND-000056,MPLADS-000056,3,0,Open e-Tender,2365000.0,-0.0386
TND-000057,MPLADS-000057,1,1,Single Tender Inquiry,2676000.0,-0.0695
TND-000058,MPLADS-000058,3,0,Open e-Tender,3692000.0,-0.0327
TND-000059,MPLADS-000059,3,0,Open e-Tender,2736000.0,0.0029
TND-000060,MPLADS-000060,4,0,Open e-Tender,1432000.0,-0.0357
TND-000061,MPLADS-000061,5,0,Open e-Tender,1485000.0,0.0075
TND-000062,MPLADS-000062,7,0,Open e-Tender,2042000.0,-0.0087
TND-000063,MPLADS-000063,7,0,Open e-Tender,922000.0,0.0022
TND-000064,MPLADS-000064,7,0,Open e-Tender,2628000.0,-0.0495
TND-000065,MPLADS-000065,6,0,Open e-Tender,1687000.0,-0.0649
TND-000066,MPLADS-000066,4,0,Open e-Tender,3941000.0,-0.013
TND-000067,MPLADS-000067,7,0,Open e-Tender,3904000.0,0.007
TND-000068,MPLADS-000068,7,0,Open e-Tender,2862000.0,0.0181
TND-000069,MPLADS-000069,5,0,Open e-Tender,397000.0,0.0179
TND-000070,MPLADS-000070,6,0,Open e-Tender,402000.0,-0.0219
TND-000071,MPLADS-000071,5,0,Open e-Tender,638000.0,-0.0031
TND-000072,MPLADS-000072,6,0,Open e-Tender,530000.0,-0.0586
TND-000073,MPLADS-000073,5,0,Open e-Tender,2152000.0,0.0189
TND-000074,MPLADS-000074,7,0,Open e-Tender,3074000.0,-0.0235
TND-000075,MPLADS-000075,6,0,Open e-Tender,368000.0,-0.0054
TND-000076,MPLADS-000076,6,0,Open e-Tender,582000.0,0.0034
TND-000077,MPLADS-000077,5,0,Open e-Tender,1348000.0,-0.0606
TND-000078,MPLADS-000078,5,0,Open e-Tender,613000.0,-0.0754
TND-000079,MPLADS-000079,7,0,Open e-Tender,1570000.0,-0.0473
TND-000080,MPLADS-000080,5,0,Open e-Tender,3690000.0,-0.0131
TND-000081,MPLADS-000081,5,0,Open e-Tender,740000.0,-0.0796
TND-000082,MPLADS-000082,7,0,Open e-Tender,3751000.0,0.0083
TND-000083,MPLADS-000083,5,0,Open e-Tender,3484000.0,0.0163
TND-000084,MPLADS-000084,4,0,Open e-Tender,2815000.0,-0.0601
TND-000085,MPLADS-000085,6,0,Open e-Tender,2053000.0,-0.0482
TND-000086,MPLADS-000086,7,0,Open e-Tender,14278000.0,-0.0635
TND-000087,MPLADS-000087,1,1,Single Tender Inquiry,1534000.0,0.0179
TND-000088,MPLADS-000088,6,0,Open e-Tender,535000.0,-0.0429
TND-000089,MPLADS-000089,4,0,Open e-Tender,1577000.0,-0.0483
TND-000090,MPLADS-000090,4,0,Open e-Tender,2005000.0,-0.0596
TND-000091,MPLADS-000091,3,0,Open e-Tender,11490000.0,-0.0638
TND-000092,MPLADS-000092,6,0,Open e-Tender,12514000.0,0.0084
TND-000093,MPLADS-000093,5,0,Open e-Tender,2225000.0,0.0155
TND-000094,MPLADS-000094,3,0,Open e-Tender,634000.0,-0.0676
TND-000095,MPLADS-000095,6,0,Open e-Tender,1271000.0,-0.0634
TND-000096,MPLADS-000096,3,0,Open e-Tender,914000.0,-0.0664
TND-000097,MPLADS-000097,6,0,Open e-Tender,2904000.0,-0.0079
TND-000098,MPLADS-000098,7,0,Open e-Tender,455000.0,-0.0109
TND-000099,MPLADS-000099,4,0,Open e-Tender,3728000.0,-0.0591
TND-000100,MPLADS-000100,4,0,Open e-Tender,1027000.0,-0.0756
TND-000101,MPLADS-000101,7,0,Open e-Tender,2168000.0,-0.0703
TND-000102,MPLADS-000102,3,0,Open e-Tender,8176000.0,-0.0502
TND-000103,MPLADS-000103,4,0,Open e-Tender,10009000.0,0.0129
TND-000104,MPLADS-000104,5,0,Open e-Tender,2732000.0,-0.0051
TND-000105,MPLADS-000105,5,0,Open e-Tender,1017000.0,-0.0704
TND-000106,MPLADS-000106,7,0,Open e-Tender,2539000.0,-0.0586
TND-000107,MPLADS-000107,4,0,Open e-Tender,604000.0,-0.075
TND-000108,MPLADS-000108,5,0,Open e-Tender,2447000.0,-0.0049
TND-000109,MPLADS-000109,3,0,Open e-Tender,1144000.0,-0.0172
TND-000110,MPLADS-000110,4,0,Open e-Tender,1577000.0,-0.0113
TND-000111,MPLADS-000111,7,0,Open e-Tender,526000.0,-0.0401
TND-000112,MPLADS-000112,6,0,Open e-Tender,1852000.0,-0.0763
TND-000113,MPLADS-000113,5,0,Open e-Tender,1253000.0,-0.0413
TND-000114,MPLADS-000114,3,0,Open e-Tender,1799000.0,-0.0765
TND-000115,MPLADS-000115,4,0,Open e-Tender,1026000.0,0.0179
TND-000116,MPLADS-000116,3,0,Open e-Tender,1806000.0,-0.0153
TND-000117,MPLADS-000117,1,1,Single Tender Inquiry,9738000.0,-0.0012
TND-000118,MPLADS-000118,4,0,Open e-Tender,2974000.0,-0.07
TND-000119,MPLADS-000119,7,0,Open e-Tender,2612000.0,0.0062
TND-000120,MPLADS-000120,6,0,Open e-Tender,2345000.0,-0.0105
TND-000121,MPLADS-000121,5,0,Open e-Tender,2642000.0,-0.0621
TND-000122,MPLADS-000122,6,0,Open e-Tender,5198000.0,-0.0528
TND-000123,MPLADS-000123,5,0,Open e-Tender,13295000.0,-0.0797
TND-000124,MPLADS-000124,4,0,Open e-Tender,2231000.0,-0.0308
TND-000125,MPLADS-000125,6,0,Open e-Tender,2927000.0,-0.0085
TND-000126,MPLADS-000126,7,0,Open e-Tender,1310000.0,-0.0143
TND-000127,MPLADS-000127,6,0,Open e-Tender,3615000.0,-0.0282
TND-000128,MPLADS-000128,6,0,Open e-Tender,3345000.0,-0.0065
TND-000129,MPLADS-000129,7,0,Open e-Tender,2061000.0,0.0193
TND-000130,MPLADS-000130,7,0,Open e-Tender,2524000.0,0.008
TND-000131,MPLADS-000131,6,0,Open e-Tender,2871000.0,-0.0144
TND-000132,MPLADS-000132,6,0,Open e-Tender,3021000.0,0.0155
TND-000133,MPLADS-000133,7,0,Open e-Tender,1490000.0,-0.0479
TND-000134,MPLADS-000134,3,0,Open e-Tender,11821000.0,-0.0741
TND-000135,MPLADS-000135,5,0,Open e-Tender,14668000.0,-0.0419
TND-000136,MPLADS-000136,6,0,Open e-Tender,635000.0,-0.0155
TND-000137,MPLADS-000137,6,0,Open e-Tender,1710000.0,-0.0573
TND-000138,MPLADS-000138,6,0,Open e-Tender,461000.0,-0.0233
TND-000139,MPLADS-000139,6,0,Open e-Tender,2006000.0,0.0178
TND-000140,MPLADS-000140,6,0,Open e-Tender,14499000.0,-0.0202
TND-000141,MPLADS-000141,7,0,Open e-Tender,1386000.0,-0.0014
TND-000142,MPLADS-000142,6,0,Open e-Tender,2803000.0,-0.0619
TND-000143,MPLADS-000143,6,0,Open e-Tender,14615000.0,-0.0497
TND-000144,MPLADS-000144,1,1,Single Tender Inquiry,2187000.0,-0.0166
TND-000145,MPLADS-000145,6,0,Open e-Tender,2909000.0,-0.0034
TND-000146,MPLADS-000146,3,0,Open e-Tender,347000.0,-0.0361
TND-000147,MPLADS-000147,3,0,Open e-Tender,1773000.0,-0.0045
TND-000148,MPLADS-000148,6,0,Open e-Tender,424000.0,-0.0722
TND-000149,MPLADS-000149,7,0,Open e-Tender,3942000.0,0.0041
TND-000150,MPLADS-000150,7,0,Open e-Tender,3207000.0,-0.0612
TND-000151,MPLADS-000151,3,0,Open e-Tender,416000.0,-0.0095
TND-000152,MPLADS-000152,5,0,Open e-Tender,8661000.0,-0.0552
TND-000153,MPLADS-000153,6,0,Open e-Tender,2332000.0,-0.0555
TND-000154,MPLADS-000154,3,0,Open e-Tender,499000.0,0.0122
TND-000155,MPLADS-000155,3,0,Open e-Tender,1434000.0,0.0
TND-000156,MPLADS-000156,5,0,Open e-Tender,443000.0,-0.0242
TND-000157,MPLADS-000157,6,0,Open e-Tender,1509000.0,-0.0092
TND-000158,MPLADS-000158,6,0,Open e-Tender,670000.0,0.0106
TND-000159,MPLADS-000159,6,0,Open e-Tender,1965000.0,0.0067
TND-000160,MPLADS-000160,5,0,Open e-Tender,1260000.0,-0.066
TND-000161,MPLADS-000161,7,0,Open e-Tender,420000.0,-0.0625
TND-000162,MPLADS-000162,6,0,Open e-Tender,15850000.0,-0.0491
TND-000163,MPLADS-000163,7,0,Open e-Tender,1284000.0,-0.0368
TND-000164,MPLADS-000164,7,0,Open e-Tender,835000.0,0.0158
TND-000165,MPLADS-000165,3,0,Open e-Tender,60461000.0,-0.019
TND-000166,MPLADS-000166,1,1,Single Tender Inquiry,2845000.0,-0.0687
TND-000167,MPLADS-000167,1,1,Single Tender Inquiry,818000.0,0.02
TND-000168,MPLADS-000168,7,0,Open e-Tender,1921000.0,-0.0485
TND-000169,MPLADS-000169,5,0,Open e-Tender,652000.0,-0.0151
TND-000170,MPLADS-000170,7,0,Open e-Tender,1358000.0,-0.043
TND-000171,MPLADS-000171,7,0,Open e-Tender,12987000.0,-0.0232
TND-000172,MPLADS-000172,5,0,Open e-Tender,2250000.0,0.0149
TND-000173,MPLADS-000173,3,0,Open e-Tender,571000.0,-0.0467
TND-000174,MPLADS-000174,3,0,Open e-Tender,3860000.0,-0.0422
TND-000175,MPLADS-000175,7,0,Open e-Tender,1745000.0,-0.0593
TND-000176,MPLADS-000176,4,0,Open e-Tender,1625000.0,-0.0037
TND-000177,MPLADS-000177,7,0,Open e-Tender,1908000.0,-0.0057
TND-000178,MPLADS-000178,3,0,Open e-Tender,1602000.0,-0.0756
TND-000179,MPLADS-000179,7,0,Open e-Tender,7980000.0,-0.0006
TND-000180,MPLADS-000180,5,0,Open e-Tender,1934000.0,-0.0315
TND-000181,MPLADS-000181,3,0,Open e-Tender,340000.0,-0.0634
TND-000182,MPLADS-000182,7,0,Open e-Tender,476000.0,0.0128
TND-000183,MPLADS-000183,3,0,Open e-Tender,1332000.0,-0.027
TND-000184,MPLADS-000184,6,0,Open e-Tender,11771000.0,-0.0746
TND-000185,MPLADS-000185,4,0,Open e-Tender,4537000.0,0.0011
TND-000186,MPLADS-000186,5,0,Open e-Tender,2219000.0,-0.0472
TND-000187,MPLADS-000187,3,0,Open e-Tender,450000.0,0.0045
TND-000188,MPLADS-000188,5,0,Open e-Tender,587000.0,-0.0118
TND-000189,MPLADS-000189,4,0,Open e-Tender,609000.0,-0.0394
TND-000190,MPLADS-000190,6,0,Open e-Tender,14373000.0,0.0036
TND-000191,MPLADS-000191,5,0,Open e-Tender,2327000.0,-0.0711
TND-000192,MPLADS-000192,3,0,Open e-Tender,640000.0,-0.0433
TND-000193,MPLADS-000193,6,0,Open e-Tender,12024000.0,0.0155
TND-000194,MPLADS-000194,3,0,Open e-Tender,1809000.0,-0.0017
TND-000195,MPLADS-000195,7,0,Open e-Tender,2614000.0,-0.0308
TND-000196,MPLADS-000196,7,0,Open e-Tender,11719000.0,0.0009
TND-000197,MPLADS-000197,6,0,Open e-Tender,16599000.0,0.0166
TND-000198,MPLADS-000198,4,0,Open e-Tender,665000.0,-0.0249
TND-000199,MPLADS-000199,7,0,Open e-Tender,631000.0,-0.0483
TND-000200,MPLADS-000200,3,0,Open e-Tender,3737000.0,-0.0124
TND-000201,MPLADS-000201,1,1,Single Tender Inquiry,1223000.0,-0.0556
TND-000202,MPLADS-000202,7,0,Open e-Tender,1722000.0,-0.059
TND-000203,MPLADS-000203,7,0,Open e-Tender,1945000.0,-0.0152
TND-000204,MPLADS-000204,6,0,Open e-Tender,597000.0,-0.0033
TND-000205,MPLADS-000205,7,0,Open e-Tender,1007000.0,-0.04
TND-000206,MPLADS-000206,6,0,Open e-Tender,590000.0,0.0
TND-000207,MPLADS-000207,6,0,Open e-Tender,2523000.0,-0.0229
TND-000208,MPLADS-000208,6,0,Open e-Tender,2184000.0,-0.0184
TND-000209,MPLADS-000209,6,0,Open e-Tender,1160000.0,-0.0445
TND-000210,MPLADS-000210,1,1,Single Tender Inquiry,1882000.0,-0.0364
TND-000211,MPLADS-000211,7,0,Open e-Tender,2228000.0,-0.0686
TND-000212,MPLADS-000212,5,0,Open e-Tender,633000.0,-0.0452
TND-000213,MPLADS-000213,3,0,Open e-Tender,3060000.0,0.0046
TND-000214,MPLADS-000214,7,0,Open e-Tender,2321000.0,-0.0325
TND-000215,MPLADS-000215,3,0,Open e-Tender,353000.0,-0.0028
TND-000216,MPLADS-000216,4,0,Open e-Tender,9371000.0,-0.0741
TND-000217,MPLADS-000217,4,0,Open e-Tender,1630000.0,-0.0781
TND-000218,MPLADS-000218,3,0,Open e-Tender,1911000.0,-0.0741
TND-000219,MPLADS-000219,3,0,Open e-Tender,1595000.0,0.0
TND-000220,MPLADS-000220,6,0,Open e-Tender,1729000.0,0.0165
TND-000221,MPLADS-000221,6,0,Open e-Tender,602000.0,-0.0781
TND-000222,MPLADS-000222,5,0,Open e-Tender,1111000.0,0.0009
TND-000223,MPLADS-000223,6,0,Open e-Tender,343000.0,-0.0392
TND-000224,MPLADS-000224,3,0,Open e-Tender,2009000.0,-0.0515
TND-000225,MPLADS-000225,3,0,Open e-Tender,3393000.0,-0.0148
TND-000226,MPLADS-000226,7,0,Open e-Tender,2255000.0,0.0022
TND-000227,MPLADS-000227,7,0,Open e-Tender,2157000.0,0.0136
TND-000228,MPLADS-000228,7,0,Open e-Tender,1915000.0,-0.0269
TND-000229,MPLADS-000229,5,0,Open e-Tender,2045000.0,-0.029
TND-000230,MPLADS-000230,6,0,Open e-Tender,2805000.0,-0.0571
TND-000231,MPLADS-000231,7,0,Open e-Tender,647000.0,-0.0077
TND-000232,MPLADS-000232,7,0,Open e-Tender,2396000.0,-0.0537
TND-000233,MPLADS-000233,4,0,Open e-Tender,1462000.0,0.0062
TND-000234,MPLADS-000234,6,0,Open e-Tender,528000.0,0.0019
TND-000235,MPLADS-000235,6,0,Open e-Tender,1913000.0,-0.0613
TND-000236,MPLADS-000236,4,0,Open e-Tender,401000.0,-0.0696
TND-000237,MPLADS-000237,4,0,Open e-Tender,2034000.0,-0.0333
TND-000238,MPLADS-000238,5,0,Open e-Tender,350000.0,-0.0028
TND-000239,MPLADS-000239,7,0,Open e-Tender,2187000.0,0.013
TND-000240,MPLADS-000240,4,0,Open e-Tender,1029000.0,-0.0788
TND-000241,MPLADS-000241,1,1,Single Tender Inquiry,2039000.0,0.0159
TND-000242,MPLADS-000242,7,0,Open e-Tender,10356000.0,0.0168
TND-000243,MPLADS-000243,4,0,Open e-Tender,2268000.0,-0.0581
TND-000244,MPLADS-000244,5,0,Open e-Tender,2375000.0,-0.0798
TND-000245,MPLADS-000245,3,0,Open e-Tender,3900000.0,-0.0176
TND-000246,MPLADS-000246,5,0,Open e-Tender,1952000.0,-0.0332
TND-000247,MPLADS-000247,3,0,Open e-Tender,3122000.0,0.0003
TND-000248,MPLADS-000248,7,0,Open e-Tender,364000.0,0.0111
TND-000249,MPLADS-000249,3,0,Open e-Tender,2210000.0,0.0133
TND-000250,MPLADS-000250,5,0,Open e-Tender,1913000.0,-0.0165
TND-000251,MPLADS-000251,5,0,Open e-Tender,624000.0,-0.0473
TND-000252,MPLADS-000252,4,0,Open e-Tender,3611000.0,-0.0452
TND-000253,MPLADS-000253,7,0,Open e-Tender,1541000.0,-0.07
TND-000254,MPLADS-000254,5,0,Open e-Tender,9672000.0,-0.0505
TND-000255,MPLADS-000255,4,0,Open e-Tender,411000.0,0.0123
TND-000256,MPLADS-000256,7,0,Open e-Tender,2645000.0,-0.0019
TND-000257,MPLADS-000257,5,0,Open e-Tender,9682000.0,-0.0709
TND-000258,MPLADS-000258,6,0,Open e-Tender,1509000.0,-0.0176
TND-000259,MPLADS-000259,3,0,Open e-Tender,1164000.0,-0.0651
TND-000260,MPLADS-000260,4,0,Open e-Tender,1429000.0,-0.0021
TND-000261,MPLADS-000261,5,0,Open e-Tender,1435000.0,-0.0706
TND-000262,MPLADS-000262,5,0,Open e-Tender,2216000.0,-0.0212
TND-000263,MPLADS-000263,5,0,Open e-Tender,2097000.0,0.0199
TND-000264,MPLADS-000264,3,0,Open e-Tender,2371000.0,-0.0326
TND-000265,MPLADS-000265,4,0,Open e-Tender,2092000.0,-0.0452
TND-000266,MPLADS-000266,7,0,Open e-Tender,14496000.0,0.0093
TND-000267,MPLADS-000267,3,0,Open e-Tender,4094000.0,-0.0051
TND-000268,MPLADS-000268,7,0,Open e-Tender,3631000.0,0.0047
TND-000269,MPLADS-000269,5,0,Open e-Tender,918000.0,-0.0575
TND-000270,MPLADS-000270,4,0,Open e-Tender,636000.0,-0.017
TND-000271,MPLADS-000271,6,0,Open e-Tender,413000.0,-0.0781
TND-000272,MPLADS-000272,3,0,Open e-Tender,2106000.0,0.0024
TND-000273,MPLADS-000273,7,0,Open e-Tender,837000.0,-0.0434
TND-000274,MPLADS-000274,7,0,Open e-Tender,1705000.0,-0.0719
TND-000275,MPLADS-000275,5,0,Open e-Tender,9461000.0,-0.0346
TND-000276,MPLADS-000276,3,0,Open e-Tender,1416000.0,-0.0432
TND-000277,MPLADS-000277,5,0,Open e-Tender,540000.0,-0.0253
TND-000278,MPLADS-000278,4,0,Open e-Tender,1078000.0,0.017
TND-000279,MPLADS-000279,3,0,Open e-Tender,957000.0,0.0138
TND-000280,MPLADS-000280,7,0,Open e-Tender,1392000.0,-0.0588
TND-000281,MPLADS-000281,3,0,Open e-Tender,2702000.0,-0.0605
TND-000282,MPLADS-000282,3,0,Open e-Tender,1877000.0,-0.0662
TND-000283,MPLADS-000283,5,0,Open e-Tender,3719000.0,0.012
TND-000284,MPLADS-000284,3,0,Open e-Tender,3414000.0,-0.009
TND-000285,MPLADS-000285,3,0,Open e-Tender,2299000.0,-0.0461
TND-000286,MPLADS-000286,1,1,Single Tender Inquiry,1699000.0,-0.0319
TND-000287,MPLADS-000287,5,0,Open e-Tender,3817000.0,-0.0651
TND-000288,MPLADS-000288,7,0,Open e-Tender,3666000.0,-0.0046
TND-000289,MPLADS-000289,4,0,Open e-Tender,17742000.0,0.0162
TND-000290,MPLADS-000290,7,0,Open e-Tender,824000.0,-0.0155
TND-000291,MPLADS-000291,4,0,Open e-Tender,1588000.0,0.0166
TND-000292,MPLADS-000292,4,0,Open e-Tender,662000.0,-0.0045
TND-000293,MPLADS-000293,5,0,Open e-Tender,904000.0,0.0078
TND-000294,MPLADS-000294,7,0,Open e-Tender,613000.0,-0.0598
TND-000295,MPLADS-000295,7,0,Open e-Tender,2649000.0,-0.044
TND-000296,MPLADS-000296,5,0,Open e-Tender,2267000.0,0.0121
TND-000297,MPLADS-000297,4,0,Open e-Tender,9745000.0,-0.0135
TND-000298,MPLADS-000298,1,1,Single Tender Inquiry,8975000.0,-0.0235
TND-000299,MPLADS-000299,5,0,Open e-Tender,536000.0,-0.0613
TND-000300,MPLADS-000300,4,0,Open e-Tender,2209000.0,-0.0536
TND-000301,MPLADS-000301,6,0,Open e-Tender,1077000.0,0.016
TND-000302,MPLADS-000302,5,0,Open e-Tender,2712000.0,-0.0393
TND-000303,MPLADS-000303,6,0,Open e-Tender,2454000.0,-0.0354
TND-000304,MPLADS-000304,3,0,Open e-Tender,11377000.0,-0.0108
TND-000305,MPLADS-000305,4,0,Open e-Tender,1214000.0,-0.0441
TND-000306,MPLADS-000306,1,1,Single Tender Inquiry,10795000.0,0.0047
TND-000307,MPLADS-000307,6,0,Open e-Tender,1102000.0,-0.0018
TND-000308,MPLADS-000308,3,0,Open e-Tender,2215000.0,0.0128
TND-000309,MPLADS-000309,3,0,Open e-Tender,2995000.0,-0.0661
TND-000310,MPLADS-000310,7,0,Open e-Tender,10962000.0,-0.0734
TND-000311,MPLADS-000311,4,0,Open e-Tender,1044000.0,-0.0637
TND-000312,MPLADS-000312,3,0,Open e-Tender,15097000.0,0.0098
TND-000313,MPLADS-000313,7,0,Open e-Tender,1696000.0,-0.0151
TND-000314,MPLADS-000314,3,0,Open e-Tender,828000.0,-0.0515
TND-000315,MPLADS-000315,5,0,Open e-Tender,3030000.0,-0.0039
TND-000316,MPLADS-000316,4,0,Open e-Tender,378000.0,-0.055
TND-000317,MPLADS-000317,4,0,Open e-Tender,2256000.0,0.0022
TND-000318,MPLADS-000318,6,0,Open e-Tender,3149000.0,-0.0069
TND-000319,MPLADS-000319,6,0,Open e-Tender,2190000.0,-0.0201
TND-000320,MPLADS-000320,4,0,Open e-Tender,2475000.0,-0.0143
TND-000321,MPLADS-000321,5,0,Open e-Tender,3028000.0,-0.0433
TND-000322,MPLADS-000322,7,0,Open e-Tender,467000.0,-0.0789
TND-000323,MPLADS-000323,6,0,Open e-Tender,2812000.0,-0.0277
TND-000324,MPLADS-000324,6,0,Open e-Tender,1009000.0,-0.0657
TND-000325,MPLADS-000325,1,1,Single Tender Inquiry,1572000.0,0.0122
TND-000326,MPLADS-000326,4,0,Open e-Tender,405000.0,-0.0426
TND-000327,MPLADS-000327,4,0,Open e-Tender,1977000.0,-0.0696
TND-000328,MPLADS-000328,7,0,Open e-Tender,826000.0,-0.0225
TND-000329,MPLADS-000329,3,0,Open e-Tender,1390000.0,0.0029
TND-000330,MPLADS-000330,1,1,Single Tender Inquiry,3853000.0,-0.0493
TND-000331,MPLADS-000331,1,1,Single Tender Inquiry,1830000.0,-0.0384
TND-000332,MPLADS-000332,4,0,Open e-Tender,1991000.0,-0.0349
TND-000333,MPLADS-000333,5,0,Open e-Tender,2919000.0,-0.0105
TND-000334,MPLADS-000334,5,0,Open e-Tender,887000.0,-0.0483
TND-000335,MPLADS-000335,3,0,Open e-Tender,2000000.0,-0.0403
TND-000336,MPLADS-000336,3,0,Open e-Tender,2421000.0,0.0067
TND-000337,MPLADS-000337,4,0,Open e-Tender,2653000.0,-0.0159
TND-000338,MPLADS-000338,6,0,Open e-Tender,541000.0,-0.0492
TND-000339,MPLADS-000339,3,0,Open e-Tender,1532000.0,-0.0192
TND-000340,MPLADS-000340,3,0,Open e-Tender,15174000.0,0.0196
TND-000341,MPLADS-000341,5,0,Open e-Tender,1934000.0,-0.0652
TND-000342,MPLADS-000342,3,0,Open e-Tender,2012000.0,-0.0113
TND-000343,MPLADS-000343,7,0,Open e-Tender,1023000.0,-0.0403
TND-000344,MPLADS-000344,7,0,Open e-Tender,15795000.0,-0.0004
TND-000345,MPLADS-000345,4,0,Open e-Tender,995000.0,-0.0613
TND-000346,MPLADS-000346,3,0,Open e-Tender,1935000.0,-0.0262
TND-000347,MPLADS-000347,7,0,Open e-Tender,39960000.0,-0.0643
TND-000348,MPLADS-000348,6,0,Open e-Tender,499000.0,-0.0513
TND-000349,MPLADS-000349,5,0,Open e-Tender,553000.0,0.0147
TND-000350,MPLADS-000350,3,0,Open e-Tender,1954000.0,0.0093
TND-000351,MPLADS-000351,7,0,Open e-Tender,12644000.0,0.0097
TND-000352,MPLADS-000352,1,1,Single Tender Inquiry,8768000.0,0.0148
TND-000353,MPLADS-000353,4,0,Open e-Tender,1117000.0,-0.0312
TND-000354,MPLADS-000354,4,0,Open e-Tender,3984000.0,0.0071
TND-000355,MPLADS-000355,6,0,Open e-Tender,830000.0,-0.0621
TND-000356,MPLADS-000356,4,0,Open e-Tender,3558000.0,0.0198
TND-000357,MPLADS-000357,6,0,Open e-Tender,1790000.0,-0.0787
TND-000358,MPLADS-000358,5,0,Open e-Tender,2355000.0,-0.0527
TND-000359,MPLADS-000359,3,0,Open e-Tender,4144000.0,-0.0603
TND-000360,MPLADS-000360,3,0,Open e-Tender,2292000.0,0.0061
