progress_id,project_id,physical_progress,financial_progress,planned_duration_days,actual_duration_days,extension_count,progress_gap
PROG-000057,MPLADS-000057,89.3,90.5,180,198,0,1.2
PROG-000058,MPLADS-000058,81.5,95.0,210,207,0,13.5
PROG-000059,MPLADS-000059,97.1,86.2,210,221,0,-10.9
PROG-000060,MPLADS-000060,84.6,85.2,120,137,0,0.6
PROG-000061,MPLADS-000061,77.0,88.7,120,123,0,11.7
PROG-000062,MPLADS-000062,95.2,151.2,150,174,0,56.0
PROG-000063,MPLADS-000063,80.3,96.2,90,121,0,15.9
PROG-000064,MPLADS-000064,80.4,96.2,180,208,0,15.8
PROG-000065,MPLADS-000065,94.4,89.0,120,115,0,-5.4
PROG-000066,MPLADS-000066,91.2,95.6,210,214,0,4.4
PROG-000067,MPLADS-000067,81.7,85.7,210,240,0,4.0
PROG-000068,MPLADS-000068,95.4,96.0,210,199,0,0.6
PROG-000069,MPLADS-000069,75.3,92.1,60,78,0,16.8
PROG-000070,MPLADS-000070,86.9,93.1,60,78,0,6.2
PROG-000071,MPLADS-000071,85.8,87.4,60,60,0,1.6
PROG-000072,MPLADS-000072,81.7,93.2,60,69,0,11.5
PROG-000073,MPLADS-000073,71.0,96.8,180,208,0,25.8
PROG-000074,MPLADS-000074,75.6,95.9,180,172,0,20.3
PROG-000075,MPLADS-000075,10.7,53.5,60,73,0,42.8
PROG-000076,MPLADS-000076,88.0,87.8,90,114,0,-0.2
PROG-000077,MPLADS-000077,89.5,87.5,150,172,0,-2.0
PROG-000078,MPLADS-000078,61.0,92.3,60,240,4,31.3
PROG-000079,MPLADS-000079,87.8,88.9,160,153,0,1.1
PROG-000080,MPLADS-000080,95.8,93.4,210,226,0,-2.4
PROG-000081,MPLADS-000081,75.5,91.5,90,97,0,16.0
PROG-000082,MPLADS-000082,28.5,97.8,210,201,0,69.3
PROG-000083,MPLADS-000083,78.8,95.5,180,180,0,16.7
PROG-000084,MPLADS-000084,79.2,87.2,180,168,0,8.0
PROG-000085,MPLADS-000085,46.4,94.7,210,840,4,48.3
PROG-000086,MPLADS-000086,74.7,139.2,400,432,0,64.5
PROG-000087,MPLADS-000087,76.0,86.6,120,110,0,10.6
PROG-000088,MPLADS-000088,82.5,94.5,60,59,0,12.0
PROG-000089,MPLADS-000089,73.0,88.6,160,161,0,15.6
PROG-000090,MPLADS-000090,87.2,96.7,210,197,0,9.5
PROG-000091,MPLADS-000091,96.8,92.5,400,406,0,-4.3
PROG-000092,MPLADS-000092,96.9,93.9,400,427,0,-3.0
PROG-000093,MPLADS-000093,80.6,85.5,120,121,0,4.9
PROG-000094,MPLADS-000094,77.7,91.1,90,86,0,13.4
PROG-000095,MPLADS-000095,86.7,93.9,150,148,0,7.2
PROG-000096,MPLADS-000096,94.9,90.6,90,114,0,-4.3
PROG-000097,MPLADS-000097,31.1,98.0,210,207,0,66.9
PROG-000098,MPLADS-000098,97.2,88.4,60,75,0,-8.8
PROG-000099,MPLADS-000099,93.3,97.3,210,219,0,4.0
PROG-000100,MPLADS-000100,75.4,86.7,150,166,0,11.3
PROG-000101,MPLADS-000101,87.6,87.8,210,235,0,0.2
PROG-000102,MPLADS-000102,91.5,93.7,150,170,0,2.2
PROG-000103,MPLADS-000103,73.3,93.9,400,411,0,20.6
PROG-000104,MPLADS-000104,88.7,86.1,180,199,0,-2.6
PROG-000105,MPLADS-000105,93.3,97.3,90,89,0,4.0
PROG-000106,MPLADS-000106,80.6,92.2,180,176,0,11.6
PROG-000107,MPLADS-000107,33.4,93.6,60,73,0,60.2
PROG-000108,MPLADS-000108,79.3,91.6,120,117,0,12.3
PROG-000109,MPLADS-000109,78.6,86.3,150,160,0,7.7
PROG-000110,MPLADS-000110,78.3,93.7,160,176,0,15.4
PROG-000111,MPLADS-000111,71.0,91.7,60,55,0,20.7
PROG-000112,MPLADS-000112,51.4,92.1,160,640,4,40.7
PROG-000113,MPLADS-000113,69.6,85.5,150,450,2,15.9
PROG-000114,MPLADS-000114,76.8,92.9,150,172,0,16.1
PROG-000115,MPLADS-000115,80.0,88.1,90,84,0,8.1
PROG-000116,MPLADS-000116,70.8,90.3,150,135,0,19.5
PROG-000117,MPLADS-000117,92.7,96.5,400,389,0,3.8
PROG-000118,MPLADS-000118,23.3,98.7,180,193,0,75.4
PROG-000119,MPLADS-000119,95.8,85.2,180,206,0,-10.6
PROG-000120,MPLADS-000120,94.0,95.9,160,165,0,1.9
PROG-000121,MPLADS-000121,90.8,91.9,180,179,0,1.1
PROG-000122,MPLADS-000122,99.8,88.9,150,148,0,-10.9
PROG-000123,MPLADS-000123,73.6,93.8,400,407,0,20.2
PROG-000124,MPLADS-000124,100.0,85.2,160,174,0,-14.8
PROG-000125,MPLADS-000125,97.4,85.1,180,184,0,-12.3
PROG-000126,MPLADS-000126,79.8,93.1,120,106,0,13.3
PROG-000127,MPLADS-000127,81.0,92.9,210,218,0,11.9
PROG-000128,MPLADS-000128,96.3,86.7,210,241,0,-9.6
PROG-000129,MPLADS-000129,80.5,97.3,160,161,0,16.8
PROG-000130,MPLADS-000130,24.6,86.4,120,140,0,61.8
PROG-000131,MPLADS-000131,99.7,96.7,180,212,0,-3.0
PROG-000132,MPLADS-000132,80.4,86.3,160,186,0,5.9
PROG-000133,MPLADS-000133,98.5,95.9,150,169,0,-2.6
PROG-000134,MPLADS-000134,76.5,95.6,180,208,0,19.1
PROG-000135,MPLADS-000135,89.1,87.2,400,428,0,-1.9
PROG-000136,MPLADS-000136,91.0,88.3,90,111,0,-2.7
PROG-000137,MPLADS-000137,96.6,90.5,160,158,0,-6.1
PROG-000138,MPLADS-000138,71.6,88.1,60,48,0,16.5
PROG-000139,MPLADS-000139,0.0,100.0,150,147,0,100.0
PROG-000140,MPLADS-000140,87.3,91.3,180,188,0,4.0
PROG-000141,MPLADS-000141,23.8,89.9,120,109,0,66.1
PROG-000142,MPLADS-000142,98.4,94.6,180,177,0,-3.8
PROG-000143,MPLADS-000143,95.7,88.4,400,430,0,-7.3
PROG-000144,MPLADS-000144,79.9,91.1,180,172,0,11.2
PROG-000145,MPLADS-000145,85.2,90.5,160,193,0,5.3
PROG-000146,MPLADS-000146,79.6,142.1,60,59,0,62.5
PROG-000147,MPLADS-000147,79.4,92.0,150,169,0,12.6
PROG-000148,MPLADS-000148,99.2,90.2,60,89,0,-9.0
PROG-000149,MPLADS-000149,93.7,91.9,210,215,0,-1.8
PROG-000150,MPLADS-000150,93.8,93.0,180,179,0,-0.8
PROG-000151,MPLADS-000151,76.5,96.2,60,59,0,19.7
PROG-000152,MPLADS-000152,76.9,86.4,400,395,0,9.5
PROG-000153,MPLADS-000153,74.2,93.1,120,150,0,18.9
PROG-000154,MPLADS-000154,90.6,94.6,60,48,0,4.0
PROG-000155,MPLADS-000155,34.8,85.8,120,106,0,51.0
PROG-000156,MPLADS-000156,91.9,89.0,60,80,0,-2.9
PROG-000157,MPLADS-000157,26.4,94.0,120,130,0,67.6
PROG-000158,MPLADS-000158,95.6,86.8,60,94,0,-8.8
PROG-000159,MPLADS-000159,77.9,85.2,120,152,0,7.3
PROG-000160,MPLADS-000160,72.6,93.1,120,128,0,20.5
PROG-000161,MPLADS-000161,11.1,59.7,60,77,0,48.6
PROG-000162,MPLADS-000162,91.8,91.1,400,387,0,-0.7
PROG-000163,MPLADS-000163,16.1,45.7,150,176,0,29.6
PROG-000164,MPLADS-000164,92.8,94.2,90,104,0,1.4
PROG-000165,MPLADS-000165,84.9,86.8,400,401,0,1.9
PROG-000166,MPLADS-000166,85.0,96.6,180,203,0,11.6
PROG-000167,MPLADS-000167,70.6,89.8,90,121,0,19.2
PROG-000168,MPLADS-000168,83.9,96.5,150,161,0,12.6
PROG-000169,MPLADS-000169,75.0,95.6,60,77,0,20.6
PROG-000170,MPLADS-000170,84.7,93.5,150,157,0,8.8
PROG-000171,MPLADS-000171,78.3,142.2,400,430,0,63.9
PROG-000172,MPLADS-000172,89.6,91.9,120,129,0,2.3
PROG-000173,MPLADS-000173,73.8,86.7,60,69,0,12.9
PROG-000174,MPLADS-000174,97.1,88.8,210,218,0,-8.3
PROG-000175,MPLADS-000175,72.9,152.7,150,149,0,79.8
PROG-000176,MPLADS-000176,99.6,94.0,160,181,0,-5.6
PROG-000177,MPLADS-000177,94.3,89.7,150,139,0,-4.6
PROG-000178,MPLADS-000178,90.0,92.1,120,126,0,2.1
PROG-000179,MPLADS-000179,76.4,88.7,150,143,0,12.3
PROG-000180,MPLADS-000180,95.6,93.7,120,135,0,-1.9
PROG-000181,MPLADS-000181,97.0,95.4,60,48,0,-1.6
PROG-000182,MPLADS-000182,79.2,91.4,60,69,0,12.2
PROG-000183,MPLADS-000183,70.4,88.3,120,147,0,17.9
PROG-000184,MPLADS-000184,91.6,93.3,400,412,0,1.7
PROG-000185,MPLADS-000185,70.9,97.8,90,76,0,26.9
PROG-000186,MPLADS-000186,95.4,136.6,160,156,0,41.2
PROG-000187,MPLADS-000187,80.3,89.8,60,64,0,9.5
PROG-000188,MPLADS-000188,70.2,93.7,60,83,0,23.5
PROG-000189,MPLADS-000189,94.3,97.7,90,75,0,3.4
PROG-000190,MPLADS-000190,78.8,97.5,400,402,0,18.7
PROG-000191,MPLADS-000191,77.3,97.8,160,179,0,20.5
PROG-000192,MPLADS-000192,97.6,91.7,60,92,0,-5.9
PROG-000193,MPLADS-000193,85.3,88.5,400,416,0,3.2
PROG-000194,MPLADS-000194,81.3,97.2,160,167,0,15.9
PROG-000195,MPLADS-000195,86.4,91.0,180,197,0,4.6
PROG-000196,MPLADS-000196,97.5,90.6,400,417,0,-6.9
PROG-000197,MPLADS-000197,94.5,96.0,400,404,0,1.5
PROG-000198,MPLADS-000198,85.5,87.6,60,60,0,2.1
PROG-000199,MPLADS-000199,97.8,85.5,60,50,0,-12.3
PROG-000200,MPLADS-000200,85.5,90.6,90,113,0,5.1
PROG-000201,MPLADS-000201,86.8,93.3,120,106,0,6.5
PROG-000202,MPLADS-000202,74.0,94.4,120,149,0,20.4
PROG-000203,MPLADS-000203,74.8,96.4,120,148,0,21.6
PROG-000204,MPLADS-000204,78.2,93.5,60,60,0,15.3
PROG-000205,MPLADS-000205,89.7,88.9,90,121,0,-0.8
PROG-000206,MPLADS-000206,77.4,90.1,90,114,0,12.7
PROG-000207,MPLADS-000207,89.3,85.8,180,208,0,-3.5
PROG-000208,MPLADS-000208,71.1,87.8,210,232,0,16.7
PROG-000209,MPLADS-000209,72.3,159.9,150,142,0,87.6
PROG-000210,MPLADS-000210,83.6,96.6,160,177,0,13.0
PROG-000211,MPLADS-000211,90.7,87.2,210,209,0,-3.5
PROG-000212,MPLADS-000212,88.4,91.9,60,73,0,3.5
PROG-000213,MPLADS-000213,81.5,96.9,160,156,0,15.4
PROG-000214,MPLADS-000214,75.2,95.0,210,218,0,19.8
PROG-000215,MPLADS-000215,96.8,97.5,60,65,0,0.7
PROG-000216,MPLADS-000216,84.6,92.6,400,426,0,8.0
PROG-000217,MPLADS-000217,18.9,43.8,150,165,0,24.9
PROG-000218,MPLADS-000218,99.2,87.1,120,128,0,-12.1
PROG-000219,MPLADS-000219,70.4,86.6,160,176,0,16.2
PROG-000220,MPLADS-000220,74.4,86.9,120,132,0,12.5
PROG-000221,MPLADS-000221,78.4,91.6,60,49,0,13.2
PROG-000222,MPLADS-000222,96.4,92.4,90,97,0,-4.0
PROG-000223,MPLADS-000223,72.1,92.2,60,92,0,20.1
PROG-000224,MPLADS-000224,65.2,91.7,160,480,4,26.5
PROG-000225,MPLADS-000225,99.6,155.6,180,212,0,56.0
PROG-000226,MPLADS-000226,15.2,48.1,120,139,0,32.9
PROG-000227,MPLADS-000227,98.3,87.1,160,180,0,-11.2
PROG-000228,MPLADS-000228,90.9,85.8,150,177,0,-5.1
PROG-000229,MPLADS-000229,97.5,92.1,160,176,0,-5.4
PROG-000230,MPLADS-000230,74.5,94.5,180,192,0,20.0
PROG-000231,MPLADS-000231,95.2,89.1,60,82,0,-6.1
PROG-000232,MPLADS-000232,74.7,89.0,160,158,0,14.3
PROG-000233,MPLADS-000233,72.5,96.6,120,137,0,24.1
PROG-000234,MPLADS-000234,83.0,86.0,60,83,0,3.0
PROG-000235,MPLADS-000235,95.3,96.5,150,162,0,1.2
PROG-000236,MPLADS-000236,94.6,93.4,60,82,0,-1.2
PROG-000237,MPLADS-000237,79.8,91.4,180,210,0,11.6
PROG-000238,MPLADS-000238,70.3,94.6,60,51,0,24.3
PROG-000239,MPLADS-000239,70.2,97.7,210,195,0,27.5
PROG-000240,MPLADS-000240,82.9,97.3,90,91,0,14.4
PROG-000241,MPLADS-000241,97.8,96.2,150,178,0,-1.6
PROG-000242,MPLADS-000242,91.4,85.3,400,431,0,-6.1
PROG-000243,MPLADS-000243,70.8,95.9,180,171,0,25.1
PROG-000244,MPLADS-000244,89.7,88.6,210,219,0,-1.1
PROG-000245,MPLADS-000245,98.4,96.4,90,105,0,-2.0
PROG-000246,MPLADS-000246,92.5,90.7,120,148,0,-1.8
PROG-000247,MPLADS-000247,71.4,86.9,210,240,0,15.5
PROG-000248,MPLADS-000248,95.4,85.0,60,88,0,-10.4
PROG-000249,MPLADS-000249,92.1,94.5,180,195,0,2.4
PROG-000250,MPLADS-000250,70.7,89.1,120,107,0,18.4
PROG-000251,MPLADS-000251,95.1,88.6,90,98,0,-6.5
PROG-000252,MPLADS-000252,87.0,88.8,210,208,0,1.8
PROG-000253,MPLADS-000253,77.5,95.5,150,171,0,18.0
PROG-000254,MPLADS-000254,88.6,93.1,400,423,0,4.5
PROG-000255,MPLADS-000255,86.3,85.3,60,48,0,-1.0
PROG-000256,MPLADS-000256,77.3,86.4,210,220,0,9.1
PROG-000257,MPLADS-000257,76.4,95.6,400,406,0,19.2
PROG-000258,MPLADS-000258,96.0,90.6,150,176,0,-5.4
PROG-000259,MPLADS-000259,91.4,94.9,150,169,0,3.5
PROG-000260,MPLADS-000260,74.8,92.1,120,136,0,17.3
PROG-000261,MPLADS-000261,0.0,100.0,160,189,0,100.0
PROG-000262,MPLADS-000262,87.7,95.3,160,145,0,7.6
PROG-000263,MPLADS-000263,65.1,96.1,160,480,2,31.0
PROG-000264,MPLADS-000264,57.8,92.1,120,360,4,34.3
PROG-000265,MPLADS-000265,97.6,93.7,180,192,0,-3.9
PROG-000266,MPLADS-000266,93.7,97.5,400,433,0,3.8
PROG-000267,MPLADS-000267,85.1,97.3,210,202,0,12.2
PROG-000268,MPLADS-000268,92.0,87.6,210,197,0,-4.4
PROG-000269,MPLADS-000269,83.9,89.5,90,88,0,5.6
PROG-000270,MPLADS-000270,97.9,91.7,60,60,0,-6.2
PROG-000271,MPLADS-000271,86.8,97.7,60,85,0,10.9
PROG-000272,MPLADS-000272,29.4,96.8,180,213,0,67.4
PROG-000273,MPLADS-000273,71.2,94.1,90,99,0,22.9
PROG-000274,MPLADS-000274,74.9,95.1,120,122,0,20.2
PROG-000275,MPLADS-000275,97.7,93.3,400,421,0,-4.4
PROG-000276,MPLADS-000276,77.3,96.5,150,137,0,19.2
PROG-000277,MPLADS-000277,68.0,96.8,60,240,2,28.8
PROG-000278,MPLADS-000278,76.6,91.4,90,96,0,14.8
PROG-000279,MPLADS-000279,71.2,89.8,90,81,0,18.6
PROG-000280,MPLADS-000280,95.8,95.2,120,130,0,-0.6
PROG-000281,MPLADS-000281,95.5,90.3,210,217,0,-5.2
PROG-000282,MPLADS-000282,94.9,93.2,180,193,0,-1.7
PROG-000283,MPLADS-000283,72.7,86.0,210,244,0,13.3
PROG-000284,MPLADS-000284,94.5,96.4,210,203,0,1.9
PROG-000285,MPLADS-000285,73.0,92.8,120,137,0,19.8
PROG-000286,MPLADS-000286,91.0,95.4,180,191,0,4.4
PROG-000287,MPLADS-000287,82.9,95.0,210,235,0,12.1
PROG-000288,MPLADS-000288,77.6,94.5,210,198,0,16.9
PROG-000289,MPLADS-000289,81.6,90.4,210,206,0,8.8
PROG-000290,MPLADS-000290,93.0,90.1,90,86,0,-2.9
PROG-000291,MPLADS-000291,19.6,98.9,120,131,0,79.3
PROG-000292,MPLADS-000292,86.5,96.9,60,64,0,10.4
PROG-000293,MPLADS-000293,99.4,86.4,90,119,0,-13.0
PROG-000294,MPLADS-000294,78.5,93.7,60,79,0,15.2
PROG-000295,MPLADS-000295,92.9,96.3,160,170,0,3.4
PROG-000296,MPLADS-000296,89.5,90.2,210,237,0,0.7
PROG-000297,MPLADS-000297,99.2,88.5,400,409,0,-10.7
PROG-000298,MPLADS-000298,97.0,88.5,400,412,0,-8.5
PROG-000299,MPLADS-000299,83.1,153.7,90,124,0,70.6
PROG-000300,MPLADS-000300,98.7,94.3,160,153,0,-4.4
PROG-000301,MPLADS-000301,98.8,93.9,90,124,0,-4.9
PROG-000302,MPLADS-000302,76.9,86.6,210,199,0,9.7
PROG-000303,MPLADS-000303,95.0,92.8,160,171,0,-2.2
PROG-000304,MPLADS-000304,85.3,89.1,400,391,0,3.8
PROG-000305,MPLADS-000305,56.8,97.5,120,360,4,40.7
PROG-000306,MPLADS-000306,96.0,96.0,400,434,0,0.0
PROG-000307,MPLADS-000307,99.7,94.6,90,111,0,-5.1
PROG-000308,MPLADS-000308,81.4,96.9,120,126,0,15.5
PROG-000309,MPLADS-000309,86.7,89.7,180,190,0,3.0
PROG-000310,MPLADS-000310,73.1,95.9,400,408,0,22.8
PROG-000311,MPLADS-000311,76.1,95.0,150,165,0,18.9
PROG-000312,MPLADS-000312,93.9,91.0,400,431,0,-2.9
PROG-000313,MPLADS-000313,80.5,93.3,150,172,0,12.8
PROG-000314,MPLADS-000314,0.0,100.0,90,110,0,100.0
PROG-000315,MPLADS-000315,83.8,92.9,180,178,0,9.1
PROG-000316,MPLADS-000316,79.7,88.8,60,94,0,9.1
PROG-000317,MPLADS-000317,95.9,85.3,160,183,0,-10.6
PROG-000318,MPLADS-000318,76.2,86.7,180,182,0,10.5
PROG-000319,MPLADS-000319,71.3,87.7,180,187,0,16.4
PROG-000320,MPLADS-000320,67.3,90.3,180,540,2,23.0
PROG-000321,MPLADS-000321,28.1,88.8,180,198,0,60.7
PROG-000322,MPLADS-000322,77.2,85.2,60,73,0,8.0
PROG-000323,MPLADS-000323,80.4,85.4,210,202,0,5.0
PROG-000324,MPLADS-000324,79.4,86.1,90,78,0,6.7
PROG-000325,MPLADS-000325,95.1,89.6,120,109,0,-5.5
PROG-000326,MPLADS-000326,73.1,90.8,60,47,0,17.7
PROG-000327,MPLADS-000327,70.9,96.9,120,118,0,26.0
PROG-000328,MPLADS-000328,87.7,92.0,90,118,0,4.3
PROG-000329,MPLADS-000329,84.7,85.8,120,153,0,1.1
PROG-000330,MPLADS-000330,85.6,95.8,210,240,0,10.2
PROG-000331,MPLADS-000331,92.9,90.8,180,179,0,-2.1
PROG-000332,MPLADS-000332,93.9,93.9,120,105,0,0.0
PROG-000333,MPLADS-000333,89.2,86.2,160,145,0,-3.0
PROG-000334,MPLADS-000334,98.8,90.2,90,95,0,-8.6
PROG-000335,MPLADS-000335,97.7,86.2,120,141,0,-11.5
PROG-000336,MPLADS-000336,72.0,89.3,120,153,0,17.3
PROG-000337,MPLADS-000337,94.3,86.6,180,197,0,-7.7
PROG-000338,MPLADS-000338,82.3,94.9,60,81,0,12.6
PROG-000339,MPLADS-000339,90.4,90.4,150,175,0,0.0
PROG-000340,MPLADS-000340,40.2,90.5,400,1200,3,50.3
PROG-000341,MPLADS-000341,97.7,89.7,180,168,0,-8.0
PROG-000342,MPLADS-000342,96.7,90.3,150,183,0,-6.4
PROG-000343,MPLADS-000343,83.0,89.3,150,175,0,6.3
PROG-000344,MPLADS-000344,87.5,95.5,400,422,0,8.0
PROG-000345,MPLADS-000345,93.5,93.7,90,91,0,0.2
PROG-000346,MPLADS-000346,70.5,93.7,120,480,2,23.2
PROG-000347,MPLADS-000347,89.2,95.6,400,434,0,6.4
PROG-000348,MPLADS-000348,90.0,89.2,60,80,0,-0.8
PROG-000349,MPLADS-000349,73.1,88.4,60,78,0,15.3
PROG-000350,MPLADS-000350,67.8,91.5,120,360,2,23.7
PROG-000351,MPLADS-000351,96.8,86.4,400,428,0,-10.4
PROG-000352,MPLADS-000352,97.4,90.7,400,423,0,-6.7
PROG-000353,MPLADS-000353,77.8,88.8,150,136,0,11.0
PROG-000354,MPLADS-000354,83.0,91.2,210,205,0,8.2
PROG-000355,MPLADS-000355,78.9,85.8,90,90,0,6.9
PROG-000356,MPLADS-000356,80.6,87.4,180,196,0,6.8
PROG-000357,MPLADS-000357,87.3,95.9,120,128,0,8.6
PROG-000358,MPLADS-000358,95.2,93.2,160,149,0,-2.0
PROG-000359,MPLADS-000359,72.1,94.4,90,118,0,22.3
PROG-000360,MPLADS-000360,98.6,96.7,180,171,0,-1.9
PROG-000361,MPLADS-000361,74.2,94.2,150,146,0,20.0
PROG-000362,MPLADS-000362,72.3,92.0,160,160,0,19.7
PROG-000363,MPLADS-000363,74.8,92.5,180,184,0,17.7
PROG-000364,MPLADS-000364,87.5,97.8,60,62,0,10.3
PROG-000365,MPLADS-000365,99.6,89.4,150,137,0,-10.2
PROG-000366,MPLADS-000366,21.3,51.0,160,179,0,29.7
PROG-000367,MPLADS-000367,81.6,98.0,120,144,0,16.4
PROG-000368,MPLADS-000368,71.1,97.0,150,161,0,25.9
PROG-000369,MPLADS-000369,99.1,91.3,90,121,0,-7.8
PROG-000370,MPLADS-000370,73.7,96.3,120,112,0,22.6
PROG-000371,MPLADS-000371,32.8,90.8,210,211,0,58.0
PROG-000372,MPLADS-000372,97.6,95.0,160,187,0,-2.6
PROG-000373,MPLADS-000373,76.7,87.4,180,177,0,10.7
PROG-000374,MPLADS-000374,91.5,94.9,210,204,0,3.4
PROG-000375,MPLADS-000375,95.2,88.7,120,133,0,-6.5
PROG-000376,MPLADS-000376,16.7,64.4,160,180,0,47.7
PROG-000377,MPLADS-000377,98.0,97.3,150,173,0,-0.7
PROG-000378,MPLADS-000378,18.2,48.9,120,134,0,30.7
PROG-000379,MPLADS-000379,71.5,88.5,60,69,0,17.0
PROG-000380,MPLADS-000380,89.1,89.7,60,72,0,0.6
PROG-000381,MPLADS-000381,64.4,86.7,180,540,3,22.3
PROG-000382,MPLADS-000382,91.1,94.1,150,160,0,3.0
PROG-000383,MPLADS-000383,89.1,86.7,150,184,0,-2.4
PROG-000384,MPLADS-000384,95.3,154.6,400,424,0,59.3
PROG-000385,MPLADS-000385,24.8,87.8,90,107,0,63.0
PROG-000386,MPLADS-000386,98.2,95.9,120,115,0,-2.3
PROG-000387,MPLADS-000387,94.5,85.0,90,90,0,-9.5
PROG-000388,MPLADS-000388,77.0,137.1,180,210,0,60.1
PROG-000389,MPLADS-000389,98.6,96.5,210,200,0,-2.1
PROG-000390,MPLADS-000390,85.9,85.3,400,420,0,-0.6
PROG-000391,MPLADS-000391,76.8,97.1,180,191,0,20.3
PROG-000392,MPLADS-000392,92.2,86.0,120,142,0,-6.2
PROG-000393,MPLADS-000393,95.6,141.7,90,97,0,46.1
PROG-000394,MPLADS-000394,96.5,90.2,90,82,0,-6.3
PROG-000395,MPLADS-000395,16.5,44.6,400,392,0,28.1
PROG-000396,MPLADS-000396,97.4,85.1,60,52,0,-12.3
PROG-000397,MPLADS-000397,92.2,96.1,90,114,0,3.9
PROG-000398,MPLADS-000398,91.4,85.5,210,197,0,-5.9
PROG-000399,MPLADS-000399,72.8,88.0,150,184,0,15.2
PROG-000400,MPLADS-000400,98.4,126.3,90,105,0,27.9
PROG-000401,MPLADS-000401,73.9,88.9,160,177,0,15.0
PROG-000402,MPLADS-000402,86.2,95.0,180,173,0,8.8
PROG-000403,MPLADS-000403,84.3,93.8,160,151,0,9.5
PROG-000404,MPLADS-000404,99.3,89.9,150,159,0,-9.4
PROG-000405,MPLADS-000405,74.6,85.4,150,178,0,10.8
