contractor_id,contractor_name,home_district_id,home_state_id,registration_category,financial_capacity,base_quality_score,past_irregularity_rate
CONT-0117,"Basu, Ratti and Sarna Infrastructure Pvt Ltd",DIST-0542,ST-16,Class B,20000000.0,0.952,0.1226
CONT-0118,Zacharia and Sons Infrastructure Pvt Ltd,DIST-0142,ST-03,Class B,20000000.0,0.971,0.0588
CONT-0119,Bhalla Enterprises,DIST-0387,ST-10,Class B,5000000.0,0.701,0.0976
CONT-0120,Thakur LLC Infrastructure Pvt Ltd,DIST-0253,ST-06,Class C,100000000.0,0.798,0.1794
CONT-0121,Kaur Enterprises,DIST-0270,ST-07,Class A,5000000.0,0.745,0.1032
CONT-0122,Nagar Enterprises,DIST-0189,ST-05,Class C,5000000.0,0.843,0.045
CONT-0123,Nagi Enterprises,DIST-0007,ST-01,Class C,5000000.0,0.701,0.0302
CONT-0124,Mittal and Sons Infrastructure Pvt Ltd,DIST-0230,ST-06,Class B,20000000.0,0.717,0.0572
CONT-0125,Verma Enterprises,DIST-0125,ST-03,Class C,20000000.0,0.808,0.1067
CONT-0126,Sachdev LLC Infrastructure Pvt Ltd,DIST-0058,ST-01,Class A,5000000.0,0.957,0.0222
CONT-0127,Bhat-Gill Infrastructure Pvt Ltd,DIST-0062,ST-01,Class B,5000000.0,0.868,0.0314
CONT-0128,"Sane, Tandon and Batta Infrastructure Pvt Ltd",DIST-0203,ST-05,Class C,5000000.0,0.9,0.0685
CONT-0129,Raj-Vohra Infrastructure Pvt Ltd,DIST-0085,ST-02,Class B,20000000.0,0.822,0.042
CONT-0130,Nagar Enterprises,DIST-0063,ST-01,Class B,100000000.0,0.866,0.0135
CONT-0131,"Saha, Rege and Dixit Infrastructure Pvt Ltd",DIST-0284,ST-07,Class B,20000000.0,0.826,0.0793
CONT-0132,Mital Enterprises,DIST-0450,ST-12,Class A,20000000.0,0.856,0.1919
CONT-0133,Gour-Yogi Infrastructure Pvt Ltd,DIST-0213,ST-05,Class B,5000000.0,0.849,0.0078
CONT-0134,Khosla-Kar Infrastructure Pvt Ltd,DIST-0050,ST-01,Class B,100000000.0,0.907,0.0294
CONT-0135,Dhawan-Sheth Infrastructure Pvt Ltd,DIST-0391,ST-10,Class B,5000000.0,0.819,0.0519
CONT-0136,Sachar Group Infrastructure Pvt Ltd,DIST-0412,ST-11,Class B,100000000.0,0.923,0.1541
CONT-0137,"Wagle, Desai and Rama Infrastructure Pvt Ltd",DIST-0500,ST-14,Class B,20000000.0,0.801,0.0352
CONT-0138,Kumer and Sons Infrastructure Pvt Ltd,DIST-0055,ST-01,Class B,20000000.0,0.705,0.0939
CONT-0139,Narayanan Enterprises,DIST-0326,ST-08,Class C,100000000.0,0.816,0.1522
CONT-0140,"Brar, Sengupta and Prabhakar Infrastructure Pvt Ltd",DIST-0409,ST-11,Class B,100000000.0,0.833,0.105
CONT-0141,Wason Ltd Infrastructure Pvt Ltd,DIST-0197,ST-05,Class C,20000000.0,0.808,0.1785
CONT-0142,Behl LLC Infrastructure Pvt Ltd,DIST-0043,ST-01,Class B,5000000.0,0.883,0.0689
CONT-0143,Baral-Bora Infrastructure Pvt Ltd,DIST-0238,ST-06,Class B,5000000.0,0.9,0.0272
CONT-0144,Guha Enterprises,DIST-0072,ST-01,Class A,20000000.0,0.886,0.0138
CONT-0145,"Kalla, Srinivas and Joshi Infrastructure Pvt Ltd",DIST-0344,ST-08,Class C,20000000.0,0.921,0.0636
CONT-0146,Mitter-Aurora Infrastructure Pvt Ltd,DIST-0247,ST-06,Class B,5000000.0,0.735,0.1376
CONT-0147,Kakar Enterprises,DIST-0120,ST-03,Class B,20000000.0,0.704,0.0915
CONT-0148,Dalal Ltd Infrastructure Pvt Ltd,DIST-0075,ST-01,Class C,20000000.0,0.745,0.1392
CONT-0149,Kibe-Jayaraman Infrastructure Pvt Ltd,DIST-0160,ST-04,Class C,20000000.0,0.795,0.0196
CONT-0150,Ranganathan Enterprises,DIST-0242,ST-06,Class C,5000000.0,0.899,0.0647
CONT-0151,Nagy LLC Infrastructure Pvt Ltd,DIST-0591,ST-17,Class B,5000000.0,0.761,0.0772
CONT-0152,Shukla-Walla Infrastructure Pvt Ltd,DIST-0176,ST-05,Class A,20000000.0,0.858,0.0385
CONT-0153,Parmer Enterprises,DIST-0321,ST-08,Class B,5000000.0,0.792,0.0891
CONT-0154,Lal-Parsa Infrastructure Pvt Ltd,DIST-0058,ST-01,Class C,100000000.0,0.819,0.077
CONT-0155,"Tank, Shukla and Chaudhari Infrastructure Pvt Ltd",DIST-0497,ST-14,Class A,5000000.0,0.743,0.0773
CONT-0156,"Singh, Nagarajan and Jani Infrastructure Pvt Ltd",DIST-0444,ST-12,Class B,20000000.0,0.929,0.2216
CONT-0157,Munshi-Sachdev Infrastructure Pvt Ltd,DIST-0431,ST-11,Class B,20000000.0,0.907,0.1004
CONT-0158,Kant Ltd Infrastructure Pvt Ltd,DIST-0102,ST-02,Class B,20000000.0,0.793,0.0893
CONT-0159,Babu LLC Infrastructure Pvt Ltd,DIST-0490,ST-14,Class B,20000000.0,0.861,0.0319
CONT-0160,"Sahni, Merchant and Dua Infrastructure Pvt Ltd",DIST-0400,ST-10,Class B,20000000.0,0.838,0.0928
CONT-0161,Narayan and Sons Infrastructure Pvt Ltd,DIST-0042,ST-01,Class C,20000000.0,0.949,0.0119
CONT-0162,Korpal-Tata Infrastructure Pvt Ltd,DIST-0021,ST-01,Class B,20000000.0,0.802,0.038
CONT-0163,"Nazareth, Kurian and Suresh Infrastructure Pvt Ltd",DIST-0296,ST-07,Class A,20000000.0,0.851,0.0416
CONT-0164,"Swaminathan, Sharma and Ganguly Infrastructure Pvt Ltd",DIST-0436,ST-12,Class C,20000000.0,0.708,0.1101
CONT-0165,"Pandey, Gara and Dey Infrastructure Pvt Ltd",DIST-0154,ST-04,Class C,5000000.0,0.915,0.0516
CONT-0166,Suresh Enterprises,DIST-0354,ST-09,Class A,5000000.0,0.954,0.0339
CONT-0167,Bhargava PLC Infrastructure Pvt Ltd,DIST-0036,ST-01,Class C,20000000.0,0.908,0.045
CONT-0168,Borde Ltd Infrastructure Pvt Ltd,DIST-0518,ST-15,Class A,5000000.0,0.848,0.0385
CONT-0169,Bava Enterprises,DIST-0503,ST-14,Class C,5000000.0,0.708,0.0779
CONT-0170,Ahuja Enterprises,DIST-0132,ST-03,Class B,5000000.0,0.871,0.053
CONT-0171,Sachar Enterprises,DIST-0324,ST-08,Class A,20000000.0,0.729,0.1858
CONT-0172,Devan Enterprises,DIST-0251,ST-06,Class B,100000000.0,0.969,0.0591
CONT-0173,"Kashyap, Bir and Dora Infrastructure Pvt Ltd",DIST-0053,ST-01,Class B,5000000.0,0.82,0.0928
CONT-0174,Kamdar PLC Infrastructure Pvt Ltd,DIST-0190,ST-05,Class A,5000000.0,0.777,0.0164
CONT-0175,Prakash-Bhasin Infrastructure Pvt Ltd,DIST-0252,ST-06,Class B,20000000.0,0.886,0.0282
CONT-0176,"Subramanian, Sura and Babu Infrastructure Pvt Ltd",DIST-0505,ST-14,Class C,5000000.0,0.968,0.0766
CONT-0177,Wali PLC Infrastructure Pvt Ltd,DIST-0141,ST-03,Class C,20000000.0,0.776,0.022
CONT-0178,Arora-Badal Infrastructure Pvt Ltd,DIST-0307,ST-07,Class B,5000000.0,0.834,0.1694
CONT-0179,Wagle Enterprises,DIST-0477,ST-13,Class B,5000000.0,0.776,0.0406
CONT-0180,Maharaj Enterprises,DIST-0577,ST-17,Class B,20000000.0,0.849,0.0373
CONT-0181,Wason Enterprises,DIST-0593,ST-17,Class B,5000000.0,0.702,0.1248
CONT-0182,Badal-Thakkar Infrastructure Pvt Ltd,DIST-0497,ST-14,Class C,5000000.0,0.826,0.0556
CONT-0183,"Sani, Gola and Chhabra Infrastructure Pvt Ltd",DIST-0285,ST-07,Class A,5000000.0,0.899,0.0371
CONT-0184,Char Enterprises,DIST-0491,ST-14,Class C,5000000.0,0.914,0.1744
CONT-0185,"Dixit, Khosla and Handa Infrastructure Pvt Ltd",DIST-0528,ST-15,Class B,100000000.0,0.908,0.0483
CONT-0186,"Vyas, Krishnan and Pandya Infrastructure Pvt Ltd",DIST-0264,ST-06,Class C,20000000.0,0.901,0.0398
CONT-0187,Ranganathan-Brar Infrastructure Pvt Ltd,DIST-0494,ST-14,Class C,20000000.0,0.8,0.0929
CONT-0188,Ravi-Sharaf Infrastructure Pvt Ltd,DIST-0277,ST-07,Class B,20000000.0,0.8,0.0092
CONT-0189,Kohli Enterprises,DIST-0161,ST-04,Class B,20000000.0,0.776,0.0288
CONT-0190,Kara Enterprises,DIST-0250,ST-06,Class C,20000000.0,0.805,0.0072
CONT-0191,Buch-Balay Infrastructure Pvt Ltd,DIST-0548,ST-16,Class B,5000000.0,0.749,0.2032
CONT-0192,Ravi Group Infrastructure Pvt Ltd,DIST-0336,ST-08,Class A,20000000.0,0.9,0.115
CONT-0193,Soni-Bhalla Infrastructure Pvt Ltd,DIST-0505,ST-14,Class A,20000000.0,0.729,0.0695
CONT-0194,"Andra, Garg and Butala Infrastructure Pvt Ltd",DIST-0060,ST-01,Class A,5000000.0,0.87,0.0353
CONT-0195,Saraf-Narula Infrastructure Pvt Ltd,DIST-0138,ST-03,Class B,5000000.0,0.897,0.1453
CONT-0196,Chandran Enterprises,DIST-0525,ST-15,Class B,20000000.0,0.844,0.1276
CONT-0197,"Basak, Karpe and Kakar Infrastructure Pvt Ltd",DIST-0488,ST-14,Class C,20000000.0,0.714,0.0454
CONT-0198,"Soman, Madan and Batra Infrastructure Pvt Ltd",DIST-0096,ST-02,Class B,20000000.0,0.956,0.0083
CONT-0199,Borde Enterprises,DIST-0034,ST-01,Class C,20000000.0,0.81,0.114
CONT-0200,Mand Enterprises,DIST-0448,ST-12,Class A,100000000.0,0.956,0.1215
CONT-0201,"Bali, Gola and Murty Infrastructure Pvt Ltd",DIST-0098,ST-02,Class B,100000000.0,0.74,0.079
CONT-0202,Johal PLC Infrastructure Pvt Ltd,DIST-0248,ST-06,Class B,20000000.0,0.946,0.1114
CONT-0203,Rao Inc Infrastructure Pvt Ltd,DIST-0399,ST-10,Class A,5000000.0,0.808,0.0246
CONT-0204,Mistry Enterprises,DIST-0517,ST-15,Class C,20000000.0,0.792,0.0252
CONT-0205,Khosla PLC Infrastructure Pvt Ltd,DIST-0539,ST-15,Class B,100000000.0,0.82,0.0312
CONT-0206,Zachariah-Narula Infrastructure Pvt Ltd,DIST-0178,ST-05,Class B,100000000.0,0.88,0.0143
CONT-0207,Rajagopalan Enterprises,DIST-0408,ST-11,Class C,5000000.0,0.788,0.049
CONT-0208,Dey Enterprises,DIST-0051,ST-01,Class A,100000000.0,0.861,0.0776
CONT-0209,Brar Enterprises,DIST-0023,ST-01,Class B,20000000.0,0.916,0.0845
CONT-0210,Tella Enterprises,DIST-0518,ST-15,Class C,100000000.0,0.784,0.0168
CONT-0211,Pal Enterprises,DIST-0486,ST-14,Class A,100000000.0,0.819,0.1073
CONT-0212,Bera Enterprises,DIST-0326,ST-08,Class C,20000000.0,0.736,0.0452
CONT-0213,Chaudhari Enterprises,DIST-0074,ST-01,Class C,100000000.0,0.952,0.0498
CONT-0214,Kata-Borra Infrastructure Pvt Ltd,DIST-0463,ST-12,Class B,5000000.0,0.969,0.0782
CONT-0215,Ranganathan-Narain Infrastructure Pvt Ltd,DIST-0320,ST-08,Class A,20000000.0,0.884,0.1416
CONT-0216,Balan Enterprises,DIST-0095,ST-02,Class A,5000000.0,0.839,0.025
CONT-0217,"Mahajan, Seshadri and Swaminathan Infrastructure Pvt Ltd",DIST-0066,ST-01,Class C,100000000.0,0.881,0.0218
CONT-0218,Kari Enterprises,DIST-0295,ST-07,Class B,100000000.0,0.946,0.1568
CONT-0219,Prashad-Sankaran Infrastructure Pvt Ltd,DIST-0222,ST-05,Class B,5000000.0,0.832,0.0907
CONT-0220,Rai Inc Infrastructure Pvt Ltd,DIST-0454,ST-12,Class B,20000000.0,0.926,0.2684
CONT-0221,Merchant Enterprises,DIST-0592,ST-17,Class C,100000000.0,0.701,0.01
CONT-0222,Koshy Enterprises,DIST-0612,ST-18,Class B,20000000.0,0.808,0.0801
CONT-0223,"Borah, Butala and Loyal Infrastructure Pvt Ltd",DIST-0504,ST-14,Class B,100000000.0,0.854,0.0806
CONT-0224,Dube Enterprises,DIST-0291,ST-07,Class A,100000000.0,0.98,0.0745
CONT-0225,Dube-Ramachandran Infrastructure Pvt Ltd,DIST-0100,ST-02,Class B,20000000.0,0.707,0.0635
CONT-0226,Patel-Chhabra Infrastructure Pvt Ltd,DIST-0394,ST-10,Class C,100000000.0,0.874,0.136
CONT-0227,Ahluwalia LLC Infrastructure Pvt Ltd,DIST-0456,ST-12,Class C,20000000.0,0.944,0.0457
CONT-0228,Parsa-Madan Infrastructure Pvt Ltd,DIST-0023,ST-01,Class A,5000000.0,0.764,0.1026
CONT-0229,Chaudry Enterprises,DIST-0287,ST-07,Class A,5000000.0,0.713,0.1028
CONT-0230,Deo Enterprises,DIST-0125,ST-03,Class C,5000000.0,0.882,0.015
CONT-0231,Chahal Enterprises,DIST-0166,ST-04,Class A,5000000.0,0.948,0.0304
CONT-0232,Sankar Group Infrastructure Pvt Ltd,DIST-0015,ST-01,Class B,100000000.0,0.95,0.0476
CONT-0233,Vala Enterprises,DIST-0186,ST-05,Class C,5000000.0,0.877,0.0427
CONT-0234,Reddy Enterprises,DIST-0133,ST-03,Class A,100000000.0,0.953,0.0406
CONT-0235,Bal Inc Infrastructure Pvt Ltd,DIST-0223,ST-05,Class A,20000000.0,0.855,0.0453
CONT-0236,Chander-Nair Infrastructure Pvt Ltd,DIST-0024,ST-01,Class C,100000000.0,0.927,0.1263
CONT-0237,Arora-Manne Infrastructure Pvt Ltd,DIST-0230,ST-06,Class C,20000000.0,0.861,0.0451
CONT-0238,Rama-Chad Infrastructure Pvt Ltd,DIST-0485,ST-14,Class C,20000000.0,0.887,0.0363
CONT-0239,"Kibe, Verma and Gara Infrastructure Pvt Ltd",DIST-0555,ST-16,Class C,100000000.0,0.79,0.0022
