payment_id,project_id,contractor_id,tranche_number,payment_amount,payment_date,voucher_number,measurement_book_verified
PAY-000013-03,MPLADS-000013,CONT-0025,3,2841400.0,2023-04-09,VCH-000013-03,True
PAY-000014-01,MPLADS-000014,CONT-0293,1,471000.0,2023-05-21,VCH-000014-01,True
PAY-000014-02,MPLADS-000014,CONT-0293,2,471000.0,2023-07-12,VCH-000014-02,True
PAY-000015-01,MPLADS-000015,CONT-0309,1,619000.0,2022-06-30,VCH-000015-01,True
PAY-000015-02,MPLADS-000015,CONT-0309,2,619000.0,2022-08-31,VCH-000015-02,True
PAY-000015-03,MPLADS-000015,CONT-0309,3,619000.0,2022-11-02,VCH-000015-03,True
PAY-000016-01,MPLADS-000016,CONT-0205,1,2764700.0,2023-03-11,VCH-000016-01,True
PAY-000016-02,MPLADS-000016,CONT-0205,2,2764700.0,2023-08-02,VCH-000016-02,True
PAY-000016-03,MPLADS-000016,CONT-0205,3,2764600.0,2023-12-24,VCH-000016-03,True
PAY-000017-01,MPLADS-000017,CONT-0165,1,766000.0,2024-01-26,VCH-000017-01,True
PAY-000017-02,MPLADS-000017,CONT-0165,2,766000.0,2024-03-25,VCH-000017-02,True
PAY-000017-03,MPLADS-000017,CONT-0165,3,766000.0,2024-05-23,VCH-000017-03,True
PAY-000018-01,MPLADS-000018,CONT-0071,1,763300.0,2023-07-28,VCH-000018-01,True
PAY-000018-02,MPLADS-000018,CONT-0071,2,763300.0,2023-10-03,VCH-000018-02,True
PAY-000018-03,MPLADS-000018,CONT-0071,3,763400.0,2023-12-09,VCH-000018-03,True
PAY-000019-01,MPLADS-000019,CONT-0122,1,436300.0,2023-07-13,VCH-000019-01,True
PAY-000019-02,MPLADS-000019,CONT-0122,2,436300.0,2023-09-05,VCH-000019-02,True
PAY-000019-03,MPLADS-000019,CONT-0122,3,436400.0,2023-10-29,VCH-000019-03,True
PAY-000020-01,MPLADS-000020,CONT-0235,1,1169000.0,2023-08-21,VCH-000020-01,True
PAY-000020-02,MPLADS-000020,CONT-0235,2,1169000.0,2023-11-07,VCH-000020-02,True
PAY-000020-03,MPLADS-000020,CONT-0235,3,1169000.0,2024-01-25,VCH-000020-03,True
PAY-000021-01,MPLADS-000021,CONT-0130,1,120500.0,2024-02-26,VCH-000021-01,True
PAY-000021-02,MPLADS-000021,CONT-0130,2,120500.0,2024-04-11,VCH-000021-02,True
PAY-000022-01,MPLADS-000022,CONT-0199,1,499500.0,2023-09-11,VCH-000022-01,True
PAY-000022-02,MPLADS-000022,CONT-0199,2,499500.0,2023-11-07,VCH-000022-02,True
PAY-000023-01,MPLADS-000023,CONT-0196,1,556300.0,2023-06-26,VCH-000023-01,True
PAY-000023-02,MPLADS-000023,CONT-0196,2,556300.0,2023-08-14,VCH-000023-02,True
PAY-000023-03,MPLADS-000023,CONT-0196,3,556400.0,2023-10-02,VCH-000023-03,True
PAY-000024-01,MPLADS-000024,CONT-0129,1,723000.0,2023-10-04,VCH-000024-01,True
PAY-000024-02,MPLADS-000024,CONT-0129,2,723000.0,2023-11-15,VCH-000024-02,True
PAY-000024-03,MPLADS-000024,CONT-0129,3,723000.0,2023-12-28,VCH-000024-03,True
PAY-000025-01,MPLADS-000025,CONT-0262,1,1017300.0,2022-11-11,VCH-000025-01,True
PAY-000025-02,MPLADS-000025,CONT-0262,2,1017300.0,2022-12-27,VCH-000025-02,True
PAY-000025-03,MPLADS-000025,CONT-0262,3,1017400.0,2023-02-12,VCH-000025-03,True
PAY-000026-01,MPLADS-000026,CONT-0167,1,1074300.0,2022-04-13,VCH-000026-01,True
PAY-000026-02,MPLADS-000026,CONT-0167,2,1074300.0,2022-06-17,VCH-000026-02,True
PAY-000026-03,MPLADS-000026,CONT-0167,3,1074400.0,2022-08-22,VCH-000026-03,True
PAY-000027-01,MPLADS-000027,CONT-0318,1,4128700.0,2022-09-25,VCH-000027-01,True
PAY-000027-02,MPLADS-000027,CONT-0318,2,4128700.0,2023-02-05,VCH-000027-02,True
PAY-000027-03,MPLADS-000027,CONT-0318,3,4128600.0,2023-06-18,VCH-000027-03,True
PAY-000028-01,MPLADS-000028,CONT-0303,1,297500.0,2023-11-19,VCH-000028-01,True
PAY-000028-02,MPLADS-000028,CONT-0303,2,297500.0,2024-01-01,VCH-000028-02,True
PAY-000029-01,MPLADS-000029,CONT-0263,1,728700.0,2023-10-13,VCH-000029-01,True
PAY-000029-02,MPLADS-000029,CONT-0263,2,728700.0,2023-11-29,VCH-000029-02,True
PAY-000029-03,MPLADS-000029,CONT-0263,3,728600.0,2024-01-15,VCH-000029-03,True
PAY-000030-01,MPLADS-000030,CONT-0011,1,3687300.0,2023-10-28,VCH-000030-01,True
PAY-000030-02,MPLADS-000030,CONT-0011,2,3687300.0,2023-12-30,VCH-000030-02,True
PAY-000030-03,MPLADS-000030,CONT-0011,3,3687400.0,2024-03-03,VCH-000030-03,True
PAY-000031-01,MPLADS-000031,CONT-0010,1,3325000.0,2022-10-31,VCH-000031-01,True
PAY-000031-02,MPLADS-000031,CONT-0010,2,3325000.0,2023-03-11,VCH-000031-02,True
PAY-000031-03,MPLADS-000031,CONT-0010,3,3325000.0,2023-07-21,VCH-000031-03,True
PAY-000032-01,MPLADS-000032,CONT-0034,1,893700.0,2022-11-20,VCH-000032-01,True
PAY-000032-02,MPLADS-000032,CONT-0034,2,893700.0,2023-02-06,VCH-000032-02,True
PAY-000032-03,MPLADS-000032,CONT-0034,3,893600.0,2023-04-25,VCH-000032-03,True
PAY-000033-01,MPLADS-000033,CONT-0141,1,465000.0,2023-06-11,VCH-000033-01,True
PAY-000033-02,MPLADS-000033,CONT-0141,2,465000.0,2023-08-03,VCH-000033-02,True
PAY-000034-01,MPLADS-000034,CONT-0297,1,213500.0,2023-12-14,VCH-000034-01,True
PAY-000034-02,MPLADS-000034,CONT-0297,2,213500.0,2024-01-27,VCH-000034-02,True
PAY-000035-01,MPLADS-000035,CONT-0107,1,895000.0,2023-06-30,VCH-000035-01,True
PAY-000035-02,MPLADS-000035,CONT-0107,2,895000.0,2023-09-08,VCH-000035-02,True
PAY-000035-03,MPLADS-000035,CONT-0107,3,895000.0,2023-11-18,VCH-000035-03,True
PAY-000036-01,MPLADS-000036,CONT-0229,1,2649300.0,2023-05-17,VCH-000036-01,True
PAY-000036-02,MPLADS-000036,CONT-0229,2,2649300.0,2023-09-26,VCH-000036-02,True
PAY-000036-03,MPLADS-000036,CONT-0229,3,2649400.0,2024-02-05,VCH-000036-03,True
PAY-000037-01,MPLADS-000037,CONT-0231,1,802700.0,2023-07-22,VCH-000037-01,True
PAY-000037-02,MPLADS-000037,CONT-0231,2,802700.0,2023-10-07,VCH-000037-02,True
PAY-000037-03,MPLADS-000037,CONT-0231,3,802600.0,2023-12-23,VCH-000037-03,True
PAY-000038-01,MPLADS-000038,CONT-0027,1,641700.0,2022-07-16,VCH-000038-01,True
PAY-000038-02,MPLADS-000038,CONT-0027,2,641700.0,2022-09-19,VCH-000038-02,True
PAY-000038-03,MPLADS-000038,CONT-0027,3,641600.0,2022-11-23,VCH-000038-03,True
PAY-000039-01,MPLADS-000039,CONT-0265,1,231000.0,2022-05-02,VCH-000039-01,True
PAY-000039-02,MPLADS-000039,CONT-0265,2,231000.0,2022-05-30,VCH-000039-02,True
PAY-000040-01,MPLADS-000040,CONT-0188,1,18787700.0,2023-01-28,VCH-000040-01,True
PAY-000040-02,MPLADS-000040,CONT-0188,2,18787700.0,2023-06-07,VCH-000040-02,True
PAY-000040-03,MPLADS-000040,CONT-0188,3,18787600.0,2023-10-15,VCH-000040-03,True
PAY-000041-01,MPLADS-000041,CONT-0277,1,579700.0,2022-11-01,VCH-000041-01,True
PAY-000041-02,MPLADS-000041,CONT-0277,2,579700.0,2022-12-21,VCH-000041-02,True
PAY-000041-03,MPLADS-000041,CONT-0277,3,579600.0,2023-02-09,VCH-000041-03,True
PAY-000042-01,MPLADS-000042,CONT-0107,1,682700.0,2022-11-14,VCH-000042-01,True
PAY-000042-02,MPLADS-000042,CONT-0107,2,682700.0,2022-12-28,VCH-000042-02,True
PAY-000042-03,MPLADS-000042,CONT-0107,3,682600.0,2023-02-10,VCH-000042-03,True
PAY-000043-01,MPLADS-000043,CONT-0245,1,3081000.0,2023-08-08,VCH-000043-01,True
PAY-000043-02,MPLADS-000043,CONT-0245,2,3081000.0,2023-12-29,VCH-000043-02,True
PAY-000043-03,MPLADS-000043,CONT-0245,3,3081000.0,2024-05-20,VCH-000043-03,True
PAY-000044-01,MPLADS-000044,CONT-0070,1,893300.0,2022-08-02,VCH-000044-01,True
PAY-000044-02,MPLADS-000044,CONT-0070,2,893300.0,2022-10-08,VCH-000044-02,True
PAY-000044-03,MPLADS-000044,CONT-0070,3,893400.0,2022-12-15,VCH-000044-03,True
PAY-000045-01,MPLADS-000045,CONT-0199,1,682300.0,2023-11-13,VCH-000045-01,True
PAY-000045-02,MPLADS-000045,CONT-0199,2,682300.0,2024-01-03,VCH-000045-02,True
PAY-000045-03,MPLADS-000045,CONT-0199,3,682400.0,2024-02-23,VCH-000045-03,True
PAY-000046-01,MPLADS-000046,CONT-0298,1,640000.0,2023-04-17,VCH-000046-01,True
PAY-000046-02,MPLADS-000046,CONT-0298,2,640000.0,2023-06-12,VCH-000046-02,True
PAY-000046-03,MPLADS-000046,CONT-0298,3,640000.0,2023-08-07,VCH-000046-03,True
PAY-000047-01,MPLADS-000047,CONT-0089,1,3558700.0,2023-08-09,VCH-000047-01,True
PAY-000047-02,MPLADS-000047,CONT-0089,2,3558700.0,2023-10-04,VCH-000047-02,True
PAY-000047-03,MPLADS-000047,CONT-0089,3,3558600.0,2023-11-29,VCH-000047-03,True
PAY-000048-01,MPLADS-000048,CONT-0036,1,318500.0,2023-01-06,VCH-000048-01,True
PAY-000048-02,MPLADS-000048,CONT-0036,2,318500.0,2023-02-19,VCH-000048-02,True
PAY-000049-01,MPLADS-000049,CONT-0038,1,803700.0,2023-10-22,VCH-000049-01,True
PAY-000049-02,MPLADS-000049,CONT-0038,2,803700.0,2023-11-16,VCH-000049-02,True
PAY-000049-03,MPLADS-000049,CONT-0038,3,803600.0,2023-12-11,VCH-000049-03,True
PAY-000050-01,MPLADS-000050,CONT-0154,1,1841300.0,2023-06-20,VCH-000050-01,True
PAY-000050-02,MPLADS-000050,CONT-0154,2,1841300.0,2023-08-07,VCH-000050-02,True
PAY-000050-03,MPLADS-000050,CONT-0154,3,1841400.0,2023-09-25,VCH-000050-03,True
PAY-000051-01,MPLADS-000051,CONT-0117,1,3692300.0,2023-11-05,VCH-000051-01,True
PAY-000051-02,MPLADS-000051,CONT-0117,2,3692300.0,2023-12-31,VCH-000051-02,True
PAY-000051-03,MPLADS-000051,CONT-0117,3,3692400.0,2024-02-26,VCH-000051-03,True
PAY-000052-01,MPLADS-000052,CONT-0045,1,15475000.0,2023-03-09,VCH-000052-01,True
PAY-000052-02,MPLADS-000052,CONT-0045,2,15475000.0,2023-08-01,VCH-000052-02,True
PAY-000052-03,MPLADS-000052,CONT-0045,3,15475000.0,2023-12-24,VCH-000052-03,True
PAY-000053-01,MPLADS-000053,CONT-0220,1,407000.0,2022-10-13,VCH-000053-01,True
PAY-000053-02,MPLADS-000053,CONT-0220,2,407000.0,2022-12-11,VCH-000053-02,True
PAY-000054-01,MPLADS-000054,CONT-0227,1,2635300.0,2023-07-25,VCH-000054-01,True
PAY-000054-02,MPLADS-000054,CONT-0227,2,2635300.0,2023-12-07,VCH-000054-02,True
PAY-000054-03,MPLADS-000054,CONT-0227,3,2635400.0,2024-04-20,VCH-000054-03,True
PAY-000055-01,MPLADS-000055,CONT-0157,1,379000.0,2022-06-11,VCH-000055-01,True
PAY-000055-02,MPLADS-000055,CONT-0157,2,379000.0,2022-07-29,VCH-000055-02,True
PAY-000055-03,MPLADS-000055,CONT-0157,3,379000.0,2022-09-15,VCH-000055-03,True
PAY-000056-01,MPLADS-000056,CONT-0304,1,821000.0,2023-02-20,VCH-000056-01,True
PAY-000056-02,MPLADS-000056,CONT-0304,2,821000.0,2023-04-27,VCH-000056-02,True
PAY-000056-03,MPLADS-000056,CONT-0304,3,821000.0,2023-07-02,VCH-000056-03,True
PAY-000057-01,MPLADS-000057,CONT-0286,1,889700.0,2023-12-26,VCH-000057-01,True
PAY-000057-02,MPLADS-000057,CONT-0286,2,889700.0,2024-03-01,VCH-000057-02,True
PAY-000057-03,MPLADS-000057,CONT-0286,3,889600.0,2024-05-06,VCH-000057-03,True
PAY-000058-01,MPLADS-000058,CONT-0072,1,1224000.0,2023-09-26,VCH-000058-01,True
PAY-000058-02,MPLADS-000058,CONT-0072,2,1224000.0,2023-12-04,VCH-000058-02,True
PAY-000058-03,MPLADS-000058,CONT-0072,3,1224000.0,2024-02-11,VCH-000058-03,True
PAY-000059-01,MPLADS-000059,CONT-0171,1,779700.0,2023-07-15,VCH-000059-01,True
PAY-000059-02,MPLADS-000059,CONT-0171,2,779700.0,2023-09-27,VCH-000059-02,True
PAY-000059-03,MPLADS-000059,CONT-0171,3,779600.0,2023-12-10,VCH-000059-03,True
PAY-000060-01,MPLADS-000060,CONT-0182,1,436700.0,2023-12-07,VCH-000060-01,True
PAY-000060-02,MPLADS-000060,CONT-0182,2,436700.0,2024-01-22,VCH-000060-02,True
PAY-000060-03,MPLADS-000060,CONT-0182,3,436600.0,2024-03-08,VCH-000060-03,True
PAY-000061-01,MPLADS-000061,CONT-0104,1,437000.0,2023-07-22,VCH-000061-01,True
PAY-000061-02,MPLADS-000061,CONT-0104,2,437000.0,2023-09-01,VCH-000061-02,True
PAY-000061-03,MPLADS-000061,CONT-0104,3,437000.0,2023-10-12,VCH-000061-03,True
PAY-000062-01,MPLADS-000062,CONT-0248,1,1071700.0,2022-12-18,VCH-000062-01,True
PAY-000062-02,MPLADS-000062,CONT-0248,2,1071700.0,2023-02-14,VCH-000062-02,True
PAY-000062-03,MPLADS-000062,CONT-0248,3,1071600.0,2023-04-13,VCH-000062-03,True
PAY-000063-01,MPLADS-000063,CONT-0009,1,460500.0,2023-08-18,VCH-000063-01,True
PAY-000063-02,MPLADS-000063,CONT-0009,2,460500.0,2023-10-18,VCH-000063-02,True
PAY-000064-01,MPLADS-000064,CONT-0111,1,875700.0,2023-09-17,VCH-000064-01,True
PAY-000064-02,MPLADS-000064,CONT-0111,2,875700.0,2023-11-25,VCH-000064-02,True
PAY-000064-03,MPLADS-000064,CONT-0111,3,875600.0,2024-02-03,VCH-000064-03,True
PAY-000065-01,MPLADS-000065,CONT-0289,1,541000.0,2022-10-16,VCH-000065-01,True
PAY-000065-02,MPLADS-000065,CONT-0289,2,541000.0,2022-11-23,VCH-000065-02,True
PAY-000065-03,MPLADS-000065,CONT-0289,3,541000.0,2023-01-01,VCH-000065-03,True
PAY-000066-01,MPLADS-000066,CONT-0230,1,1314700.0,2024-02-18,VCH-000066-01,True
PAY-000066-02,MPLADS-000066,CONT-0230,2,1314700.0,2024-04-29,VCH-000066-02,True
PAY-000066-03,MPLADS-000066,CONT-0230,3,1314600.0,2024-07-10,VCH-000066-03,True
PAY-000067-01,MPLADS-000067,CONT-0228,1,1086300.0,2024-03-13,VCH-000067-01,True
PAY-000067-02,MPLADS-000067,CONT-0228,2,1086300.0,2024-06-01,VCH-000067-02,True
PAY-000067-03,MPLADS-000067,CONT-0228,3,1086400.0,2024-08-20,VCH-000067-03,True
PAY-000068-01,MPLADS-000068,CONT-0187,1,923300.0,2023-12-25,VCH-000068-01,True
PAY-000068-02,MPLADS-000068,CONT-0187,2,923300.0,2024-02-29,VCH-000068-02,True
PAY-000068-03,MPLADS-000068,CONT-0187,3,923400.0,2024-05-06,VCH-000068-03,True
PAY-000069-01,MPLADS-000069,CONT-0117,1,179500.0,2024-02-28,VCH-000069-01,True
PAY-000069-02,MPLADS-000069,CONT-0117,2,179500.0,2024-04-07,VCH-000069-02,True
PAY-000070-01,MPLADS-000070,CONT-0203,1,196000.0,2023-12-17,VCH-000070-01,True
PAY-000070-02,MPLADS-000070,CONT-0203,2,196000.0,2024-01-25,VCH-000070-02,True
PAY-000071-01,MPLADS-000071,CONT-0105,1,277000.0,2023-08-29,VCH-000071-01,True
PAY-000071-02,MPLADS-000071,CONT-0105,2,277000.0,2023-09-28,VCH-000071-02,True
PAY-000072-01,MPLADS-000072,CONT-0054,1,272000.0,2024-01-21,VCH-000072-01,True
PAY-000072-02,MPLADS-000072,CONT-0054,2,272000.0,2024-02-25,VCH-000072-02,True
PAY-000073-01,MPLADS-000073,CONT-0284,1,685700.0,2024-02-14,VCH-000073-01,True
PAY-000073-02,MPLADS-000073,CONT-0284,2,685700.0,2024-04-23,VCH-000073-02,True
PAY-000073-03,MPLADS-000073,CONT-0284,3,685600.0,2024-07-02,VCH-000073-03,True
PAY-000074-01,MPLADS-000074,CONT-0088,1,1021000.0,2023-04-25,VCH-000074-01,True
PAY-000074-02,MPLADS-000074,CONT-0088,2,1021000.0,2023-06-21,VCH-000074-02,True
PAY-000074-03,MPLADS-000074,CONT-0088,3,1021000.0,2023-08-18,VCH-000074-03,True
PAY-000075-01,MPLADS-000075,CONT-0161,1,98500.0,2023-03-31,VCH-000075-01,True
PAY-000075-02,MPLADS-000075,CONT-0161,2,98500.0,2023-05-07,VCH-000075-02,True
PAY-000076-01,MPLADS-000076,CONT-0108,1,267000.0,2023-04-02,VCH-000076-01,True
PAY-000076-02,MPLADS-000076,CONT-0108,2,267000.0,2023-05-29,VCH-000076-02,True
PAY-000077-01,MPLADS-000077,CONT-0038,1,425000.0,2022-09-08,VCH-000077-01,False
PAY-000077-02,MPLADS-000077,CONT-0038,2,425000.0,2022-11-04,VCH-000077-02,False
PAY-000077-03,MPLADS-000077,CONT-0038,3,425000.0,2023-01-01,VCH-000077-03,False
PAY-000078-01,MPLADS-000078,CONT-0155,1,305500.0,2024-01-18,VCH-000078-01,True
PAY-000078-02,MPLADS-000078,CONT-0155,2,305500.0,2024-05-17,VCH-000078-02,True
PAY-000079-01,MPLADS-000079,CONT-0263,1,490000.0,2022-09-19,VCH-000079-01,True
PAY-000079-02,MPLADS-000079,CONT-0263,2,490000.0,2022-11-09,VCH-000079-02,True
PAY-000079-03,MPLADS-000079,CONT-0263,3,490000.0,2022-12-30,VCH-000079-03,True
PAY-000080-01,MPLADS-000080,CONT-0032,1,1158300.0,2023-01-22,VCH-000080-01,True
PAY-000080-02,MPLADS-000080,CONT-0032,2,1158300.0,2023-04-07,VCH-000080-02,True
PAY-000080-03,MPLADS-000080,CONT-0032,3,1158400.0,2023-06-22,VCH-000080-03,True
PAY-000081-01,MPLADS-000081,CONT-0217,1,380000.0,2022-10-02,VCH-000081-01,True
PAY-000081-02,MPLADS-000081,CONT-0217,2,380000.0,2022-11-20,VCH-000081-02,True
PAY-000082-01,MPLADS-000082,CONT-0101,1,1244000.0,2023-10-08,VCH-000082-01,False
PAY-000082-02,MPLADS-000082,CONT-0101,2,1244000.0,2023-12-14,VCH-000082-02,False
PAY-000082-03,MPLADS-000082,CONT-0101,3,1244000.0,2024-02-19,VCH-000082-03,False
PAY-000083-01,MPLADS-000083,CONT-0269,1,1137700.0,2022-03-31,VCH-000083-01,True
PAY-000083-02,MPLADS-000083,CONT-0269,2,1137700.0,2022-05-30,VCH-000083-02,True
PAY-000083-03,MPLADS-000083,CONT-0269,3,1137600.0,2022-07-29,VCH-000083-03,True
PAY-000084-01,MPLADS-000084,CONT-0077,1,864700.0,2022-07-11,VCH-000084-01,True
PAY-000084-02,MPLADS-000084,CONT-0077,2,864700.0,2022-09-05,VCH-000084-02,True
PAY-000084-03,MPLADS-000084,CONT-0077,3,864600.0,2022-10-31,VCH-000084-03,True
PAY-000085-01,MPLADS-000085,CONT-0141,1,672300.0,2023-06-29,VCH-000085-01,True
PAY-000085-02,MPLADS-000085,CONT-0141,2,672300.0,2024-04-04,VCH-000085-02,True
PAY-000085-03,MPLADS-000085,CONT-0141,3,672400.0,2025-01-09,VCH-000085-03,True
PAY-000086-01,MPLADS-000086,CONT-0259,1,7037000.0,2022-10-06,VCH-000086-01,True
PAY-000086-02,MPLADS-000086,CONT-0259,2,7037000.0,2023-02-27,VCH-000086-02,True
PAY-000086-03,MPLADS-000086,CONT-0259,3,7037000.0,2023-07-21,VCH-000086-03,True
PAY-000087-01,MPLADS-000087,CONT-0289,1,428700.0,2022-07-25,VCH-000087-01,True
PAY-000087-02,MPLADS-000087,CONT-0289,2,428700.0,2022-08-31,VCH-000087-02,True
PAY-000087-03,MPLADS-000087,CONT-0289,3,428600.0,2022-10-07,VCH-000087-03,True
PAY-000088-01,MPLADS-000088,CONT-0268,1,275000.0,2023-05-10,VCH-000088-01,True
PAY-000088-02,MPLADS-000088,CONT-0268,2,275000.0,2023-06-09,VCH-000088-02,True
PAY-000089-01,MPLADS-000089,CONT-0233,1,511000.0,2023-05-29,VCH-000089-01,True
PAY-000089-02,MPLADS-000089,CONT-0233,2,511000.0,2023-07-22,VCH-000089-02,True
PAY-000089-03,MPLADS-000089,CONT-0233,3,511000.0,2023-09-14,VCH-000089-03,True
PAY-000090-01,MPLADS-000090,CONT-0091,1,703300.0,2022-04-14,VCH-000090-01,True
PAY-000090-02,MPLADS-000090,CONT-0091,2,703300.0,2022-06-19,VCH-000090-02,True
PAY-000090-03,MPLADS-000090,CONT-0091,3,703400.0,2022-08-24,VCH-000090-03,True
PAY-000091-01,MPLADS-000091,CONT-0307,1,3783700.0,2023-03-26,VCH-000091-01,True
PAY-000091-02,MPLADS-000091,CONT-0307,2,3783700.0,2023-08-08,VCH-000091-02,True
PAY-000091-03,MPLADS-000091,CONT-0307,3,3783600.0,2023-12-22,VCH-000091-03,True
PAY-000092-01,MPLADS-000092,CONT-0215,1,3987700.0,2023-02-05,VCH-000092-01,True
PAY-000092-02,MPLADS-000092,CONT-0215,2,3987700.0,2023-06-27,VCH-000092-02,True
PAY-000092-03,MPLADS-000092,CONT-0215,3,3987600.0,2023-11-17,VCH-000092-03,True
PAY-000093-01,MPLADS-000093,CONT-0018,1,626300.0,2024-01-14,VCH-000093-01,True
PAY-000093-02,MPLADS-000093,CONT-0018,2,626300.0,2024-02-23,VCH-000093-02,True
PAY-000093-03,MPLADS-000093,CONT-0018,3,626400.0,2024-04-04,VCH-000093-03,True
PAY-000094-01,MPLADS-000094,CONT-0034,1,317000.0,2023-04-10,VCH-000094-01,True
PAY-000094-02,MPLADS-000094,CONT-0034,2,317000.0,2023-05-23,VCH-000094-02,True
PAY-000095-01,MPLADS-000095,CONT-0085,1,428000.0,2024-02-20,VCH-000095-01,True
PAY-000095-02,MPLADS-000095,CONT-0085,2,428000.0,2024-04-09,VCH-000095-02,True
PAY-000095-03,MPLADS-000095,CONT-0085,3,428000.0,2024-05-29,VCH-000095-03,True
PAY-000096-01,MPLADS-000096,CONT-0303,1,442000.0,2023-07-31,VCH-000096-01,True
PAY-000096-02,MPLADS-000096,CONT-0303,2,442000.0,2023-09-26,VCH-000096-02,True
PAY-000097-01,MPLADS-000097,CONT-0072,1,996000.0,2023-03-11,VCH-000097-01,False
PAY-000097-02,MPLADS-000097,CONT-0072,2,996000.0,2023-05-19,VCH-000097-02,False
PAY-000097-03,MPLADS-000097,CONT-0072,3,996000.0,2023-07-27,VCH-000097-03,False
PAY-000098-01,MPLADS-000098,CONT-0162,1,212500.0,2024-02-01,VCH-000098-01,True
PAY-000098-02,MPLADS-000098,CONT-0162,2,212500.0,2024-03-10,VCH-000098-02,True
PAY-000099-01,MPLADS-000099,CONT-0105,1,1270000.0,2023-05-21,VCH-000099-01,True
PAY-000099-02,MPLADS-000099,CONT-0105,2,1270000.0,2023-08-02,VCH-000099-02,True
PAY-000099-03,MPLADS-000099,CONT-0105,3,1270000.0,2023-10-14,VCH-000099-03,True
PAY-000100-01,MPLADS-000100,CONT-0072,1,334300.0,2022-08-30,VCH-000100-01,True
PAY-000100-02,MPLADS-000100,CONT-0072,2,334300.0,2022-10-24,VCH-000100-02,True
PAY-000100-03,MPLADS-000100,CONT-0072,3,334400.0,2022-12-19,VCH-000100-03,True
PAY-000101-01,MPLADS-000101,CONT-0171,1,683300.0,2022-12-25,VCH-000101-01,True
PAY-000101-02,MPLADS-000101,CONT-0171,2,683300.0,2023-03-13,VCH-000101-02,True
PAY-000101-03,MPLADS-000101,CONT-0171,3,683400.0,2023-05-31,VCH-000101-03,True
PAY-000102-01,MPLADS-000102,CONT-0113,1,2714000.0,2023-12-16,VCH-000102-01,True
