contract_id,project_id,contractor_id,work_order_amount,award_date,performance_guarantee_submitted
CNTR-000177,MPLADS-000177,CONT-0257,1908000.0,2023-11-10,True
CNTR-000178,MPLADS-000178,CONT-0164,1602000.0,2023-03-13,True
CNTR-000179,MPLADS-000179,CONT-0082,7980000.0,2023-10-12,True
CNTR-000180,MPLADS-000180,CONT-0245,1934000.0,2022-05-06,True
CNTR-000181,MPLADS-000181,CONT-0064,340000.0,2022-05-04,True
CNTR-000182,MPLADS-000182,CONT-0035,476000.0,2024-01-11,True
CNTR-000183,MPLADS-000183,CONT-0244,1332000.0,2023-12-19,True
CNTR-000184,MPLADS-000184,CONT-0179,11771000.0,2022-04-10,True
CNTR-000185,MPLADS-000185,CONT-0027,4537000.0,2023-01-01,True
CNTR-000186,MPLADS-000186,CONT-0227,2219000.0,2022-09-30,True
CNTR-000187,MPLADS-000187,CONT-0013,450000.0,2022-07-23,True
CNTR-000188,MPLADS-000188,CONT-0282,587000.0,2023-04-15,True
CNTR-000189,MPLADS-000189,CONT-0005,609000.0,2022-06-03,True
CNTR-000190,MPLADS-000190,CONT-0215,14373000.0,2023-05-10,True
CNTR-000191,MPLADS-000191,CONT-0013,2327000.0,2023-02-04,True
CNTR-000192,MPLADS-000192,CONT-0159,640000.0,2023-02-13,True
CNTR-000193,MPLADS-000193,CONT-0196,12024000.0,2022-11-04,True
CNTR-000194,MPLADS-000194,CONT-0238,1809000.0,2023-09-18,True
CNTR-000195,MPLADS-000195,CONT-0108,2614000.0,2023-01-11,True
CNTR-000196,MPLADS-000196,CONT-0120,11719000.0,2022-07-08,True
CNTR-000197,MPLADS-000197,CONT-0210,16599000.0,2023-01-29,True
CNTR-000198,MPLADS-000198,CONT-0295,665000.0,2023-11-26,True
CNTR-000199,MPLADS-000199,CONT-0302,631000.0,2023-11-30,True
CNTR-000200,MPLADS-000200,CONT-0191,3737000.0,2022-12-15,True
CNTR-000201,MPLADS-000201,CONT-0155,1223000.0,2023-01-26,True
CNTR-000202,MPLADS-000202,CONT-0054,1722000.0,2022-06-05,True
CNTR-000203,MPLADS-000203,CONT-0020,1945000.0,2023-10-01,True
CNTR-000204,MPLADS-000204,CONT-0297,597000.0,2022-10-17,True
CNTR-000205,MPLADS-000205,CONT-0044,1007000.0,2023-05-13,True
CNTR-000206,MPLADS-000206,CONT-0014,590000.0,2023-05-01,True
CNTR-000207,MPLADS-000207,CONT-0029,2523000.0,2022-04-26,True
CNTR-000208,MPLADS-000208,CONT-0174,2184000.0,2023-12-15,True
CNTR-000209,MPLADS-000209,CONT-0318,1160000.0,2022-09-05,True
CNTR-000210,MPLADS-000210,CONT-0031,1882000.0,2023-04-07,True
CNTR-000211,MPLADS-000211,CONT-0299,2228000.0,2022-03-22,True
CNTR-000212,MPLADS-000212,CONT-0300,633000.0,2022-12-29,True
CNTR-000213,MPLADS-000213,CONT-0275,3060000.0,2023-04-12,True
CNTR-000214,MPLADS-000214,CONT-0163,2321000.0,2022-12-17,True
CNTR-000215,MPLADS-000215,CONT-0118,353000.0,2023-06-02,True
CNTR-000216,MPLADS-000216,CONT-0290,9371000.0,2024-01-01,True
CNTR-000217,MPLADS-000217,CONT-0258,1630000.0,2023-07-02,True
CNTR-000218,MPLADS-000218,CONT-0062,1911000.0,2023-09-13,True
CNTR-000219,MPLADS-000219,CONT-0213,1595000.0,2022-10-20,True
CNTR-000220,MPLADS-000220,CONT-0015,1729000.0,2023-03-07,True
CNTR-000221,MPLADS-000221,CONT-0224,602000.0,2024-02-07,True
CNTR-000222,MPLADS-000222,CONT-0297,1111000.0,2022-12-09,True
CNTR-000223,MPLADS-000223,CONT-0208,343000.0,2023-08-15,True
CNTR-000224,MPLADS-000224,CONT-0136,2009000.0,2023-11-30,True
CNTR-000225,MPLADS-000225,CONT-0094,3393000.0,2023-02-26,True
CNTR-000226,MPLADS-000226,CONT-0067,2255000.0,2023-04-20,True
CNTR-000227,MPLADS-000227,CONT-0304,2157000.0,2022-10-31,True
CNTR-000228,MPLADS-000228,CONT-0282,1915000.0,2024-01-07,True
CNTR-000229,MPLADS-000229,CONT-0280,2045000.0,2022-04-22,True
CNTR-000230,MPLADS-000230,CONT-0018,2805000.0,2023-08-21,True
CNTR-000231,MPLADS-000231,CONT-0115,647000.0,2023-04-20,True
CNTR-000232,MPLADS-000232,CONT-0146,2396000.0,2022-09-01,True
CNTR-000233,MPLADS-000233,CONT-0284,1462000.0,2022-03-28,True
CNTR-000234,MPLADS-000234,CONT-0310,528000.0,2023-02-18,True
CNTR-000235,MPLADS-000235,CONT-0092,1913000.0,2022-11-07,True
CNTR-000236,MPLADS-000236,CONT-0163,401000.0,2022-03-17,True
CNTR-000237,MPLADS-000237,CONT-0057,2034000.0,2022-03-19,True
CNTR-000238,MPLADS-000238,CONT-0130,350000.0,2023-09-10,True
CNTR-000239,MPLADS-000239,CONT-0153,2187000.0,2023-12-07,True
CNTR-000240,MPLADS-000240,CONT-0316,1029000.0,2023-06-06,True
CNTR-000241,MPLADS-000241,CONT-0167,2039000.0,2022-12-19,True
CNTR-000242,MPLADS-000242,CONT-0123,10356000.0,2022-10-13,True
CNTR-000243,MPLADS-000243,CONT-0163,2268000.0,2022-03-24,True
CNTR-000244,MPLADS-000244,CONT-0113,2375000.0,2022-08-16,True
CNTR-000245,MPLADS-000245,CONT-0172,3900000.0,2022-06-10,True
CNTR-000246,MPLADS-000246,CONT-0178,1952000.0,2022-02-10,True
CNTR-000247,MPLADS-000247,CONT-0236,3122000.0,2023-02-18,True
CNTR-000248,MPLADS-000248,CONT-0155,364000.0,2023-05-17,True
CNTR-000249,MPLADS-000249,CONT-0079,2210000.0,2022-08-21,True
CNTR-000250,MPLADS-000250,CONT-0037,1913000.0,2023-08-17,True
CNTR-000251,MPLADS-000251,CONT-0232,624000.0,2023-01-17,True
CNTR-000252,MPLADS-000252,CONT-0210,3611000.0,2023-11-07,True
CNTR-000253,MPLADS-000253,CONT-0087,1541000.0,2023-12-12,True
CNTR-000254,MPLADS-000254,CONT-0193,9672000.0,2022-07-27,True
CNTR-000255,MPLADS-000255,CONT-0195,411000.0,2022-12-21,True
CNTR-000256,MPLADS-000256,CONT-0250,2645000.0,2022-04-09,True
CNTR-000257,MPLADS-000257,CONT-0265,9682000.0,2022-08-27,True
CNTR-000258,MPLADS-000258,CONT-0003,1509000.0,2022-11-25,True
CNTR-000259,MPLADS-000259,CONT-0235,1164000.0,2022-03-06,True
CNTR-000260,MPLADS-000260,CONT-0098,1429000.0,2022-10-09,True
CNTR-000261,MPLADS-000261,CONT-0020,1435000.0,2023-10-25,True
CNTR-000262,MPLADS-000262,CONT-0238,2216000.0,2024-01-19,True
CNTR-000263,MPLADS-000263,CONT-0062,2097000.0,2024-01-23,True
CNTR-000264,MPLADS-000264,CONT-0061,2371000.0,2023-09-23,True
CNTR-000265,MPLADS-000265,CONT-0130,2092000.0,2022-03-17,True
CNTR-000266,MPLADS-000266,CONT-0261,14496000.0,2023-05-23,True
CNTR-000267,MPLADS-000267,CONT-0213,4094000.0,2022-07-07,True
CNTR-000268,MPLADS-000268,CONT-0139,3631000.0,2023-08-13,True
CNTR-000269,MPLADS-000269,CONT-0164,918000.0,2023-03-25,True
CNTR-000270,MPLADS-000270,CONT-0086,636000.0,2023-07-03,True
CNTR-000271,MPLADS-000271,CONT-0084,413000.0,2022-08-10,True
CNTR-000272,MPLADS-000272,CONT-0153,2106000.0,2023-09-04,True
CNTR-000273,MPLADS-000273,CONT-0199,837000.0,2023-06-22,True
CNTR-000274,MPLADS-000274,CONT-0080,1705000.0,2023-05-30,True
CNTR-000275,MPLADS-000275,CONT-0174,9461000.0,2022-06-07,True
CNTR-000276,MPLADS-000276,CONT-0149,1416000.0,2022-05-26,True
CNTR-000277,MPLADS-000277,CONT-0044,540000.0,2022-09-25,True
CNTR-000278,MPLADS-000278,CONT-0147,1078000.0,2023-01-27,True
CNTR-000279,MPLADS-000279,CONT-0015,957000.0,2022-09-22,True
CNTR-000280,MPLADS-000280,CONT-0122,1392000.0,2023-02-18,True
CNTR-000281,MPLADS-000281,CONT-0199,2702000.0,2022-08-22,True
CNTR-000282,MPLADS-000282,CONT-0072,1877000.0,2023-04-28,True
CNTR-000283,MPLADS-000283,CONT-0163,3719000.0,2022-12-22,True
CNTR-000284,MPLADS-000284,CONT-0044,3414000.0,2022-06-25,True
CNTR-000285,MPLADS-000285,CONT-0018,2299000.0,2023-02-20,True
CNTR-000286,MPLADS-000286,CONT-0139,1699000.0,2022-10-24,True
CNTR-000287,MPLADS-000287,CONT-0035,3817000.0,2023-08-01,True
CNTR-000288,MPLADS-000288,CONT-0035,3666000.0,2023-08-01,True
CNTR-000289,MPLADS-000289,CONT-0190,17742000.0,2022-10-03,True
CNTR-000290,MPLADS-000290,CONT-0027,824000.0,2023-12-25,True
CNTR-000291,MPLADS-000291,CONT-0266,1588000.0,2022-09-27,True
CNTR-000292,MPLADS-000292,CONT-0163,662000.0,2023-11-27,True
CNTR-000293,MPLADS-000293,CONT-0281,904000.0,2023-12-03,True
CNTR-000294,MPLADS-000294,CONT-0009,613000.0,2022-09-10,True
CNTR-000295,MPLADS-000295,CONT-0118,2649000.0,2023-01-24,True
CNTR-000296,MPLADS-000296,CONT-0016,2267000.0,2022-03-20,True
CNTR-000297,MPLADS-000297,CONT-0003,9745000.0,2023-04-06,True
CNTR-000298,MPLADS-000298,CONT-0202,8975000.0,2023-10-29,True
CNTR-000299,MPLADS-000299,CONT-0298,536000.0,2022-08-11,True
CNTR-000300,MPLADS-000300,CONT-0235,2209000.0,2023-07-03,True
CNTR-000301,MPLADS-000301,CONT-0156,1077000.0,2022-08-11,True
CNTR-000302,MPLADS-000302,CONT-0284,2712000.0,2022-08-25,True
CNTR-000303,MPLADS-000303,CONT-0101,2454000.0,2023-03-20,True
CNTR-000304,MPLADS-000304,CONT-0019,11377000.0,2022-08-16,True
CNTR-000305,MPLADS-000305,CONT-0314,1214000.0,2023-03-02,True
CNTR-000306,MPLADS-000306,CONT-0101,10795000.0,2023-03-21,True
CNTR-000307,MPLADS-000307,CONT-0097,1102000.0,2023-07-12,True
CNTR-000308,MPLADS-000308,CONT-0160,2215000.0,2022-03-16,True
CNTR-000309,MPLADS-000309,CONT-0130,2995000.0,2022-10-10,True
CNTR-000310,MPLADS-000310,CONT-0031,10962000.0,2022-12-09,True
CNTR-000311,MPLADS-000311,CONT-0007,1044000.0,2024-01-18,True
CNTR-000312,MPLADS-000312,CONT-0163,15097000.0,2024-01-14,True
CNTR-000313,MPLADS-000313,CONT-0109,1696000.0,2023-08-30,True
CNTR-000314,MPLADS-000314,CONT-0058,828000.0,2023-08-02,True
CNTR-000315,MPLADS-000315,CONT-0082,3030000.0,2023-12-17,True
CNTR-000316,MPLADS-000316,CONT-0218,378000.0,2022-04-05,True
CNTR-000317,MPLADS-000317,CONT-0302,2256000.0,2022-11-28,True
CNTR-000318,MPLADS-000318,CONT-0300,3149000.0,2022-08-30,True
CNTR-000319,MPLADS-000319,CONT-0314,2190000.0,2023-08-15,True
CNTR-000320,MPLADS-000320,CONT-0216,2475000.0,2022-11-03,True
CNTR-000321,MPLADS-000321,CONT-0060,3028000.0,2022-05-30,True
CNTR-000322,MPLADS-000322,CONT-0131,467000.0,2023-08-03,True
CNTR-000323,MPLADS-000323,CONT-0136,2812000.0,2023-02-06,True
CNTR-000324,MPLADS-000324,CONT-0157,1009000.0,2023-06-25,True
CNTR-000325,MPLADS-000325,CONT-0258,1572000.0,2023-09-07,True
CNTR-000326,MPLADS-000326,CONT-0136,405000.0,2022-05-23,True
CNTR-000327,MPLADS-000327,CONT-0006,1977000.0,2023-01-27,True
CNTR-000328,MPLADS-000328,CONT-0196,826000.0,2022-11-30,True
CNTR-000329,MPLADS-000329,CONT-0017,1390000.0,2022-04-16,True
CNTR-000330,MPLADS-000330,CONT-0204,3853000.0,2023-10-19,True
CNTR-000331,MPLADS-000331,CONT-0036,1830000.0,2023-10-01,True
CNTR-000332,MPLADS-000332,CONT-0230,1991000.0,2022-07-08,True
CNTR-000333,MPLADS-000333,CONT-0093,2919000.0,2023-10-31,True
CNTR-000334,MPLADS-000334,CONT-0046,887000.0,2023-08-29,True
CNTR-000335,MPLADS-000335,CONT-0123,2000000.0,2022-04-06,True
CNTR-000336,MPLADS-000336,CONT-0203,2421000.0,2022-02-20,True
CNTR-000337,MPLADS-000337,CONT-0078,2653000.0,2023-07-24,True
CNTR-000338,MPLADS-000338,CONT-0006,541000.0,2023-07-22,True
CNTR-000339,MPLADS-000339,CONT-0201,1532000.0,2022-08-19,True
CNTR-000340,MPLADS-000340,CONT-0129,15174000.0,2022-08-01,True
CNTR-000341,MPLADS-000341,CONT-0075,1934000.0,2022-03-25,True
CNTR-000342,MPLADS-000342,CONT-0253,2012000.0,2023-06-18,True
CNTR-000343,MPLADS-000343,CONT-0260,1023000.0,2022-07-02,True
CNTR-000344,MPLADS-000344,CONT-0015,15795000.0,2022-05-05,True
CNTR-000345,MPLADS-000345,CONT-0195,995000.0,2022-11-08,True
CNTR-000346,MPLADS-000346,CONT-0022,1935000.0,2022-10-16,True
CNTR-000347,MPLADS-000347,CONT-0022,39960000.0,2023-10-04,True
CNTR-000348,MPLADS-000348,CONT-0075,499000.0,2022-04-02,True
CNTR-000349,MPLADS-000349,CONT-0207,553000.0,2023-09-27,True
CNTR-000350,MPLADS-000350,CONT-0160,1954000.0,2022-05-11,True
CNTR-000351,MPLADS-000351,CONT-0210,12644000.0,2024-01-05,True
CNTR-000352,MPLADS-000352,CONT-0103,8768000.0,2022-04-13,True
CNTR-000353,MPLADS-000353,CONT-0271,1117000.0,2023-11-08,True
CNTR-000354,MPLADS-000354,CONT-0137,3984000.0,2023-02-20,True
CNTR-000355,MPLADS-000355,CONT-0088,830000.0,2022-03-09,True
CNTR-000356,MPLADS-000356,CONT-0158,3558000.0,2023-12-06,True
CNTR-000357,MPLADS-000357,CONT-0305,1790000.0,2022-11-10,True
CNTR-000358,MPLADS-000358,CONT-0279,2355000.0,2022-05-29,True
CNTR-000359,MPLADS-000359,CONT-0218,4144000.0,2023-01-04,True
