project_id,fraud_label,is_fraud,is_anomalous,is_hard_negative,risk_level,scenario_type,scenario_name,overall_risk_score,investigation_priority
MPLADS-000065,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000066,1,1,1,0,HIGH,PROCUREMENT_SINGLE_BID,PROCUREMENT_SINGLE_BID,70.0,ELEVATED
MPLADS-000067,1,1,1,0,HIGH,ABANDONED_WORK,ABANDONED_WORK,70.0,ELEVATED
MPLADS-000068,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000069,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000070,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000071,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000072,1,1,1,0,CRITICAL,PAYMENT_PROGRESS_MISMATCH,PAYMENT_PROGRESS_MISMATCH,85.0,URGENT
MPLADS-000073,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000074,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000075,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000076,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000077,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000078,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000079,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000080,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000081,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000082,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000083,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000084,1,1,1,0,HIGH,DELAYED_WORK,DELAYED_WORK,70.0,ELEVATED
MPLADS-000085,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000086,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000087,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000088,1,1,1,0,CRITICAL,PAYMENT_PROGRESS_MISMATCH,PAYMENT_PROGRESS_MISMATCH,85.0,URGENT
MPLADS-000089,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000090,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000091,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000092,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000093,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000094,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000095,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000096,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000097,1,1,1,0,HIGH,ABANDONED_WORK,ABANDONED_WORK,70.0,ELEVATED
MPLADS-000098,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000099,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000100,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000101,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000102,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000103,1,1,1,0,CRITICAL,PAYMENT_PROGRESS_MISMATCH,PAYMENT_PROGRESS_MISMATCH,85.0,URGENT
MPLADS-000104,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000105,1,1,1,0,HIGH,PROCUREMENT_SINGLE_BID,PROCUREMENT_SINGLE_BID,70.0,ELEVATED
MPLADS-000106,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000107,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000108,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000109,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000110,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000111,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000112,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000113,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000114,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000115,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000116,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000117,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000118,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000119,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000120,1,1,1,0,HIGH,DOCUMENTATION_DEFICIT,DOCUMENTATION_DEFICIT,70.0,ELEVATED
MPLADS-000121,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000122,1,1,1,0,HIGH,DELAYED_WORK,DELAYED_WORK,70.0,ELEVATED
MPLADS-000123,0,0,0,1,LOW,LEGITIMATE_REMOTE_SINGLE_BID,LEGITIMATE_REMOTE_SINGLE_BID,20.0,ROUTINE
MPLADS-000124,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000125,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000126,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000127,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000128,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000129,1,1,1,0,CRITICAL,PAYMENT_PROGRESS_MISMATCH,PAYMENT_PROGRESS_MISMATCH,85.0,URGENT
MPLADS-000130,0,0,0,1,LOW,LEGITIMATE_REMOTE_SINGLE_BID,LEGITIMATE_REMOTE_SINGLE_BID,20.0,ROUTINE
MPLADS-000131,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000132,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000133,1,1,1,0,HIGH,PROCUREMENT_SINGLE_BID,PROCUREMENT_SINGLE_BID,70.0,ELEVATED
MPLADS-000134,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000135,0,0,0,1,LOW,LEGITIMATE_REMOTE_SINGLE_BID,LEGITIMATE_REMOTE_SINGLE_BID,20.0,ROUTINE
MPLADS-000136,1,1,1,0,CRITICAL,PAYMENT_PROGRESS_MISMATCH,PAYMENT_PROGRESS_MISMATCH,85.0,URGENT
MPLADS-000137,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000138,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000139,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000140,1,1,1,0,HIGH,ABANDONED_WORK,ABANDONED_WORK,70.0,ELEVATED
MPLADS-000141,0,0,0,1,LOW,LEGITIMATE_REMOTE_SINGLE_BID,LEGITIMATE_REMOTE_SINGLE_BID,20.0,ROUTINE
MPLADS-000142,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000143,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000144,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000145,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000146,1,1,1,0,CRITICAL,PAYMENT_PROGRESS_MISMATCH,PAYMENT_PROGRESS_MISMATCH,85.0,URGENT
MPLADS-000147,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000148,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000149,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000150,1,1,1,0,HIGH,ABANDONED_WORK,ABANDONED_WORK,70.0,ELEVATED
MPLADS-000151,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000152,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000153,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000154,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000155,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000156,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000157,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000158,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000159,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000160,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000161,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000162,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000163,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000164,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000165,0,0,0,1,LOW,LEGITIMATE_REMOTE_SINGLE_BID,LEGITIMATE_REMOTE_SINGLE_BID,20.0,ROUTINE
MPLADS-000166,1,1,1,0,HIGH,DELAYED_WORK,DELAYED_WORK,70.0,ELEVATED
MPLADS-000167,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000168,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000169,1,1,1,0,HIGH,ABANDONED_WORK,ABANDONED_WORK,70.0,ELEVATED
MPLADS-000170,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000171,1,1,1,0,HIGH,DOCUMENTATION_DEFICIT,DOCUMENTATION_DEFICIT,70.0,ELEVATED
MPLADS-000172,1,1,1,0,CRITICAL,COST_OVERRUN,COST_OVERRUN,85.0,URGENT
MPLADS-000173,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000174,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000175,1,1,1,0,HIGH,DOCUMENTATION_DEFICIT,DOCUMENTATION_DEFICIT,70.0,ELEVATED
MPLADS-000176,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000177,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000178,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000179,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000180,1,1,1,0,CRITICAL,PAYMENT_PROGRESS_MISMATCH,PAYMENT_PROGRESS_MISMATCH,85.0,URGENT
MPLADS-000181,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000182,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000183,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000184,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000185,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000186,0,0,0,1,LOW,LEGITIMATE_REMOTE_SINGLE_BID,LEGITIMATE_REMOTE_SINGLE_BID,20.0,ROUTINE
MPLADS-000187,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000188,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000189,1,1,1,0,HIGH,SUSPICIOUS_CONTRACTOR_MONOPOLY,SUSPICIOUS_CONTRACTOR_MONOPOLY,70.0,ELEVATED
MPLADS-000190,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000191,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000192,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000193,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000194,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000195,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000196,0,0,0,1,LOW,LEGITIMATE_WEATHER_DELAY,LEGITIMATE_WEATHER_DELAY,20.0,ROUTINE
MPLADS-000197,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000198,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000199,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000200,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000201,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000202,1,1,1,0,CRITICAL,GHOST_WORK,GHOST_WORK,85.0,URGENT
MPLADS-000203,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000204,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000205,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000206,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000207,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000208,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000209,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000210,1,1,1,0,HIGH,DELAYED_WORK,DELAYED_WORK,70.0,ELEVATED
MPLADS-000211,0,0,0,1,LOW,LEGITIMATE_WEATHER_DELAY,LEGITIMATE_WEATHER_DELAY,20.0,ROUTINE
MPLADS-000212,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000213,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000214,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000215,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000216,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000217,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000218,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000219,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000220,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000221,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000222,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000223,0,0,0,1,LOW,LEGITIMATE_WEATHER_DELAY,LEGITIMATE_WEATHER_DELAY,20.0,ROUTINE
MPLADS-000224,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000225,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000226,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000227,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000228,0,0,0,1,LOW,LEGITIMATE_REMOTE_SINGLE_BID,LEGITIMATE_REMOTE_SINGLE_BID,20.0,ROUTINE
MPLADS-000229,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000230,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000231,1,1,1,0,HIGH,DOCUMENTATION_DEFICIT,DOCUMENTATION_DEFICIT,70.0,ELEVATED
MPLADS-000232,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000233,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000234,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000235,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000236,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000237,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000238,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000239,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000240,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000241,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000242,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000243,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000244,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000245,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000246,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000247,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000248,1,1,1,0,CRITICAL,PAYMENT_PROGRESS_MISMATCH,PAYMENT_PROGRESS_MISMATCH,85.0,URGENT
MPLADS-000249,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000250,1,1,1,0,CRITICAL,PAYMENT_PROGRESS_MISMATCH,PAYMENT_PROGRESS_MISMATCH,85.0,URGENT
MPLADS-000251,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000252,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000253,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000254,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000255,1,1,1,0,CRITICAL,PAYMENT_PROGRESS_MISMATCH,PAYMENT_PROGRESS_MISMATCH,85.0,URGENT
MPLADS-000256,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000257,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000258,1,1,1,0,CRITICAL,PAYMENT_PROGRESS_MISMATCH,PAYMENT_PROGRESS_MISMATCH,85.0,URGENT
MPLADS-000259,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000260,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000261,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000262,1,1,1,0,HIGH,SUSPICIOUS_CONTRACTOR_MONOPOLY,SUSPICIOUS_CONTRACTOR_MONOPOLY,70.0,ELEVATED
MPLADS-000263,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000264,0,0,0,1,MEDIUM,HIGH_VALUE_LEGITIMATE,HIGH_VALUE_LEGITIMATE,45.0,ROUTINE
MPLADS-000265,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000266,1,1,1,0,HIGH,DOCUMENTATION_DEFICIT,DOCUMENTATION_DEFICIT,70.0,ELEVATED
MPLADS-000267,1,1,1,0,CRITICAL,GHOST_WORK,GHOST_WORK,85.0,URGENT
MPLADS-000268,0,0,0,1,LOW,LEGITIMATE_WEATHER_DELAY,LEGITIMATE_WEATHER_DELAY,20.0,ROUTINE
MPLADS-000269,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
MPLADS-000270,0,0,0,0,LOW,NORMAL,NORMAL,20.0,ROUTINE
