contract_id,project_id,contractor_id,work_order_amount,original_contract_value,final_contract_value,contract_value_change,contract_amendment_count,amendment_value,extension_count,extension_duration,award_date,original_completion_date,revised_completion_date,contract_delay_days,contractor_capacity,contract_value_to_capacity,external_service_provider_flag,subcontractor_count,subcontractor_value_share,end_period_expenditure_ratio,performance_guarantee_submitted
CNTR-000067,MPLADS-000067,CONT-0309,2098000.0,2098000.0,1237000.0,-0.4104,0,0.0,0,0,2023-08-19,2024-03-02,2024-03-02,33,5000000.0,0.4196,0,0,0.038,0.503,True
CNTR-000068,MPLADS-000068,CONT-0208,1529000.0,1529000.0,2225000.0,0.4552,0,696000.0,0,0,2022-05-06,2022-09-29,2022-09-29,0,5000000.0,0.3058,0,0,0.208,0.539,True
CNTR-000069,MPLADS-000069,CONT-0182,2212000.0,2212000.0,2338000.0,0.057,0,126000.0,0,0,2023-05-05,2023-10-18,2023-10-18,8,20000000.0,0.1106,0,1,0.004,0.185,True
CNTR-000070,MPLADS-000070,CONT-0150,10807000.0,10807000.0,10903000.0,0.0089,0,96000.0,0,0,2022-07-20,2023-08-10,2023-08-10,22,5000000.0,2.1614,0,0,0.278,0.366,True
CNTR-000071,MPLADS-000071,CONT-0214,1978000.0,1978000.0,1819000.0,-0.0804,0,0.0,0,0,2022-07-22,2022-09-06,2022-09-06,0,20000000.0,0.0989,0,2,0.083,0.362,True
CNTR-000072,MPLADS-000072,CONT-0002,1973000.0,1973000.0,1944000.0,-0.0147,0,0.0,0,0,2022-07-10,2022-11-23,2022-11-23,34,5000000.0,0.3946,0,0,0.205,0.504,True
CNTR-000073,MPLADS-000073,CONT-0301,1622000.0,1622000.0,2410000.0,0.4858,0,788000.0,0,0,2023-11-06,2024-03-21,2024-03-21,13,5000000.0,0.3244,0,0,0.068,0.294,True
CNTR-000074,MPLADS-000074,CONT-0227,744000.0,744000.0,670000.0,-0.0995,0,0.0,0,0,2022-06-16,2022-08-31,2022-08-31,13,5000000.0,0.1488,0,0,0.16,0.3,True
CNTR-000075,MPLADS-000075,CONT-0242,2639000.0,2639000.0,3670000.0,0.3907,0,1031000.0,0,0,2023-05-20,2023-11-02,2023-11-02,26,5000000.0,0.5278,0,0,0.204,0.527,True
CNTR-000076,MPLADS-000076,CONT-0160,13022000.0,13022000.0,12450000.0,-0.0439,0,0.0,0,0,2022-03-22,2022-09-04,2022-09-04,1,20000000.0,0.6511,0,0,0.093,0.301,True
CNTR-000077,MPLADS-000077,CONT-0189,2784000.0,2784000.0,2573000.0,-0.0758,0,0.0,0,0,2023-08-15,2024-02-27,2024-02-27,32,20000000.0,0.1392,0,0,0.173,0.366,True
CNTR-000078,MPLADS-000078,CONT-0294,1823000.0,1823000.0,1782000.0,-0.0225,0,0.0,0,0,2023-06-16,2023-09-30,2023-09-30,19,100000000.0,0.0182,0,0,0.088,0.368,True
CNTR-000079,MPLADS-000079,CONT-0344,525000.0,525000.0,551000.0,0.0495,0,26000.0,0,0,2023-08-18,2023-10-03,2023-10-03,20,5000000.0,0.105,0,0,0.265,0.25,True
CNTR-000080,MPLADS-000080,CONT-0051,1872000.0,1872000.0,1710000.0,-0.0865,0,0.0,0,0,2024-02-08,2024-05-24,2024-05-24,0,5000000.0,0.3744,0,1,0.135,0.174,True
CNTR-000081,MPLADS-000081,CONT-0132,2784000.0,2784000.0,2510000.0,-0.0984,0,0.0,0,0,2022-03-29,2022-10-11,2022-10-11,10,5000000.0,0.5568,0,0,0.068,0.349,True
CNTR-000082,MPLADS-000082,CONT-0269,1777000.0,1777000.0,1643000.0,-0.0754,0,0.0,0,0,2022-10-10,2023-03-25,2023-03-25,7,20000000.0,0.0888,0,0,0.039,0.523,True
CNTR-000083,MPLADS-000083,CONT-0174,9496000.0,9496000.0,8279000.0,-0.1282,0,0.0,0,0,2022-08-14,2023-09-04,2023-09-04,25,5000000.0,1.8992,0,0,0.246,0.543,True
CNTR-000084,MPLADS-000084,CONT-0194,1653000.0,1653000.0,1534000.0,-0.072,2,0.0,2,60,2023-02-28,2023-07-24,2023-09-22,480,20000000.0,0.0826,0,0,0.025,0.2,True
CNTR-000085,MPLADS-000085,CONT-0180,2391000.0,2391000.0,2325000.0,-0.0276,0,0.0,0,0,2022-10-03,2023-02-26,2023-02-26,12,20000000.0,0.1196,0,0,0.065,0.255,True
CNTR-000086,MPLADS-000086,CONT-0049,12910000.0,12910000.0,12569000.0,-0.0264,0,0.0,0,0,2023-08-29,2024-09-18,2024-09-18,3,5000000.0,2.582,0,1,0.234,0.3,True
CNTR-000087,MPLADS-000087,CONT-0306,1140000.0,1140000.0,1096000.0,-0.0386,0,0.0,0,0,2023-04-15,2023-08-29,2023-08-29,12,20000000.0,0.057,0,0,0.218,0.239,True
CNTR-000088,MPLADS-000088,CONT-0131,13664000.0,13664000.0,12785000.0,-0.0643,0,0.0,0,0,2023-04-27,2024-05-17,2024-05-17,24,20000000.0,0.6832,0,1,0.052,0.51,True
CNTR-000089,MPLADS-000089,CONT-0355,2060000.0,2060000.0,1916000.0,-0.0699,0,0.0,0,0,2023-11-19,2024-05-03,2024-05-03,11,100000000.0,0.0206,0,0,0.178,0.209,True
CNTR-000090,MPLADS-000090,CONT-0075,9825000.0,9825000.0,9165000.0,-0.0672,0,0.0,0,0,2023-06-11,2024-07-01,2024-07-01,9,5000000.0,1.965,0,0,0.266,0.227,True
CNTR-000091,MPLADS-000091,CONT-0395,2286000.0,2286000.0,2348000.0,0.0271,0,62000.0,0,0,2023-08-01,2023-11-15,2023-11-15,9,20000000.0,0.1143,0,1,0.093,0.183,True
CNTR-000092,MPLADS-000092,CONT-0148,1820000.0,1820000.0,1554000.0,-0.1462,0,0.0,0,0,2023-11-08,2024-03-23,2024-03-23,23,5000000.0,0.364,0,0,0.104,0.452,True
CNTR-000093,MPLADS-000093,CONT-0044,3186000.0,3186000.0,3286000.0,0.0314,0,100000.0,0,0,2022-08-16,2023-01-29,2023-01-29,0,5000000.0,0.6372,0,0,0.192,0.453,True
CNTR-000094,MPLADS-000094,CONT-0212,13264000.0,13264000.0,12324000.0,-0.0709,0,0.0,0,0,2023-02-08,2023-08-23,2023-08-23,28,20000000.0,0.6632,0,1,0.291,0.23,True
CNTR-000095,MPLADS-000095,CONT-0289,2284000.0,2284000.0,4000000.0,0.7513,0,1716000.0,0,0,2022-03-15,2022-08-08,2022-08-08,8,20000000.0,0.1142,0,0,0.285,0.487,True
CNTR-000096,MPLADS-000096,CONT-0042,1591000.0,1591000.0,1410000.0,-0.1138,0,0.0,0,0,2023-02-11,2023-07-07,2023-07-07,0,5000000.0,0.3182,0,0,0.105,0.238,True
CNTR-000097,MPLADS-000097,CONT-0074,10160000.0,10160000.0,4435000.0,-0.5635,0,0.0,0,0,2022-10-13,2023-11-03,2023-11-03,0,100000000.0,0.1016,0,0,0.1,0.15,True
CNTR-000098,MPLADS-000098,CONT-0367,2757000.0,2757000.0,2499000.0,-0.0936,0,0.0,0,0,2022-04-30,2022-09-23,2022-09-23,33,20000000.0,0.1378,0,0,0.219,0.39,True
CNTR-000099,MPLADS-000099,CONT-0073,1042000.0,1042000.0,1028000.0,-0.0134,0,0.0,0,0,2023-12-18,2024-03-03,2024-03-03,14,20000000.0,0.0521,0,0,0.117,0.406,True
CNTR-000100,MPLADS-000100,CONT-0053,1718000.0,1718000.0,1532000.0,-0.1083,0,0.0,0,0,2023-06-03,2023-10-17,2023-10-17,13,20000000.0,0.0859,0,1,0.057,0.404,True
CNTR-000101,MPLADS-000101,CONT-0118,2322000.0,2322000.0,2337000.0,0.0065,0,15000.0,0,0,2023-08-17,2024-01-10,2024-01-10,0,20000000.0,0.1161,0,0,0.27,0.501,True
CNTR-000102,MPLADS-000102,CONT-0039,10870000.0,10870000.0,10303000.0,-0.0522,0,0.0,0,0,2023-08-01,2024-08-21,2024-08-21,0,20000000.0,0.5435,0,1,0.251,0.316,True
CNTR-000103,MPLADS-000103,CONT-0182,3281000.0,3281000.0,3258000.0,-0.007,0,0.0,0,0,2022-08-17,2023-03-01,2023-03-01,6,20000000.0,0.164,0,0,0.21,0.292,True
CNTR-000104,MPLADS-000104,CONT-0047,1972000.0,1972000.0,2103000.0,0.0664,0,131000.0,0,0,2022-02-26,2022-07-22,2022-07-22,9,20000000.0,0.0986,0,0,0.023,0.25,True
CNTR-000105,MPLADS-000105,CONT-0099,963000.0,963000.0,907000.0,-0.0582,0,0.0,0,0,2023-07-29,2023-10-13,2023-10-13,0,100000000.0,0.0096,0,0,0.039,0.348,True
CNTR-000106,MPLADS-000106,CONT-0043,570000.0,570000.0,623000.0,0.093,0,53000.0,0,0,2022-08-30,2022-10-15,2022-10-15,15,5000000.0,0.114,0,1,0.133,0.277,True
CNTR-000107,MPLADS-000107,CONT-0008,2110000.0,2110000.0,2324000.0,0.1014,0,214000.0,0,0,2022-10-05,2023-04-19,2023-04-19,8,20000000.0,0.1055,0,0,0.251,0.547,True
CNTR-000108,MPLADS-000108,CONT-0073,1952000.0,1952000.0,1934000.0,-0.0092,0,0.0,0,0,2023-07-23,2023-11-06,2023-11-06,0,20000000.0,0.0976,0,1,0.04,0.534,True
CNTR-000109,MPLADS-000109,CONT-0189,595000.0,595000.0,615000.0,0.0336,0,20000.0,0,0,2023-11-10,2023-12-26,2023-12-26,17,20000000.0,0.0298,0,0,0.228,0.172,True
CNTR-000110,MPLADS-000110,CONT-0239,740000.0,740000.0,757000.0,0.023,0,17000.0,0,0,2023-08-25,2023-11-09,2023-11-09,0,100000000.0,0.0074,0,0,0.158,0.499,True
CNTR-000111,MPLADS-000111,CONT-0299,1479000.0,1479000.0,1330000.0,-0.1007,0,0.0,0,0,2023-08-18,2024-01-01,2024-01-01,18,20000000.0,0.074,0,0,0.018,0.462,True
CNTR-000112,MPLADS-000112,CONT-0315,9806000.0,9806000.0,10070000.0,0.0269,0,264000.0,0,0,2022-10-07,2023-03-02,2023-03-02,0,5000000.0,1.9612,0,2,0.224,0.48,True
CNTR-000113,MPLADS-000113,CONT-0265,1787000.0,1787000.0,1536000.0,-0.1405,0,0.0,0,0,2022-05-28,2022-09-11,2022-09-11,25,5000000.0,0.3574,0,0,0.16,0.152,True
CNTR-000114,MPLADS-000114,CONT-0176,649000.0,649000.0,671000.0,0.0339,0,22000.0,0,0,2022-06-02,2022-08-17,2022-08-17,0,20000000.0,0.0324,0,0,0.215,0.352,True
CNTR-000115,MPLADS-000115,CONT-0267,2253000.0,2253000.0,2002000.0,-0.1114,0,0.0,0,0,2022-07-10,2022-12-23,2022-12-23,0,20000000.0,0.1126,0,0,0.266,0.276,True
CNTR-000116,MPLADS-000116,CONT-0002,402000.0,402000.0,366000.0,-0.0896,0,0.0,0,0,2022-07-16,2022-08-31,2022-08-31,5,5000000.0,0.0804,0,0,0.048,0.299,True
CNTR-000117,MPLADS-000117,CONT-0021,2146000.0,2146000.0,1935000.0,-0.0983,0,0.0,0,0,2023-05-03,2023-09-26,2023-09-26,0,100000000.0,0.0215,0,0,0.179,0.537,True
CNTR-000118,MPLADS-000118,CONT-0320,3745000.0,3745000.0,3257000.0,-0.1303,0,0.0,0,0,2022-04-27,2022-11-09,2022-11-09,12,20000000.0,0.1872,0,1,0.121,0.548,True
CNTR-000119,MPLADS-000119,CONT-0142,1711000.0,1711000.0,2910000.0,0.7008,0,1199000.0,0,0,2022-05-21,2022-10-04,2022-10-04,30,100000000.0,0.0171,0,1,0.299,0.289,True
CNTR-000120,MPLADS-000120,CONT-0396,3035000.0,3035000.0,3165000.0,0.0428,0,130000.0,0,0,2024-01-23,2024-07-07,2024-07-07,24,5000000.0,0.607,0,2,0.274,0.318,True
CNTR-000121,MPLADS-000121,CONT-0017,1532000.0,1532000.0,1449000.0,-0.0542,0,0.0,0,0,2023-06-30,2023-10-14,2023-10-14,24,5000000.0,0.3064,0,0,0.162,0.293,True
CNTR-000122,MPLADS-000122,CONT-0300,2237000.0,2237000.0,2308000.0,0.0317,3,71000.0,3,90,2023-09-07,2024-03-21,2024-06-19,630,20000000.0,0.1118,0,0,0.215,0.505,True
CNTR-000123,MPLADS-000123,CONT-0215,1966000.0,1966000.0,2012000.0,0.0234,0,46000.0,0,0,2022-09-30,2023-02-23,2023-02-23,0,5000000.0,0.3932,0,0,0.286,0.199,True
CNTR-000124,MPLADS-000124,CONT-0386,979000.0,979000.0,927000.0,-0.0531,0,0.0,0,0,2023-03-25,2023-06-09,2023-06-09,0,100000000.0,0.0098,0,1,0.243,0.314,True
CNTR-000125,MPLADS-000125,CONT-0145,2434000.0,2434000.0,3913000.0,0.6076,0,1479000.0,0,0,2023-11-02,2024-05-16,2024-05-16,0,20000000.0,0.1217,0,0,0.219,0.459,True
CNTR-000126,MPLADS-000126,CONT-0296,386000.0,386000.0,371000.0,-0.0389,0,0.0,0,0,2023-06-01,2023-07-17,2023-07-17,0,5000000.0,0.0772,0,0,0.064,0.344,True
CNTR-000127,MPLADS-000127,CONT-0380,14048000.0,14048000.0,13768000.0,-0.0199,0,0.0,0,0,2022-07-18,2023-01-30,2023-01-30,2,5000000.0,2.8096,0,0,0.222,0.499,True
CNTR-000128,MPLADS-000128,CONT-0139,2057000.0,2057000.0,1834000.0,-0.1084,0,0.0,0,0,2023-05-09,2023-06-24,2023-06-24,0,5000000.0,0.4114,0,1,0.282,0.363,True
CNTR-000129,MPLADS-000129,CONT-0009,2643000.0,2643000.0,2345000.0,-0.1128,0,0.0,0,0,2022-04-29,2022-09-22,2022-09-22,0,20000000.0,0.1322,0,2,0.211,0.15,True
CNTR-000130,MPLADS-000130,CONT-0160,611000.0,611000.0,557000.0,-0.0884,0,0.0,0,0,2023-03-07,2023-05-22,2023-05-22,12,20000000.0,0.0306,0,0,0.208,0.426,True
