payment_id,project_id,contractor_id,tranche_number,payment_number,payment_amount,payment_date,voucher_number,cumulative_payment,payment_velocity,payment_frequency,payment_concentration,is_round_number,is_final_installment,duplicate_payment_flag,payment_timing_anomaly,measurement_book_verified
PAY-000016-02,MPLADS-000016,CONT-0162,2,2,4395000.0,2023-03-28,VCH-000016-02,8790000.0,62785.71,70.0,0.3333,0,0,0,0,True
PAY-000016-03,MPLADS-000016,CONT-0162,3,3,4395000.0,2023-06-10,VCH-000016-03,13185000.0,62785.71,70.0,0.3333,0,1,0,0,True
PAY-000017-01,MPLADS-000017,CONT-0078,1,1,648700.0,2023-05-23,VCH-000017-01,648700.0,10811.67,60.0,0.3334,0,0,0,0,True
PAY-000017-02,MPLADS-000017,CONT-0078,2,2,648700.0,2023-07-29,VCH-000017-02,1297400.0,10811.67,60.0,0.3334,0,0,0,0,True
PAY-000017-03,MPLADS-000017,CONT-0078,3,3,648600.0,2023-10-04,VCH-000017-03,1946000.0,10810.0,60.0,0.3333,0,1,0,0,True
PAY-000018-01,MPLADS-000018,CONT-0367,1,1,442000.0,2022-08-10,VCH-000018-01,442000.0,9822.22,45.0,0.5,0,0,0,0,True
PAY-000018-02,MPLADS-000018,CONT-0367,2,2,442000.0,2022-09-20,VCH-000018-02,884000.0,9822.22,45.0,0.5,0,1,0,0,True
PAY-000019-01,MPLADS-000019,CONT-0371,1,1,661700.0,2022-05-25,VCH-000019-01,661700.0,9452.86,70.0,0.3334,0,0,0,0,True
PAY-000019-02,MPLADS-000019,CONT-0371,2,2,661700.0,2022-08-09,VCH-000019-02,1323400.0,9452.86,70.0,0.3334,0,0,0,0,True
PAY-000019-03,MPLADS-000019,CONT-0371,3,3,661600.0,2022-10-24,VCH-000019-03,1985000.0,9451.43,70.0,0.3333,0,1,0,0,True
PAY-000020-01,MPLADS-000020,CONT-0274,1,1,4498000.0,2023-01-09,VCH-000020-01,4498000.0,64257.14,70.0,0.3333,0,0,0,0,True
PAY-000020-02,MPLADS-000020,CONT-0274,2,2,4498000.0,2023-03-15,VCH-000020-02,8996000.0,64257.14,70.0,0.3333,0,0,0,0,True
PAY-000020-03,MPLADS-000020,CONT-0274,3,3,4498000.0,2023-05-20,VCH-000020-03,13494000.0,64257.14,70.0,0.3333,0,1,0,0,True
PAY-000021-01,MPLADS-000021,CONT-0126,1,1,710700.0,2022-05-28,VCH-000021-01,710700.0,17767.5,40.0,0.3333,0,0,0,0,True
PAY-000021-02,MPLADS-000021,CONT-0126,2,2,710700.0,2022-07-03,VCH-000021-02,1421400.0,17767.5,40.0,0.3333,0,0,0,0,True
PAY-000021-03,MPLADS-000021,CONT-0126,3,3,710600.0,2022-08-09,VCH-000021-03,2132000.0,17765.0,40.0,0.3333,0,1,0,0,True
PAY-000022-01,MPLADS-000022,CONT-0196,1,1,477000.0,2024-01-06,VCH-000022-01,477000.0,10600.0,45.0,0.5,0,0,0,0,True
PAY-000022-02,MPLADS-000022,CONT-0196,2,2,477000.0,2024-02-26,VCH-000022-02,954000.0,10600.0,45.0,0.5,0,1,0,0,True
PAY-000023-01,MPLADS-000023,CONT-0371,1,1,508300.0,2023-07-21,VCH-000023-01,508300.0,10166.0,50.0,0.3333,0,0,0,0,True
PAY-000023-02,MPLADS-000023,CONT-0371,2,2,508300.0,2023-09-08,VCH-000023-02,1016600.0,10166.0,50.0,0.3333,0,0,0,0,True
PAY-000023-03,MPLADS-000023,CONT-0371,3,3,508400.0,2023-10-28,VCH-000023-03,1525000.0,10168.0,50.0,0.3334,0,1,0,0,True
PAY-000024-01,MPLADS-000024,CONT-0068,1,1,5419000.0,2023-03-26,VCH-000024-01,5419000.0,40642.5,133.3,0.3333,0,0,0,1,True
PAY-000024-02,MPLADS-000024,CONT-0068,2,2,5419000.0,2023-08-09,VCH-000024-02,10838000.0,40642.5,133.3,0.3333,0,0,0,0,True
PAY-000024-03,MPLADS-000024,CONT-0068,3,3,5419000.0,2023-12-24,VCH-000024-03,16257000.0,40642.5,133.3,0.3333,0,1,0,0,True
PAY-000025-01,MPLADS-000025,CONT-0135,1,1,8255300.0,2023-03-13,VCH-000025-01,8255300.0,61914.75,133.3,0.3333,0,0,0,1,True
PAY-000025-02,MPLADS-000025,CONT-0135,2,2,8255300.0,2023-07-24,VCH-000025-02,16510600.0,61914.75,133.3,0.3333,0,0,0,0,True
PAY-000025-03,MPLADS-000025,CONT-0135,3,3,8255400.0,2023-12-05,VCH-000025-03,24766000.0,61915.5,133.3,0.3333,0,1,0,0,True
PAY-000026-01,MPLADS-000026,CONT-0281,1,1,3299300.0,2023-11-12,VCH-000026-01,3299300.0,24744.75,133.3,0.3333,0,0,0,0,False
PAY-000026-02,MPLADS-000026,CONT-0281,2,2,3299300.0,2024-03-19,VCH-000026-02,6598600.0,24744.75,133.3,0.3333,0,0,0,0,False
PAY-000026-03,MPLADS-000026,CONT-0281,3,3,3299400.0,2024-07-26,VCH-000026-03,9898000.0,24745.5,133.3,0.3333,0,1,0,0,False
PAY-000027-01,MPLADS-000027,CONT-0357,1,1,855300.0,2023-06-05,VCH-000027-01,855300.0,14255.0,60.0,0.3333,0,0,0,0,True
PAY-000027-02,MPLADS-000027,CONT-0357,2,2,855300.0,2023-08-07,VCH-000027-02,1710600.0,14255.0,60.0,0.3333,0,0,0,0,True
PAY-000027-03,MPLADS-000027,CONT-0357,3,3,855400.0,2023-10-09,VCH-000027-03,2566000.0,14256.67,60.0,0.3334,0,1,0,0,True
PAY-000028-01,MPLADS-000028,CONT-0266,1,1,414500.0,2022-04-15,VCH-000028-01,414500.0,9211.11,45.0,0.5,0,0,0,0,True
PAY-000028-02,MPLADS-000028,CONT-0266,2,2,414500.0,2022-06-02,VCH-000028-02,829000.0,9211.11,45.0,0.5,0,1,0,0,True
PAY-000029-01,MPLADS-000029,CONT-0049,1,1,768000.0,2022-11-18,VCH-000029-01,768000.0,14400.0,53.3,0.3333,0,0,0,0,True
PAY-000029-02,MPLADS-000029,CONT-0049,2,2,768000.0,2023-01-08,VCH-000029-02,1536000.0,14400.0,53.3,0.3333,0,0,0,0,True
PAY-000029-03,MPLADS-000029,CONT-0049,3,3,768000.0,2023-03-01,VCH-000029-03,2304000.0,14400.0,53.3,0.3333,0,1,0,0,True
PAY-000030-01,MPLADS-000030,CONT-0236,1,1,1248300.0,2023-01-30,VCH-000030-01,1248300.0,17832.86,70.0,0.3333,0,0,0,0,True
PAY-000030-02,MPLADS-000030,CONT-0236,2,2,1248300.0,2023-04-16,VCH-000030-02,2496600.0,17832.86,70.0,0.3333,0,0,0,0,True
PAY-000030-03,MPLADS-000030,CONT-0236,3,3,1248400.0,2023-07-02,VCH-000030-03,3745000.0,17834.29,70.0,0.3334,0,1,0,0,True
PAY-000031-01,MPLADS-000031,CONT-0065,1,1,460500.0,2022-10-19,VCH-000031-01,460500.0,10233.33,45.0,0.5,0,0,0,0,True
PAY-000031-02,MPLADS-000031,CONT-0065,2,2,460500.0,2022-12-19,VCH-000031-02,921000.0,10233.33,45.0,0.5,0,1,0,0,True
PAY-000032-01,MPLADS-000032,CONT-0156,1,1,259500.0,2022-08-17,VCH-000032-01,259500.0,8650.0,30.0,0.5,0,0,0,0,True
PAY-000032-02,MPLADS-000032,CONT-0156,2,2,259500.0,2022-09-13,VCH-000032-02,519000.0,8650.0,30.0,0.5,0,1,0,0,True
PAY-000033-01,MPLADS-000033,CONT-0066,1,1,3168000.0,2022-11-13,VCH-000033-01,3168000.0,23760.0,133.3,0.3333,0,0,0,0,True
PAY-000033-02,MPLADS-000033,CONT-0066,2,2,3168000.0,2023-03-29,VCH-000033-02,6336000.0,23760.0,133.3,0.3333,0,0,0,0,True
PAY-000033-03,MPLADS-000033,CONT-0066,3,3,3168000.0,2023-08-13,VCH-000033-03,9504000.0,23760.0,133.3,0.3333,0,1,0,0,True
PAY-000034-01,MPLADS-000034,CONT-0375,1,1,906700.0,2023-04-25,VCH-000034-01,906700.0,15111.67,60.0,0.3333,0,0,0,0,True
PAY-000034-02,MPLADS-000034,CONT-0375,2,2,906700.0,2023-06-22,VCH-000034-02,1813400.0,15111.67,60.0,0.3333,0,0,0,0,True
PAY-000034-03,MPLADS-000034,CONT-0375,3,3,906600.0,2023-08-19,VCH-000034-03,2720000.0,15110.0,60.0,0.3333,0,1,0,0,True
PAY-000035-01,MPLADS-000035,CONT-0140,1,1,476300.0,2022-04-27,VCH-000035-01,476300.0,11907.5,40.0,0.3333,0,0,0,0,True
PAY-000035-02,MPLADS-000035,CONT-0140,2,2,476300.0,2022-06-05,VCH-000035-02,952600.0,11907.5,40.0,0.3333,0,0,0,0,True
PAY-000035-03,MPLADS-000035,CONT-0140,3,3,476400.0,2022-07-15,VCH-000035-03,1429000.0,11910.0,40.0,0.3334,0,1,0,0,True
PAY-000036-01,MPLADS-000036,CONT-0349,1,1,1670300.0,2023-12-07,VCH-000036-01,1670300.0,23861.43,70.0,0.3333,0,0,0,0,True
PAY-000036-02,MPLADS-000036,CONT-0349,2,2,1670300.0,2024-02-26,VCH-000036-02,3340600.0,23861.43,70.0,0.3333,0,0,0,0,True
PAY-000036-03,MPLADS-000036,CONT-0349,3,3,1670400.0,2024-05-17,VCH-000036-03,5011000.0,23862.86,70.0,0.3333,0,1,0,0,True
PAY-000037-01,MPLADS-000037,CONT-0120,1,1,622000.0,2023-04-23,VCH-000037-01,622000.0,11662.5,53.3,0.3333,0,0,0,0,True
PAY-000037-02,MPLADS-000037,CONT-0120,2,2,622000.0,2023-09-30,VCH-000037-02,1244000.0,11662.5,53.3,0.3333,0,0,0,0,True
PAY-000037-03,MPLADS-000037,CONT-0120,3,3,622000.0,2024-03-08,VCH-000037-03,1866000.0,11662.5,53.3,0.3333,0,1,0,1,True
PAY-000038-01,MPLADS-000038,CONT-0249,1,1,335000.0,2023-03-14,VCH-000038-01,335000.0,7444.44,45.0,0.5,0,0,0,0,True
PAY-000038-02,MPLADS-000038,CONT-0249,2,2,335000.0,2023-04-25,VCH-000038-02,670000.0,7444.44,45.0,0.5,0,1,0,0,True
PAY-000039-01,MPLADS-000039,CONT-0185,1,1,833700.0,2022-09-05,VCH-000039-01,833700.0,20842.5,40.0,0.3333,0,0,0,0,True
PAY-000039-02,MPLADS-000039,CONT-0185,2,2,833700.0,2022-10-11,VCH-000039-02,1667400.0,20842.5,40.0,0.3333,0,0,0,0,True
PAY-000039-03,MPLADS-000039,CONT-0185,3,3,833600.0,2022-11-16,VCH-000039-03,2501000.0,20840.0,40.0,0.3333,0,1,0,0,True
PAY-000040-01,MPLADS-000040,CONT-0090,1,1,567000.0,2023-08-31,VCH-000040-01,567000.0,14175.0,40.0,0.3333,0,0,0,0,True
PAY-000040-02,MPLADS-000040,CONT-0090,2,2,567000.0,2023-10-14,VCH-000040-02,1134000.0,14175.0,40.0,0.3333,0,0,0,0,True
PAY-000040-03,MPLADS-000040,CONT-0090,3,3,567000.0,2023-11-27,VCH-000040-03,1701000.0,14175.0,40.0,0.3333,0,1,0,0,True
PAY-000041-01,MPLADS-000041,CONT-0179,1,1,544000.0,2022-06-12,VCH-000041-01,544000.0,10880.0,50.0,0.3333,0,0,0,0,True
PAY-000041-02,MPLADS-000041,CONT-0179,2,2,544000.0,2022-08-03,VCH-000041-02,1088000.0,10880.0,50.0,0.3333,0,0,0,0,True
PAY-000041-03,MPLADS-000041,CONT-0179,3,3,544000.0,2022-09-24,VCH-000041-03,1632000.0,10880.0,50.0,0.3333,0,1,0,0,True
PAY-000042-01,MPLADS-000042,CONT-0373,1,1,282500.0,2023-12-10,VCH-000042-01,282500.0,6277.78,45.0,0.5,0,0,0,0,True
PAY-000042-02,MPLADS-000042,CONT-0373,2,2,282500.0,2024-01-25,VCH-000042-02,565000.0,6277.78,45.0,0.5,0,1,0,0,True
PAY-000043-01,MPLADS-000043,CONT-0209,1,1,4281300.0,2023-02-12,VCH-000043-01,4281300.0,32109.75,133.3,0.3333,0,0,0,0,True
PAY-000043-02,MPLADS-000043,CONT-0209,2,2,4281300.0,2023-06-21,VCH-000043-02,8562600.0,32109.75,133.3,0.3333,0,0,0,0,True
PAY-000043-03,MPLADS-000043,CONT-0209,3,3,4281400.0,2023-10-29,VCH-000043-03,12844000.0,32110.5,133.3,0.3333,0,1,0,0,True
PAY-000044-01,MPLADS-000044,CONT-0171,1,1,779000.0,2024-01-04,VCH-000044-01,779000.0,14606.25,53.3,0.3333,0,0,0,0,True
PAY-000044-02,MPLADS-000044,CONT-0171,2,2,779000.0,2024-03-05,VCH-000044-02,1558000.0,14606.25,53.3,0.3333,0,0,0,0,True
PAY-000044-03,MPLADS-000044,CONT-0171,3,3,779000.0,2024-05-06,VCH-000044-03,2337000.0,14606.25,53.3,0.3333,0,1,0,0,True
PAY-000045-01,MPLADS-000045,CONT-0281,1,1,146500.0,2023-03-31,VCH-000045-01,146500.0,4883.33,30.0,0.5,0,0,0,0,True
PAY-000045-02,MPLADS-000045,CONT-0281,2,2,146500.0,2023-04-25,VCH-000045-02,293000.0,4883.33,30.0,0.5,0,1,0,0,True
PAY-000046-01,MPLADS-000046,CONT-0043,1,1,327500.0,2023-02-28,VCH-000046-01,327500.0,10916.67,30.0,0.5,0,0,0,0,True
PAY-000046-02,MPLADS-000046,CONT-0043,2,2,327500.0,2023-04-05,VCH-000046-02,655000.0,10916.67,30.0,0.5,0,1,0,0,True
PAY-000047-01,MPLADS-000047,CONT-0357,1,1,628300.0,2023-11-23,VCH-000047-01,628300.0,8975.71,70.0,0.3333,0,0,0,0,True
PAY-000047-02,MPLADS-000047,CONT-0357,2,2,628300.0,2024-02-11,VCH-000047-02,1256600.0,8975.71,70.0,0.3333,0,0,0,0,True
PAY-000047-03,MPLADS-000047,CONT-0357,3,3,628400.0,2024-05-02,VCH-000047-03,1885000.0,8977.14,70.0,0.3334,0,1,0,0,True
PAY-000048-01,MPLADS-000048,CONT-0226,1,1,956000.0,2022-11-26,VCH-000048-01,956000.0,13657.14,70.0,0.3333,0,0,0,0,True
PAY-000048-02,MPLADS-000048,CONT-0226,2,2,956000.0,2023-02-10,VCH-000048-02,1912000.0,13657.14,70.0,0.3333,0,0,0,0,True
PAY-000048-03,MPLADS-000048,CONT-0226,3,3,956000.0,2023-04-28,VCH-000048-03,2868000.0,13657.14,70.0,0.3333,0,1,0,0,True
PAY-000049-01,MPLADS-000049,CONT-0157,1,1,793000.0,2022-12-10,VCH-000049-01,793000.0,14868.75,53.3,0.3333,0,0,0,0,True
PAY-000049-02,MPLADS-000049,CONT-0157,2,2,793000.0,2023-01-30,VCH-000049-02,1586000.0,14868.75,53.3,0.3333,0,0,0,0,True
PAY-000049-03,MPLADS-000049,CONT-0157,3,3,793000.0,2023-03-22,VCH-000049-03,2379000.0,14868.75,53.3,0.3333,0,1,0,0,True
PAY-000050-01,MPLADS-000050,CONT-0400,1,1,1173300.0,2022-07-20,VCH-000050-01,1173300.0,16761.43,70.0,0.3333,0,0,0,0,True
PAY-000050-02,MPLADS-000050,CONT-0400,2,2,1173300.0,2022-10-02,VCH-000050-02,2346600.0,16761.43,70.0,0.3333,0,0,0,0,True
PAY-000050-03,MPLADS-000050,CONT-0400,3,3,1173400.0,2022-12-15,VCH-000050-03,3520000.0,16762.86,70.0,0.3334,0,1,0,0,True
PAY-000051-01,MPLADS-000051,CONT-0388,1,1,452000.0,2023-08-28,VCH-000051-01,452000.0,8475.0,53.3,0.3333,0,0,0,0,True
PAY-000051-02,MPLADS-000051,CONT-0388,2,2,452000.0,2023-10-24,VCH-000051-02,904000.0,8475.0,53.3,0.3333,0,0,0,0,True
PAY-000051-03,MPLADS-000051,CONT-0388,3,3,452000.0,2023-12-21,VCH-000051-03,1356000.0,8475.0,53.3,0.3333,0,1,0,0,True
PAY-000052-01,MPLADS-000052,CONT-0260,1,1,619000.0,2023-02-07,VCH-000052-01,619000.0,11606.25,53.3,0.3333,0,0,0,0,True
PAY-000052-02,MPLADS-000052,CONT-0260,2,2,619000.0,2023-07-17,VCH-000052-02,1238000.0,11606.25,53.3,0.3333,0,0,0,0,True
PAY-000052-03,MPLADS-000052,CONT-0260,3,3,619000.0,2023-12-24,VCH-000052-03,1857000.0,11606.25,53.3,0.3333,0,1,0,0,True
PAY-000053-01,MPLADS-000053,CONT-0133,1,1,354000.0,2023-07-04,VCH-000053-01,354000.0,7866.67,45.0,0.5,0,0,0,0,True
PAY-000053-02,MPLADS-000053,CONT-0133,2,2,354000.0,2023-08-17,VCH-000053-02,708000.0,7866.67,45.0,0.5,0,1,0,0,True
PAY-000054-01,MPLADS-000054,CONT-0023,1,1,260500.0,2023-03-16,VCH-000054-01,260500.0,8683.33,30.0,0.5,0,0,0,1,True
PAY-000054-02,MPLADS-000054,CONT-0023,2,2,260500.0,2023-04-27,VCH-000054-02,521000.0,8683.33,30.0,0.5,0,1,0,0,True
PAY-000055-01,MPLADS-000055,CONT-0145,1,1,4923000.0,2024-01-04,VCH-000055-01,4923000.0,70328.57,70.0,0.3333,0,0,0,0,True
PAY-000055-02,MPLADS-000055,CONT-0145,2,2,4923000.0,2024-03-13,VCH-000055-02,9846000.0,70328.57,70.0,0.3333,0,0,0,0,True
PAY-000055-03,MPLADS-000055,CONT-0145,3,3,4923000.0,2024-05-22,VCH-000055-03,14769000.0,70328.57,70.0,0.3333,0,1,0,0,True
PAY-000056-01,MPLADS-000056,CONT-0166,1,1,440700.0,2023-04-23,VCH-000056-01,440700.0,11017.5,40.0,0.3334,0,0,0,0,True
PAY-000056-02,MPLADS-000056,CONT-0166,2,2,440700.0,2023-06-12,VCH-000056-02,881400.0,11017.5,40.0,0.3334,0,0,0,0,True
PAY-000056-03,MPLADS-000056,CONT-0166,3,3,440600.0,2023-08-01,VCH-000056-03,1322000.0,11015.0,40.0,0.3333,0,1,0,0,True
PAY-000057-01,MPLADS-000057,CONT-0157,1,1,234500.0,2023-03-24,VCH-000057-01,234500.0,7816.67,30.0,0.5,0,0,0,0,True
PAY-000057-02,MPLADS-000057,CONT-0157,2,2,234500.0,2023-05-09,VCH-000057-02,469000.0,7816.67,30.0,0.5,0,1,0,0,True
PAY-000058-01,MPLADS-000058,CONT-0254,1,1,629000.0,2022-09-17,VCH-000058-01,629000.0,12580.0,50.0,0.3333,0,0,0,0,True
PAY-000058-02,MPLADS-000058,CONT-0254,2,2,629000.0,2022-11-07,VCH-000058-02,1258000.0,12580.0,50.0,0.3333,0,0,0,0,True
PAY-000058-03,MPLADS-000058,CONT-0254,3,3,629000.0,2022-12-29,VCH-000058-03,1887000.0,12580.0,50.0,0.3333,0,1,0,0,True
PAY-000059-01,MPLADS-000059,CONT-0056,1,1,178500.0,2023-07-13,VCH-000059-01,178500.0,5950.0,30.0,0.5,0,0,0,0,True
PAY-000059-02,MPLADS-000059,CONT-0056,2,2,178500.0,2023-08-08,VCH-000059-02,357000.0,5950.0,30.0,0.5,0,1,0,0,True
PAY-000060-01,MPLADS-000060,CONT-0233,1,1,1252300.0,2022-08-20,VCH-000060-01,1252300.0,17890.0,70.0,0.3333,0,0,0,0,True
PAY-000060-02,MPLADS-000060,CONT-0233,2,2,1252300.0,2022-10-31,VCH-000060-02,2504600.0,17890.0,70.0,0.3333,0,0,0,0,True
PAY-000060-03,MPLADS-000060,CONT-0233,3,3,1252400.0,2023-01-11,VCH-000060-03,3757000.0,17891.43,70.0,0.3334,0,1,0,0,True
PAY-000061-01,MPLADS-000061,CONT-0015,1,1,1360300.0,2023-03-12,VCH-000061-01,1360300.0,45343.33,30.0,0.3333,0,0,0,0,True
PAY-000061-02,MPLADS-000061,CONT-0015,2,2,1360300.0,2023-04-17,VCH-000061-02,2720600.0,45343.33,30.0,0.3333,0,0,0,0,True
PAY-000061-03,MPLADS-000061,CONT-0015,3,3,1360400.0,2023-05-23,VCH-000061-03,4081000.0,45346.67,30.0,0.3333,0,1,0,0,True
PAY-000062-01,MPLADS-000062,CONT-0069,1,1,628700.0,2023-06-05,VCH-000062-01,628700.0,15717.5,40.0,0.3334,0,0,0,0,True
PAY-000062-02,MPLADS-000062,CONT-0069,2,2,628700.0,2023-07-17,VCH-000062-02,1257400.0,15717.5,40.0,0.3334,0,0,0,0,True
PAY-000062-03,MPLADS-000062,CONT-0069,3,3,628600.0,2023-08-29,VCH-000062-03,1886000.0,15715.0,40.0,0.3333,0,1,0,0,True
PAY-000063-01,MPLADS-000063,CONT-0395,1,1,1305300.0,2023-11-26,VCH-000063-01,1305300.0,21755.0,60.0,0.3333,0,0,0,0,True
PAY-000063-02,MPLADS-000063,CONT-0395,2,2,1305300.0,2024-01-25,VCH-000063-02,2610600.0,21755.0,60.0,0.3333,0,0,0,0,True
PAY-000063-03,MPLADS-000063,CONT-0395,3,3,1305400.0,2024-03-25,VCH-000063-03,3916000.0,21756.67,60.0,0.3334,0,1,0,0,True
