constituency_id,constituency_name,district_id,state_id,mp_name,mp_house
PC-0037,UTT-District-26-Seat-37,DIST-0026,ST-01,Hon. MP Diya Rattan,Lok Sabha
PC-0038,UTT-District-26-Seat-38,DIST-0026,ST-01,Hon. MP Amrita Bhatti,Lok Sabha
PC-0039,UTT-District-27-Seat-39,DIST-0027,ST-01,Hon. MP Siddharth Murty,Lok Sabha
PC-0040,UTT-District-27-Seat-40,DIST-0027,ST-01,Hon. MP Simon Tata,Lok Sabha
PC-0041,UTT-District-28-Seat-41,DIST-0028,ST-01,Hon. MP Meghana Shanker,Lok Sabha
PC-0042,UTT-District-28-Seat-42,DIST-0028,ST-01,Hon. MP Luke Lanka,Lok Sabha
PC-0043,UTT-District-29-Seat-43,DIST-0029,ST-01,Hon. MP Liam Koshy,Lok Sabha
PC-0044,UTT-District-30-Seat-44,DIST-0030,ST-01,Hon. MP Adya Sangha,Lok Sabha
PC-0045,UTT-District-30-Seat-45,DIST-0030,ST-01,Hon. MP Mohini Pathak,Lok Sabha
PC-0046,UTT-District-31-Seat-46,DIST-0031,ST-01,Hon. MP Theodore Devi,Rajya Sabha
PC-0047,UTT-District-32-Seat-47,DIST-0032,ST-01,Hon. MP Yashodhara Tak,Lok Sabha
PC-0048,UTT-District-32-Seat-48,DIST-0032,ST-01,Hon. MP Gavin Batta,Lok Sabha
PC-0049,UTT-District-33-Seat-49,DIST-0033,ST-01,Hon. MP Imaran Dua,Rajya Sabha
PC-0050,UTT-District-33-Seat-50,DIST-0033,ST-01,Hon. MP Nathaniel Sami,Lok Sabha
PC-0051,UTT-District-34-Seat-51,DIST-0034,ST-01,Hon. MP Devansh Rajan,Rajya Sabha
PC-0052,UTT-District-35-Seat-52,DIST-0035,ST-01,Hon. MP Lakshmi Sidhu,Lok Sabha
PC-0053,UTT-District-35-Seat-53,DIST-0035,ST-01,Hon. MP Zayan Apte,Rajya Sabha
PC-0054,UTT-District-36-Seat-54,DIST-0036,ST-01,Hon. MP Ishwar Yadav,Lok Sabha
PC-0055,UTT-District-36-Seat-55,DIST-0036,ST-01,Hon. MP Amara Oak,Lok Sabha
PC-0056,UTT-District-37-Seat-56,DIST-0037,ST-01,Hon. MP Isaac Memon,Rajya Sabha
PC-0057,UTT-District-38-Seat-57,DIST-0038,ST-01,Hon. MP Radhika Dugar,Lok Sabha
PC-0058,UTT-District-38-Seat-58,DIST-0038,ST-01,Hon. MP Sudiksha Aggarwal,Lok Sabha
PC-0059,UTT-District-39-Seat-59,DIST-0039,ST-01,Hon. MP Adya Tella,Lok Sabha
PC-0060,UTT-District-39-Seat-60,DIST-0039,ST-01,Hon. MP Pranav Tripathi,Rajya Sabha
PC-0061,UTT-District-40-Seat-61,DIST-0040,ST-01,Hon. MP Hitesh Misra,Lok Sabha
PC-0062,UTT-District-40-Seat-62,DIST-0040,ST-01,Hon. MP Yashica Issac,Lok Sabha
PC-0063,UTT-District-41-Seat-63,DIST-0041,ST-01,Hon. MP Michael Prakash,Lok Sabha
PC-0064,UTT-District-41-Seat-64,DIST-0041,ST-01,Hon. MP Neel Zacharia,Lok Sabha
PC-0065,UTT-District-42-Seat-65,DIST-0042,ST-01,Hon. MP Aadi Naik,Lok Sabha
PC-0066,UTT-District-42-Seat-66,DIST-0042,ST-01,Hon. MP Vrinda Bahl,Rajya Sabha
PC-0067,UTT-District-43-Seat-67,DIST-0043,ST-01,Hon. MP Isaac Patil,Rajya Sabha
PC-0068,UTT-District-43-Seat-68,DIST-0043,ST-01,Hon. MP Damyanti Khatri,Lok Sabha
PC-0069,UTT-District-44-Seat-69,DIST-0044,ST-01,Hon. MP Dalbir Khosla,Lok Sabha
PC-0070,UTT-District-44-Seat-70,DIST-0044,ST-01,Hon. MP Farhan Chada,Lok Sabha
PC-0071,UTT-District-45-Seat-71,DIST-0045,ST-01,Hon. MP Vedika Biswas,Rajya Sabha
PC-0072,UTT-District-46-Seat-72,DIST-0046,ST-01,Hon. MP Jeremiah Dave,Rajya Sabha
PC-0073,UTT-District-47-Seat-73,DIST-0047,ST-01,Hon. MP Vaishnavi Gandhi,Lok Sabha
PC-0074,UTT-District-47-Seat-74,DIST-0047,ST-01,Hon. MP Alka Wable,Lok Sabha
PC-0075,UTT-District-48-Seat-75,DIST-0048,ST-01,Hon. MP Pallavi Kakar,Lok Sabha
PC-0076,UTT-District-49-Seat-76,DIST-0049,ST-01,Hon. MP Sai Muni,Rajya Sabha
PC-0077,UTT-District-50-Seat-77,DIST-0050,ST-01,Hon. MP Mohini Prakash,Lok Sabha
PC-0078,UTT-District-51-Seat-78,DIST-0051,ST-01,Hon. MP Raksha Varughese,Lok Sabha
PC-0079,UTT-District-52-Seat-79,DIST-0052,ST-01,Hon. MP Siya Dara,Rajya Sabha
PC-0080,UTT-District-52-Seat-80,DIST-0052,ST-01,Hon. MP Yug Kar,Lok Sabha
PC-0081,UTT-District-53-Seat-81,DIST-0053,ST-01,Hon. MP Devansh Nigam,Lok Sabha
PC-0082,UTT-District-54-Seat-82,DIST-0054,ST-01,Hon. MP Ansh Karpe,Lok Sabha
PC-0083,UTT-District-54-Seat-83,DIST-0054,ST-01,Hon. MP Thomas Amble,Lok Sabha
PC-0084,UTT-District-55-Seat-84,DIST-0055,ST-01,Hon. MP Ekavir Bhargava,Lok Sabha
PC-0085,UTT-District-56-Seat-85,DIST-0056,ST-01,Hon. MP Veer Bir,Lok Sabha
PC-0086,UTT-District-56-Seat-86,DIST-0056,ST-01,Hon. MP Azad Narayanan,Lok Sabha
PC-0087,UTT-District-57-Seat-87,DIST-0057,ST-01,Hon. MP Ekavir Varkey,Lok Sabha
PC-0088,UTT-District-58-Seat-88,DIST-0058,ST-01,Hon. MP Wazir Mallick,Lok Sabha
PC-0089,UTT-District-58-Seat-89,DIST-0058,ST-01,Hon. MP Vedika Kala,Rajya Sabha
PC-0090,UTT-District-59-Seat-90,DIST-0059,ST-01,Hon. MP Kevin Solanki,Lok Sabha
PC-0091,UTT-District-60-Seat-91,DIST-0060,ST-01,Hon. MP Xavier Solanki,Lok Sabha
PC-0092,UTT-District-61-Seat-92,DIST-0061,ST-01,Hon. MP Niharika Gupta,Lok Sabha
PC-0093,UTT-District-61-Seat-93,DIST-0061,ST-01,Hon. MP Girindra Chatterjee,Lok Sabha
PC-0094,UTT-District-62-Seat-94,DIST-0062,ST-01,Hon. MP Raagini Pandya,Lok Sabha
PC-0095,UTT-District-62-Seat-95,DIST-0062,ST-01,Hon. MP Pallavi Roy,Lok Sabha
PC-0096,UTT-District-63-Seat-96,DIST-0063,ST-01,Hon. MP Unni Bhagat,Lok Sabha
PC-0097,UTT-District-63-Seat-97,DIST-0063,ST-01,Hon. MP Guneet Bhat,Rajya Sabha
PC-0098,UTT-District-64-Seat-98,DIST-0064,ST-01,Hon. MP Neha Nori,Lok Sabha
PC-0099,UTT-District-64-Seat-99,DIST-0064,ST-01,Hon. MP Ikbal Kothari,Lok Sabha
PC-0100,UTT-District-65-Seat-100,DIST-0065,ST-01,Hon. MP Rehaan Gupta,Rajya Sabha
PC-0101,UTT-District-65-Seat-101,DIST-0065,ST-01,Hon. MP Saumya Dey,Lok Sabha
PC-0102,UTT-District-66-Seat-102,DIST-0066,ST-01,Hon. MP Pahal Goswami,Lok Sabha
PC-0103,UTT-District-66-Seat-103,DIST-0066,ST-01,Hon. MP Arya Shere,Lok Sabha
PC-0104,UTT-District-67-Seat-104,DIST-0067,ST-01,Hon. MP Zaid Borra,Lok Sabha
PC-0105,UTT-District-67-Seat-105,DIST-0067,ST-01,Hon. MP Saanvi Chaudhari,Lok Sabha
PC-0106,UTT-District-68-Seat-106,DIST-0068,ST-01,Hon. MP Chandresh Zachariah,Lok Sabha
PC-0107,UTT-District-68-Seat-107,DIST-0068,ST-01,Hon. MP Alexander Chander,Rajya Sabha
PC-0108,UTT-District-69-Seat-108,DIST-0069,ST-01,Hon. MP Warjas Ganesan,Lok Sabha
PC-0109,UTT-District-69-Seat-109,DIST-0069,ST-01,Hon. MP Niharika Sunder,Lok Sabha
PC-0110,UTT-District-70-Seat-110,DIST-0070,ST-01,Hon. MP Vasana Kala,Lok Sabha
PC-0111,UTT-District-71-Seat-111,DIST-0071,ST-01,Hon. MP Nandini Bhargava,Rajya Sabha
PC-0112,UTT-District-72-Seat-112,DIST-0072,ST-01,Hon. MP Nitesh Raghavan,Rajya Sabha
PC-0113,UTT-District-72-Seat-113,DIST-0072,ST-01,Hon. MP Aarnav Ramakrishnan,Rajya Sabha
PC-0114,UTT-District-73-Seat-114,DIST-0073,ST-01,Hon. MP Alka Sha,Lok Sabha
PC-0115,UTT-District-73-Seat-115,DIST-0073,ST-01,Hon. MP Bhavika Sampath,Lok Sabha
PC-0116,UTT-District-74-Seat-116,DIST-0074,ST-01,Hon. MP Vidhi Dubey,Lok Sabha
PC-0117,UTT-District-75-Seat-117,DIST-0075,ST-01,Hon. MP Ranveer Minhas,Lok Sabha
PC-0118,MAH-District-01-Seat-118,DIST-0076,ST-02,Hon. MP Teerth Bhardwaj,Lok Sabha
PC-0119,MAH-District-02-Seat-119,DIST-0077,ST-02,Hon. MP Darsh Murthy,Lok Sabha
PC-0120,MAH-District-03-Seat-120,DIST-0078,ST-02,Hon. MP Dakshesh Bedi,Lok Sabha
PC-0121,MAH-District-03-Seat-121,DIST-0078,ST-02,Hon. MP Vansha Thakkar,Rajya Sabha
PC-0122,MAH-District-04-Seat-122,DIST-0079,ST-02,Hon. MP Nakul Bhandari,Rajya Sabha
PC-0123,MAH-District-05-Seat-123,DIST-0080,ST-02,Hon. MP Yashoda Buch,Lok Sabha
PC-0124,MAH-District-06-Seat-124,DIST-0081,ST-02,Hon. MP Quincy Biswas,Rajya Sabha
PC-0125,MAH-District-07-Seat-125,DIST-0082,ST-02,Hon. MP Ekansh Keer,Rajya Sabha
PC-0126,MAH-District-08-Seat-126,DIST-0083,ST-02,Hon. MP Netra Dar,Lok Sabha
PC-0127,MAH-District-08-Seat-127,DIST-0083,ST-02,Hon. MP Yatin Baral,Rajya Sabha
PC-0128,MAH-District-09-Seat-128,DIST-0084,ST-02,Hon. MP Finn Saini,Lok Sabha
PC-0129,MAH-District-09-Seat-129,DIST-0084,ST-02,Hon. MP Diya Lal,Rajya Sabha
PC-0130,MAH-District-10-Seat-130,DIST-0085,ST-02,Hon. MP Samarth Murthy,Lok Sabha
PC-0131,MAH-District-10-Seat-131,DIST-0085,ST-02,Hon. MP William Lanka,Lok Sabha
PC-0132,MAH-District-11-Seat-132,DIST-0086,ST-02,Hon. MP Meghana Deep,Lok Sabha
PC-0133,MAH-District-12-Seat-133,DIST-0087,ST-02,Hon. MP Charita Shankar,Lok Sabha
PC-0134,MAH-District-12-Seat-134,DIST-0087,ST-02,Hon. MP Diya Bora,Lok Sabha
PC-0135,MAH-District-13-Seat-135,DIST-0088,ST-02,Hon. MP Aditya Shanker,Lok Sabha
PC-0136,MAH-District-14-Seat-136,DIST-0089,ST-02,Hon. MP Harish Borah,Lok Sabha
PC-0137,MAH-District-14-Seat-137,DIST-0089,ST-02,Hon. MP Tanay Toor,Lok Sabha
PC-0138,MAH-District-15-Seat-138,DIST-0090,ST-02,Hon. MP Alka Deo,Lok Sabha
PC-0139,MAH-District-15-Seat-139,DIST-0090,ST-02,Hon. MP Ikshita Biswas,Rajya Sabha
PC-0140,MAH-District-16-Seat-140,DIST-0091,ST-02,Hon. MP Yash Pingle,Lok Sabha
PC-0141,MAH-District-16-Seat-141,DIST-0091,ST-02,Hon. MP Bhavani Dugar,Lok Sabha
PC-0142,MAH-District-17-Seat-142,DIST-0092,ST-02,Hon. MP Raksha Mittal,Lok Sabha
PC-0143,MAH-District-17-Seat-143,DIST-0092,ST-02,Hon. MP Abhiram Mistry,Rajya Sabha
PC-0144,MAH-District-18-Seat-144,DIST-0093,ST-02,Hon. MP Hemang Desai,Lok Sabha
PC-0145,MAH-District-18-Seat-145,DIST-0093,ST-02,Hon. MP Aishani D’Alia,Lok Sabha
PC-0146,MAH-District-19-Seat-146,DIST-0094,ST-02,Hon. MP Hredhaan Dugal,Rajya Sabha
PC-0147,MAH-District-19-Seat-147,DIST-0094,ST-02,Hon. MP Anita Manda,Lok Sabha
PC-0148,MAH-District-20-Seat-148,DIST-0095,ST-02,Hon. MP Shivansh Oza,Rajya Sabha
PC-0149,MAH-District-20-Seat-149,DIST-0095,ST-02,Hon. MP Samar Lalla,Lok Sabha
PC-0150,MAH-District-21-Seat-150,DIST-0096,ST-02,Hon. MP Yashasvi Suresh,Rajya Sabha
PC-0151,MAH-District-22-Seat-151,DIST-0097,ST-02,Hon. MP Zayan Behl,Lok Sabha
PC-0152,MAH-District-22-Seat-152,DIST-0097,ST-02,Hon. MP George Sampath,Lok Sabha
PC-0153,MAH-District-23-Seat-153,DIST-0098,ST-02,Hon. MP Aradhana Basu,Lok Sabha
PC-0154,MAH-District-24-Seat-154,DIST-0099,ST-02,Hon. MP Aarush Nath,Lok Sabha
PC-0155,MAH-District-24-Seat-155,DIST-0099,ST-02,Hon. MP Kalpit Lala,Lok Sabha
PC-0156,MAH-District-25-Seat-156,DIST-0100,ST-02,Hon. MP Neel Sathe,Lok Sabha
PC-0157,MAH-District-26-Seat-157,DIST-0101,ST-02,Hon. MP Prisha Andra,Lok Sabha
PC-0158,MAH-District-26-Seat-158,DIST-0101,ST-02,Hon. MP Isaac Borra,Rajya Sabha
PC-0159,MAH-District-27-Seat-159,DIST-0102,ST-02,Hon. MP Manthan Banik,Lok Sabha
PC-0160,MAH-District-27-Seat-160,DIST-0102,ST-02,Hon. MP Kala Divan,Rajya Sabha
PC-0161,MAH-District-28-Seat-161,DIST-0103,ST-02,Hon. MP Qushi Datta,Rajya Sabha
PC-0162,MAH-District-29-Seat-162,DIST-0104,ST-02,Hon. MP Benjamin Morar,Lok Sabha
PC-0163,MAH-District-29-Seat-163,DIST-0104,ST-02,Hon. MP Janya Baral,Lok Sabha
PC-0164,MAH-District-30-Seat-164,DIST-0105,ST-02,Hon. MP Ishita Kade,Rajya Sabha
PC-0165,MAH-District-30-Seat-165,DIST-0105,ST-02,Hon. MP Zaid Chauhan,Lok Sabha
PC-0166,MAH-District-31-Seat-166,DIST-0106,ST-02,Hon. MP Irya Ray,Lok Sabha
PC-0167,MAH-District-32-Seat-167,DIST-0107,ST-02,Hon. MP Mohammed Khalsa,Lok Sabha
PC-0168,MAH-District-32-Seat-168,DIST-0107,ST-02,Hon. MP Nicholas Goel,Lok Sabha
PC-0169,MAH-District-33-Seat-169,DIST-0108,ST-02,Hon. MP Nitara Bakshi,Lok Sabha
PC-0170,MAH-District-34-Seat-170,DIST-0109,ST-02,Hon. MP Praneel Natarajan,Lok Sabha
PC-0171,MAH-District-34-Seat-171,DIST-0109,ST-02,Hon. MP Nisha Kothari,Rajya Sabha
PC-0172,MAH-District-35-Seat-172,DIST-0110,ST-02,Hon. MP Amara Dutta,Lok Sabha
PC-0173,MAH-District-36-Seat-173,DIST-0111,ST-02,Hon. MP Hritik Raja,Lok Sabha
PC-0174,BIH-District-01-Seat-174,DIST-0112,ST-03,Hon. MP Balvan Singhal,Lok Sabha
PC-0175,BIH-District-01-Seat-175,DIST-0112,ST-03,Hon. MP Tristan Iyengar,Lok Sabha
PC-0176,BIH-District-02-Seat-176,DIST-0113,ST-03,Hon. MP Triveni Palla,Lok Sabha
PC-0177,BIH-District-03-Seat-177,DIST-0114,ST-03,Hon. MP Dalaja Kari,Lok Sabha
PC-0178,BIH-District-04-Seat-178,DIST-0115,ST-03,Hon. MP Udant Bajwa,Rajya Sabha
PC-0179,BIH-District-05-Seat-179,DIST-0116,ST-03,Hon. MP Reyansh Rastogi,Lok Sabha
PC-0180,BIH-District-05-Seat-180,DIST-0116,ST-03,Hon. MP Falguni Mallick,Lok Sabha
PC-0181,BIH-District-06-Seat-181,DIST-0117,ST-03,Hon. MP Ekaraj Mallick,Lok Sabha
PC-0182,BIH-District-06-Seat-182,DIST-0117,ST-03,Hon. MP Indali Upadhyay,Lok Sabha
PC-0183,BIH-District-07-Seat-183,DIST-0118,ST-03,Hon. MP Mugdha Yadav,Lok Sabha
PC-0184,BIH-District-08-Seat-184,DIST-0119,ST-03,Hon. MP Garima Bala,Lok Sabha
PC-0185,BIH-District-08-Seat-185,DIST-0119,ST-03,Hon. MP Jack Lal,Lok Sabha
PC-0186,BIH-District-09-Seat-186,DIST-0120,ST-03,Hon. MP Pranav Lanka,Lok Sabha
PC-0187,BIH-District-10-Seat-187,DIST-0121,ST-03,Hon. MP Balvan Chopra,Lok Sabha
PC-0188,BIH-District-11-Seat-188,DIST-0122,ST-03,Hon. MP Radha Pai,Lok Sabha
PC-0189,BIH-District-11-Seat-189,DIST-0122,ST-03,Hon. MP Dipta Sarin,Lok Sabha
PC-0190,BIH-District-12-Seat-190,DIST-0123,ST-03,Hon. MP Yasti D’Alia,Lok Sabha
PC-0191,BIH-District-12-Seat-191,DIST-0123,ST-03,Hon. MP Lekha Gupta,Lok Sabha
PC-0192,BIH-District-13-Seat-192,DIST-0124,ST-03,Hon. MP Aachal Basu,Lok Sabha
PC-0193,BIH-District-13-Seat-193,DIST-0124,ST-03,Hon. MP Rajata Agarwal,Lok Sabha
PC-0194,BIH-District-14-Seat-194,DIST-0125,ST-03,Hon. MP Zinal Yohannan,Rajya Sabha
PC-0195,BIH-District-14-Seat-195,DIST-0125,ST-03,Hon. MP Ronith Patla,Rajya Sabha
PC-0196,BIH-District-15-Seat-196,DIST-0126,ST-03,Hon. MP Raagini Boase,Rajya Sabha
PC-0197,BIH-District-16-Seat-197,DIST-0127,ST-03,Hon. MP Ganga Murthy,Lok Sabha
PC-0198,BIH-District-17-Seat-198,DIST-0128,ST-03,Hon. MP Jeet Mital,Lok Sabha
PC-0199,BIH-District-18-Seat-199,DIST-0129,ST-03,Hon. MP Yashica More,Lok Sabha
PC-0200,BIH-District-19-Seat-200,DIST-0130,ST-03,Hon. MP Nilima Narain,Lok Sabha
PC-0201,BIH-District-19-Seat-201,DIST-0130,ST-03,Hon. MP Neha Merchant,Lok Sabha
PC-0202,BIH-District-20-Seat-202,DIST-0131,ST-03,Hon. MP Joshua Handa,Lok Sabha
PC-0203,BIH-District-21-Seat-203,DIST-0132,ST-03,Hon. MP Osha Raghavan,Lok Sabha
PC-0204,BIH-District-21-Seat-204,DIST-0132,ST-03,Hon. MP Owen Mitra,Lok Sabha
PC-0205,BIH-District-22-Seat-205,DIST-0133,ST-03,Hon. MP Nidra Acharya,Lok Sabha
PC-0206,BIH-District-22-Seat-206,DIST-0133,ST-03,Hon. MP Daksha Mangat,Rajya Sabha
PC-0207,BIH-District-23-Seat-207,DIST-0134,ST-03,Hon. MP Shivansh Sani,Lok Sabha
PC-0208,BIH-District-24-Seat-208,DIST-0135,ST-03,Hon. MP Ekanta Shroff,Lok Sabha
PC-0209,BIH-District-24-Seat-209,DIST-0135,ST-03,Hon. MP Riya Sathe,Rajya Sabha
PC-0210,BIH-District-25-Seat-210,DIST-0136,ST-03,Hon. MP Tanay Vaidya,Lok Sabha
PC-0211,BIH-District-25-Seat-211,DIST-0136,ST-03,Hon. MP Urvashi Gara,Lok Sabha
PC-0212,BIH-District-26-Seat-212,DIST-0137,ST-03,Hon. MP Frado Mander,Lok Sabha
PC-0213,BIH-District-27-Seat-213,DIST-0138,ST-03,Hon. MP Yutika Nayak,Lok Sabha
PC-0214,BIH-District-27-Seat-214,DIST-0138,ST-03,Hon. MP Girik Keer,Lok Sabha
PC-0215,BIH-District-28-Seat-215,DIST-0139,ST-03,Hon. MP Dayita Kar,Lok Sabha
PC-0216,BIH-District-29-Seat-216,DIST-0140,ST-03,Hon. MP Rushil Din,Lok Sabha
PC-0217,BIH-District-29-Seat-217,DIST-0140,ST-03,Hon. MP Aryan Batra,Lok Sabha
PC-0218,BIH-District-30-Seat-218,DIST-0141,ST-03,Hon. MP Yash Soman,Rajya Sabha
PC-0219,BIH-District-31-Seat-219,DIST-0142,ST-03,Hon. MP Elijah Shah,Rajya Sabha
PC-0220,BIH-District-32-Seat-220,DIST-0143,ST-03,Hon. MP Oeshi Hayer,Lok Sabha
PC-0221,BIH-District-32-Seat-221,DIST-0143,ST-03,Hon. MP Leena Talwar,Lok Sabha
PC-0222,BIH-District-33-Seat-222,DIST-0144,ST-03,Hon. MP Mugdha Kohli,Rajya Sabha
PC-0223,BIH-District-33-Seat-223,DIST-0144,ST-03,Hon. MP Manbir Ahluwalia,Lok Sabha
PC-0224,BIH-District-34-Seat-224,DIST-0145,ST-03,Hon. MP Hredhaan Sandal,Lok Sabha
PC-0225,BIH-District-35-Seat-225,DIST-0146,ST-03,Hon. MP Theodore Goda,Lok Sabha
PC-0226,BIH-District-36-Seat-226,DIST-0147,ST-03,Hon. MP Zarna Shetty,Rajya Sabha
PC-0227,BIH-District-37-Seat-227,DIST-0148,ST-03,Hon. MP Chandresh Krish,Lok Sabha
PC-0228,BIH-District-38-Seat-228,DIST-0149,ST-03,Hon. MP Jairaj Shan,Lok Sabha
PC-0229,WES-District-01-Seat-229,DIST-0150,ST-04,Hon. MP Kiaan Shetty,Lok Sabha
PC-0230,WES-District-01-Seat-230,DIST-0150,ST-04,Hon. MP Edhitha Savant,Lok Sabha
PC-0231,WES-District-02-Seat-231,DIST-0151,ST-04,Hon. MP Yamini Sandhu,Lok Sabha
PC-0232,WES-District-02-Seat-232,DIST-0151,ST-04,Hon. MP Sanaya Dutt,Lok Sabha
PC-0233,WES-District-03-Seat-233,DIST-0152,ST-04,Hon. MP Vaishnavi Sengupta,Lok Sabha
PC-0234,WES-District-04-Seat-234,DIST-0153,ST-04,Hon. MP Aashi Kota,Lok Sabha
PC-0235,WES-District-05-Seat-235,DIST-0154,ST-04,Hon. MP Aradhana Verma,Lok Sabha
PC-0236,WES-District-06-Seat-236,DIST-0155,ST-04,Hon. MP Vedhika Khare,Lok Sabha
PC-0237,WES-District-06-Seat-237,DIST-0155,ST-04,Hon. MP Anvi Sarraf,Lok Sabha
PC-0238,WES-District-07-Seat-238,DIST-0156,ST-04,Hon. MP Faras Mangal,Lok Sabha
PC-0239,WES-District-08-Seat-239,DIST-0157,ST-04,Hon. MP Wahab Magar,Lok Sabha
PC-0240,WES-District-08-Seat-240,DIST-0157,ST-04,Hon. MP Gautami Nagarajan,Rajya Sabha
PC-0241,WES-District-09-Seat-241,DIST-0158,ST-04,Hon. MP Faris Devi,Lok Sabha
PC-0242,WES-District-09-Seat-242,DIST-0158,ST-04,Hon. MP Matthew Kashyap,Lok Sabha
PC-0243,WES-District-10-Seat-243,DIST-0159,ST-04,Hon. MP Leela Dua,Lok Sabha
PC-0244,WES-District-11-Seat-244,DIST-0160,ST-04,Hon. MP Tanish Bhatt,Lok Sabha
PC-0245,WES-District-11-Seat-245,DIST-0160,ST-04,Hon. MP Oeshi Reddy,Lok Sabha
PC-0246,WES-District-12-Seat-246,DIST-0161,ST-04,Hon. MP Ganga Shukla,Lok Sabha
PC-0247,WES-District-12-Seat-247,DIST-0161,ST-04,Hon. MP Ojasvi Bhatia,Lok Sabha
PC-0248,WES-District-13-Seat-248,DIST-0162,ST-04,Hon. MP Samuel Salvi,Lok Sabha
PC-0249,WES-District-14-Seat-249,DIST-0163,ST-04,Hon. MP Lopa Bahri,Rajya Sabha
PC-0250,WES-District-15-Seat-250,DIST-0164,ST-04,Hon. MP Lajita Sood,Lok Sabha
PC-0251,WES-District-15-Seat-251,DIST-0164,ST-04,Hon. MP Abeer Pandey,Lok Sabha
PC-0252,WES-District-16-Seat-252,DIST-0165,ST-04,Hon. MP Chanchal Ramakrishnan,Lok Sabha
PC-0253,WES-District-17-Seat-253,DIST-0166,ST-04,Hon. MP Oni Yohannan,Lok Sabha
