contractor_id,contractor_name,home_district_id,home_state_id,registration_category,financial_capacity,base_quality_score,past_irregularity_rate,contractor_past_irregularity_rate,contractor_capacity_strain,contractor_project_count,contractor_total_contract_value,contractor_average_contract_value,contractor_max_contract_value,contractor_project_share,contractor_value_share,contractor_district_concentration,contractor_agency_concentration,contractor_constituency_concentration,contractor_delay_rate,contractor_completion_rate,contractor_cancellation_rate,contractor_previous_irregularities,contractor_financial_capacity,contractor_value_to_capacity,repeated_agency_contractor_pair,shared_ownership,shared_directors,shared_shareholders,shared_address,beneficial_owner_overlap,contractor_financial_health,company_ownership_change,director_change,address_change
CONT-0011,"Sinha, Bhatia and Devi Infrastructure Pvt Ltd",DIST-0065,ST-01,Class B,5000000.0,0.81,0.0339,0.0583,0.48,24,98409059.82244347,10476630.281663267,20616393.168661565,0.165,0.1886,0.234,0.501,0.581,0.268,0.675,0.053,0,5000000.0,0.418,0,0,0,0,0,0,0.856,0,0,0
CONT-0012,"Johal, Nair and Sridhar Infrastructure Pvt Ltd",DIST-0414,ST-11,Class A,20000000.0,0.979,0.124,0.0353,1.558,27,170102742.29335913,6760489.070514129,6922575.3461193135,0.1385,0.3805,0.562,0.276,0.616,0.435,0.95,0.046,0,20000000.0,1.342,0,0,0,0,0,0,0.75,0,0,0
CONT-0013,Vora Enterprises,DIST-0209,ST-05,Class C,20000000.0,0.94,0.0692,0.0163,1.441,31,244954302.07609853,13612691.822861766,10981672.293964962,0.3087,0.3371,0.853,0.306,0.188,0.42,0.707,0.029,0,5000000.0,0.229,0,0,0,0,0,0,0.951,0,0,0
CONT-0014,Murthy-Ghose Infrastructure Pvt Ltd,DIST-0588,ST-17,Class C,20000000.0,0.809,0.0733,0.0187,0.439,17,42200513.27364601,9416278.802457232,41368316.45170661,0.3115,0.2577,0.502,0.308,0.401,0.183,0.937,0.039,0,5000000.0,0.391,0,1,1,0,0,0,0.556,0,0,0
CONT-0015,Walia-Oommen Infrastructure Pvt Ltd,DIST-0024,ST-01,Class C,5000000.0,0.709,0.139,0.0068,1.263,6,243390924.28848922,6869143.256320845,7928493.222988213,0.1928,0.259,0.305,0.587,0.248,0.388,0.926,0.034,2,100000000.0,0.381,0,0,0,0,0,0,0.587,0,0,0
CONT-0016,"Pandya, Lalla and Sule Infrastructure Pvt Ltd",DIST-0376,ST-09,Class A,100000000.0,0.7,0.0487,0.0305,0.563,5,163885559.25337946,11426503.954698702,16855503.208521012,0.1219,0.1063,0.918,0.333,0.237,0.228,0.712,0.013,0,20000000.0,1.057,0,0,0,0,0,0,0.694,0,0,0
CONT-0017,Koshy LLC Infrastructure Pvt Ltd,DIST-0178,ST-05,Class B,5000000.0,0.826,0.1337,0.1057,1.313,29,120449080.71320273,6494061.398461154,36434620.12647703,0.3435,0.1757,0.494,0.5,0.419,0.446,0.883,0.029,0,20000000.0,0.251,0,0,0,0,0,0,0.841,0,0,0
CONT-0018,Misra Enterprises,DIST-0373,ST-09,Class C,5000000.0,0.755,0.0384,0.0278,1.098,14,54641048.87985789,3913130.4749172754,35480958.31017988,0.1446,0.1231,0.224,0.792,0.124,0.35,0.776,0.048,0,5000000.0,0.947,0,0,0,0,0,0,0.742,0,0,0
CONT-0019,Kar Enterprises,DIST-0346,ST-08,Class B,5000000.0,0.827,0.0195,0.0261,1.336,4,145819578.83179724,10320944.70471002,12977018.492762666,0.0227,0.3188,0.325,0.264,0.803,0.435,0.853,0.03,1,5000000.0,0.801,0,0,0,0,0,0,0.955,0,0,0
CONT-0020,Mishra Enterprises,DIST-0519,ST-15,Class A,20000000.0,0.827,0.2099,0.0329,0.436,4,184515639.08126572,4732147.112400051,34538770.56473301,0.265,0.0331,0.777,0.388,0.392,0.085,0.927,0.045,0,100000000.0,0.668,0,0,0,0,0,0,0.959,0,0,0
CONT-0021,Johal-Suresh Infrastructure Pvt Ltd,DIST-0022,ST-01,Class B,100000000.0,0.757,0.0437,0.2709,1.584,2,46646486.43994646,10994173.161640318,27762399.345043663,0.1907,0.2855,0.567,0.62,0.273,0.201,0.936,0.009,0,5000000.0,1.385,0,0,0,0,0,0,0.66,0,0,0
CONT-0022,Srinivasan-Palla Infrastructure Pvt Ltd,DIST-0590,ST-17,Class B,5000000.0,0.742,0.1237,0.1974,1.418,23,175314057.8832276,12042992.86190716,46367116.75976318,0.2695,0.1789,0.405,0.55,0.346,0.427,0.818,0.038,0,20000000.0,0.928,1,0,0,0,0,0,0.708,0,0,0
CONT-0023,"Mahal, Mani and Dara Infrastructure Pvt Ltd",DIST-0307,ST-07,Class C,20000000.0,0.78,0.1108,0.09,1.454,27,220577878.6458733,5584349.387035439,10777017.382543206,0.3419,0.0886,0.302,0.638,0.339,0.103,0.848,0.061,1,5000000.0,0.98,0,0,0,0,1,0,0.641,1,0,0
CONT-0024,"Raghavan, Rana and Pai Infrastructure Pvt Ltd",DIST-0108,ST-02,Class B,5000000.0,0.705,0.0389,0.097,1.367,6,136676877.4737137,10703242.44676937,40228597.249044135,0.0373,0.0188,0.286,0.476,0.45,0.105,0.786,0.035,0,100000000.0,1.039,0,0,0,0,0,0,0.688,0,0,0
CONT-0025,Mannan Inc Infrastructure Pvt Ltd,DIST-0212,ST-05,Class B,5000000.0,0.893,0.1458,0.0357,1.445,33,183711943.74367437,8635688.39792009,37079227.488515414,0.0865,0.2981,0.736,0.387,0.517,0.392,0.732,0.059,2,100000000.0,0.762,0,0,0,0,0,0,0.8,0,1,0
CONT-0026,Brar-Pal Infrastructure Pvt Ltd,DIST-0293,ST-07,Class C,20000000.0,0.943,0.134,0.0223,1.331,15,48511519.054713145,13022431.45653623,5551054.960587009,0.1603,0.1941,0.481,0.61,0.786,0.181,0.841,0.07,1,5000000.0,1.52,1,0,0,0,0,0,0.803,0,0,0
CONT-0027,Kunda-Srinivas Infrastructure Pvt Ltd,DIST-0526,ST-15,Class C,20000000.0,0.759,0.0445,0.0175,1.118,11,75776223.68697324,14900981.289221209,36708733.35185695,0.0272,0.185,0.329,0.286,0.54,0.252,0.895,0.071,0,100000000.0,0.925,0,0,0,0,0,0,0.566,0,0,0
CONT-0028,Jaggi PLC Infrastructure Pvt Ltd,DIST-0052,ST-01,Class A,5000000.0,0.807,0.012,0.0664,1.013,41,148064242.39936748,8522306.919078697,32745993.060058203,0.3154,0.2827,0.599,0.652,0.555,0.223,0.856,0.035,1,100000000.0,1.544,0,0,0,0,0,0,0.88,0,0,0
CONT-0029,Madan Enterprises,DIST-0428,ST-11,Class B,5000000.0,0.894,0.0982,0.0253,0.78,17,185718183.88017404,3372862.281282704,43969734.72610361,0.0852,0.0524,0.208,0.701,0.292,0.254,0.687,0.079,0,20000000.0,1.392,1,0,0,0,0,0,0.906,0,1,0
CONT-0030,Magar Enterprises,DIST-0099,ST-02,Class B,5000000.0,0.896,0.0473,0.0622,1.511,3,15686146.075914698,12637302.32050024,14274225.78486983,0.1253,0.255,0.275,0.25,0.119,0.417,0.753,0.053,4,20000000.0,0.935,0,0,0,0,0,0,0.814,0,0,0
CONT-0031,Chopra PLC Infrastructure Pvt Ltd,DIST-0239,ST-06,Class C,5000000.0,0.9,0.0685,0.2916,1.356,2,114565516.97148952,13592123.545927651,6622821.924787645,0.1655,0.2676,0.866,0.616,0.718,0.139,0.766,0.075,1,20000000.0,0.866,0,0,0,0,0,0,0.943,0,0,0
CONT-0032,"Khatri, Kibe and Bedi Infrastructure Pvt Ltd",DIST-0085,ST-02,Class B,5000000.0,0.874,0.0147,0.0726,0.617,28,84732984.80081077,10194334.032022202,33204788.405384634,0.2953,0.2986,0.83,0.638,0.437,0.207,0.775,0.033,0,20000000.0,0.745,1,0,0,0,0,0,0.881,0,0,0
CONT-0033,"Wali, Kara and Kaul Infrastructure Pvt Ltd",DIST-0531,ST-15,Class C,5000000.0,0.867,0.0221,0.0352,1.255,4,119311192.0415541,10994979.182831429,5757176.1655601775,0.1021,0.3132,0.882,0.507,0.161,0.369,0.942,0.033,0,5000000.0,1.028,0,0,0,0,0,0,0.69,0,0,0
CONT-0034,Chaudhry Group Infrastructure Pvt Ltd,DIST-0326,ST-08,Class B,20000000.0,0.974,0.0474,0.0411,1.317,4,118726267.428794,11350288.879203368,39121510.19021875,0.2977,0.1562,0.445,0.7,0.536,0.303,0.833,0.062,0,20000000.0,0.421,0,0,0,0,0,0,0.767,0,0,0
CONT-0035,Sodhi-Chaudhry Infrastructure Pvt Ltd,DIST-0313,ST-07,Class C,5000000.0,0.78,0.0201,0.0992,1.322,44,127573070.07837567,2434232.019823865,30846702.669414975,0.1998,0.0158,0.846,0.634,0.659,0.248,0.854,0.021,2,20000000.0,0.427,1,0,0,0,0,0,0.983,0,0,0
CONT-0036,"Devan, Ahluwalia and Dugar Infrastructure Pvt Ltd",DIST-0580,ST-17,Class A,5000000.0,0.817,0.0844,0.0131,0.727,8,61605205.21545196,3460486.547757203,14784279.321308581,0.318,0.0432,0.444,0.57,0.366,0.257,0.664,0.052,0,20000000.0,0.994,0,0,0,0,0,0,0.65,0,1,0
CONT-0037,Soni-Sood Infrastructure Pvt Ltd,DIST-0204,ST-05,Class B,5000000.0,0.925,0.024,0.0032,0.489,34,47060662.7253361,3610704.495183033,46682749.44822079,0.0147,0.2447,0.911,0.452,0.495,0.328,0.755,0.038,1,20000000.0,1.332,0,0,0,0,0,0,0.879,0,0,0
CONT-0038,"Iyengar, Mani and Nagi Infrastructure Pvt Ltd",DIST-0130,ST-03,Class B,5000000.0,0.866,0.0525,0.0279,0.833,3,67954740.45169161,11399924.137253582,30825648.210732605,0.2469,0.2611,0.73,0.834,0.523,0.077,0.739,0.057,0,20000000.0,1.035,0,0,0,0,0,0,0.868,0,0,0
CONT-0039,Bhargava-Chakraborty Infrastructure Pvt Ltd,DIST-0604,ST-18,Class B,20000000.0,0.834,0.0675,0.0092,0.534,41,139083138.67976835,4251562.126231536,31893717.60319293,0.2029,0.3117,0.471,0.374,0.813,0.274,0.659,0.066,0,20000000.0,1.187,0,0,0,0,0,0,0.671,0,0,0
CONT-0040,"Kata, Warrior and Barad Infrastructure Pvt Ltd",DIST-0350,ST-09,Class A,5000000.0,0.772,0.0431,0.1057,1.44,4,153679233.3898441,8871467.589508297,45057315.091868386,0.1645,0.3265,0.24,0.201,0.496,0.079,0.972,0.0,0,5000000.0,1.555,0,1,1,1,1,1,0.562,0,0,0
CONT-0041,Sahni and Sons Infrastructure Pvt Ltd,DIST-0559,ST-16,Class B,20000000.0,0.77,0.0141,0.1686,0.544,36,222885421.734012,14045640.414318796,34707911.64438654,0.0771,0.0433,0.374,0.873,0.822,0.203,0.758,0.041,0,100000000.0,0.51,0,0,0,0,0,0,0.605,0,0,0
CONT-0042,Ranganathan Group Infrastructure Pvt Ltd,DIST-0458,ST-12,Class A,5000000.0,0.717,0.0765,0.0126,0.825,18,201197756.56142125,8003565.548018124,15248369.127898728,0.3478,0.0551,0.917,0.766,0.729,0.368,0.719,0.051,1,20000000.0,0.58,1,0,0,0,0,0,0.761,0,0,0
CONT-0043,Mann Inc Infrastructure Pvt Ltd,DIST-0328,ST-08,Class B,5000000.0,0.703,0.163,0.048,0.872,20,239900759.86449644,9597101.816051975,35560101.49574306,0.1907,0.3245,0.872,0.468,0.618,0.142,0.865,0.032,0,100000000.0,1.416,0,0,0,0,0,0,0.69,0,0,0
CONT-0044,Misra PLC Infrastructure Pvt Ltd,DIST-0092,ST-02,Class B,5000000.0,0.889,0.0361,0.0837,1.593,25,91430701.2863953,11929437.08029312,37773448.940329656,0.2143,0.2278,0.751,0.899,0.534,0.373,0.896,0.068,2,5000000.0,0.432,0,0,0,0,0,0,0.801,0,0,0
CONT-0045,"Chhabra, Nayak and Mane Infrastructure Pvt Ltd",DIST-0449,ST-12,Class A,20000000.0,0.853,0.1689,0.11,0.762,37,175585607.10689747,6638759.744553657,8028223.147902,0.147,0.1116,0.444,0.314,0.594,0.261,0.739,0.044,0,20000000.0,1.538,1,0,0,0,0,0,0.86,0,0,0
CONT-0046,Sha Enterprises,DIST-0271,ST-07,Class B,20000000.0,0.711,0.0518,0.0354,1.367,40,76039251.92320263,4543445.274336128,14623361.395519963,0.0774,0.2143,0.302,0.662,0.179,0.061,0.755,0.015,4,5000000.0,0.511,1,0,0,0,0,0,0.817,0,0,0
CONT-0047,"Viswanathan, Tak and Desai Infrastructure Pvt Ltd",DIST-0443,ST-12,Class B,20000000.0,0.93,0.1261,0.081,1.595,16,139049436.4128961,2635178.787854638,25173629.13913508,0.3187,0.2876,0.238,0.819,0.72,0.269,0.657,0.045,0,5000000.0,1.08,0,0,0,0,0,0,0.928,0,1,0
CONT-0048,"Sidhu, Mahajan and Hans Infrastructure Pvt Ltd",DIST-0379,ST-09,Class B,20000000.0,0.907,0.1009,0.0767,1.204,39,98412145.0141126,5472186.596286369,42301894.166935965,0.0591,0.262,0.938,0.681,0.159,0.413,0.862,0.037,0,100000000.0,0.868,0,0,0,0,0,0,0.582,0,0,0
CONT-0049,Narayanan and Sons Infrastructure Pvt Ltd,DIST-0116,ST-03,Class B,5000000.0,0.748,0.0154,0.0363,1.755,17,76430258.55391496,7542592.181416644,14519445.214272475,0.3111,0.1509,0.693,0.472,0.776,0.307,0.811,0.011,2,20000000.0,0.599,0,0,0,0,0,0,0.688,0,0,0
CONT-0050,Shanker Enterprises,DIST-0266,ST-07,Class A,100000000.0,0.861,0.0776,0.0577,1.656,16,54209851.42257568,3189113.061850721,12624827.024527183,0.2764,0.3664,0.894,0.409,0.73,0.264,0.922,0.044,0,5000000.0,1.54,0,0,0,0,1,0,0.707,0,0,0
CONT-0051,Kurian Enterprises,DIST-0510,ST-15,Class A,5000000.0,0.763,0.0893,0.0092,1.8,9,138964499.41781306,5312028.624962156,19458745.379829712,0.1852,0.2214,0.21,0.872,0.532,0.286,0.72,0.061,0,5000000.0,1.033,0,0,0,0,0,0,0.641,0,0,0
CONT-0052,Grewal Enterprises,DIST-0477,ST-13,Class B,20000000.0,0.752,0.0112,0.0281,0.414,19,31484542.321192734,6650783.304866716,15068425.710638192,0.3216,0.3532,0.814,0.7,0.216,0.069,0.866,0.051,0,20000000.0,0.885,1,0,0,0,0,0,0.734,0,0,0
CONT-0053,Nazareth LLC Infrastructure Pvt Ltd,DIST-0269,ST-07,Class B,20000000.0,0.86,0.0173,0.01,0.648,44,94833969.23337962,7991139.391810331,22428797.239429045,0.1873,0.1973,0.406,0.497,0.781,0.251,0.952,0.044,1,5000000.0,1.307,0,0,0,1,0,0,0.621,1,0,0
CONT-0054,"Hans, Gill and Ravi Infrastructure Pvt Ltd",DIST-0504,ST-14,Class C,5000000.0,0.841,0.0721,0.0567,1.75,30,159164420.85518804,9587328.772852521,32143401.18827018,0.1954,0.0332,0.724,0.701,0.484,0.398,0.872,0.029,0,5000000.0,0.693,0,0,0,0,0,0,0.633,0,0,0
CONT-0055,Varma-Narang Infrastructure Pvt Ltd,DIST-0526,ST-15,Class A,5000000.0,0.713,0.1028,0.0825,1.308,12,142189061.51937652,5969497.339973567,28937680.517842803,0.0286,0.0538,0.205,0.819,0.603,0.169,0.723,0.055,2,5000000.0,0.65,0,0,0,0,0,0,0.952,0,0,0
CONT-0056,Chadha Enterprises,DIST-0605,ST-18,Class B,100000000.0,0.973,0.0512,0.0586,0.425,36,72049112.02981643,13010119.604152529,12221798.147233805,0.2788,0.2262,0.483,0.302,0.848,0.297,0.795,0.03,2,100000000.0,1.336,0,0,0,0,1,0,0.682,0,0,0
CONT-0057,Chandran-Goyal Infrastructure Pvt Ltd,DIST-0228,ST-06,Class B,100000000.0,0.976,0.0658,0.0662,0.965,39,80507270.02361701,10902814.345112655,37679383.55407805,0.2971,0.1348,0.756,0.275,0.204,0.217,0.668,0.076,2,5000000.0,1.374,0,0,0,0,0,0,0.94,0,0,1
CONT-0058,Sood LLC Infrastructure Pvt Ltd,DIST-0501,ST-14,Class B,5000000.0,0.956,0.1918,0.0661,1.548,38,136775456.74634615,2527908.5160461017,14641512.032005785,0.269,0.3194,0.782,0.3,0.513,0.219,0.977,0.052,2,5000000.0,0.831,0,0,0,0,0,0,0.828,0,0,0
CONT-0059,Ahuja LLC Infrastructure Pvt Ltd,DIST-0138,ST-03,Class B,5000000.0,0.97,0.0803,0.1648,1.096,15,99771054.72220182,6792101.0002686065,6427271.876489948,0.1541,0.1693,0.369,0.373,0.538,0.177,0.924,0.009,0,5000000.0,0.94,0,0,0,0,0,0,0.738,0,0,0
CONT-0060,Keer-Sekhon Infrastructure Pvt Ltd,DIST-0417,ST-11,Class C,20000000.0,0.766,0.0351,0.0662,0.479,25,215587634.17214826,7111296.9362545535,10304396.184063196,0.1004,0.244,0.314,0.658,0.429,0.184,0.73,0.066,0,20000000.0,0.816,1,0,0,0,0,0,0.773,0,0,0
CONT-0061,Narayan-Mittal Infrastructure Pvt Ltd,DIST-0248,ST-06,Class B,5000000.0,0.927,0.0305,0.0247,0.887,20,94346227.48788789,14246880.537727674,16461960.307481527,0.1056,0.2576,0.203,0.709,0.383,0.441,0.878,0.004,0,5000000.0,1.534,0,0,0,0,0,0,0.638,0,0,0
CONT-0062,"Apte, Lal and Parsa Infrastructure Pvt Ltd",DIST-0351,ST-09,Class B,5000000.0,0.97,0.0404,0.1317,1.289,7,68372991.01368442,13387965.411541304,22079799.818360507,0.1022,0.0861,0.803,0.448,0.463,0.139,0.876,0.062,0,100000000.0,0.243,1,0,0,0,0,0,0.859,0,0,0
CONT-0063,"Keer, Bhatia and Dani Infrastructure Pvt Ltd",DIST-0456,ST-12,Class B,20000000.0,0.862,0.088,0.0457,1.754,20,31628378.48219893,11011302.55296714,32162934.325169835,0.1248,0.1117,0.739,0.719,0.345,0.4,0.739,0.006,0,5000000.0,0.587,0,0,0,0,0,0,0.645,0,0,0
CONT-0064,Mohanty-Dutta Infrastructure Pvt Ltd,DIST-0425,ST-11,Class C,5000000.0,0.768,0.0592,0.0331,0.424,40,151304007.90885234,11024821.775943886,6504274.072035697,0.0247,0.1119,0.263,0.579,0.193,0.309,0.906,0.078,2,5000000.0,0.241,0,0,0,0,0,0,0.576,0,0,0
CONT-0065,Thakkar-Mukhopadhyay Infrastructure Pvt Ltd,DIST-0115,ST-03,Class C,5000000.0,0.742,0.0463,0.041,1.723,18,239145599.091449,4438684.544666227,32846446.803782072,0.2918,0.2085,0.472,0.889,0.206,0.214,0.938,0.072,4,100000000.0,0.271,0,0,0,0,0,0,0.837,0,0,0
CONT-0066,"Dalal, Merchant and Pillai Infrastructure Pvt Ltd",DIST-0411,ST-11,Class B,5000000.0,0.894,0.0574,0.0007,0.701,4,50245891.472669706,6715182.669338575,35954908.95170535,0.1846,0.2429,0.388,0.853,0.41,0.165,0.948,0.052,0,100000000.0,0.282,0,0,0,0,0,0,0.708,0,0,0
CONT-0067,Kant Enterprises,DIST-0386,ST-10,Class C,5000000.0,0.928,0.0337,0.0551,1.492,31,211331862.87142912,14458586.570955439,45639308.95964553,0.161,0.1654,0.872,0.849,0.83,0.357,0.717,0.076,2,20000000.0,1.4,0,0,0,0,0,0,0.591,0,1,0
CONT-0068,Kanda Enterprises,DIST-0557,ST-16,Class C,20000000.0,0.951,0.0616,0.0256,1.752,25,172450090.2790309,6698483.30326239,5101636.037000345,0.0919,0.3079,0.732,0.432,0.569,0.128,0.737,0.076,0,5000000.0,0.882,0,0,0,0,0,0,0.973,0,0,0
CONT-0069,Sridhar and Sons Infrastructure Pvt Ltd,DIST-0446,ST-12,Class C,20000000.0,0.838,0.1088,0.0088,1.401,11,141907272.93287462,10998390.682371907,22695199.68204538,0.2655,0.3645,0.727,0.855,0.541,0.281,0.751,0.057,1,20000000.0,0.526,0,0,0,0,1,0,0.963,0,0,0
CONT-0070,Sha Enterprises,DIST-0606,ST-18,Class B,5000000.0,0.826,0.0348,0.0473,0.576,24,235497997.02453867,4248828.5046432745,25822047.58676708,0.0447,0.1423,0.249,0.385,0.843,0.068,0.933,0.006,0,20000000.0,1.504,1,0,0,0,0,0,0.879,0,0,1
CONT-0071,Prakash Enterprises,DIST-0507,ST-15,Class B,5000000.0,0.773,0.0983,0.0287,0.927,42,180519879.19561717,4539874.964977539,47490866.88091472,0.1311,0.1736,0.724,0.626,0.43,0.31,0.948,0.064,1,5000000.0,0.787,0,0,0,1,0,0,0.889,0,0,0
CONT-0072,Sagar Enterprises,DIST-0359,ST-09,Class B,5000000.0,0.758,0.0442,0.1714,1.62,28,67883994.45407228,6482063.766897217,22618148.678605907,0.198,0.1007,0.367,0.467,0.604,0.325,0.972,0.016,0,100000000.0,1.166,0,0,0,0,0,0,0.583,0,0,0
CONT-0073,"Sinha, Yogi and Kamdar Infrastructure Pvt Ltd",DIST-0133,ST-03,Class C,20000000.0,0.71,0.0405,0.0227,1.694,38,134595660.7805411,10121649.091233613,14576587.259063078,0.1623,0.0891,0.216,0.887,0.294,0.287,0.749,0.03,0,5000000.0,1.092,0,0,0,0,0,0,0.978,0,0,0
CONT-0074,Kota Enterprises,DIST-0560,ST-16,Class B,100000000.0,0.787,0.0827,0.0648,1.318,7,60116544.2285029,14010375.50856548,32353606.07824509,0.3139,0.053,0.894,0.564,0.601,0.199,0.67,0.077,4,5000000.0,1.521,1,0,0,0,0,0,0.582,0,1,0
CONT-0075,Bumb Enterprises,DIST-0143,ST-03,Class B,5000000.0,0.915,0.02,0.0431,0.672,30,93833156.66504669,8337725.687353138,12063444.401698058,0.3414,0.2932,0.4,0.46,0.417,0.349,0.955,0.026,0,20000000.0,0.751,0,0,0,0,0,0,0.624,0,0,0
CONT-0076,Vora Enterprises,DIST-0453,ST-12,Class B,5000000.0,0.893,0.0375,0.2031,1.05,34,38663940.83015344,10992776.437406423,35030481.07117763,0.1361,0.3884,0.871,0.421,0.123,0.173,0.718,0.044,2,100000000.0,0.628,0,0,0,1,0,0,0.789,0,0,0
CONT-0077,Sekhon Enterprises,DIST-0466,ST-12,Class C,20000000.0,0.754,0.0641,0.089,1.427,22,145965680.80857116,10733906.7643844,20965712.3257722,0.2929,0.2092,0.67,0.299,0.117,0.07,0.948,0.071,1,5000000.0,0.936,0,0,0,0,0,0,0.601,0,0,0
CONT-0078,"Pathak, Brahmbhatt and Choudhury Infrastructure Pvt Ltd",DIST-0102,ST-02,Class B,100000000.0,0.733,0.0829,0.0338,1.207,10,210737087.9049763,7318824.313001858,24033527.395800237,0.1789,0.2309,0.281,0.419,0.229,0.204,0.971,0.047,0,20000000.0,1.137,0,0,0,0,0,0,0.859,0,0,0
CONT-0079,Tiwari and Sons Infrastructure Pvt Ltd,DIST-0448,ST-12,Class B,5000000.0,0.865,0.0705,0.0226,1.1,16,80651372.61352506,3154531.1282146876,42247170.71354302,0.3307,0.3442,0.45,0.265,0.31,0.387,0.866,0.077,0,20000000.0,1.306,1,0,0,0,0,0,0.811,1,1,0
CONT-0080,"Yadav, Doctor and Gala Infrastructure Pvt Ltd",DIST-0395,ST-10,Class B,20000000.0,0.963,0.1125,0.0828,1.352,14,200140863.28417996,14244733.772665588,9092066.948464036,0.062,0.3899,0.348,0.255,0.814,0.407,0.866,0.044,2,20000000.0,1.122,0,0,0,0,0,0,0.772,0,0,0
CONT-0081,Venkatesh-Sathe Infrastructure Pvt Ltd,DIST-0069,ST-01,Class B,5000000.0,0.779,0.1717,0.0983,1.573,23,25221903.83280112,12390051.662880136,36894476.66989257,0.0804,0.3734,0.503,0.821,0.554,0.261,0.703,0.073,0,5000000.0,0.226,0,0,0,0,0,0,0.813,0,0,0
CONT-0082,Dada Enterprises,DIST-0584,ST-17,Class B,20000000.0,0.84,0.0114,0.0307,0.912,33,109698203.47564632,3770439.2880421886,42529998.24177819,0.2891,0.281,0.762,0.385,0.582,0.065,0.715,0.075,0,5000000.0,0.356,0,0,0,0,0,0,0.663,0,1,0
