document_id,project_id,administrative_sanction,technical_sanction,dpr,work_order,measurement_book,utilization_certificate,completion_certificate,geo_tagged_photos,photo_count,required_document_count,available_document_count,missing_document_ratio,document_exists_flag,document_type,document_date,document_amount,document_entity,document_project_reference,document_database_match_score,document_amount_mismatch,document_date_mismatch,document_entity_mismatch,document_duplicate_hash,document_version_count,document_tampering_flag,ocr_confidence_score,data_completeness_score,missing_field_count,missing_critical_field_flag,data_validation_status,data_source,source_system,last_updated_timestamp,record_update_count,late_data_submission_flag,inconsistent_record_flag,cross_source_mismatch_flag,asset_id,asset_created_flag,asset_register_entry_flag,asset_location,asset_latitude,asset_longitude,asset_photo_available,asset_photo_date,asset_photo_count,asset_status,asset_verification_status,asset_project_link_match,asset_geo_consistency,asset_completion_evidence_score
DOC-000011,MPLADS-000011,True,True,True,True,True,True,True,True,3,5,5,0.0,1,PDF_BUNDLE,2023-01-27,487000.0,MAD-District-03 - Rural Development Department (RDD),MPLADS-000011,0.98,0,0,0,SHA256-e3c2ecf62b83,1,0,0.949,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.877933+00:00,3,0,0,0,ASSET-000011,0,0,WES-District-02 Sector 4,24.77237,87.19473,1,,3,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000012,MPLADS-000012,True,True,True,True,True,True,True,True,6,5,5,0.0,1,PDF_BUNDLE,2023-12-16,17124000.0,MAH-District-25 - Rural Development Department (RDD),MPLADS-000012,0.98,0,0,0,SHA256-07cd4a796f42,1,0,0.933,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.878242+00:00,3,0,0,0,ASSET-000012,0,0,TAM-District-17 Sector 9,8.79606,78.3301,1,,6,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000013,MPLADS-000013,True,True,True,True,True,True,True,True,6,5,5,0.0,1,PDF_BUNDLE,2023-01-26,2171000.0,CHH-District-10 - Public Works Department (PWD),MPLADS-000013,0.98,0,0,0,SHA256-3920f6cf6a4b,1,0,0.92,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.878557+00:00,3,0,0,0,ASSET-000013,0,0,WES-District-18 Sector 11,26.46965,87.36029,1,,6,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000014,MPLADS-000014,True,True,True,True,True,True,True,True,3,5,5,0.0,1,PDF_BUNDLE,2022-08-14,913000.0,AND-District-01 - Rural Development Department (RDD),MPLADS-000014,0.98,0,0,0,SHA256-5669901deaf8,1,0,0.891,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.878862+00:00,3,0,0,0,ASSET-000014,0,0,KAR-District-30 Sector 12,17.56368,78.10915,1,,3,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000015,MPLADS-000015,True,True,True,True,True,True,True,True,3,5,5,0.0,1,PDF_BUNDLE,2022-11-06,2440000.0,KAR-District-15 - Panchayati Raj Institution (PRI),MPLADS-000015,0.98,0,0,0,SHA256-46e47b8a6bd7,1,0,0.906,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.879184+00:00,3,0,0,0,ASSET-000015,0,0,ASS-District-17 Sector 7,26.96549,95.00696,1,,3,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000016,MPLADS-000016,True,True,True,True,True,True,True,True,7,5,5,0.0,1,PDF_BUNDLE,2022-11-02,15150000.0,PUN-District-23 - Water Supply & Sewerage Board,MPLADS-000016,0.98,0,0,0,SHA256-fb827f590227,1,0,0.906,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.879550+00:00,3,0,0,0,ASSET-000016,0,0,ODI-District-22 Sector 6,19.07196,87.09083,1,,7,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000017,MPLADS-000017,True,True,True,True,True,True,True,True,7,5,5,0.0,1,PDF_BUNDLE,2023-03-18,2104000.0,ODI-District-22 - Water Supply & Sewerage Board,MPLADS-000017,0.98,0,0,0,SHA256-73baea653e5d,1,0,0.907,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.880011+00:00,3,0,0,0,ASSET-000017,0,0,BIH-District-33 Sector 12,27.20851,87.70017,1,,7,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000018,MPLADS-000018,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2022-06-30,1039000.0,CHH-District-31 - Municipal Corporation (MC),MPLADS-000018,0.98,0,0,0,SHA256-1c6cdbbd7284,1,0,0.901,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.880481+00:00,3,0,0,0,ASSET-000018,1,1,BIH-District-19 Sector 3,26.89367,83.88972,1,2022-09-20,4,OPERATIONAL,VERIFIED,1,1,1.0
DOC-000019,MPLADS-000019,True,True,True,True,True,True,True,True,6,5,5,0.0,1,PDF_BUNDLE,2022-03-11,2218000.0,ASS-District-23 - Water Supply & Sewerage Board,MPLADS-000019,0.98,0,0,0,SHA256-454669cca02f,1,0,0.892,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.880842+00:00,3,0,0,0,ASSET-000019,0,0,UTT-District-56 Sector 9,26.3669,80.78504,1,,6,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000020,MPLADS-000020,True,True,True,True,True,True,True,True,5,5,5,0.0,1,PDF_BUNDLE,2022-11-05,14580000.0,MAD-District-48 - Rural Development Department (RDD),MPLADS-000020,0.98,0,0,0,SHA256-25cb4bd5c9ee,1,0,0.965,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.881165+00:00,3,0,0,0,ASSET-000020,0,0,WES-District-18 Sector 5,26.43778,87.40443,1,,5,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000021,MPLADS-000021,True,True,True,True,True,True,True,True,5,5,5,0.0,1,PDF_BUNDLE,2022-04-22,2466000.0,ODI-District-03 - Public Works Department (PWD),MPLADS-000021,0.98,0,0,0,SHA256-35f9137b4b9d,1,0,0.883,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.881478+00:00,3,0,0,0,ASSET-000021,1,1,AND-District-10 Sector 14,18.6118,81.03582,1,2022-08-09,5,OPERATIONAL,VERIFIED,1,1,1.0
DOC-000022,MPLADS-000022,True,True,True,True,True,True,True,True,5,5,5,0.0,1,PDF_BUNDLE,2023-11-16,1075000.0,MAH-District-32 - Panchayati Raj Institution (PRI),MPLADS-000022,0.98,0,0,0,SHA256-4eeacd11639c,1,0,0.977,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.881782+00:00,3,0,0,0,ASSET-000022,0,0,BIH-District-26 Sector 7,26.40758,83.78849,1,,5,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000023,MPLADS-000023,True,True,True,True,True,True,True,True,7,5,5,0.0,1,PDF_BUNDLE,2023-06-02,1646000.0,CHH-District-20 - Municipal Corporation (MC),MPLADS-000023,0.98,0,0,0,SHA256-03e3ea5de441,1,0,0.926,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.882093+00:00,3,0,0,0,ASSET-000023,0,0,BIH-District-02 Sector 4,26.6231,85.23523,1,,7,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000024,MPLADS-000024,True,True,True,True,True,True,True,True,5,5,5,0.0,1,PDF_BUNDLE,2022-11-10,17127000.0,KAR-District-18 - Public Works Department (PWD),MPLADS-000024,0.98,0,0,0,SHA256-695790adfc74,1,0,0.903,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.882406+00:00,3,0,0,0,ASSET-000024,0,0,ODI-District-15 Sector 1,21.45841,84.52755,1,,5,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000025,MPLADS-000025,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2022-10-31,15601000.0,TAM-District-18 - Municipal Corporation (MC),MPLADS-000025,0.98,0,0,0,SHA256-db14a6095edb,1,0,0.961,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.882730+00:00,3,0,0,0,ASSET-000025,0,0,MAD-District-08 Sector 3,24.68931,80.89557,1,,4,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000026,MPLADS-000026,True,True,True,True,False,True,True,True,4,5,4,0.2,1,PDF_BUNDLE,2023-07-07,11338000.0,RAJ-District-26 - Panchayati Raj Institution (PRI),MPLADS-000026,0.65,0,0,0,SHA256-a8f8d0b5187f,1,0,0.882,0.8,1,1,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.883038+00:00,3,0,1,0,ASSET-000026,0,0,RAJ-District-04 Sector 13,25.4494,72.34996,1,,4,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000027,MPLADS-000027,True,True,True,True,True,True,True,True,3,5,5,0.0,1,PDF_BUNDLE,2023-04-03,2645000.0,BIH-District-16 - Rural Development Department (RDD),MPLADS-000027,0.98,0,0,0,SHA256-8beb61ee367d,1,0,0.939,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.883344+00:00,3,0,0,0,ASSET-000027,0,0,JHA-District-03 Sector 3,23.84502,86.7543,1,,3,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000028,MPLADS-000028,True,True,True,True,True,True,True,True,3,5,5,0.0,1,PDF_BUNDLE,2022-02-27,968000.0,PUN-District-12 - Municipal Corporation (MC),MPLADS-000028,0.98,0,0,0,SHA256-5f0108c84135,1,0,0.981,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.883652+00:00,3,0,0,0,ASSET-000028,0,0,CHH-District-07 Sector 4,23.78674,81.35255,1,,3,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000029,MPLADS-000029,True,True,True,True,True,True,True,True,7,5,5,0.0,1,PDF_BUNDLE,2022-09-28,2375000.0,TEL-District-27 - Municipal Corporation (MC),MPLADS-000029,0.98,0,0,0,SHA256-d39c7898cff1,1,0,0.965,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.883954+00:00,3,0,0,0,ASSET-000029,0,0,UTT-District-66 Sector 6,24.19861,83.95772,1,,7,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000030,MPLADS-000030,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2022-11-15,3830000.0,UTT-District-47 - Municipal Corporation (MC),MPLADS-000030,0.98,0,0,0,SHA256-b02b20a68fe5,1,0,0.891,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.884265+00:00,3,0,0,0,ASSET-000030,0,0,PUN-District-17 Sector 4,30.70458,74.34695,1,,4,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000031,MPLADS-000031,True,True,True,True,True,True,True,True,5,5,5,0.0,1,PDF_BUNDLE,2022-08-20,1048000.0,KAR-District-31 - Public Works Department (PWD),MPLADS-000031,0.98,0,0,0,SHA256-4753e299b1ed,1,0,0.958,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.884565+00:00,3,0,0,0,ASSET-000031,1,1,PUN-District-10 Sector 14,31.35335,76.3146,1,2022-12-19,5,OPERATIONAL,VERIFIED,1,1,1.0
DOC-000032,MPLADS-000032,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2022-07-22,590000.0,GUJ-District-13 - Rural Development Department (RDD),MPLADS-000032,0.98,0,0,0,SHA256-ab79ea004898,1,0,0.927,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.884869+00:00,3,0,0,0,ASSET-000032,0,0,UTT-District-36 Sector 14,28.46451,79.16842,1,,4,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000033,MPLADS-000033,True,True,True,True,True,True,True,True,7,5,5,0.0,1,PDF_BUNDLE,2022-06-30,9723000.0,ODI-District-22 - Water Supply & Sewerage Board,MPLADS-000033,0.98,0,0,0,SHA256-7ecd75c945c1,1,0,0.91,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.885180+00:00,3,0,0,0,ASSET-000033,0,0,JHA-District-21 Sector 9,22.63625,86.54429,1,,7,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000034,MPLADS-000034,True,True,True,True,True,True,True,True,3,5,5,0.0,1,PDF_BUNDLE,2023-02-27,3191000.0,JHA-District-06 - Water Supply & Sewerage Board,MPLADS-000034,0.98,0,0,0,SHA256-ec325cce9a4b,1,0,0.903,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.885486+00:00,3,0,0,0,ASSET-000034,0,0,BIH-District-37 Sector 7,27.01894,85.44553,1,,3,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000035,MPLADS-000035,True,True,True,True,True,True,True,True,5,5,5,0.0,1,PDF_BUNDLE,2022-03-19,1553000.0,MAH-District-11 - Public Works Department (PWD),MPLADS-000035,0.98,0,0,0,SHA256-f37abfc3d1e0,1,0,0.972,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.885798+00:00,3,0,0,0,ASSET-000035,0,0,WES-District-08 Sector 14,26.55305,87.79506,1,,5,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000036,MPLADS-000036,True,True,True,True,True,True,True,True,6,5,5,0.0,1,PDF_BUNDLE,2023-09-17,3506000.0,ASS-District-34 - Public Works Department (PWD),MPLADS-000036,0.98,0,0,0,SHA256-87725661b651,1,0,0.983,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.886110+00:00,3,0,0,0,ASSET-000036,0,0,WES-District-10 Sector 4,25.89949,87.73112,1,,6,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000037,MPLADS-000037,True,True,True,True,True,True,True,True,5,5,5,0.0,1,PDF_BUNDLE,2022-11-14,2109000.0,RAJ-District-13 - Public Works Department (PWD),MPLADS-000037,0.98,0,0,0,SHA256-6c654dc8161d,4,0,0.971,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.886418+00:00,3,1,0,0,ASSET-000037,0,0,UTT-District-21 Sector 11,29.75192,83.72005,1,,5,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000038,MPLADS-000038,True,True,True,True,True,True,True,True,3,5,5,0.0,1,PDF_BUNDLE,2023-02-01,708000.0,KAR-District-16 - Water Supply & Sewerage Board,MPLADS-000038,0.98,0,0,0,SHA256-0e602f35c030,1,0,0.93,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.886730+00:00,3,0,0,0,ASSET-000038,1,1,ODI-District-15 Sector 8,21.39116,84.645,1,2023-04-25,3,OPERATIONAL,VERIFIED,1,1,1.0
DOC-000039,MPLADS-000039,True,True,True,True,True,True,True,True,6,5,5,0.0,1,PDF_BUNDLE,2022-08-01,2582000.0,TEL-District-09 - Panchayati Raj Institution (PRI),MPLADS-000039,0.98,0,0,0,SHA256-bc259e93189d,1,0,0.89,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.887055+00:00,3,0,0,0,ASSET-000039,1,1,WES-District-05 Sector 7,26.75639,87.09319,1,2022-11-16,6,OPERATIONAL,VERIFIED,1,1,1.0
DOC-000040,MPLADS-000040,True,True,True,True,True,True,True,True,6,5,5,0.0,1,PDF_BUNDLE,2023-07-18,1749000.0,CHH-District-20 - Municipal Corporation (MC),MPLADS-000040,0.98,0,0,0,SHA256-f0105c5c6c55,1,0,0.947,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.887369+00:00,3,0,0,0,ASSET-000040,0,0,CHH-District-29 Sector 7,18.41563,82.77794,1,,6,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000041,MPLADS-000041,True,True,True,True,True,True,True,True,6,5,5,0.0,1,PDF_BUNDLE,2022-04-22,1894000.0,CHH-District-13 - Rural Development Department (RDD),MPLADS-000041,0.98,0,0,0,SHA256-eab56f4f2484,1,0,0.912,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.887679+00:00,3,0,0,0,ASSET-000041,0,0,MAD-District-45 Sector 7,23.27659,75.43366,1,,6,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000042,MPLADS-000042,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2023-10-25,652000.0,MAD-District-49 - Water Supply & Sewerage Board,MPLADS-000042,0.98,0,0,0,SHA256-9c18ff8b5cd2,1,0,0.981,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.888010+00:00,3,0,0,0,ASSET-000042,0,0,ODI-District-30 Sector 11,18.13432,82.72105,1,,4,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000043,MPLADS-000043,True,True,True,True,True,True,True,True,6,5,5,0.0,1,PDF_BUNDLE,2022-10-06,14712000.0,MAD-District-40 - Public Works Department (PWD),MPLADS-000043,0.98,0,0,0,SHA256-c42681b08b61,1,0,0.974,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.888323+00:00,3,0,0,0,ASSET-000043,0,0,UTT-District-38 Sector 13,27.91685,77.67116,1,,6,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000044,MPLADS-000044,True,True,True,True,True,True,True,True,5,5,5,0.0,1,PDF_BUNDLE,2023-11-04,2534000.0,GUJ-District-11 - Panchayati Raj Institution (PRI),MPLADS-000044,0.98,0,0,0,SHA256-913acc050d2d,1,0,0.946,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.888678+00:00,3,0,0,0,ASSET-000044,0,0,PUN-District-04 Sector 9,30.19518,74.47799,1,,5,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000045,MPLADS-000045,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2023-03-07,684000.0,UTT-District-15 - Municipal Corporation (MC),MPLADS-000045,0.98,0,0,0,SHA256-4fefde253701,1,0,0.933,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.888996+00:00,3,0,0,0,ASSET-000045,0,0,UTT-District-23 Sector 8,25.22585,79.36794,1,,4,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000046,MPLADS-000046,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2023-01-23,496000.0,WES-District-09 - Panchayati Raj Institution (PRI),MPLADS-000046,0.98,0,0,0,SHA256-2d95920ca3d5,1,0,0.912,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.889300+00:00,3,0,0,0,ASSET-000046,0,0,ODI-District-19 Sector 12,18.52305,83.43401,1,,4,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000047,MPLADS-000047,True,True,True,True,True,True,True,True,4,5,5,0.0,1,PDF_BUNDLE,2023-09-04,2086000.0,GUJ-District-14 - Panchayati Raj Institution (PRI),MPLADS-000047,0.98,0,0,0,SHA256-2900f6c029d3,1,0,0.952,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.889610+00:00,3,0,0,0,ASSET-000047,0,0,RAJ-District-39 Sector 1,28.63678,70.59,1,,4,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000048,MPLADS-000048,True,True,True,True,True,True,True,True,6,5,5,0.0,1,PDF_BUNDLE,2022-09-11,3184000.0,PUN-District-21 - Public Works Department (PWD),MPLADS-000048,0.98,0,0,0,SHA256-a7d6b1710fe2,1,0,0.956,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.889937+00:00,3,0,0,0,ASSET-000048,0,0,HAR-District-05 Sector 4,28.66731,75.0074,1,,6,UNDER_CONSTRUCTION,PENDING,1,1,1.0
DOC-000049,MPLADS-000049,True,True,True,True,True,True,True,True,6,5,5,0.0,1,PDF_BUNDLE,2022-10-21,2680000.0,TEL-District-13 - Panchayati Raj Institution (PRI),MPLADS-000049,0.98,0,0,0,SHA256-ba77f342d2fb,1,0,0.945,1.0,0,0,PASSED,e-SAKSHI Portal,MoSPI_MPLADS_V2,2026-08-28T15:12:51.890238+00:00,3,0,0,0,ASSET-000049,0,0,UTT-District-44 Sector 9,24.77006,83.36518,1,,6,UNDER_CONSTRUCTION,PENDING,1,1,1.0
