agency_id,agency_name,district_id,agency_workload_ratio,agency_completion_rate
AGY-0097,Rural Engineering Dept DIST-067,DIST-067,0.87,80.5
AGY-0098,Zilla Parishad DIST-228,DIST-228,0.87,77.0
AGY-0099,PWD Division DIST-454,DIST-454,1.6,67.3
AGY-0100,Rural Engineering Dept DIST-051,DIST-051,0.61,91.0
AGY-0101,Zilla Parishad DIST-218,DIST-218,0.88,90.5
AGY-0102,Rural Engineering Dept DIST-222,DIST-222,0.57,74.8
AGY-0103,DRDA DIST-169,DIST-169,0.88,76.6
AGY-0104,DRDA DIST-349,DIST-349,1.25,72.6
AGY-0105,DRDA DIST-222,DIST-222,0.99,78.9
AGY-0106,PWD Division DIST-341,DIST-341,0.56,80.8
AGY-0107,PWD Division DIST-035,DIST-035,1.45,70.4
AGY-0108,PWD Division DIST-437,DIST-437,0.94,95.6
AGY-0109,DRDA DIST-086,DIST-086,0.82,65.5
AGY-0110,PWD Division DIST-189,DIST-189,0.65,85.1
AGY-0111,DRDA DIST-366,DIST-366,0.72,67.1
AGY-0112,DRDA DIST-034,DIST-034,1.1,91.1
AGY-0113,Zilla Parishad DIST-233,DIST-233,1.18,68.7
AGY-0114,PWD Division DIST-468,DIST-468,1.19,90.6
AGY-0115,DRDA DIST-128,DIST-128,1.36,86.0
AGY-0116,PWD Division DIST-480,DIST-480,1.37,73.5
AGY-0117,PWD Division DIST-048,DIST-048,1.16,81.0
AGY-0118,Rural Engineering Dept DIST-246,DIST-246,0.42,65.1
AGY-0119,DRDA DIST-189,DIST-189,1.03,67.2
AGY-0120,Zilla Parishad DIST-470,DIST-470,0.49,78.1
AGY-0121,Zilla Parishad DIST-170,DIST-170,1.12,65.8
AGY-0122,Rural Engineering Dept DIST-059,DIST-059,1.21,80.1
AGY-0123,Rural Engineering Dept DIST-471,DIST-471,0.52,74.7
AGY-0124,DRDA DIST-245,DIST-245,1.17,65.0
AGY-0125,Rural Engineering Dept DIST-242,DIST-242,1.26,78.8
AGY-0126,Rural Engineering Dept DIST-026,DIST-026,1.41,89.3
AGY-0127,Rural Engineering Dept DIST-346,DIST-346,0.85,93.1
AGY-0128,PWD Division DIST-095,DIST-095,0.89,79.4
AGY-0129,PWD Division DIST-418,DIST-418,1.15,70.3
AGY-0130,Zilla Parishad DIST-304,DIST-304,1.06,93.0
AGY-0131,Zilla Parishad DIST-439,DIST-439,1.16,77.8
AGY-0132,PWD Division DIST-021,DIST-021,1.29,72.0
AGY-0133,PWD Division DIST-008,DIST-008,1.24,81.2
AGY-0134,PWD Division DIST-396,DIST-396,0.98,79.2
AGY-0135,Rural Engineering Dept DIST-150,DIST-150,0.4,83.2
AGY-0136,Rural Engineering Dept DIST-312,DIST-312,1.29,92.6
AGY-0137,PWD Division DIST-335,DIST-335,0.81,68.2
AGY-0138,PWD Division DIST-441,DIST-441,0.48,89.9
AGY-0139,PWD Division DIST-115,DIST-115,0.9,73.0
AGY-0140,PWD Division DIST-086,DIST-086,1.42,92.2
AGY-0141,Zilla Parishad DIST-122,DIST-122,1.15,73.0
AGY-0142,PWD Division DIST-019,DIST-019,0.43,82.9
AGY-0143,PWD Division DIST-430,DIST-430,0.41,68.3
AGY-0144,DRDA DIST-414,DIST-414,1.2,71.3
AGY-0145,PWD Division DIST-135,DIST-135,0.75,75.3
AGY-0146,Rural Engineering Dept DIST-042,DIST-042,0.7,67.3
AGY-0147,Zilla Parishad DIST-447,DIST-447,1.43,86.3
AGY-0148,Rural Engineering Dept DIST-429,DIST-429,0.53,79.1
AGY-0149,Zilla Parishad DIST-156,DIST-156,1.27,95.1
AGY-0150,Rural Engineering Dept DIST-007,DIST-007,0.44,74.8
AGY-0151,Rural Engineering Dept DIST-440,DIST-440,0.45,67.5
AGY-0152,PWD Division DIST-142,DIST-142,0.77,77.4
AGY-0153,Zilla Parishad DIST-119,DIST-119,1.33,69.4
AGY-0154,Rural Engineering Dept DIST-120,DIST-120,1.15,82.7
AGY-0155,Rural Engineering Dept DIST-035,DIST-035,1.42,75.2
AGY-0156,DRDA DIST-102,DIST-102,0.9,75.0
AGY-0157,Rural Engineering Dept DIST-453,DIST-453,0.87,73.0
AGY-0158,Zilla Parishad DIST-056,DIST-056,0.77,86.7
AGY-0159,Zilla Parishad DIST-150,DIST-150,0.92,72.3
AGY-0160,DRDA DIST-149,DIST-149,1.28,65.7
AGY-0161,DRDA DIST-107,DIST-107,1.51,92.6
AGY-0162,Zilla Parishad DIST-035,DIST-035,0.99,90.2
AGY-0163,PWD Division DIST-024,DIST-024,1.18,79.8
AGY-0164,DRDA DIST-316,DIST-316,0.44,83.4
AGY-0165,Rural Engineering Dept DIST-410,DIST-410,1.41,86.0
AGY-0166,Rural Engineering Dept DIST-103,DIST-103,1.46,77.7
AGY-0167,Rural Engineering Dept DIST-047,DIST-047,1.16,92.1
AGY-0168,Rural Engineering Dept DIST-104,DIST-104,1.07,68.6
AGY-0169,Rural Engineering Dept DIST-414,DIST-414,1.22,86.1
AGY-0170,DRDA DIST-458,DIST-458,1.43,67.5
AGY-0171,Rural Engineering Dept DIST-050,DIST-050,1.44,80.6
AGY-0172,PWD Division DIST-485,DIST-485,1.29,92.7
AGY-0173,Zilla Parishad DIST-327,DIST-327,1.35,73.8
AGY-0174,Zilla Parishad DIST-160,DIST-160,1.44,84.1
AGY-0175,PWD Division DIST-288,DIST-288,1.03,86.3
AGY-0176,DRDA DIST-314,DIST-314,1.19,66.3
AGY-0177,DRDA DIST-484,DIST-484,1.21,69.6
AGY-0178,PWD Division DIST-306,DIST-306,1.45,85.9
AGY-0179,PWD Division DIST-245,DIST-245,0.65,75.6
AGY-0180,Rural Engineering Dept DIST-223,DIST-223,0.59,79.9
AGY-0181,DRDA DIST-436,DIST-436,0.97,68.3
AGY-0182,Rural Engineering Dept DIST-186,DIST-186,1.56,95.4
AGY-0183,DRDA DIST-147,DIST-147,1.35,85.3
AGY-0184,Rural Engineering Dept DIST-340,DIST-340,0.76,74.7
AGY-0185,Rural Engineering Dept DIST-112,DIST-112,1.1,93.6
AGY-0186,PWD Division DIST-077,DIST-077,1.47,89.8
AGY-0187,Zilla Parishad DIST-205,DIST-205,0.66,82.7
AGY-0188,Zilla Parishad DIST-131,DIST-131,0.86,91.3
AGY-0189,PWD Division DIST-300,DIST-300,1.08,79.2
AGY-0190,Rural Engineering Dept DIST-312,DIST-312,0.43,69.0
AGY-0191,Zilla Parishad DIST-316,DIST-316,1.28,77.9
AGY-0192,PWD Division DIST-392,DIST-392,0.82,84.6
AGY-0193,Zilla Parishad DIST-113,DIST-113,0.62,73.8
AGY-0194,Rural Engineering Dept DIST-371,DIST-371,1.55,76.9
AGY-0195,PWD Division DIST-412,DIST-412,0.75,80.3
AGY-0196,PWD Division DIST-189,DIST-189,1.27,89.4
AGY-0197,DRDA DIST-214,DIST-214,0.7,65.7
AGY-0198,Rural Engineering Dept DIST-409,DIST-409,1.09,95.7
AGY-0199,Rural Engineering Dept DIST-420,DIST-420,1.29,66.0
AGY-0200,PWD Division DIST-120,DIST-120,0.44,95.7
AGY-0201,Rural Engineering Dept DIST-158,DIST-158,0.8,74.0
AGY-0202,Zilla Parishad DIST-368,DIST-368,0.79,76.5
AGY-0203,PWD Division DIST-099,DIST-099,1.44,88.1
AGY-0204,Rural Engineering Dept DIST-116,DIST-116,1.32,87.9
AGY-0205,DRDA DIST-343,DIST-343,0.8,73.8
AGY-0206,Zilla Parishad DIST-346,DIST-346,1.55,83.0
AGY-0207,Zilla Parishad DIST-044,DIST-044,0.42,89.6
AGY-0208,PWD Division DIST-048,DIST-048,1.16,94.0
AGY-0209,Zilla Parishad DIST-424,DIST-424,0.69,71.7
AGY-0210,Rural Engineering Dept DIST-258,DIST-258,1.49,67.2
AGY-0211,Rural Engineering Dept DIST-050,DIST-050,1.32,68.6
AGY-0212,PWD Division DIST-095,DIST-095,0.84,73.5
AGY-0213,DRDA DIST-363,DIST-363,0.64,69.1
AGY-0214,Zilla Parishad DIST-420,DIST-420,1.23,86.8
AGY-0215,DRDA DIST-427,DIST-427,1.54,92.3
AGY-0216,PWD Division DIST-152,DIST-152,0.87,92.2
AGY-0217,PWD Division DIST-400,DIST-400,0.81,68.3
AGY-0218,Zilla Parishad DIST-051,DIST-051,0.56,74.1
AGY-0219,Rural Engineering Dept DIST-137,DIST-137,1.22,93.7
AGY-0220,PWD Division DIST-085,DIST-085,1.21,74.6
AGY-0221,PWD Division DIST-171,DIST-171,0.93,91.6
AGY-0222,DRDA DIST-264,DIST-264,0.96,78.4
AGY-0223,Rural Engineering Dept DIST-244,DIST-244,1.54,75.1
AGY-0224,DRDA DIST-438,DIST-438,1.25,92.8
AGY-0225,DRDA DIST-306,DIST-306,0.53,76.4
AGY-0226,DRDA DIST-044,DIST-044,0.9,70.8
AGY-0227,DRDA DIST-218,DIST-218,1.22,95.8
AGY-0228,Rural Engineering Dept DIST-063,DIST-063,1.22,91.1
AGY-0229,PWD Division DIST-367,DIST-367,1.15,66.9
AGY-0230,Rural Engineering Dept DIST-389,DIST-389,1.56,91.7
AGY-0231,Rural Engineering Dept DIST-012,DIST-012,0.66,87.7
AGY-0232,PWD Division DIST-449,DIST-449,0.79,83.8
AGY-0233,PWD Division DIST-426,DIST-426,0.75,73.3
AGY-0234,PWD Division DIST-407,DIST-407,0.97,74.4
AGY-0235,DRDA DIST-135,DIST-135,1.55,91.7
AGY-0236,Rural Engineering Dept DIST-355,DIST-355,0.66,70.9
AGY-0237,Rural Engineering Dept DIST-474,DIST-474,0.62,80.6
AGY-0238,Zilla Parishad DIST-319,DIST-319,0.85,91.5
AGY-0239,Rural Engineering Dept DIST-021,DIST-021,1.6,94.3
AGY-0240,Zilla Parishad DIST-121,DIST-121,0.92,66.8
AGY-0241,Zilla Parishad DIST-080,DIST-080,0.65,91.4
AGY-0242,Rural Engineering Dept DIST-268,DIST-268,1.28,85.9
AGY-0243,Rural Engineering Dept DIST-125,DIST-125,1.31,91.1
AGY-0244,PWD Division DIST-258,DIST-258,1.33,76.2
AGY-0245,PWD Division DIST-069,DIST-069,0.91,92.8
AGY-0246,PWD Division DIST-362,DIST-362,0.55,95.0
AGY-0247,DRDA DIST-442,DIST-442,1.13,89.3
AGY-0248,DRDA DIST-265,DIST-265,0.42,93.8
AGY-0249,Rural Engineering Dept DIST-312,DIST-312,1.39,81.8
AGY-0250,Rural Engineering Dept DIST-388,DIST-388,1.48,80.7
AGY-0251,Rural Engineering Dept DIST-082,DIST-082,1.13,81.1
AGY-0252,DRDA DIST-189,DIST-189,0.62,77.3
AGY-0253,DRDA DIST-422,DIST-422,0.88,83.4
AGY-0254,Zilla Parishad DIST-260,DIST-260,0.69,67.6
AGY-0255,DRDA DIST-175,DIST-175,0.93,69.0
AGY-0256,DRDA DIST-342,DIST-342,1.38,83.0
AGY-0257,Zilla Parishad DIST-469,DIST-469,0.8,95.4
AGY-0258,Rural Engineering Dept DIST-355,DIST-355,0.74,93.3
AGY-0259,Zilla Parishad DIST-303,DIST-303,1.28,69.6
AGY-0260,Zilla Parishad DIST-217,DIST-217,1.07,72.4
AGY-0261,Zilla Parishad DIST-288,DIST-288,1.51,66.7
AGY-0262,Rural Engineering Dept DIST-099,DIST-099,0.8,93.9
AGY-0263,Rural Engineering Dept DIST-164,DIST-164,1.51,75.3
AGY-0264,PWD Division DIST-085,DIST-085,1.08,81.4
AGY-0265,PWD Division DIST-332,DIST-332,0.8,93.2
AGY-0266,PWD Division DIST-437,DIST-437,1.03,85.4
AGY-0267,Rural Engineering Dept DIST-020,DIST-020,1.34,80.9
AGY-0268,Rural Engineering Dept DIST-382,DIST-382,1.33,92.1
AGY-0269,PWD Division DIST-182,DIST-182,1.37,73.0
AGY-0270,PWD Division DIST-462,DIST-462,0.52,65.6
AGY-0271,Rural Engineering Dept DIST-162,DIST-162,0.78,66.0
AGY-0272,Rural Engineering Dept DIST-082,DIST-082,0.78,87.8
AGY-0273,PWD Division DIST-042,DIST-042,0.66,77.6
AGY-0274,Zilla Parishad DIST-484,DIST-484,0.56,95.8
AGY-0275,Zilla Parishad DIST-076,DIST-076,1.27,71.8
AGY-0276,Zilla Parishad DIST-353,DIST-353,0.87,92.9
AGY-0277,DRDA DIST-083,DIST-083,0.41,81.0
AGY-0278,Zilla Parishad DIST-157,DIST-157,0.54,72.3
AGY-0279,Rural Engineering Dept DIST-224,DIST-224,0.44,80.2
AGY-0280,DRDA DIST-440,DIST-440,1.23,66.2
AGY-0281,PWD Division DIST-244,DIST-244,0.4,73.2
AGY-0282,DRDA DIST-174,DIST-174,1.49,68.9
AGY-0283,Rural Engineering Dept DIST-096,DIST-096,1.2,76.6
AGY-0284,DRDA DIST-392,DIST-392,1.6,95.6
AGY-0285,Zilla Parishad DIST-311,DIST-311,1.0,93.0
AGY-0286,PWD Division DIST-224,DIST-224,0.94,76.7
AGY-0287,Zilla Parishad DIST-299,DIST-299,0.99,84.0
AGY-0288,Rural Engineering Dept DIST-071,DIST-071,1.31,81.0
AGY-0289,DRDA DIST-103,DIST-103,1.2,80.5
AGY-0290,Rural Engineering Dept DIST-243,DIST-243,0.75,69.6
AGY-0291,DRDA DIST-373,DIST-373,1.48,84.7
AGY-0292,PWD Division DIST-332,DIST-332,1.52,86.0
AGY-0293,PWD Division DIST-172,DIST-172,1.46,82.6
AGY-0294,DRDA DIST-012,DIST-012,0.84,78.8
AGY-0295,Zilla Parishad DIST-010,DIST-010,1.19,92.1
AGY-0296,PWD Division DIST-392,DIST-392,0.77,87.3
AGY-0297,Zilla Parishad DIST-480,DIST-480,0.89,90.0
AGY-0298,Zilla Parishad DIST-429,DIST-429,1.39,72.9
AGY-0299,Zilla Parishad DIST-007,DIST-007,0.64,81.9
AGY-0300,DRDA DIST-387,DIST-387,1.07,69.2
AGY-0301,DRDA DIST-011,DIST-011,1.2,82.3
AGY-0302,DRDA DIST-045,DIST-045,1.01,94.3
AGY-0303,Zilla Parishad DIST-423,DIST-423,0.83,75.9
AGY-0304,DRDA DIST-323,DIST-323,0.51,74.4
AGY-0305,DRDA DIST-272,DIST-272,0.67,84.8
AGY-0306,Zilla Parishad DIST-151,DIST-151,0.61,92.5
AGY-0307,PWD Division DIST-349,DIST-349,1.43,77.1
AGY-0308,PWD Division DIST-248,DIST-248,0.53,73.6
AGY-0309,DRDA DIST-096,DIST-096,1.45,95.6
AGY-0310,DRDA DIST-102,DIST-102,1.28,83.2
AGY-0311,Zilla Parishad DIST-469,DIST-469,1.54,83.6
AGY-0312,DRDA DIST-455,DIST-455,0.6,83.1
AGY-0313,PWD Division DIST-423,DIST-423,1.49,84.0
AGY-0314,Zilla Parishad DIST-189,DIST-189,0.41,80.5
AGY-0315,Rural Engineering Dept DIST-437,DIST-437,1.25,76.9
AGY-0316,PWD Division DIST-067,DIST-067,1.2,85.5
AGY-0317,Zilla Parishad DIST-237,DIST-237,1.59,71.1
AGY-0318,Rural Engineering Dept DIST-399,DIST-399,0.59,79.2
AGY-0319,Rural Engineering Dept DIST-051,DIST-051,1.15,79.5
AGY-0320,DRDA DIST-016,DIST-016,1.21,84.2
AGY-0321,DRDA DIST-030,DIST-030,1.4,82.1
AGY-0322,Rural Engineering Dept DIST-237,DIST-237,1.58,73.8
AGY-0323,DRDA DIST-127,DIST-127,1.22,68.9
AGY-0324,PWD Division DIST-094,DIST-094,1.36,72.3
AGY-0325,Zilla Parishad DIST-283,DIST-283,1.16,85.8
AGY-0326,PWD Division DIST-408,DIST-408,1.44,77.2
AGY-0327,PWD Division DIST-097,DIST-097,1.28,74.3
AGY-0328,Zilla Parishad DIST-275,DIST-275,1.44,74.0
AGY-0329,Zilla Parishad DIST-272,DIST-272,1.26,78.4
AGY-0330,Rural Engineering Dept DIST-420,DIST-420,1.23,85.4
AGY-0331,DRDA DIST-179,DIST-179,0.89,78.5
AGY-0332,PWD Division DIST-168,DIST-168,1.14,67.7
AGY-0333,PWD Division DIST-260,DIST-260,0.97,87.8
AGY-0334,PWD Division DIST-486,DIST-486,0.99,68.6
AGY-0335,Rural Engineering Dept DIST-436,DIST-436,0.71,89.2
AGY-0336,Rural Engineering Dept DIST-348,DIST-348,0.96,85.8
AGY-0337,Zilla Parishad DIST-423,DIST-423,1.6,94.5
AGY-0338,PWD Division DIST-236,DIST-236,1.3,88.5
AGY-0339,Zilla Parishad DIST-074,DIST-074,1.54,78.8
AGY-0340,Zilla Parishad DIST-248,DIST-248,0.95,85.5
AGY-0341,PWD Division DIST-247,DIST-247,1.44,79.1
AGY-0342,DRDA DIST-276,DIST-276,1.58,72.2
AGY-0343,DRDA DIST-279,DIST-279,1.26,70.6
AGY-0344,Rural Engineering Dept DIST-274,DIST-274,0.75,70.2
AGY-0345,PWD Division DIST-409,DIST-409,0.85,79.3
AGY-0346,PWD Division DIST-295,DIST-295,0.78,75.6
AGY-0347,PWD Division DIST-370,DIST-370,0.92,79.4
AGY-0348,DRDA DIST-076,DIST-076,1.56,93.0
AGY-0349,PWD Division DIST-457,DIST-457,0.45,84.0
AGY-0350,Zilla Parishad DIST-393,DIST-393,1.25,77.1
AGY-0351,PWD Division DIST-242,DIST-242,1.53,77.9
AGY-0352,Zilla Parishad DIST-442,DIST-442,1.11,71.1
AGY-0353,Zilla Parishad DIST-323,DIST-323,0.92,70.2
AGY-0354,PWD Division DIST-191,DIST-191,0.66,69.4
AGY-0355,Zilla Parishad DIST-104,DIST-104,1.21,82.7
AGY-0356,PWD Division DIST-236,DIST-236,0.54,79.8
AGY-0357,Rural Engineering Dept DIST-255,DIST-255,1.57,66.5
AGY-0358,DRDA DIST-072,DIST-072,1.53,95.5
AGY-0359,DRDA DIST-120,DIST-120,0.49,82.4
AGY-0360,PWD Division DIST-478,DIST-478,1.37,66.7
AGY-0361,Rural Engineering Dept DIST-433,DIST-433,0.99,69.9
AGY-0362,Rural Engineering Dept DIST-408,DIST-408,1.38,86.8
AGY-0363,DRDA DIST-228,DIST-228,1.45,69.3
AGY-0364,Zilla Parishad DIST-185,DIST-185,0.99,66.9
AGY-0365,PWD Division DIST-265,DIST-265,0.88,94.3
AGY-0366,PWD Division DIST-181,DIST-181,0.96,69.4
AGY-0367,Rural Engineering Dept DIST-135,DIST-135,0.85,71.5
AGY-0368,Zilla Parishad DIST-378,DIST-378,1.21,83.0
AGY-0369,DRDA DIST-170,DIST-170,1.33,89.1
AGY-0370,Zilla Parishad DIST-016,DIST-016,0.52,93.5
AGY-0371,Zilla Parishad DIST-014,DIST-014,0.7,83.9
AGY-0372,Zilla Parishad DIST-283,DIST-283,1.16,79.7
AGY-0373,PWD Division DIST-317,DIST-317,1.28,84.0
AGY-0374,DRDA DIST-412,DIST-412,0.48,74.5
AGY-0375,Zilla Parishad DIST-003,DIST-003,0.73,85.2
AGY-0376,Rural Engineering Dept DIST-385,DIST-385,0.58,95.3
AGY-0377,Zilla Parishad DIST-267,DIST-267,0.82,74.4
AGY-0378,PWD Division DIST-184,DIST-184,0.47,90.1
AGY-0379,PWD Division DIST-141,DIST-141,0.94,72.0
AGY-0380,DRDA DIST-097,DIST-097,0.84,72.6
AGY-0381,DRDA DIST-442,DIST-442,1.27,69.4
AGY-0382,PWD Division DIST-037,DIST-037,1.09,72.0
AGY-0383,Zilla Parishad DIST-030,DIST-030,1.06,73.5
AGY-0384,DRDA DIST-456,DIST-456,0.65,79.3
AGY-0385,Zilla Parishad DIST-432,DIST-432,0.84,85.3
AGY-0386,Zilla Parishad DIST-129,DIST-129,1.34,87.1
AGY-0387,Zilla Parishad DIST-315,DIST-315,0.77,92.0
AGY-0388,DRDA DIST-146,DIST-146,0.53,73.6
AGY-0389,PWD Division DIST-007,DIST-007,1.45,82.2
AGY-0390,Zilla Parishad DIST-213,DIST-213,0.84,66.9
AGY-0391,Rural Engineering Dept DIST-180,DIST-180,0.9,70.5
AGY-0392,Zilla Parishad DIST-372,DIST-372,0.71,88.0
AGY-0393,Rural Engineering Dept DIST-464,DIST-464,0.94,90.6
AGY-0394,PWD Division DIST-098,DIST-098,0.76,92.4
AGY-0395,Rural Engineering Dept DIST-106,DIST-106,1.36,74.0
AGY-0396,PWD Division DIST-360,DIST-360,0.57,94.8
AGY-0397,Zilla Parishad DIST-462,DIST-462,1.06,83.1
AGY-0398,Zilla Parishad DIST-438,DIST-438,0.77,81.4
AGY-0399,PWD Division DIST-395,DIST-395,0.48,93.1
AGY-0400,DRDA DIST-247,DIST-247,1.32,67.0
AGY-0401,PWD Division DIST-033,DIST-033,1.51,68.8
AGY-0402,DRDA DIST-266,DIST-266,1.34,72.2
AGY-0403,Zilla Parishad DIST-078,DIST-078,0.48,80.5
AGY-0404,DRDA DIST-175,DIST-175,1.17,92.6
AGY-0405,Zilla Parishad DIST-037,DIST-037,0.94,78.1
AGY-0406,Zilla Parishad DIST-188,DIST-188,0.98,92.3
AGY-0407,PWD Division DIST-150,DIST-150,0.4,87.9
AGY-0408,PWD Division DIST-036,DIST-036,1.59,67.8
AGY-0409,DRDA DIST-033,DIST-033,1.52,93.3
AGY-0410,DRDA DIST-323,DIST-323,0.79,84.8
AGY-0411,Rural Engineering Dept DIST-482,DIST-482,0.89,78.8
