district_id,district_name,state_id,state_name,district_latitude,district_longitude,population,population_density,literacy_rate,poverty_rate,infrastructure_gap_index,geographic_cluster_id
DIST-0015,UTT-District-15,ST-01,Uttar Pradesh,27.21094,79.47396,1135687,334.4,80.8,13.1,0.798,GEO-CLUST-15
DIST-0016,UTT-District-16,ST-01,Uttar Pradesh,24.14823,84.18919,655903,1217.6,64.6,22.6,0.493,GEO-CLUST-16
DIST-0017,UTT-District-17,ST-01,Uttar Pradesh,27.07768,79.00232,711281,876.9,76.0,8.6,0.728,GEO-CLUST-17
DIST-0018,UTT-District-18,ST-01,Uttar Pradesh,27.60123,77.81432,810556,565.6,83.1,29.8,0.688,GEO-CLUST-18
DIST-0019,UTT-District-19,ST-01,Uttar Pradesh,25.49639,77.28059,736680,682.2,88.6,32.2,0.372,GEO-CLUST-19
DIST-0020,UTT-District-20,ST-01,Uttar Pradesh,27.34787,78.91974,757731,414.0,63.4,21.1,0.845,GEO-CLUST-20
DIST-0021,UTT-District-21,ST-01,Uttar Pradesh,29.79015,83.70085,1103867,610.7,86.7,27.8,0.412,GEO-CLUST-21
DIST-0022,UTT-District-22,ST-01,Uttar Pradesh,30.08929,78.80728,1905721,1280.4,66.9,13.4,0.57,GEO-CLUST-22
DIST-0023,UTT-District-23,ST-01,Uttar Pradesh,25.27683,79.32743,1273565,1463.4,78.0,12.3,0.16,GEO-CLUST-23
DIST-0024,UTT-District-24,ST-01,Uttar Pradesh,28.40478,77.91374,965607,1102.5,80.6,14.0,0.713,GEO-CLUST-24
DIST-0025,UTT-District-25,ST-01,Uttar Pradesh,28.8034,77.98293,811250,591.2,77.6,27.9,0.819,GEO-CLUST-00
DIST-0026,UTT-District-26,ST-01,Uttar Pradesh,27.60879,81.75481,638096,382.4,75.4,37.0,0.567,GEO-CLUST-01
DIST-0027,UTT-District-27,ST-01,Uttar Pradesh,29.22835,80.50536,777405,223.2,65.5,32.9,0.708,GEO-CLUST-02
DIST-0028,UTT-District-28,ST-01,Uttar Pradesh,27.9391,83.50804,2384301,736.3,74.0,20.8,0.606,GEO-CLUST-03
DIST-0029,UTT-District-29,ST-01,Uttar Pradesh,26.95033,78.8588,588322,1169.8,88.1,11.2,0.197,GEO-CLUST-04
DIST-0030,UTT-District-30,ST-01,Uttar Pradesh,29.36032,79.32751,892595,1397.3,67.3,16.5,0.258,GEO-CLUST-05
DIST-0031,UTT-District-31,ST-01,Uttar Pradesh,24.36007,78.30981,788485,968.5,83.8,19.8,0.373,GEO-CLUST-06
DIST-0032,UTT-District-32,ST-01,Uttar Pradesh,24.28259,78.36124,3034731,524.2,80.3,20.5,0.184,GEO-CLUST-07
DIST-0033,UTT-District-33,ST-01,Uttar Pradesh,24.66087,83.25094,1093724,1402.3,65.2,33.3,0.782,GEO-CLUST-08
DIST-0034,UTT-District-34,ST-01,Uttar Pradesh,29.0666,81.81862,876008,374.9,79.2,23.4,0.75,GEO-CLUST-09
DIST-0035,UTT-District-35,ST-01,Uttar Pradesh,28.15716,78.99847,848507,821.2,75.3,15.0,0.407,GEO-CLUST-10
DIST-0036,UTT-District-36,ST-01,Uttar Pradesh,28.45733,79.22657,1656169,1391.3,77.4,17.9,0.525,GEO-CLUST-11
DIST-0037,UTT-District-37,ST-01,Uttar Pradesh,28.24182,83.03294,874468,1022.8,71.2,30.0,0.292,GEO-CLUST-12
DIST-0038,UTT-District-38,ST-01,Uttar Pradesh,27.99347,77.71322,2039588,309.8,92.0,12.1,0.821,GEO-CLUST-13
DIST-0039,UTT-District-39,ST-01,Uttar Pradesh,29.08706,82.96336,656391,529.4,80.9,10.9,0.581,GEO-CLUST-14
DIST-0040,UTT-District-40,ST-01,Uttar Pradesh,27.7208,80.49489,1112084,1193.1,87.6,22.8,0.57,GEO-CLUST-15
DIST-0041,UTT-District-41,ST-01,Uttar Pradesh,24.77827,77.87828,1776897,1055.2,75.4,31.2,0.62,GEO-CLUST-16
DIST-0042,UTT-District-42,ST-01,Uttar Pradesh,25.75848,79.73144,928187,404.9,66.7,36.1,0.457,GEO-CLUST-17
DIST-0043,UTT-District-43,ST-01,Uttar Pradesh,28.74296,81.14745,708637,1214.4,77.3,19.3,0.841,GEO-CLUST-18
DIST-0044,UTT-District-44,ST-01,Uttar Pradesh,24.77011,83.379,907034,358.5,80.8,28.6,0.159,GEO-CLUST-19
DIST-0045,UTT-District-45,ST-01,Uttar Pradesh,25.91983,80.43911,716651,592.5,91.4,31.4,0.227,GEO-CLUST-20
DIST-0046,UTT-District-46,ST-01,Uttar Pradesh,25.8454,83.27672,1303784,1498.8,83.3,27.5,0.213,GEO-CLUST-21
DIST-0047,UTT-District-47,ST-01,Uttar Pradesh,25.56538,78.07266,1065239,457.7,91.1,27.7,0.175,GEO-CLUST-22
DIST-0048,UTT-District-48,ST-01,Uttar Pradesh,27.93851,83.01111,544229,1304.2,63.8,32.0,0.799,GEO-CLUST-23
DIST-0049,UTT-District-49,ST-01,Uttar Pradesh,28.53779,83.28485,957752,362.4,78.1,30.4,0.591,GEO-CLUST-24
DIST-0050,UTT-District-50,ST-01,Uttar Pradesh,28.77504,78.44781,853237,1122.9,93.4,26.3,0.188,GEO-CLUST-00
DIST-0051,UTT-District-51,ST-01,Uttar Pradesh,29.74695,82.32184,1427333,319.2,67.9,37.4,0.471,GEO-CLUST-01
DIST-0052,UTT-District-52,ST-01,Uttar Pradesh,24.94335,84.09518,858451,951.4,84.4,27.5,0.808,GEO-CLUST-02
DIST-0053,UTT-District-53,ST-01,Uttar Pradesh,26.62622,80.55627,2259812,374.3,70.9,17.1,0.45,GEO-CLUST-03
DIST-0054,UTT-District-54,ST-01,Uttar Pradesh,26.65709,78.63221,429684,612.2,63.2,20.6,0.482,GEO-CLUST-04
DIST-0055,UTT-District-55,ST-01,Uttar Pradesh,27.67752,82.26502,878748,1048.2,72.1,31.6,0.534,GEO-CLUST-05
DIST-0056,UTT-District-56,ST-01,Uttar Pradesh,26.34427,80.84554,1746782,1352.3,91.5,23.1,0.514,GEO-CLUST-06
DIST-0057,UTT-District-57,ST-01,Uttar Pradesh,26.04393,83.28037,1284954,1294.6,63.8,16.4,0.384,GEO-CLUST-07
DIST-0058,UTT-District-58,ST-01,Uttar Pradesh,28.8275,77.11012,444042,1313.5,73.9,12.6,0.571,GEO-CLUST-08
DIST-0059,UTT-District-59,ST-01,Uttar Pradesh,26.37198,84.18822,2592584,1203.7,72.0,28.6,0.644,GEO-CLUST-09
DIST-0060,UTT-District-60,ST-01,Uttar Pradesh,25.35887,80.93816,1286364,415.7,88.8,37.7,0.539,GEO-CLUST-10
DIST-0061,UTT-District-61,ST-01,Uttar Pradesh,30.43709,78.06197,1726364,710.3,64.6,30.7,0.454,GEO-CLUST-11
DIST-0062,UTT-District-62,ST-01,Uttar Pradesh,25.17602,83.80328,1179892,502.7,71.3,22.7,0.561,GEO-CLUST-12
DIST-0063,UTT-District-63,ST-01,Uttar Pradesh,24.54675,78.82751,707510,1028.9,82.8,28.1,0.684,GEO-CLUST-13
DIST-0064,UTT-District-64,ST-01,Uttar Pradesh,26.19997,83.33359,1230109,1199.2,89.3,23.1,0.787,GEO-CLUST-14
DIST-0065,UTT-District-65,ST-01,Uttar Pradesh,29.52678,79.55443,690023,718.1,91.4,26.9,0.274,GEO-CLUST-15
DIST-0066,UTT-District-66,ST-01,Uttar Pradesh,24.16135,83.95595,1226127,599.8,81.2,8.2,0.345,GEO-CLUST-16
DIST-0067,UTT-District-67,ST-01,Uttar Pradesh,28.1195,84.36354,1680285,820.8,86.4,35.1,0.654,GEO-CLUST-17
DIST-0068,UTT-District-68,ST-01,Uttar Pradesh,29.63421,77.85578,2188919,772.1,79.7,27.6,0.829,GEO-CLUST-18
DIST-0069,UTT-District-69,ST-01,Uttar Pradesh,28.7694,82.62488,831041,361.0,63.3,31.3,0.493,GEO-CLUST-19
DIST-0070,UTT-District-70,ST-01,Uttar Pradesh,26.67524,82.95262,1639298,922.1,87.7,35.7,0.726,GEO-CLUST-20
DIST-0071,UTT-District-71,ST-01,Uttar Pradesh,24.31654,77.81962,1081771,1127.2,86.8,34.0,0.668,GEO-CLUST-21
DIST-0072,UTT-District-72,ST-01,Uttar Pradesh,25.52448,81.66423,825495,205.9,78.5,28.3,0.171,GEO-CLUST-22
DIST-0073,UTT-District-73,ST-01,Uttar Pradesh,28.36548,78.78244,375077,652.4,89.3,17.0,0.563,GEO-CLUST-23
DIST-0074,UTT-District-74,ST-01,Uttar Pradesh,29.76262,78.40695,1241492,644.5,85.0,32.2,0.849,GEO-CLUST-24
DIST-0075,UTT-District-75,ST-01,Uttar Pradesh,26.65162,78.02616,1259345,1496.9,84.4,25.9,0.425,GEO-CLUST-00
DIST-0076,MAH-District-01,ST-02,Maharashtra,16.37338,75.42303,633176,462.6,62.6,21.6,0.594,GEO-CLUST-01
DIST-0077,MAH-District-02,ST-02,Maharashtra,21.73486,78.5157,686272,569.9,90.7,15.1,0.378,GEO-CLUST-02
DIST-0078,MAH-District-03,ST-02,Maharashtra,19.33984,77.72751,740033,513.8,72.3,12.7,0.762,GEO-CLUST-03
DIST-0079,MAH-District-04,ST-02,Maharashtra,20.64783,78.77059,1365061,819.1,93.8,28.2,0.72,GEO-CLUST-04
DIST-0080,MAH-District-05,ST-02,Maharashtra,19.15411,73.31515,819511,1442.0,78.4,21.0,0.175,GEO-CLUST-05
DIST-0081,MAH-District-06,ST-02,Maharashtra,15.76701,74.46853,669672,791.7,78.5,17.4,0.186,GEO-CLUST-06
DIST-0082,MAH-District-07,ST-02,Maharashtra,20.03823,74.15616,1231101,712.4,75.3,8.0,0.228,GEO-CLUST-07
DIST-0083,MAH-District-08,ST-02,Maharashtra,15.50801,76.56534,605399,633.0,75.8,31.4,0.739,GEO-CLUST-08
DIST-0084,MAH-District-09,ST-02,Maharashtra,18.61911,77.96607,1766430,630.0,91.8,9.5,0.473,GEO-CLUST-09
DIST-0085,MAH-District-10,ST-02,Maharashtra,16.47795,72.87899,913402,1394.5,62.3,13.6,0.172,GEO-CLUST-10
DIST-0086,MAH-District-11,ST-02,Maharashtra,17.07065,77.0537,654581,1304.3,62.2,33.6,0.583,GEO-CLUST-11
DIST-0087,MAH-District-12,ST-02,Maharashtra,20.52409,79.34393,989129,1394.4,76.5,26.1,0.839,GEO-CLUST-12
DIST-0088,MAH-District-13,ST-02,Maharashtra,17.56959,78.89371,1175281,481.3,75.2,17.5,0.205,GEO-CLUST-13
DIST-0089,MAH-District-14,ST-02,Maharashtra,17.75211,72.65227,788212,1142.7,84.7,30.2,0.372,GEO-CLUST-14
DIST-0090,MAH-District-15,ST-02,Maharashtra,16.31917,73.64975,635782,424.8,78.2,37.8,0.153,GEO-CLUST-15
DIST-0091,MAH-District-16,ST-02,Maharashtra,19.30015,73.51528,1087633,1344.5,79.2,26.7,0.341,GEO-CLUST-16
DIST-0092,MAH-District-17,ST-02,Maharashtra,19.81354,79.18996,937456,974.4,69.4,34.2,0.328,GEO-CLUST-17
DIST-0093,MAH-District-18,ST-02,Maharashtra,19.09802,75.66933,1145912,1143.5,80.1,30.8,0.838,GEO-CLUST-18
DIST-0094,MAH-District-19,ST-02,Maharashtra,15.58105,78.86823,1089417,730.3,65.0,34.7,0.427,GEO-CLUST-19
DIST-0095,MAH-District-20,ST-02,Maharashtra,16.47093,80.1924,812201,459.4,89.5,35.4,0.299,GEO-CLUST-20
DIST-0096,MAH-District-21,ST-02,Maharashtra,21.20938,75.53242,939361,1164.2,85.4,31.5,0.549,GEO-CLUST-21
DIST-0097,MAH-District-22,ST-02,Maharashtra,21.37583,79.42458,688493,329.8,68.5,30.3,0.166,GEO-CLUST-22
DIST-0098,MAH-District-23,ST-02,Maharashtra,20.17553,79.60057,1037602,614.9,81.5,25.4,0.436,GEO-CLUST-23
DIST-0099,MAH-District-24,ST-02,Maharashtra,18.53966,74.07394,996928,712.3,66.2,12.9,0.629,GEO-CLUST-24
DIST-0100,MAH-District-25,ST-02,Maharashtra,17.08338,73.2914,961870,1345.3,70.9,14.1,0.28,GEO-CLUST-00
DIST-0101,MAH-District-26,ST-02,Maharashtra,18.54471,74.57552,1100797,825.9,92.7,27.6,0.497,GEO-CLUST-01
DIST-0102,MAH-District-27,ST-02,Maharashtra,20.47122,79.51369,1077575,1479.9,93.4,36.6,0.2,GEO-CLUST-02
DIST-0103,MAH-District-28,ST-02,Maharashtra,17.47903,76.92319,361971,1299.5,81.7,24.3,0.266,GEO-CLUST-03
DIST-0104,MAH-District-29,ST-02,Maharashtra,21.03757,77.17382,697370,584.8,73.9,20.1,0.682,GEO-CLUST-04
DIST-0105,MAH-District-30,ST-02,Maharashtra,16.84429,80.03231,2244782,1365.0,65.2,15.9,0.743,GEO-CLUST-05
DIST-0106,MAH-District-31,ST-02,Maharashtra,17.09418,78.18196,1564384,1336.9,72.9,23.9,0.324,GEO-CLUST-06
DIST-0107,MAH-District-32,ST-02,Maharashtra,16.54815,80.02015,1032703,1210.6,78.6,22.7,0.521,GEO-CLUST-07
DIST-0108,MAH-District-33,ST-02,Maharashtra,16.35641,73.50531,1178001,826.6,92.5,12.9,0.538,GEO-CLUST-08
DIST-0109,MAH-District-34,ST-02,Maharashtra,15.69535,73.45163,1071579,618.0,81.5,22.0,0.43,GEO-CLUST-09
DIST-0110,MAH-District-35,ST-02,Maharashtra,20.819,78.43292,494160,398.7,91.5,18.2,0.185,GEO-CLUST-10
DIST-0111,MAH-District-36,ST-02,Maharashtra,19.54761,78.50671,1159169,475.5,91.6,21.1,0.597,GEO-CLUST-11
DIST-0112,BIH-District-01,ST-03,Bihar,24.68619,85.29131,998335,398.0,82.2,19.8,0.795,GEO-CLUST-12
DIST-0113,BIH-District-02,ST-03,Bihar,26.67854,85.3055,834898,979.6,77.1,36.5,0.39,GEO-CLUST-13
DIST-0114,BIH-District-03,ST-03,Bihar,24.62076,85.24816,1124013,1174.5,93.7,23.9,0.612,GEO-CLUST-14
DIST-0115,BIH-District-04,ST-03,Bihar,27.34261,84.83168,1665978,724.1,80.0,29.6,0.506,GEO-CLUST-15
DIST-0116,BIH-District-05,ST-03,Bihar,25.52709,85.04078,1268777,363.5,64.9,28.0,0.609,GEO-CLUST-16
DIST-0117,BIH-District-06,ST-03,Bihar,25.47964,83.98905,805889,1318.8,69.9,28.0,0.241,GEO-CLUST-17
DIST-0118,BIH-District-07,ST-03,Bihar,26.52421,87.55163,1160000,904.7,84.4,36.6,0.577,GEO-CLUST-18
DIST-0119,BIH-District-08,ST-03,Bihar,26.37643,84.60246,1583350,719.6,83.9,8.7,0.43,GEO-CLUST-19
DIST-0120,BIH-District-09,ST-03,Bihar,27.30781,87.26992,672046,907.9,77.7,27.0,0.384,GEO-CLUST-20
DIST-0121,BIH-District-10,ST-03,Bihar,27.27162,87.21661,1172917,1168.5,86.5,30.9,0.486,GEO-CLUST-21
DIST-0122,BIH-District-11,ST-03,Bihar,25.36796,84.28904,1176307,733.0,69.0,32.5,0.752,GEO-CLUST-22
DIST-0123,BIH-District-12,ST-03,Bihar,24.52252,84.68065,1181162,1290.9,66.4,31.2,0.231,GEO-CLUST-23
DIST-0124,BIH-District-13,ST-03,Bihar,25.07777,83.76982,1668783,1005.6,91.9,37.4,0.199,GEO-CLUST-24
DIST-0125,BIH-District-14,ST-03,Bihar,26.87221,84.35316,1029062,1062.5,65.6,33.0,0.273,GEO-CLUST-00
DIST-0126,BIH-District-15,ST-03,Bihar,26.0023,86.43081,1058269,1489.7,94.0,23.5,0.217,GEO-CLUST-01
DIST-0127,BIH-District-16,ST-03,Bihar,27.42999,84.59163,1547327,752.2,63.6,28.2,0.397,GEO-CLUST-02
DIST-0128,BIH-District-17,ST-03,Bihar,26.96369,85.08333,1377923,1173.5,87.6,22.7,0.775,GEO-CLUST-03
DIST-0129,BIH-District-18,ST-03,Bihar,24.78829,83.76763,1133492,287.8,63.7,8.0,0.455,GEO-CLUST-04
DIST-0130,BIH-District-19,ST-03,Bihar,26.96938,83.84,893089,1319.0,88.3,24.2,0.723,GEO-CLUST-05
DIST-0131,BIH-District-20,ST-03,Bihar,26.71339,84.28726,999380,855.4,86.0,21.9,0.408,GEO-CLUST-06
DIST-0132,BIH-District-21,ST-03,Bihar,26.75447,83.59455,1189727,429.2,67.6,32.7,0.429,GEO-CLUST-07
DIST-0133,BIH-District-22,ST-03,Bihar,24.91163,86.2677,1301628,710.8,90.0,37.3,0.761,GEO-CLUST-08
DIST-0134,BIH-District-23,ST-03,Bihar,26.46822,84.44542,538783,936.3,79.6,32.9,0.647,GEO-CLUST-09
DIST-0135,BIH-District-24,ST-03,Bihar,24.64838,86.00779,458973,538.2,75.4,30.7,0.729,GEO-CLUST-10
DIST-0136,BIH-District-25,ST-03,Bihar,25.31209,85.60959,580592,933.3,83.7,10.0,0.151,GEO-CLUST-11
DIST-0137,BIH-District-26,ST-03,Bihar,26.43887,83.8598,930618,810.9,77.2,36.1,0.192,GEO-CLUST-12
DIST-0138,BIH-District-27,ST-03,Bihar,25.08646,86.39764,1783284,328.9,68.6,20.7,0.273,GEO-CLUST-13
DIST-0139,BIH-District-28,ST-03,Bihar,27.08085,84.60199,740488,271.9,73.4,15.9,0.577,GEO-CLUST-14
DIST-0140,BIH-District-29,ST-03,Bihar,27.289,83.49916,567386,349.9,81.8,11.7,0.747,GEO-CLUST-15
DIST-0141,BIH-District-30,ST-03,Bihar,26.95943,85.6303,1346505,257.4,74.8,17.7,0.814,GEO-CLUST-16
DIST-0142,BIH-District-31,ST-03,Bihar,25.01102,87.89317,613140,841.8,93.1,19.4,0.428,GEO-CLUST-17
DIST-0143,BIH-District-32,ST-03,Bihar,25.46326,83.96604,1831694,1326.0,80.9,18.8,0.436,GEO-CLUST-18
DIST-0144,BIH-District-33,ST-03,Bihar,27.28031,87.6639,919305,628.0,76.4,25.0,0.473,GEO-CLUST-19
DIST-0145,BIH-District-34,ST-03,Bihar,26.1632,84.60358,1342169,692.2,65.0,13.0,0.656,GEO-CLUST-20
DIST-0146,BIH-District-35,ST-03,Bihar,26.76662,84.28711,704735,1405.8,81.1,28.1,0.187,GEO-CLUST-21
DIST-0147,BIH-District-36,ST-03,Bihar,25.67745,87.6195,767243,206.0,63.2,28.4,0.544,GEO-CLUST-22
DIST-0148,BIH-District-37,ST-03,Bihar,27.05644,85.48209,1353677,207.1,87.2,17.9,0.765,GEO-CLUST-23
DIST-0149,BIH-District-38,ST-03,Bihar,26.19523,84.35171,826023,1207.4,77.9,24.1,0.826,GEO-CLUST-24
DIST-0150,WES-District-01,ST-04,West Bengal,22.53185,87.87709,1005899,686.8,65.2,32.3,0.487,GEO-CLUST-00
DIST-0151,WES-District-02,ST-04,West Bengal,24.83966,87.19992,324098,742.9,65.8,31.8,0.736,GEO-CLUST-01
DIST-0152,WES-District-03,ST-04,West Bengal,26.30884,85.59588,1144430,802.8,84.1,12.9,0.618,GEO-CLUST-02
DIST-0153,WES-District-04,ST-04,West Bengal,24.90293,85.66038,1449872,878.9,68.9,12.2,0.282,GEO-CLUST-03
DIST-0154,WES-District-05,ST-04,West Bengal,26.71026,87.11998,1160995,1466.7,64.6,27.6,0.76,GEO-CLUST-04
DIST-0155,WES-District-06,ST-04,West Bengal,23.85964,87.22431,1173611,895.0,93.8,36.8,0.178,GEO-CLUST-05
DIST-0156,WES-District-07,ST-04,West Bengal,26.46644,85.68046,1232936,1288.7,65.8,9.8,0.734,GEO-CLUST-06
DIST-0157,WES-District-08,ST-04,West Bengal,26.5366,87.76979,889500,778.5,64.0,37.1,0.367,GEO-CLUST-07
DIST-0158,WES-District-09,ST-04,West Bengal,22.01857,88.96921,1445312,1279.0,93.2,33.3,0.81,GEO-CLUST-08
DIST-0159,WES-District-10,ST-04,West Bengal,25.87684,87.6827,1056956,1368.6,93.1,29.1,0.488,GEO-CLUST-09
DIST-0160,WES-District-11,ST-04,West Bengal,23.48879,87.06603,1622539,300.7,87.0,21.4,0.801,GEO-CLUST-10
DIST-0161,WES-District-12,ST-04,West Bengal,21.69347,86.13009,465800,1468.5,69.0,23.5,0.805,GEO-CLUST-11
DIST-0162,WES-District-13,ST-04,West Bengal,22.34481,85.75331,780538,939.1,91.2,24.1,0.588,GEO-CLUST-12
DIST-0163,WES-District-14,ST-04,West Bengal,24.89784,88.95655,1630463,652.3,64.9,14.8,0.456,GEO-CLUST-13
DIST-0164,WES-District-15,ST-04,West Bengal,24.47262,86.23124,1724546,1049.1,83.5,21.0,0.31,GEO-CLUST-14
DIST-0165,WES-District-16,ST-04,West Bengal,26.65168,86.25161,695733,846.9,78.6,23.2,0.456,GEO-CLUST-15
DIST-0166,WES-District-17,ST-04,West Bengal,24.12871,87.18706,1137378,970.8,69.3,27.1,0.186,GEO-CLUST-16
DIST-0167,WES-District-18,ST-04,West Bengal,26.43215,87.40224,864392,1268.9,82.7,31.5,0.45,GEO-CLUST-17
DIST-0168,WES-District-19,ST-04,West Bengal,24.97086,86.89069,1135890,1073.4,92.7,19.1,0.448,GEO-CLUST-18
DIST-0169,WES-District-20,ST-04,West Bengal,25.55115,87.33884,556345,1168.8,66.2,14.0,0.589,GEO-CLUST-19
DIST-0170,WES-District-21,ST-04,West Bengal,22.99923,85.9429,549709,400.8,68.3,16.7,0.521,GEO-CLUST-20
DIST-0171,WES-District-22,ST-04,West Bengal,25.39487,86.20072,1398937,821.9,66.7,16.2,0.366,GEO-CLUST-21
DIST-0172,WES-District-23,ST-04,West Bengal,25.37766,85.77973,633113,1216.9,85.9,32.5,0.464,GEO-CLUST-22
DIST-0173,MAD-District-01,ST-05,Madhya Pradesh,22.32414,77.06689,1123675,807.7,74.5,15.2,0.676,GEO-CLUST-23
DIST-0174,MAD-District-02,ST-05,Madhya Pradesh,21.7199,77.72998,1408790,680.1,69.6,30.9,0.801,GEO-CLUST-24
DIST-0175,MAD-District-03,ST-05,Madhya Pradesh,24.53649,81.37096,592907,997.6,90.5,35.3,0.704,GEO-CLUST-00
DIST-0176,MAD-District-04,ST-05,Madhya Pradesh,21.08693,78.05621,1260365,729.6,80.2,24.6,0.736,GEO-CLUST-01
DIST-0177,MAD-District-05,ST-05,Madhya Pradesh,22.23848,80.74054,501350,1493.3,89.9,34.7,0.37,GEO-CLUST-02
DIST-0178,MAD-District-06,ST-05,Madhya Pradesh,24.33465,81.97985,482967,924.1,71.5,13.1,0.287,GEO-CLUST-03
DIST-0179,MAD-District-07,ST-05,Madhya Pradesh,26.22111,77.42448,567862,1085.7,68.1,13.3,0.718,GEO-CLUST-04
DIST-0180,MAD-District-08,ST-05,Madhya Pradesh,24.7274,80.92303,675975,559.1,92.9,15.9,0.451,GEO-CLUST-05
DIST-0181,MAD-District-09,ST-05,Madhya Pradesh,22.39169,80.59422,1128729,691.8,88.7,14.4,0.153,GEO-CLUST-06
DIST-0182,MAD-District-10,ST-05,Madhya Pradesh,22.14399,78.41077,1226997,315.8,74.6,30.4,0.41,GEO-CLUST-07
DIST-0183,MAD-District-11,ST-05,Madhya Pradesh,23.25527,78.07505,560179,1034.9,84.1,37.5,0.438,GEO-CLUST-08
DIST-0184,MAD-District-12,ST-05,Madhya Pradesh,25.01398,80.41387,1548931,808.7,68.4,13.6,0.475,GEO-CLUST-09
DIST-0185,MAD-District-13,ST-05,Madhya Pradesh,25.37833,81.71464,844482,545.8,70.8,15.6,0.245,GEO-CLUST-10
DIST-0186,MAD-District-14,ST-05,Madhya Pradesh,22.23579,81.1967,1120857,245.7,67.2,27.2,0.698,GEO-CLUST-11
DIST-0187,MAD-District-15,ST-05,Madhya Pradesh,25.68048,81.21124,1860174,265.7,89.8,17.2,0.583,GEO-CLUST-12
DIST-0188,MAD-District-16,ST-05,Madhya Pradesh,26.16181,80.19119,1453561,1339.7,78.9,30.3,0.724,GEO-CLUST-13
DIST-0189,MAD-District-17,ST-05,Madhya Pradesh,21.64814,76.02588,1005889,856.9,80.6,19.9,0.701,GEO-CLUST-14
DIST-0190,MAD-District-18,ST-05,Madhya Pradesh,24.72885,78.44627,526038,1233.8,92.7,29.7,0.793,GEO-CLUST-15
DIST-0191,MAD-District-19,ST-05,Madhya Pradesh,24.51023,78.02843,1585730,322.0,75.2,34.3,0.349,GEO-CLUST-16
DIST-0192,MAD-District-20,ST-05,Madhya Pradesh,25.85941,76.56122,898994,637.9,81.4,27.8,0.731,GEO-CLUST-17
DIST-0193,MAD-District-21,ST-05,Madhya Pradesh,24.91555,78.78995,1609394,271.8,73.1,34.0,0.172,GEO-CLUST-18
DIST-0194,MAD-District-22,ST-05,Madhya Pradesh,25.12338,76.18971,566493,1169.9,90.3,14.5,0.522,GEO-CLUST-19
DIST-0195,MAD-District-23,ST-05,Madhya Pradesh,22.35135,75.96134,1068165,1446.1,84.7,27.1,0.671,GEO-CLUST-20
DIST-0196,MAD-District-24,ST-05,Madhya Pradesh,24.52242,75.71305,922108,1255.3,73.2,25.4,0.249,GEO-CLUST-21
DIST-0197,MAD-District-25,ST-05,Madhya Pradesh,26.07044,76.82339,1254837,475.3,64.9,11.6,0.2,GEO-CLUST-22
DIST-0198,MAD-District-26,ST-05,Madhya Pradesh,21.72898,81.03166,796745,1206.7,82.2,34.5,0.597,GEO-CLUST-23
DIST-0199,MAD-District-27,ST-05,Madhya Pradesh,23.46066,76.94154,569586,420.6,87.5,15.8,0.257,GEO-CLUST-24
DIST-0200,MAD-District-28,ST-05,Madhya Pradesh,24.77327,81.27948,781680,1194.5,71.8,14.5,0.632,GEO-CLUST-00
DIST-0201,MAD-District-29,ST-05,Madhya Pradesh,22.62261,78.83509,1528315,920.6,81.9,26.3,0.586,GEO-CLUST-01
