tender_id,project_id,tender_exists,procurement_method,tender_publication_date,tender_duration,bid_count,qualified_bid_count,single_bid_flag,bid_competition_score,tender_type,winning_bid,winning_bid_amount,winning_bid_deviation,winning_bid_vs_lowest_bid,bid_price_similarity,bidder_disqualification_rate,re_tender_count,tender_cancellation_count,tender_bypass_flag,repeated_winner_flag,bid_rotation_score,repeated_loser_score,procurement_compliance_flag
TND-000040,MPLADS-000040,1,Open e-Tender,2023-06-27,14,5,5,0,0.833,Open e-Tender,1709000.0,1709000.0,0.0023,0.0409,0.8682,0.038,0,0,0,1,0.735,0.414,1
TND-000041,MPLADS-000041,1,Open e-Tender,2022-04-01,21,4,4,0,0.667,Open e-Tender,1724000.0,1724000.0,-0.0491,0.0365,0.9418,0.12,0,0,0,0,0.348,0.226,1
TND-000042,MPLADS-000042,1,Open e-Tender,2023-10-04,29,7,7,0,1.0,Open e-Tender,659000.0,659000.0,-0.003,0.0071,0.8992,0.145,0,0,0,0,0.601,0.152,1
TND-000043,MPLADS-000043,1,Open e-Tender,2022-09-15,17,4,3,0,0.667,Open e-Tender,14390000.0,14390000.0,-0.0218,0.0313,0.9855,0.103,0,0,0,1,0.279,0.305,1
TND-000044,MPLADS-000044,1,Open e-Tender,2023-10-14,14,3,2,0,0.5,Open e-Tender,2481000.0,2481000.0,0.0156,0.0367,0.9523,0.023,0,0,0,0,0.662,0.055,1
TND-000045,MPLADS-000045,1,Open e-Tender,2023-02-14,29,4,4,0,0.667,Open e-Tender,651000.0,651000.0,-0.0015,0.0297,0.9039,0.178,0,0,0,0,0.378,0.386,1
TND-000046,MPLADS-000046,1,Open e-Tender,2023-01-02,15,3,2,0,0.5,Open e-Tender,475000.0,475000.0,-0.0145,0.0363,0.9586,0.095,0,0,0,1,0.612,0.123,1
TND-000047,MPLADS-000047,1,Open e-Tender,2023-08-14,20,5,4,0,0.833,Open e-Tender,1990000.0,1990000.0,-0.0546,0.0494,0.9415,0.173,0,0,0,0,0.462,0.262,1
TND-000048,MPLADS-000048,1,Open e-Tender,2022-08-21,21,3,3,0,0.5,Open e-Tender,3153000.0,3153000.0,-0.0211,0.0152,0.9491,0.134,0,0,0,0,0.174,0.126,1
TND-000049,MPLADS-000049,1,Open e-Tender,2022-09-30,14,4,4,0,0.667,Open e-Tender,2498000.0,2498000.0,-0.0295,0.0249,0.9546,0.096,0,0,0,0,0.322,0.118,1
TND-000050,MPLADS-000050,1,Open e-Tender,2022-04-16,16,7,7,0,1.0,Open e-Tender,3601000.0,3601000.0,0.0025,0.0287,0.9428,0.191,0,0,0,0,0.748,0.45,1
TND-000051,MPLADS-000051,1,Open e-Tender,2023-06-11,14,6,6,0,1.0,Open e-Tender,1500000.0,1500000.0,-0.0602,0.0409,0.8879,0.163,0,0,0,0,0.686,0.15,1
TND-000052,MPLADS-000052,1,Open e-Tender,2022-08-10,17,5,5,0,0.833,Open e-Tender,1993000.0,1993000.0,0.0184,0.0197,0.8993,0.175,0,0,0,0,0.449,0.367,1
TND-000053,MPLADS-000053,1,Open e-Tender,2023-05-01,14,6,5,0,1.0,Open e-Tender,680000.0,680000.0,-0.0621,0.0233,0.9327,0.025,1,0,0,1,0.274,0.327,1
TND-000054,MPLADS-000054,1,Open e-Tender,2023-01-12,14,5,5,0,0.833,Open e-Tender,494000.0,494000.0,-0.0784,0.0048,0.8515,0.005,0,0,0,1,0.356,0.247,1
TND-000055,MPLADS-000055,1,Open e-Tender,2023-10-06,19,5,4,0,0.833,Open e-Tender,16745000.0,16745000.0,-0.0184,0.0345,0.8576,0.136,0,0,0,0,0.479,0.234,1
TND-000056,MPLADS-000056,1,Open e-Tender,2023-02-12,16,3,2,0,0.5,Open e-Tender,1410000.0,1410000.0,-0.0028,0.045,0.9811,0.111,0,0,0,0,0.268,0.163,1
TND-000057,MPLADS-000057,1,Open e-Tender,2023-01-17,14,5,5,0,0.833,Open e-Tender,508000.0,508000.0,-0.0324,0.0104,0.9052,0.072,0,0,0,0,0.271,0.33,1
TND-000058,MPLADS-000058,1,Open e-Tender,2022-07-07,17,3,2,0,0.5,Open e-Tender,1971000.0,1971000.0,-0.0352,0.0158,0.977,0.185,0,0,0,0,0.562,0.463,1
TND-000059,MPLADS-000059,1,Open e-Tender,2023-05-27,24,7,6,0,1.0,Open e-Tender,387000.0,387000.0,-0.0584,0.0103,0.9655,0.083,0,0,0,1,0.515,0.406,1
TND-000060,MPLADS-000060,1,Open e-Tender,2022-05-20,26,5,4,0,0.833,Open e-Tender,3761000.0,3761000.0,-0.0211,0.0384,0.9771,0.021,0,0,0,0,0.296,0.377,1
TND-000061,MPLADS-000061,1,Open e-Tender,2023-01-14,27,3,2,0,0.5,Open e-Tender,4189000.0,4189000.0,-0.0677,0.0104,0.9438,0.055,0,0,0,0,0.582,0.243,1
TND-000062,MPLADS-000062,1,Open e-Tender,2023-04-03,27,3,3,0,0.5,Open e-Tender,2182000.0,2182000.0,0.0041,0.0002,0.989,0.104,0,0,0,0,0.265,0.431,1
TND-000063,MPLADS-000063,1,Open e-Tender,2023-09-07,26,6,6,0,1.0,Open e-Tender,2537000.0,2537000.0,-0.0761,0.0342,0.9395,0.157,0,0,0,0,0.564,0.458,1
TND-000064,MPLADS-000064,1,Open e-Tender,2022-06-19,14,3,2,0,0.5,Open e-Tender,3874000.0,3874000.0,0.0149,0.0456,0.9591,0.092,0,0,0,0,0.711,0.353,1
TND-000065,MPLADS-000065,1,Open e-Tender,2022-02-14,25,5,5,0,0.833,Open e-Tender,12431000.0,12431000.0,-0.0288,0.0233,0.9236,0.148,0,0,0,0,0.685,0.28,1
TND-000066,MPLADS-000066,1,Direct / Single Inquiry,2023-04-25,28,1,1,1,0.167,Single Tender Inquiry,605000.0,605000.0,0.0117,0.0408,0.0,0.041,1,0,0,0,0.433,0.437,0
TND-000067,MPLADS-000067,1,Open e-Tender,2023-07-15,28,3,2,0,0.5,Open e-Tender,2098000.0,2098000.0,-0.0642,0.0156,0.8759,0.246,0,0,0,0,0.291,0.427,1
TND-000068,MPLADS-000068,1,Open e-Tender,2022-04-01,17,5,5,0,0.833,Open e-Tender,1529000.0,1529000.0,-0.062,0.029,0.8742,0.179,0,0,0,1,0.285,0.247,1
TND-000069,MPLADS-000069,1,Open e-Tender,2023-03-31,19,5,4,0,0.833,Open e-Tender,2212000.0,2212000.0,-0.0579,0.0106,0.9666,0.153,0,0,0,0,0.136,0.063,1
TND-000070,MPLADS-000070,1,Open e-Tender,2022-06-15,16,4,4,0,0.667,Open e-Tender,10807000.0,10807000.0,-0.0031,0.0105,0.8992,0.134,1,0,0,0,0.565,0.374,1
TND-000071,MPLADS-000071,1,Open e-Tender,2022-06-17,15,7,7,0,1.0,Open e-Tender,1978000.0,1978000.0,-0.0509,0.0001,0.9349,0.081,0,0,0,0,0.129,0.238,1
TND-000072,MPLADS-000072,1,Open e-Tender,2022-06-05,20,5,5,0,0.833,Open e-Tender,1973000.0,1973000.0,-0.0199,0.0458,0.8853,0.056,0,0,0,1,0.639,0.203,1
TND-000073,MPLADS-000073,1,Open e-Tender,2023-10-02,23,3,2,0,0.5,Open e-Tender,1622000.0,1622000.0,-0.0322,0.0429,0.9088,0.168,0,0,0,0,0.192,0.347,1
TND-000074,MPLADS-000074,1,Open e-Tender,2022-05-12,24,6,6,0,1.0,Open e-Tender,744000.0,744000.0,0.0068,0.0046,0.8753,0.215,0,0,0,0,0.116,0.271,1
TND-000075,MPLADS-000075,1,Open e-Tender,2023-04-15,21,7,7,0,1.0,Open e-Tender,2639000.0,2639000.0,-0.0276,0.0055,0.8812,0.154,0,0,0,1,0.193,0.092,1
TND-000076,MPLADS-000076,1,Open e-Tender,2022-02-15,14,4,4,0,0.667,Open e-Tender,13022000.0,13022000.0,-0.0164,0.0488,0.9559,0.059,0,0,0,0,0.692,0.223,1
TND-000077,MPLADS-000077,1,Open e-Tender,2023-07-11,14,3,2,0,0.5,Open e-Tender,2784000.0,2784000.0,-0.0004,0.0228,0.9668,0.153,0,0,0,0,0.311,0.339,1
TND-000078,MPLADS-000078,1,Open e-Tender,2023-05-12,17,5,4,0,0.833,Open e-Tender,1823000.0,1823000.0,-0.0103,0.0086,0.9,0.019,0,0,0,0,0.126,0.146,1
TND-000079,MPLADS-000079,1,Open e-Tender,2023-07-14,22,4,3,0,0.667,Open e-Tender,525000.0,525000.0,-0.0708,0.0261,0.9544,0.078,0,0,0,1,0.289,0.345,1
TND-000080,MPLADS-000080,1,Open e-Tender,2024-01-04,21,5,4,0,0.833,Open e-Tender,1872000.0,1872000.0,-0.0331,0.0136,0.9158,0.242,1,0,0,0,0.619,0.475,1
TND-000081,MPLADS-000081,1,Open e-Tender,2022-02-22,24,4,4,0,0.667,Open e-Tender,2784000.0,2784000.0,-0.019,0.0224,0.9838,0.044,0,0,0,0,0.109,0.071,1
TND-000082,MPLADS-000082,1,Open e-Tender,2022-09-05,21,5,5,0,0.833,Open e-Tender,1777000.0,1777000.0,-0.0171,0.0419,0.8706,0.23,0,0,0,0,0.185,0.284,1
TND-000083,MPLADS-000083,1,Open e-Tender,2022-07-10,25,5,5,0,0.833,Open e-Tender,9496000.0,9496000.0,-0.0129,0.0116,0.9749,0.125,1,0,0,0,0.591,0.13,1
TND-000084,MPLADS-000084,1,Open e-Tender,2023-01-24,22,6,6,0,1.0,Open e-Tender,1653000.0,1653000.0,-0.0708,0.0257,0.9724,0.185,0,0,0,0,0.171,0.365,1
TND-000085,MPLADS-000085,1,Open e-Tender,2022-08-29,29,4,3,0,0.667,Open e-Tender,2391000.0,2391000.0,-0.0451,0.0171,0.9045,0.166,0,0,0,0,0.685,0.304,1
TND-000086,MPLADS-000086,1,Open e-Tender,2023-07-25,17,7,7,0,1.0,Open e-Tender,12910000.0,12910000.0,-0.0374,0.0041,0.9442,0.113,0,0,0,0,0.534,0.14,1
TND-000087,MPLADS-000087,1,Open e-Tender,2023-03-11,23,5,4,0,0.833,Open e-Tender,1140000.0,1140000.0,-0.0633,0.0125,0.8512,0.188,0,0,0,1,0.501,0.159,1
TND-000088,MPLADS-000088,1,Open e-Tender,2023-03-23,21,7,6,0,1.0,Open e-Tender,13664000.0,13664000.0,-0.0608,0.0246,0.9583,0.119,0,0,0,0,0.135,0.141,1
TND-000089,MPLADS-000089,1,Open e-Tender,2023-10-15,22,7,6,0,1.0,Open e-Tender,2060000.0,2060000.0,-0.0653,0.0242,0.943,0.059,0,0,0,0,0.403,0.154,1
TND-000090,MPLADS-000090,1,Open e-Tender,2023-05-07,23,7,7,0,1.0,Open e-Tender,9825000.0,9825000.0,-0.0104,0.0285,0.9682,0.098,0,0,0,0,0.691,0.431,1
TND-000091,MPLADS-000091,1,Open e-Tender,2023-06-27,14,7,7,0,1.0,Open e-Tender,2286000.0,2286000.0,-0.0627,0.0139,0.8996,0.115,0,0,0,0,0.275,0.249,1
TND-000092,MPLADS-000092,1,Open e-Tender,2023-10-04,29,5,5,0,0.833,Open e-Tender,1820000.0,1820000.0,0.0094,0.0301,0.9856,0.14,0,0,0,0,0.741,0.458,1
TND-000093,MPLADS-000093,1,Open e-Tender,2022-07-12,16,4,4,0,0.667,Open e-Tender,3186000.0,3186000.0,-0.0746,0.0066,0.8585,0.013,0,0,0,1,0.376,0.369,1
TND-000094,MPLADS-000094,1,Open e-Tender,2023-01-04,15,3,3,0,0.5,Open e-Tender,13264000.0,13264000.0,0.0001,0.019,0.855,0.188,0,0,0,0,0.418,0.352,1
TND-000095,MPLADS-000095,1,Open e-Tender,2022-02-08,23,4,3,0,0.667,Open e-Tender,2284000.0,2284000.0,-0.0685,0.0495,0.8794,0.243,0,0,0,0,0.69,0.483,1
TND-000096,MPLADS-000096,1,Open e-Tender,2023-01-07,14,6,5,0,1.0,Open e-Tender,1591000.0,1591000.0,-0.0209,0.032,0.9666,0.04,1,0,0,0,0.698,0.288,1
TND-000097,MPLADS-000097,1,Open e-Tender,2022-09-08,24,3,2,0,0.5,Open e-Tender,10160000.0,10160000.0,0.0072,0.0317,0.9517,0.127,1,0,0,0,0.205,0.144,1
TND-000098,MPLADS-000098,1,Open e-Tender,2022-03-26,24,4,4,0,0.667,Open e-Tender,2757000.0,2757000.0,-0.0265,0.0302,0.943,0.023,0,0,0,0,0.26,0.222,1
TND-000099,MPLADS-000099,1,Open e-Tender,2023-11-13,18,5,4,0,0.833,Open e-Tender,1042000.0,1042000.0,0.001,0.0031,0.9832,0.017,1,0,0,0,0.33,0.343,1
TND-000100,MPLADS-000100,1,Open e-Tender,2023-04-29,27,7,7,0,1.0,Open e-Tender,1718000.0,1718000.0,0.0136,0.0251,0.8663,0.028,0,0,0,0,0.707,0.158,1
TND-000101,MPLADS-000101,1,Open e-Tender,2023-07-13,22,3,3,0,0.5,Open e-Tender,2322000.0,2322000.0,-0.0169,0.0457,0.8804,0.036,0,0,0,1,0.397,0.37,1
TND-000102,MPLADS-000102,1,Open e-Tender,2023-06-27,16,3,3,0,0.5,Open e-Tender,10870000.0,10870000.0,-0.0563,0.0451,0.8812,0.231,0,0,0,0,0.384,0.303,1
TND-000103,MPLADS-000103,1,Open e-Tender,2022-07-13,14,7,6,0,1.0,Open e-Tender,3281000.0,3281000.0,-0.0602,0.0258,0.9735,0.233,0,0,0,1,0.604,0.451,1
TND-000104,MPLADS-000104,1,Open e-Tender,2022-01-22,22,6,5,0,1.0,Open e-Tender,1972000.0,1972000.0,-0.0794,0.037,0.8853,0.108,0,0,0,1,0.359,0.3,1
TND-000105,MPLADS-000105,1,Direct / Single Inquiry,2023-06-24,27,1,1,1,0.167,Single Tender Inquiry,963000.0,963000.0,-0.0123,0.037,0.0,0.183,0,0,0,1,0.666,0.196,0
TND-000106,MPLADS-000106,1,Open e-Tender,2022-07-26,24,5,4,0,0.833,Open e-Tender,570000.0,570000.0,-0.0777,0.0493,0.8664,0.04,0,0,0,0,0.596,0.398,1
TND-000107,MPLADS-000107,1,Open e-Tender,2022-08-31,21,5,5,0,0.833,Open e-Tender,2110000.0,2110000.0,-0.0762,0.003,0.9282,0.057,0,0,0,0,0.737,0.316,1
TND-000108,MPLADS-000108,1,Open e-Tender,2023-06-18,18,6,6,0,1.0,Open e-Tender,1952000.0,1952000.0,-0.0091,0.0231,0.9396,0.191,1,0,0,0,0.253,0.24,1
TND-000109,MPLADS-000109,1,Open e-Tender,2023-10-06,29,5,4,0,0.833,Open e-Tender,595000.0,595000.0,-0.0674,0.0077,0.9626,0.211,0,0,0,1,0.435,0.146,1
TND-000110,MPLADS-000110,1,Open e-Tender,2023-07-21,29,4,4,0,0.667,Open e-Tender,740000.0,740000.0,-0.0225,0.0174,0.9467,0.106,1,0,0,1,0.668,0.111,1
TND-000111,MPLADS-000111,1,Open e-Tender,2023-07-14,19,6,5,0,1.0,Open e-Tender,1479000.0,1479000.0,-0.025,0.0041,0.9349,0.225,0,0,0,0,0.357,0.228,1
TND-000112,MPLADS-000112,1,Open e-Tender,2022-09-02,22,7,6,0,1.0,Open e-Tender,9806000.0,9806000.0,-0.0796,0.0074,0.9503,0.04,0,0,0,1,0.507,0.494,1
TND-000113,MPLADS-000113,1,Open e-Tender,2022-04-23,23,7,7,0,1.0,Open e-Tender,1787000.0,1787000.0,0.0045,0.0109,0.9656,0.048,0,0,0,1,0.59,0.062,1
TND-000114,MPLADS-000114,1,Open e-Tender,2022-04-28,16,5,4,0,0.833,Open e-Tender,649000.0,649000.0,-0.0648,0.0428,0.9429,0.047,0,0,0,0,0.439,0.229,1
TND-000115,MPLADS-000115,1,Open e-Tender,2022-06-05,28,6,6,0,1.0,Open e-Tender,2253000.0,2253000.0,-0.0035,0.0092,0.8879,0.136,0,0,0,0,0.641,0.053,1
TND-000116,MPLADS-000116,1,Open e-Tender,2022-06-11,29,3,3,0,0.5,Open e-Tender,402000.0,402000.0,-0.0171,0.0444,0.9332,0.066,0,0,0,0,0.359,0.389,1
TND-000117,MPLADS-000117,1,Open e-Tender,2023-03-29,26,6,6,0,1.0,Open e-Tender,2146000.0,2146000.0,-0.0101,0.0029,0.8748,0.23,1,0,0,0,0.28,0.325,1
TND-000118,MPLADS-000118,1,Open e-Tender,2022-03-23,21,3,2,0,0.5,Open e-Tender,3745000.0,3745000.0,0.0124,0.0388,0.8803,0.013,0,0,0,0,0.158,0.162,1
TND-000119,MPLADS-000119,1,Open e-Tender,2022-04-16,23,6,5,0,1.0,Open e-Tender,1711000.0,1711000.0,-0.0781,0.0344,0.8524,0.059,0,0,0,0,0.726,0.123,1
TND-000120,MPLADS-000120,1,Open e-Tender,2023-12-19,27,7,7,0,1.0,Open e-Tender,3035000.0,3035000.0,-0.0474,0.0419,0.9213,0.165,0,0,0,0,0.661,0.159,1
TND-000121,MPLADS-000121,1,Open e-Tender,2023-05-26,27,4,3,0,0.667,Open e-Tender,1532000.0,1532000.0,-0.0261,0.002,0.8552,0.081,0,0,0,0,0.706,0.226,1
TND-000122,MPLADS-000122,1,Open e-Tender,2023-08-03,14,5,4,0,0.833,Open e-Tender,2237000.0,2237000.0,-0.0752,0.0425,0.8647,0.005,0,0,0,0,0.256,0.393,1
TND-000123,MPLADS-000123,1,Direct / Single Inquiry,2022-08-26,22,1,1,1,0.167,Single Tender Inquiry,1966000.0,1966000.0,-0.0258,0.006,0.0,0.016,0,0,0,0,0.334,0.172,0
TND-000124,MPLADS-000124,1,Open e-Tender,2023-02-18,26,5,4,0,0.833,Open e-Tender,979000.0,979000.0,-0.0239,0.0106,0.8592,0.063,0,0,0,0,0.473,0.295,1
TND-000125,MPLADS-000125,1,Open e-Tender,2023-09-28,16,7,7,0,1.0,Open e-Tender,2434000.0,2434000.0,-0.0073,0.0078,0.8589,0.182,0,0,0,0,0.443,0.158,1
TND-000126,MPLADS-000126,1,Open e-Tender,2023-04-27,23,6,5,0,1.0,Open e-Tender,386000.0,386000.0,-0.0539,0.0296,0.9794,0.22,0,0,0,0,0.124,0.407,1
TND-000127,MPLADS-000127,1,Open e-Tender,2022-06-13,24,7,6,0,1.0,Open e-Tender,14048000.0,14048000.0,-0.0257,0.0002,0.9493,0.127,0,0,0,0,0.211,0.06,1
TND-000128,MPLADS-000128,1,Open e-Tender,2023-04-04,24,3,3,0,0.5,Open e-Tender,2057000.0,2057000.0,-0.0195,0.0198,0.9266,0.195,1,0,0,0,0.531,0.262,1
TND-000129,MPLADS-000129,1,Open e-Tender,2022-03-25,16,7,6,0,1.0,Open e-Tender,2643000.0,2643000.0,-0.0131,0.0447,0.9108,0.021,0,0,0,1,0.514,0.236,1
TND-000130,MPLADS-000130,1,Direct / Single Inquiry,2023-01-31,25,1,1,1,0.167,Single Tender Inquiry,611000.0,611000.0,0.0049,0.0417,0.0,0.063,0,0,0,0,0.109,0.36,0
TND-000131,MPLADS-000131,1,Open e-Tender,2023-10-22,14,7,7,0,1.0,Open e-Tender,1487000.0,1487000.0,-0.0529,0.0333,0.878,0.109,0,0,0,0,0.261,0.33,1
TND-000132,MPLADS-000132,1,Open e-Tender,2023-05-10,16,5,4,0,0.833,Open e-Tender,2524000.0,2524000.0,0.0036,0.0123,0.9691,0.085,0,0,0,0,0.212,0.389,1
TND-000133,MPLADS-000133,1,Direct / Single Inquiry,2022-01-13,21,1,1,1,0.167,Single Tender Inquiry,1284000.0,1284000.0,-0.0404,0.0455,0.0,0.032,0,0,0,0,0.538,0.412,0
