project_id,physical_progress,financial_progress,financial_physical_gap,delay_days,extension_count
MPLADS-000064,55.3,58.3,2.9,0,0
MPLADS-000065,45.1,87.3,42.2,0,0
MPLADS-000066,36.0,94.0,58.0,0,0
MPLADS-000067,92.5,92.6,0.1,0,0
MPLADS-000068,0.0,100.0,100.0,0,0
MPLADS-000069,41.6,47.7,6.1,0,0
MPLADS-000070,52.6,88.1,35.4,0,0
MPLADS-000071,84.1,82.2,-1.8,0,0
MPLADS-000072,65.5,79.3,13.8,0,0
MPLADS-000073,60.3,63.4,3.0,0,0
MPLADS-000074,60.6,58.6,-2.0,0,0
MPLADS-000075,74.5,71.3,-3.2,0,0
MPLADS-000076,36.0,94.0,58.0,0,0
MPLADS-000077,83.6,78.6,-5.0,0,0
MPLADS-000078,87.1,81.9,-5.2,0,0
MPLADS-000079,90.3,85.2,-5.1,0,0
MPLADS-000080,57.9,60.9,3.0,0,0
MPLADS-000081,83.4,81.7,-1.7,0,0
MPLADS-000082,49.3,56.1,6.8,0,0
MPLADS-000083,72.8,77.1,4.3,0,0
MPLADS-000084,42.5,40.5,-2.0,0,0
MPLADS-000085,52.9,97.9,45.0,180,1
MPLADS-000086,46.4,47.6,1.2,0,0
MPLADS-000087,0.0,100.0,100.0,0,0
MPLADS-000088,50.5,49.3,-1.2,0,0
MPLADS-000089,47.6,47.3,-0.4,0,0
MPLADS-000090,42.4,42.6,0.1,0,0
MPLADS-000091,60.8,62.8,1.9,0,0
MPLADS-000092,82.2,84.5,2.2,0,0
MPLADS-000093,50.6,55.0,4.4,0,0
MPLADS-000094,0.0,100.0,100.0,0,0
MPLADS-000095,76.0,122.2,46.1,0,0
MPLADS-000096,86.8,89.4,2.6,0,0
MPLADS-000097,60.2,77.4,17.2,0,0
MPLADS-000098,79.8,82.5,2.7,0,0
MPLADS-000099,91.6,95.7,4.1,0,0
MPLADS-000100,69.3,61.3,-8.0,0,0
MPLADS-000101,95.3,97.0,1.7,0,0
MPLADS-000102,0.0,100.0,100.0,0,0
MPLADS-000103,74.3,69.7,-4.6,0,0
MPLADS-000104,36.0,94.0,58.0,0,0
MPLADS-000105,45.9,45.7,-0.2,0,0
MPLADS-000106,87.7,88.2,0.5,0,0
MPLADS-000107,40.0,68.1,28.0,0,0
MPLADS-000108,43.8,41.7,-2.1,0,0
MPLADS-000109,95.8,90.6,-5.3,0,0
MPLADS-000110,51.4,54.7,3.3,0,0
MPLADS-000111,96.6,98.2,1.6,0,0
MPLADS-000112,81.3,77.9,-3.4,0,0
MPLADS-000113,77.9,77.1,-0.9,0,0
MPLADS-000114,73.4,78.0,4.6,0,0
MPLADS-000115,60.3,58.7,-1.6,0,0
MPLADS-000116,83.1,85.7,2.6,0,0
MPLADS-000117,67.7,72.3,4.5,0,0
MPLADS-000118,89.7,89.4,-0.3,0,0
MPLADS-000119,44.8,44.7,-0.2,0,0
MPLADS-000120,49.7,49.3,-0.4,0,0
MPLADS-000121,86.1,87.4,1.2,0,0
MPLADS-000122,41.1,90.7,49.6,0,0
MPLADS-000123,79.4,84.6,5.3,0,0
MPLADS-000124,88.2,78.0,-10.2,0,0
MPLADS-000125,52.6,56.4,3.8,0,0
MPLADS-000126,72.9,65.4,-7.5,0,0
MPLADS-000127,96.7,94.8,-1.9,0,0
MPLADS-000128,42.7,86.4,43.7,0,0
MPLADS-000129,83.2,83.2,-0.1,0,0
MPLADS-000130,60.1,53.7,-6.4,0,0
MPLADS-000131,62.6,56.5,-6.1,0,0
MPLADS-000132,0.0,100.0,100.0,0,0
MPLADS-000133,97.1,96.1,-1.0,0,0
MPLADS-000134,36.0,94.0,58.0,0,0
MPLADS-000135,72.8,66.7,-6.1,0,0
MPLADS-000136,57.4,53.9,-3.4,0,0
MPLADS-000137,89.0,89.9,0.9,0,0
MPLADS-000138,88.5,69.8,-18.8,0,0
MPLADS-000139,43.3,41.5,-1.8,0,0
MPLADS-000140,77.2,77.8,0.7,0,0
MPLADS-000141,71.2,72.2,1.1,0,0
MPLADS-000142,94.5,92.2,-2.3,0,0
MPLADS-000143,36.0,94.0,58.0,0,0
MPLADS-000144,79.5,74.6,-4.9,0,0
MPLADS-000145,92.3,93.7,1.4,0,0
MPLADS-000146,69.6,66.3,-3.3,0,0
MPLADS-000147,54.5,57.6,3.1,0,0
MPLADS-000148,59.4,60.6,1.2,0,0
MPLADS-000149,83.0,75.8,-7.2,0,0
MPLADS-000150,0.0,100.0,100.0,0,0
MPLADS-000151,44.7,46.8,2.2,0,0
MPLADS-000152,99.2,100.4,1.1,0,0
MPLADS-000153,46.2,95.5,49.3,0,0
MPLADS-000154,36.0,94.0,58.0,0,0
MPLADS-000155,51.0,43.4,-7.6,0,0
MPLADS-000156,71.8,79.4,7.6,0,0
MPLADS-000157,74.7,132.7,58.0,0,0
MPLADS-000158,75.5,80.5,5.0,0,0
MPLADS-000159,73.1,99.1,26.0,0,0
MPLADS-000160,52.3,55.4,3.1,0,0
MPLADS-000161,68.3,63.1,-5.2,0,0
MPLADS-000162,45.0,46.9,1.9,0,0
MPLADS-000163,40.7,34.8,-5.9,0,0
MPLADS-000164,98.5,99.2,0.6,0,0
MPLADS-000165,60.0,59.8,-0.2,0,0
MPLADS-000166,70.4,73.5,3.1,0,0
MPLADS-000167,43.3,44.7,1.3,0,0
MPLADS-000168,51.8,47.3,-4.6,0,0
MPLADS-000169,73.4,69.6,-3.8,0,0
MPLADS-000170,57.5,140.0,86.6,0,0
MPLADS-000171,55.4,49.0,-6.4,0,0
MPLADS-000172,42.8,82.1,39.3,0,0
MPLADS-000173,62.6,76.5,13.9,0,0
MPLADS-000174,47.1,49.1,2.0,0,0
MPLADS-000175,87.2,140.0,53.0,0,0
MPLADS-000176,95.5,79.3,-16.3,0,0
MPLADS-000177,67.8,79.4,11.6,0,0
MPLADS-000178,79.3,80.5,1.2,0,0
MPLADS-000179,36.0,94.0,58.0,0,0
MPLADS-000180,40.7,73.5,32.9,0,0
MPLADS-000181,62.9,89.7,26.8,0,0
MPLADS-000182,87.2,86.8,-0.4,0,0
MPLADS-000183,54.2,57.6,3.4,0,0
MPLADS-000184,96.4,80.4,-16.0,0,0
MPLADS-000185,93.7,62.6,-31.1,0,0
MPLADS-000186,62.6,60.8,-1.8,0,0
MPLADS-000187,94.6,95.5,0.9,0,0
MPLADS-000188,49.1,49.3,0.2,0,0
MPLADS-000189,52.7,74.9,22.2,0,0
MPLADS-000190,44.1,44.3,0.2,0,0
MPLADS-000191,62.4,65.3,2.9,0,0
MPLADS-000192,94.4,99.7,5.3,0,0
MPLADS-000193,89.1,89.9,0.8,0,0
MPLADS-000194,95.2,97.4,2.2,0,0
MPLADS-000195,61.2,55.7,-5.5,0,0
MPLADS-000196,62.3,64.9,2.5,0,0
MPLADS-000197,52.8,56.4,3.5,0,0
MPLADS-000198,98.3,99.4,1.2,0,0
MPLADS-000199,63.7,60.0,-3.7,0,0
MPLADS-000200,81.9,79.4,-2.5,0,0
MPLADS-000201,74.2,76.6,2.3,0,0
MPLADS-000202,88.6,89.8,1.2,0,0
MPLADS-000203,48.3,46.6,-1.7,0,0
MPLADS-000204,96.3,64.5,-31.8,0,0
MPLADS-000205,72.5,71.2,-1.3,0,0
MPLADS-000206,42.2,96.1,53.9,0,0
MPLADS-000207,55.4,48.7,-6.7,0,0
MPLADS-000208,73.5,72.6,-0.9,0,0
MPLADS-000209,97.9,63.9,-34.0,0,0
MPLADS-000210,81.8,85.4,3.6,0,0
MPLADS-000211,44.2,38.9,-5.3,0,0
MPLADS-000212,64.4,60.0,-4.4,0,0
MPLADS-000213,99.1,97.8,-1.4,0,0
MPLADS-000214,75.5,138.3,62.8,0,0
MPLADS-000215,77.3,75.9,-1.4,0,0
MPLADS-000216,68.0,72.1,4.1,0,0
MPLADS-000217,79.3,84.3,5.0,0,0
MPLADS-000218,59.4,58.2,-1.2,0,0
MPLADS-000219,75.2,77.0,1.7,0,0
MPLADS-000220,68.2,65.8,-2.4,0,0
MPLADS-000221,64.6,79.3,14.7,209,1
MPLADS-000222,86.9,88.9,2.0,0,0
MPLADS-000223,97.4,95.3,-2.0,0,0
MPLADS-000224,65.2,64.5,-0.7,0,0
MPLADS-000225,36.0,94.0,58.0,0,0
MPLADS-000226,63.4,64.7,1.3,0,0
MPLADS-000227,76.2,78.0,1.8,0,0
MPLADS-000228,97.0,97.5,0.5,0,0
MPLADS-000229,55.2,53.2,-2.0,0,0
MPLADS-000230,70.3,69.0,-1.3,0,0
MPLADS-000231,99.7,98.7,-1.1,0,0
MPLADS-000232,83.6,140.0,59.5,0,0
MPLADS-000233,81.5,84.5,3.0,0,0
MPLADS-000234,63.5,94.2,30.7,0,0
MPLADS-000235,45.6,42.8,-2.8,0,0
MPLADS-000236,52.3,53.1,0.7,0,0
MPLADS-000237,94.4,70.5,-23.9,0,0
MPLADS-000238,67.6,67.6,-0.0,0,0
MPLADS-000239,86.9,86.1,-0.8,0,0
MPLADS-000240,64.1,78.2,14.0,0,0
MPLADS-000241,81.2,82.1,0.8,0,0
MPLADS-000242,96.6,64.3,-32.3,0,0
MPLADS-000243,75.9,86.1,10.2,0,0
MPLADS-000244,36.0,94.0,58.0,0,0
MPLADS-000245,50.0,51.6,1.5,0,0
MPLADS-000246,95.8,65.2,-30.6,0,0
MPLADS-000247,44.1,46.6,2.5,0,0
MPLADS-000248,89.5,85.7,-3.8,0,0
MPLADS-000249,71.0,129.3,58.3,0,0
MPLADS-000250,41.6,46.1,4.5,0,0
MPLADS-000251,59.2,59.5,0.3,0,0
MPLADS-000252,78.9,77.4,-1.4,0,0
MPLADS-000253,62.9,86.1,23.2,0,0
MPLADS-000254,54.8,58.7,3.8,0,0
MPLADS-000255,56.5,59.6,3.1,0,0
MPLADS-000256,65.7,67.6,1.9,0,0
MPLADS-000257,71.7,131.0,59.3,0,0
MPLADS-000258,60.7,57.3,-3.4,0,0
MPLADS-000259,95.3,96.3,1.0,0,0
MPLADS-000260,74.6,67.9,-6.7,0,0
MPLADS-000261,81.9,98.8,16.9,0,0
MPLADS-000262,67.6,67.3,-0.3,0,0
MPLADS-000263,64.2,94.9,30.7,0,0
MPLADS-000264,0.0,100.0,100.0,0,0
MPLADS-000265,57.8,53.6,-4.2,0,0
MPLADS-000266,70.7,68.6,-2.2,0,0
MPLADS-000267,45.2,48.2,3.0,0,0
MPLADS-000268,73.0,72.1,-0.9,0,0
MPLADS-000269,45.9,92.2,46.2,0,0
MPLADS-000270,98.9,100.3,1.4,0,0
MPLADS-000271,92.9,86.1,-6.8,0,0
MPLADS-000272,73.9,76.2,2.4,0,0
MPLADS-000273,53.1,54.2,1.1,0,0
MPLADS-000274,88.1,88.8,0.8,0,0
MPLADS-000275,95.4,140.0,44.6,0,0
MPLADS-000276,77.5,74.1,-3.4,0,0
MPLADS-000277,85.5,71.9,-13.6,0,0
MPLADS-000278,53.9,91.1,37.2,0,0
MPLADS-000279,54.4,80.4,26.0,0,0
MPLADS-000280,0.0,100.0,100.0,0,0
MPLADS-000281,58.4,55.8,-2.6,0,0
MPLADS-000282,66.3,68.4,2.1,0,0
MPLADS-000283,55.0,53.9,-1.2,0,0
MPLADS-000284,68.4,67.4,-1.0,0,0
MPLADS-000285,0.0,100.0,100.0,0,0
MPLADS-000286,70.5,65.8,-4.7,0,0
MPLADS-000287,96.0,101.5,5.5,0,0
MPLADS-000288,68.2,72.9,4.7,0,0
MPLADS-000289,67.0,68.7,1.7,0,0
MPLADS-000290,86.5,80.2,-6.3,0,0
MPLADS-000291,62.5,64.2,1.8,0,0
MPLADS-000292,61.3,61.5,0.2,0,0
MPLADS-000293,42.7,82.5,39.8,0,0
MPLADS-000294,48.6,45.2,-3.5,0,0
MPLADS-000295,69.9,71.3,1.4,0,0
MPLADS-000296,65.4,92.2,26.8,352,1
MPLADS-000297,73.4,77.3,3.9,0,0
MPLADS-000298,86.0,71.6,-14.4,0,0
MPLADS-000299,89.9,94.8,4.9,0,0
MPLADS-000300,99.4,66.1,-33.3,0,0
MPLADS-000301,68.7,69.2,0.5,0,0
MPLADS-000302,59.1,98.6,39.5,0,0
MPLADS-000303,74.3,76.0,1.7,0,0
MPLADS-000304,56.9,50.3,-6.5,0,0
MPLADS-000305,56.4,98.8,42.4,0,0
MPLADS-000306,87.8,88.7,0.9,0,0
MPLADS-000307,0.0,100.0,100.0,0,0
MPLADS-000308,95.7,96.9,1.1,0,0
MPLADS-000309,65.0,70.5,5.5,0,0
MPLADS-000310,66.2,136.8,70.6,0,0
MPLADS-000311,82.2,81.2,-0.9,0,0
MPLADS-000312,93.0,92.7,-0.3,0,0
MPLADS-000313,82.1,83.8,1.7,0,0
MPLADS-000314,97.9,100.8,2.9,0,0
MPLADS-000315,87.7,71.2,-16.5,0,0
MPLADS-000316,51.1,50.3,-0.8,0,0
MPLADS-000317,45.2,97.3,52.1,0,0
MPLADS-000318,56.2,52.9,-3.3,0,0
MPLADS-000319,52.0,62.8,10.7,0,0
MPLADS-000320,50.8,92.7,41.9,0,0
MPLADS-000321,57.2,92.1,34.9,0,0
MPLADS-000322,58.1,66.8,8.7,0,0
MPLADS-000323,80.7,85.4,4.8,0,0
MPLADS-000324,50.9,53.5,2.6,0,0
MPLADS-000325,77.0,78.5,1.5,0,0
MPLADS-000326,56.5,54.9,-1.6,0,0
MPLADS-000327,60.7,60.0,-0.8,0,0
MPLADS-000328,60.2,52.4,-7.8,0,0
MPLADS-000329,99.3,99.1,-0.2,0,0
MPLADS-000330,77.7,96.9,19.2,193,1
MPLADS-000331,63.0,61.9,-1.1,0,0
MPLADS-000332,46.7,46.9,0.3,0,0
MPLADS-000333,0.0,100.0,100.0,0,0
MPLADS-000334,91.9,91.7,-0.2,0,0
MPLADS-000335,96.2,99.2,3.1,0,0
MPLADS-000336,54.2,54.6,0.4,0,0
MPLADS-000337,56.4,56.3,-0.1,0,0
MPLADS-000338,43.4,46.2,2.7,0,0
MPLADS-000339,60.7,59.9,-0.9,0,0
MPLADS-000340,50.8,49.6,-1.2,0,0
MPLADS-000341,82.3,84.7,2.3,0,0
MPLADS-000342,56.8,62.1,5.3,0,0
MPLADS-000343,66.0,59.6,-6.3,0,0
MPLADS-000344,43.7,43.3,-0.4,0,0
MPLADS-000345,95.1,93.8,-1.3,0,0
MPLADS-000346,59.8,63.2,3.4,0,0
MPLADS-000347,50.9,48.7,-2.2,0,0
MPLADS-000348,36.0,94.0,58.0,0,0
MPLADS-000349,77.6,73.8,-3.9,0,0
MPLADS-000350,61.3,65.6,4.3,0,0
MPLADS-000351,74.1,71.8,-2.3,0,0
MPLADS-000352,90.5,92.6,2.1,0,0
MPLADS-000353,67.9,66.5,-1.4,0,0
MPLADS-000354,66.4,65.0,-1.5,0,0
MPLADS-000355,91.8,66.9,-24.9,0,0
MPLADS-000356,77.0,78.4,1.4,0,0
MPLADS-000357,41.4,43.3,1.8,0,0
MPLADS-000358,65.6,61.3,-4.2,0,0
MPLADS-000359,96.4,98.3,1.9,0,0
MPLADS-000360,90.5,79.9,-10.5,0,0
MPLADS-000361,90.3,89.3,-1.0,0,0
MPLADS-000362,91.3,86.5,-4.8,0,0
MPLADS-000363,69.1,69.0,-0.2,0,0
MPLADS-000364,55.9,58.5,2.6,0,0
MPLADS-000365,96.6,87.1,-9.5,0,0
MPLADS-000366,89.2,86.0,-3.2,0,0
MPLADS-000367,57.1,60.6,3.5,0,0
MPLADS-000368,99.4,102.6,3.2,0,0
MPLADS-000369,91.5,97.0,5.5,0,0
MPLADS-000370,40.2,40.7,0.5,0,0
MPLADS-000371,47.6,46.8,-0.8,0,0
MPLADS-000372,88.1,89.8,1.7,0,0
MPLADS-000373,85.8,140.0,54.6,0,0
MPLADS-000374,96.0,98.8,2.8,0,0
MPLADS-000375,51.6,133.9,82.3,0,0
MPLADS-000376,92.7,94.6,1.9,0,0
MPLADS-000377,36.0,94.0,58.0,0,0
MPLADS-000378,83.5,85.0,1.5,0,0
MPLADS-000379,49.4,45.9,-3.6,0,0
MPLADS-000380,58.5,60.4,1.9,0,0
MPLADS-000381,41.7,75.2,33.4,0,0
MPLADS-000382,91.4,89.3,-2.1,0,0
MPLADS-000383,52.5,84.8,32.4,0,0
MPLADS-000384,53.2,80.1,26.8,0,0
MPLADS-000385,71.0,72.8,1.8,0,0
MPLADS-000386,93.4,92.6,-0.9,0,0
MPLADS-000387,76.8,72.9,-3.9,0,0
MPLADS-000388,42.3,73.4,31.1,0,0
MPLADS-000389,80.2,73.7,-6.5,0,0
MPLADS-000390,88.9,86.4,-2.5,0,0
MPLADS-000391,99.7,99.1,-0.6,0,0
MPLADS-000392,84.7,86.7,2.0,0,0
MPLADS-000393,63.1,61.8,-1.3,0,0
MPLADS-000394,95.7,95.5,-0.3,0,0
MPLADS-000395,36.0,94.0,58.0,0,0
MPLADS-000396,78.2,81.8,3.6,0,0
MPLADS-000397,74.7,60.6,-14.2,0,0
MPLADS-000398,62.7,59.6,-3.1,0,0
MPLADS-000399,46.2,73.4,27.1,0,0
MPLADS-000400,78.3,75.7,-2.5,0,0
MPLADS-000401,36.0,94.0,58.0,0,0
MPLADS-000402,97.3,98.2,0.9,0,0
MPLADS-000403,49.4,44.2,-5.2,0,0
MPLADS-000404,0.0,100.0,100.0,0,0
MPLADS-000405,81.5,82.7,1.2,0,0
MPLADS-000406,74.8,75.4,0.6,0,0
MPLADS-000407,74.4,79.1,4.7,0,0
MPLADS-000408,50.9,51.8,0.9,0,0
MPLADS-000409,64.0,64.9,0.9,0,0
MPLADS-000410,50.0,50.6,0.5,0,0
MPLADS-000411,36.0,94.0,58.0,0,0
MPLADS-000412,71.6,71.0,-0.6,0,0
MPLADS-000413,84.0,82.9,-1.1,0,0
MPLADS-000414,84.3,85.8,1.4,0,0
MPLADS-000415,73.4,63.2,-10.2,405,1
MPLADS-000416,77.1,83.3,6.2,295,1
MPLADS-000417,69.9,71.2,1.3,0,0
MPLADS-000418,55.4,68.0,12.6,265,1
MPLADS-000419,95.8,92.6,-3.2,0,0
MPLADS-000420,48.3,48.5,0.2,0,0
MPLADS-000421,84.6,125.2,40.7,0,0
MPLADS-000422,41.7,42.9,1.2,0,0
MPLADS-000423,90.6,73.8,-16.8,0,0
MPLADS-000424,53.0,48.4,-4.6,0,0
MPLADS-000425,59.7,63.1,3.4,0,0
MPLADS-000426,42.3,140.0,100.9,0,0
MPLADS-000427,90.9,124.3,33.5,0,0
MPLADS-000428,90.6,128.2,37.6,0,0
MPLADS-000429,56.6,60.5,4.0,0,0
MPLADS-000430,48.9,50.5,1.5,0,0
MPLADS-000431,93.5,66.5,-27.0,0,0
MPLADS-000432,77.4,73.2,-4.2,0,0
MPLADS-000433,60.9,58.1,-2.8,0,0
MPLADS-000434,83.0,85.7,2.7,0,0
MPLADS-000435,88.0,90.8,2.8,0,0
MPLADS-000436,96.9,95.9,-1.0,0,0
MPLADS-000437,76.4,83.9,7.4,0,0
MPLADS-000438,84.0,86.3,2.3,0,0
MPLADS-000439,57.6,60.6,3.0,0,0
MPLADS-000440,91.8,98.3,6.5,0,0
MPLADS-000441,84.7,87.0,2.3,0,0
MPLADS-000442,69.5,67.6,-2.0,0,0
MPLADS-000443,40.6,43.2,2.7,0,0
MPLADS-000444,60.4,60.6,0.2,0,0
MPLADS-000445,70.5,71.8,1.3,0,0
MPLADS-000446,86.9,89.7,2.8,0,0
MPLADS-000447,92.0,91.9,-0.1,0,0
MPLADS-000448,55.0,55.5,0.5,0,0
MPLADS-000449,44.8,42.3,-2.5,0,0
MPLADS-000450,90.7,90.2,-0.5,0,0
MPLADS-000451,69.7,71.0,1.3,0,0
MPLADS-000452,89.6,88.7,-1.0,0,0
MPLADS-000453,89.2,91.5,2.3,0,0
MPLADS-000454,99.4,87.7,-11.7,0,0
MPLADS-000455,72.6,72.6,0.0,0,0
MPLADS-000456,66.7,67.2,0.5,0,0
MPLADS-000457,82.1,84.1,1.9,0,0
MPLADS-000458,96.9,95.4,-1.5,0,0
MPLADS-000459,56.4,56.2,-0.2,0,0
MPLADS-000460,79.5,83.4,4.0,0,0
MPLADS-000461,59.2,64.2,5.0,0,0
MPLADS-000462,59.2,61.0,1.8,0,0
MPLADS-000463,98.8,99.7,1.0,0,0
MPLADS-000464,81.0,81.2,0.2,0,0
MPLADS-000465,74.3,72.4,-1.9,0,0
MPLADS-000466,52.1,50.0,-2.0,0,0
MPLADS-000467,89.8,88.9,-1.0,0,0
MPLADS-000468,54.6,54.5,-0.2,0,0
MPLADS-000469,48.8,79.3,30.5,0,0
MPLADS-000470,36.0,94.0,58.0,0,0
MPLADS-000471,99.5,97.8,-1.7,0,0
MPLADS-000472,69.1,62.4,-6.7,0,0
MPLADS-000473,86.5,89.9,3.4,0,0
MPLADS-000474,45.8,46.8,1.1,0,0
MPLADS-000475,74.2,91.0,16.7,0,0
MPLADS-000476,64.8,63.2,-1.6,0,0
MPLADS-000477,72.7,74.1,1.3,0,0
MPLADS-000478,95.3,100.6,5.3,0,0
MPLADS-000479,61.2,59.0,-2.3,0,0
MPLADS-000480,77.6,81.0,3.3,0,0
MPLADS-000481,85.9,81.8,-4.1,0,0
MPLADS-000482,49.7,99.8,50.1,0,0
MPLADS-000483,89.8,88.6,-1.2,0,0
MPLADS-000484,92.7,96.1,3.4,0,0
MPLADS-000485,63.8,62.3,-1.5,0,0
MPLADS-000486,84.9,77.1,-7.8,0,0
MPLADS-000487,58.9,97.2,38.3,272,1
MPLADS-000488,54.7,52.1,-2.6,0,0
MPLADS-000489,75.2,79.7,4.5,0,0
MPLADS-000490,82.3,80.2,-2.1,0,0
MPLADS-000491,65.7,64.0,-1.8,0,0
MPLADS-000492,77.2,76.4,-0.8,0,0
MPLADS-000493,45.2,46.3,1.1,0,0
MPLADS-000494,0.0,100.0,100.0,0,0
MPLADS-000495,47.7,95.5,47.8,0,0
MPLADS-000496,79.6,81.6,2.0,0,0
MPLADS-000497,89.6,134.3,44.7,0,0
MPLADS-000498,36.0,94.0,58.0,0,0
MPLADS-000499,50.2,51.7,1.4,0,0
MPLADS-000500,44.5,77.2,32.7,0,0
MPLADS-000501,81.7,82.8,1.1,0,0
MPLADS-000502,51.4,51.3,-0.1,0,0
MPLADS-000503,83.1,86.3,3.2,0,0
MPLADS-000504,93.3,90.6,-2.7,0,0
MPLADS-000505,36.0,94.0,58.0,0,0
MPLADS-000506,36.0,94.0,58.0,0,0
MPLADS-000507,97.7,94.4,-3.3,0,0
MPLADS-000508,42.8,38.3,-4.5,0,0
MPLADS-000509,92.4,96.3,3.9,0,0
MPLADS-000510,93.4,95.2,1.7,0,0
MPLADS-000511,85.3,87.0,1.7,0,0
MPLADS-000512,63.1,61.8,-1.3,0,0
MPLADS-000513,43.7,131.3,87.6,0,0
MPLADS-000514,60.4,56.5,-3.9,0,0
MPLADS-000515,73.6,85.4,11.8,0,0
MPLADS-000516,94.8,98.9,4.1,0,0
MPLADS-000517,61.2,60.5,-0.7,0,0
MPLADS-000518,87.4,94.2,6.8,0,0
MPLADS-000519,49.4,54.0,4.7,0,0
MPLADS-000520,53.1,84.0,31.0,0,0
MPLADS-000521,61.7,62.7,1.0,0,0
MPLADS-000522,66.2,66.1,-0.2,0,0
MPLADS-000523,57.1,59.2,2.1,0,0
MPLADS-000524,84.0,73.2,-10.8,0,0
MPLADS-000525,46.3,48.3,2.0,0,0
MPLADS-000526,36.0,94.0,58.0,0,0
MPLADS-000527,84.3,89.8,5.5,0,0
MPLADS-000528,53.4,47.3,-6.1,0,0
MPLADS-000529,46.8,47.5,0.7,0,0
MPLADS-000530,41.3,41.5,0.3,0,0
MPLADS-000531,76.0,77.4,1.3,0,0
MPLADS-000532,95.3,91.2,-4.1,0,0
MPLADS-000533,54.4,53.1,-1.3,0,0
MPLADS-000534,89.0,89.4,0.4,0,0
MPLADS-000535,71.6,79.1,7.5,0,0
MPLADS-000536,67.2,68.2,0.9,0,0
MPLADS-000537,66.9,64.3,-2.6,0,0
MPLADS-000538,45.6,46.1,0.5,0,0
MPLADS-000539,57.5,59.9,2.3,0,0
MPLADS-000540,66.5,67.5,1.1,0,0
MPLADS-000541,65.3,132.9,67.7,0,0
MPLADS-000542,69.7,68.0,-1.7,0,0
MPLADS-000543,76.4,74.3,-2.2,0,0
MPLADS-000544,56.9,59.9,3.0,0,0
MPLADS-000545,92.6,90.6,-2.0,0,0
MPLADS-000546,70.9,69.8,-1.1,0,0
MPLADS-000547,74.4,77.5,3.2,0,0
MPLADS-000548,63.3,64.6,1.3,0,0
