project_id,recommended_amount,estimated_cost,sanctioned_amount,revised_cost,tender_amount,tender_value,released_amount,fund_released,actual_expenditure,unspent_balance,remaining_balance,fund_utilization_ratio,utilization_ratio,release_ratio,expenditure_ratio,cost_per_unit,peer_median_cost,peer_mean_cost,cost_deviation,tender_estimate_deviation,actual_sanction_deviation,cost_overrun,cost_per_km,cost_per_sqft,cost_per_beneficiary,sor_deviation,market_rate_deviation,inflation_adjusted_cost_deviation
MPLADS-000011,492000.0,492000.0,487000.0,487000.0,473000.0,473000.0,487000.0,487000.0,432000.0,55000.0,55000.0,0.8871,0.8871,1.0,0.8871,2103.9,492100.0,502000.0,-0.122,-0.0386,-0.1129,0.0,0.0,0.0,0.0,0.0571,-0.0177,0.0534
MPLADS-000012,16365000.0,16365000.0,17124000.0,17124000.0,16616000.0,16616000.0,17124000.0,17124000.0,14705000.0,2419000.0,2419000.0,0.8587,0.8587,1.0,0.8587,34389.16,16365000.0,16692300.0,-0.1014,0.0153,-0.1413,0.0,0.0,12787.44,0.0,0.1751,-0.0312,-0.0169
MPLADS-000013,2087000.0,2087000.0,2171000.0,2171000.0,1939000.0,1939000.0,2171000.0,2171000.0,2066000.0,105000.0,105000.0,0.9516,0.9516,1.0,0.9516,9645.24,2086800.0,2128500.0,-0.0101,-0.0709,-0.0484,0.0,0.0,0.0,0.0,0.0203,0.0151,0.0534
MPLADS-000014,922000.0,922000.0,913000.0,913000.0,925000.0,925000.0,913000.0,913000.0,866000.0,47000.0,47000.0,0.9485,0.9485,1.0,0.9485,2150.45,921600.0,940000.0,-0.0607,0.0033,-0.0515,0.0,0.0,0.0,858.97,0.0838,-0.0479,0.0233
MPLADS-000015,2434000.0,2434000.0,2440000.0,2440000.0,2245000.0,2245000.0,2440000.0,2440000.0,2153000.0,287000.0,287000.0,0.8824,0.8824,1.0,0.8824,4994.46,2433900.0,2482600.0,-0.1154,-0.0776,-0.1176,0.0,551530.04,0.0,0.0,0.0406,0.1456,0.0205
MPLADS-000016,15453000.0,15453000.0,15150000.0,15150000.0,14557000.0,14557000.0,15150000.0,15150000.0,13185000.0,1965000.0,1965000.0,0.8703,0.8703,1.0,0.8703,30456.33,15453300.0,15762400.0,-0.1468,-0.058,-0.1297,0.0,0.0,4624.99,0.0,0.1114,0.2106,0.0922
MPLADS-000017,2040000.0,2040000.0,2104000.0,2104000.0,1956000.0,1956000.0,2104000.0,2104000.0,1946000.0,158000.0,158000.0,0.9249,0.9249,1.0,0.9249,4190.38,2040400.0,2081200.0,-0.0461,-0.0412,-0.0751,0.0,643773.49,0.0,0.0,0.1301,0.1042,-0.0318
MPLADS-000018,1002000.0,1002000.0,1039000.0,1039000.0,923000.0,923000.0,1039000.0,1039000.0,884000.0,155000.0,155000.0,0.8508,0.8508,1.0,0.8508,3310.85,1002200.0,1022300.0,-0.1178,-0.0788,-0.1492,0.0,0.0,0.0,803.49,0.0166,0.1396,-0.0357
MPLADS-000019,2262000.0,2262000.0,2218000.0,2218000.0,2188000.0,2188000.0,2218000.0,2218000.0,1985000.0,233000.0,233000.0,0.895,0.895,1.0,0.895,10511.55,2261900.0,2307100.0,-0.1225,-0.0327,-0.105,0.0,0.0,1397.43,0.0,0.1774,0.1575,0.0241
MPLADS-000020,14031000.0,14031000.0,14580000.0,14580000.0,13050000.0,13050000.0,14580000.0,14580000.0,13494000.0,1086000.0,1086000.0,0.9255,0.9255,1.0,0.9255,118021.52,14031100.0,14311700.0,-0.0383,-0.0699,-0.0745,0.0,0.0,5261.33,0.0,-0.0333,0.214,-0.0184
MPLADS-000021,2494000.0,2494000.0,2466000.0,2466000.0,2536000.0,2536000.0,2466000.0,2466000.0,2132000.0,334000.0,334000.0,0.8646,0.8646,1.0,0.8646,5791.94,2493500.0,2543400.0,-0.1451,0.0168,-0.1354,0.0,0.0,741.34,0.0,-0.0124,0.2025,0.0823
MPLADS-000022,1047000.0,1047000.0,1075000.0,1075000.0,981000.0,981000.0,1075000.0,1075000.0,954000.0,121000.0,121000.0,0.8874,0.8874,1.0,0.8874,2993.98,1047100.0,1068100.0,-0.0888,-0.063,-0.1126,0.0,0.0,0.0,2915.85,-0.0565,0.0948,0.0765
MPLADS-000023,1572000.0,1572000.0,1646000.0,1646000.0,1466000.0,1466000.0,1646000.0,1646000.0,1525000.0,121000.0,121000.0,0.9265,0.9265,1.0,0.9265,3157.15,1571800.0,1603200.0,-0.0299,-0.0674,-0.0735,0.0,0.0,453.87,0.0,0.1519,0.217,0.1178
MPLADS-000024,16479000.0,16479000.0,17127000.0,17127000.0,16629000.0,16629000.0,17127000.0,17127000.0,16257000.0,870000.0,870000.0,0.9492,0.9492,1.0,0.9492,607981.6,16479300.0,16808900.0,-0.0135,0.0091,-0.0508,0.0,0.0,11790.12,0.0,0.1138,-0.0163,0.0706
MPLADS-000025,15377000.0,15377000.0,15601000.0,24766000.0,14355000.0,14355000.0,15601000.0,15601000.0,24766000.0,0.0,0.0,1.5875,1.5875,1.0,1.5875,128620.83,15377000.0,15684600.0,0.6106,-0.0665,0.5875,9165000.0,0.0,28642.13,0.0,0.0955,0.21,0.1006
MPLADS-000026,11080000.0,11080000.0,11338000.0,11338000.0,10798000.0,10798000.0,11338000.0,11338000.0,9898000.0,1440000.0,1440000.0,0.873,0.873,1.0,0.873,32569.43,11080500.0,11302100.0,-0.1067,-0.0255,-0.127,0.0,0.0,2918.15,0.0,0.1095,0.1178,0.0418
MPLADS-000027,2628000.0,2628000.0,2645000.0,2645000.0,2560000.0,2560000.0,2645000.0,2645000.0,2566000.0,79000.0,79000.0,0.9701,0.9701,1.0,0.9701,5453.25,2628000.0,2680600.0,-0.0236,-0.0259,-0.0299,0.0,596414.03,0.0,0.0,-0.056,0.0987,0.1115
MPLADS-000028,951000.0,951000.0,968000.0,968000.0,958000.0,958000.0,968000.0,968000.0,829000.0,139000.0,139000.0,0.8564,0.8564,1.0,0.8564,46406.63,950600.0,969600.0,-0.1283,0.0074,-0.1436,0.0,0.0,0.0,2301.88,-0.0065,0.0875,0.0957
MPLADS-000029,2315000.0,2315000.0,2375000.0,2375000.0,2131000.0,2131000.0,2375000.0,2375000.0,2304000.0,71000.0,71000.0,0.9701,0.9701,1.0,0.9701,5323.12,2314900.0,2361200.0,-0.0048,-0.0795,-0.0299,0.0,0.0,0.0,0.0,-0.0641,-0.0294,-0.0105
MPLADS-000030,3807000.0,3807000.0,3830000.0,3830000.0,3804000.0,3804000.0,3830000.0,3830000.0,3745000.0,85000.0,85000.0,0.9778,0.9778,1.0,0.9778,15102.26,3807500.0,3883600.0,-0.0163,-0.0008,-0.0222,0.0,0.0,2277.25,0.0,0.0596,0.0243,-0.0355
MPLADS-000031,1065000.0,1065000.0,1048000.0,1048000.0,1073000.0,1073000.0,1048000.0,1048000.0,921000.0,127000.0,127000.0,0.8788,0.8788,1.0,0.8788,3522.89,1065200.0,1086500.0,-0.1352,0.0075,-0.1212,0.0,0.0,0.0,821.26,0.0406,-0.0216,0.0011
MPLADS-000032,588000.0,588000.0,590000.0,590000.0,544000.0,544000.0,590000.0,590000.0,519000.0,71000.0,71000.0,0.8797,0.8797,1.0,0.8797,9367.62,588000.0,599800.0,-0.1173,-0.0748,-0.1203,0.0,0.0,0.0,0.0,-0.0178,0.0776,0.1209
MPLADS-000033,9415000.0,9415000.0,9723000.0,9723000.0,9520000.0,9520000.0,9723000.0,9723000.0,9504000.0,219000.0,219000.0,0.9775,0.9775,1.0,0.9775,72157.99,9415000.0,9603300.0,0.0095,0.0112,-0.0225,0.0,0.0,6769.92,0.0,0.0809,0.0809,0.1432
MPLADS-000034,3125000.0,3125000.0,3191000.0,3191000.0,2990000.0,2990000.0,3191000.0,3191000.0,2720000.0,471000.0,471000.0,0.8524,0.8524,1.0,0.8524,17645.51,3125300.0,3187800.0,-0.1296,-0.0432,-0.1476,0.0,797096.4,0.0,0.0,0.0007,0.0517,0.1462
MPLADS-000035,1506000.0,1506000.0,1553000.0,1553000.0,1490000.0,1490000.0,1553000.0,1553000.0,1429000.0,124000.0,124000.0,0.9202,0.9202,1.0,0.9202,3924.1,1505600.0,1535700.0,-0.0511,-0.0106,-0.0798,0.0,0.0,484.34,0.0,-0.0215,0.0859,-0.0111
MPLADS-000036,3463000.0,3463000.0,3506000.0,5011000.0,3461000.0,3461000.0,3506000.0,3506000.0,5011000.0,0.0,0.0,1.4293,1.4293,1.0,1.4293,23486.08,3463300.0,3532500.0,0.447,-0.0006,0.4293,1505000.0,0.0,2446.14,0.0,0.0653,0.1943,0.0404
MPLADS-000037,2045000.0,2045000.0,2109000.0,2109000.0,1989000.0,1989000.0,2109000.0,2109000.0,1866000.0,243000.0,243000.0,0.8848,0.8848,1.0,0.8848,3735.98,2044500.0,2085400.0,-0.0875,-0.0274,-0.1152,0.0,0.0,0.0,0.0,-0.0341,0.0927,0.0314
MPLADS-000038,721000.0,721000.0,708000.0,708000.0,695000.0,695000.0,708000.0,708000.0,670000.0,38000.0,38000.0,0.9463,0.9463,1.0,0.9463,1467.93,721300.0,735800.0,-0.0707,-0.0361,-0.0537,0.0,0.0,0.0,1707.04,-0.0322,-0.0451,0.0026
MPLADS-000039,2494000.0,2494000.0,2582000.0,2582000.0,2295000.0,2295000.0,2582000.0,2582000.0,2501000.0,81000.0,81000.0,0.9686,0.9686,1.0,0.9686,6787.72,2494300.0,2544200.0,0.0028,-0.0798,-0.0314,0.0,0.0,1066.4,0.0,0.0659,0.0322,0.0833
MPLADS-000040,1705000.0,1705000.0,1749000.0,1749000.0,1709000.0,1709000.0,1749000.0,1749000.0,1701000.0,48000.0,48000.0,0.9726,0.9726,1.0,0.9726,9560.91,1705200.0,1739300.0,-0.0023,0.0023,-0.0274,0.0,0.0,716.57,0.0,-0.0153,-0.0193,0.1028
MPLADS-000041,1813000.0,1813000.0,1894000.0,1894000.0,1724000.0,1724000.0,1894000.0,1894000.0,1632000.0,262000.0,262000.0,0.8617,0.8617,1.0,0.8617,4626.04,1813400.0,1849600.0,-0.0998,-0.0491,-0.1383,0.0,0.0,1649.27,0.0,0.1115,-0.0204,0.111
MPLADS-000042,661000.0,661000.0,652000.0,652000.0,659000.0,659000.0,652000.0,652000.0,565000.0,87000.0,87000.0,0.8666,0.8666,1.0,0.8666,2603.97,661000.0,674200.0,-0.1452,-0.003,-0.1334,0.0,0.0,0.0,475.56,-0.0277,0.0845,0.0542
MPLADS-000043,14710000.0,14710000.0,14712000.0,14712000.0,14390000.0,14390000.0,14712000.0,14712000.0,12844000.0,1868000.0,1868000.0,0.873,0.873,1.0,0.873,47521.8,14709800.0,15004000.0,-0.1269,-0.0218,-0.127,0.0,0.0,6237.54,0.0,0.1351,0.0545,0.1361
MPLADS-000044,2443000.0,2443000.0,2534000.0,2534000.0,2481000.0,2481000.0,2534000.0,2534000.0,2337000.0,197000.0,197000.0,0.9223,0.9223,1.0,0.9223,4866.7,2442600.0,2491500.0,-0.0434,0.0156,-0.0777,0.0,0.0,0.0,0.0,0.1326,0.153,0.0226
MPLADS-000045,652000.0,652000.0,684000.0,684000.0,651000.0,651000.0,684000.0,684000.0,293000.0,391000.0,391000.0,0.4284,0.4284,1.0,0.4284,890.07,652000.0,665100.0,-0.5506,-0.0015,-0.5716,0.0,0.0,0.0,0.0,0.1091,0.0455,0.1271
MPLADS-000046,482000.0,482000.0,496000.0,655000.0,475000.0,475000.0,496000.0,496000.0,655000.0,0.0,0.0,1.3206,1.3206,1.0,1.3206,9451.28,481900.0,491500.0,0.3589,-0.0145,0.3206,159000.0,0.0,0.0,0.0,-0.024,0.1296,0.0692
MPLADS-000047,2105000.0,2105000.0,2086000.0,2086000.0,1990000.0,1990000.0,2086000.0,2086000.0,1885000.0,201000.0,201000.0,0.9036,0.9036,1.0,0.9036,4455.22,2104600.0,2146700.0,-0.1045,-0.0546,-0.0964,0.0,0.0,540.77,0.0,0.0071,0.0571,0.1431
MPLADS-000048,3221000.0,3221000.0,3184000.0,3184000.0,3153000.0,3153000.0,3184000.0,3184000.0,2868000.0,316000.0,316000.0,0.9008,0.9008,1.0,0.9008,6324.36,3221400.0,3285900.0,-0.1096,-0.0211,-0.0992,0.0,0.0,1825.61,0.0,0.0569,0.1608,0.1217
MPLADS-000049,2574000.0,2574000.0,2680000.0,2680000.0,2498000.0,2498000.0,2680000.0,2680000.0,2379000.0,301000.0,301000.0,0.8877,0.8877,1.0,0.8877,92237.06,2574100.0,2625600.0,-0.0758,-0.0295,-0.1123,0.0,0.0,0.0,0.0,0.1075,0.124,-0.026
MPLADS-000050,3592000.0,3592000.0,3714000.0,3714000.0,3601000.0,3601000.0,3714000.0,3714000.0,3520000.0,194000.0,194000.0,0.9478,0.9478,1.0,0.9478,35470.79,3591900.0,3663700.0,-0.02,0.0025,-0.0522,0.0,0.0,3557.3,0.0,0.0651,-0.0461,-0.0101
MPLADS-000051,1596000.0,1596000.0,1581000.0,1581000.0,1500000.0,1500000.0,1581000.0,1581000.0,1356000.0,225000.0,225000.0,0.8577,0.8577,1.0,0.8577,16052.44,1596100.0,1628000.0,-0.1504,-0.0602,-0.1423,0.0,0.0,0.0,0.0,-0.0744,0.0794,0.125
MPLADS-000052,1957000.0,1957000.0,1983000.0,1983000.0,1993000.0,1993000.0,1983000.0,1983000.0,1857000.0,126000.0,126000.0,0.9365,0.9365,1.0,0.9365,5323.43,1957300.0,1996500.0,-0.0511,0.0184,-0.0635,0.0,0.0,0.0,0.0,0.0114,0.1489,0.0615
MPLADS-000053,725000.0,725000.0,724000.0,724000.0,680000.0,680000.0,724000.0,724000.0,708000.0,16000.0,16000.0,0.9779,0.9779,1.0,0.9779,11380.58,725000.0,739500.0,-0.0234,-0.0621,-0.0221,0.0,0.0,0.0,703.49,0.16,0.1292,0.1328
MPLADS-000054,536000.0,536000.0,536000.0,536000.0,494000.0,494000.0,536000.0,536000.0,521000.0,15000.0,15000.0,0.972,0.972,1.0,0.972,8011.22,536000.0,546700.0,-0.028,-0.0784,-0.028,0.0,0.0,0.0,0.0,0.058,0.0572,0.1122
MPLADS-000055,17059000.0,17059000.0,17354000.0,17354000.0,16745000.0,16745000.0,17354000.0,17354000.0,14769000.0,2585000.0,2585000.0,0.851,0.851,1.0,0.851,31650.16,17058600.0,17399800.0,-0.1342,-0.0184,-0.149,0.0,0.0,6260.5,0.0,0.176,-0.0156,0.0656
MPLADS-000056,1414000.0,1414000.0,1476000.0,1476000.0,1410000.0,1410000.0,1476000.0,1476000.0,1322000.0,154000.0,154000.0,0.8957,0.8957,1.0,0.8957,3974.2,1413900.0,1442200.0,-0.0651,-0.0028,-0.1043,0.0,0.0,389.7,0.0,0.1334,0.102,0.0777
MPLADS-000057,525000.0,525000.0,531000.0,531000.0,508000.0,508000.0,531000.0,531000.0,469000.0,62000.0,62000.0,0.8832,0.8832,1.0,0.8832,9856.03,524700.0,535200.0,-0.1067,-0.0324,-0.1168,0.0,0.0,0.0,0.0,0.0113,0.0082,0.1485
MPLADS-000058,2043000.0,2043000.0,2033000.0,2033000.0,1971000.0,1971000.0,2033000.0,2033000.0,1887000.0,146000.0,146000.0,0.9282,0.9282,1.0,0.9282,6243.8,2042700.0,2083600.0,-0.0764,-0.0352,-0.0718,0.0,0.0,783.53,0.0,0.1247,0.1645,-0.0379
MPLADS-000059,411000.0,411000.0,405000.0,405000.0,387000.0,387000.0,405000.0,405000.0,357000.0,48000.0,48000.0,0.8815,0.8815,1.0,0.8815,3419.32,411300.0,419500.0,-0.1314,-0.0584,-0.1185,0.0,0.0,0.0,0.0,0.1537,0.1213,0.1138
MPLADS-000060,3842000.0,3842000.0,3991000.0,3991000.0,3761000.0,3761000.0,3991000.0,3991000.0,3757000.0,234000.0,234000.0,0.9414,0.9414,1.0,0.9414,11182.24,3841700.0,3918600.0,-0.0221,-0.0211,-0.0586,0.0,0.0,1441.19,0.0,0.0662,0.0424,0.006
MPLADS-000061,4493000.0,4493000.0,4497000.0,4497000.0,4189000.0,4189000.0,4497000.0,4497000.0,4081000.0,416000.0,416000.0,0.9075,0.9075,1.0,0.9075,33623.04,4493200.0,4583100.0,-0.0917,-0.0677,-0.0925,0.0,0.0,0.0,10761.0,0.1452,0.2051,0.0821
MPLADS-000062,2173000.0,2173000.0,2189000.0,2189000.0,2182000.0,2182000.0,2189000.0,2189000.0,1886000.0,303000.0,303000.0,0.8616,0.8616,1.0,0.8616,4704.66,2173300.0,2216800.0,-0.1321,0.0041,-0.1384,0.0,0.0,1739.57,0.0,-0.0067,0.1104,-0.0077
MPLADS-000063,2746000.0,2746000.0,2877000.0,3916000.0,2537000.0,2537000.0,2877000.0,2877000.0,3916000.0,0.0,0.0,1.3611,1.3611,1.0,1.3611,8250.76,2746300.0,2801200.0,0.4261,-0.0761,0.3611,1039000.0,1316668.31,0.0,0.0,-0.0537,0.0114,-0.0233
MPLADS-000064,3817000.0,3817000.0,3846000.0,3846000.0,3874000.0,3874000.0,3846000.0,3846000.0,3652000.0,194000.0,194000.0,0.9496,0.9496,1.0,0.9496,9830.35,3816500.0,3892800.0,-0.0432,0.0149,-0.0504,0.0,0.0,2211.41,0.0,0.1538,0.13,0.0983
MPLADS-000065,12800000.0,12800000.0,13294000.0,18489000.0,12431000.0,12431000.0,13294000.0,13294000.0,18489000.0,0.0,0.0,1.3908,1.3908,1.0,1.3908,127962.47,12800100.0,13056100.0,0.4445,-0.0288,0.3908,5195000.0,0.0,8828.03,0.0,-0.011,0.1029,0.0153
MPLADS-000066,598000.0,598000.0,597000.0,597000.0,605000.0,605000.0,597000.0,597000.0,535000.0,62000.0,62000.0,0.8961,0.8961,1.0,0.8961,1115.89,598100.0,610100.0,-0.1054,0.0117,-0.1039,0.0,0.0,0.0,644.48,-0.0644,0.0034,0.0044
MPLADS-000067,2242000.0,2242000.0,2249000.0,2249000.0,2098000.0,2098000.0,2249000.0,2249000.0,1237000.0,1012000.0,1012000.0,0.55,0.55,1.0,0.55,98432.33,2241700.0,2286500.0,-0.4483,-0.0642,-0.45,0.0,0.0,455.65,0.0,0.1695,-0.007,-0.04
MPLADS-000068,1630000.0,1630000.0,1685000.0,2225000.0,1529000.0,1529000.0,1685000.0,1685000.0,2225000.0,0.0,0.0,1.3205,1.3205,1.0,1.3205,7856.33,1630300.0,1662900.0,0.365,-0.062,0.3205,540000.0,0.0,0.0,0.0,0.1094,0.0453,0.0368
MPLADS-000069,2348000.0,2348000.0,2399000.0,2399000.0,2212000.0,2212000.0,2399000.0,2399000.0,2338000.0,61000.0,61000.0,0.9746,0.9746,1.0,0.9746,109943.8,2347900.0,2394800.0,-0.0043,-0.0579,-0.0254,0.0,576558.87,0.0,0.0,0.0604,0.0166,0.0509
MPLADS-000070,10841000.0,10841000.0,11298000.0,11298000.0,10807000.0,10807000.0,11298000.0,11298000.0,10903000.0,395000.0,395000.0,0.965,0.965,1.0,0.965,374970.29,10841000.0,11057800.0,0.0057,-0.0031,-0.035,0.0,0.0,4297.23,0.0,0.1054,0.0309,0.0478
MPLADS-000071,2084000.0,2084000.0,2127000.0,2127000.0,1978000.0,1978000.0,2127000.0,2127000.0,1819000.0,308000.0,308000.0,0.8552,0.8552,1.0,0.8552,37691.12,2084500.0,2126200.0,-0.1272,-0.0509,-0.1448,0.0,0.0,0.0,0.0,-0.0162,0.026,0.0521
MPLADS-000072,2013000.0,2013000.0,1974000.0,1974000.0,1973000.0,1973000.0,1974000.0,1974000.0,1944000.0,30000.0,30000.0,0.9848,0.9848,1.0,0.9848,5616.97,2013200.0,2053400.0,-0.0343,-0.0199,-0.0152,0.0,0.0,1302.05,0.0,0.0969,0.1794,0.0358
MPLADS-000073,1676000.0,1676000.0,1687000.0,2410000.0,1622000.0,1622000.0,1687000.0,1687000.0,2410000.0,0.0,0.0,1.4286,1.4286,1.0,1.4286,6822.47,1676000.0,1709500.0,0.4379,-0.0322,0.4286,723000.0,0.0,1774.92,0.0,0.125,0.1769,0.1195
MPLADS-000074,739000.0,739000.0,758000.0,758000.0,744000.0,744000.0,758000.0,758000.0,670000.0,88000.0,88000.0,0.8839,0.8839,1.0,0.8839,1350.59,738700.0,753500.0,-0.0934,0.0068,-0.1161,0.0,0.0,0.0,984.79,-0.0227,0.1509,0.1062
MPLADS-000075,2714000.0,2714000.0,2777000.0,3670000.0,2639000.0,2639000.0,2777000.0,2777000.0,3670000.0,0.0,0.0,1.3216,1.3216,1.0,1.3216,10394.8,2714000.0,2768300.0,0.3522,-0.0276,0.3216,893000.0,1108610.63,0.0,0.0,-0.001,-0.0049,0.0452
MPLADS-000076,13239000.0,13239000.0,13569000.0,13569000.0,13022000.0,13022000.0,13569000.0,13569000.0,12450000.0,1119000.0,1119000.0,0.9175,0.9175,1.0,0.9175,25642.54,13239400.0,13504200.0,-0.0596,-0.0164,-0.0825,0.0,2817150.21,0.0,0.0,0.1196,0.1148,0.0871
MPLADS-000077,2785000.0,2785000.0,2820000.0,2820000.0,2784000.0,2784000.0,2820000.0,2820000.0,2573000.0,247000.0,247000.0,0.9124,0.9124,1.0,0.9124,38823.19,2785400.0,2841100.0,-0.0761,-0.0004,-0.0876,0.0,0.0,1480.05,0.0,0.0534,0.149,0.0904
MPLADS-000078,1842000.0,1842000.0,1877000.0,1877000.0,1823000.0,1823000.0,1877000.0,1877000.0,1782000.0,95000.0,95000.0,0.9494,0.9494,1.0,0.9494,23220.86,1842300.0,1879100.0,-0.0326,-0.0103,-0.0506,0.0,0.0,1772.95,0.0,0.0395,0.0741,0.0561
MPLADS-000079,565000.0,565000.0,583000.0,583000.0,525000.0,525000.0,583000.0,583000.0,551000.0,32000.0,32000.0,0.9451,0.9451,1.0,0.9451,1481.96,564900.0,576200.0,-0.0248,-0.0708,-0.0549,0.0,0.0,0.0,0.0,0.0884,0.2156,0.0464
MPLADS-000080,1936000.0,1936000.0,1918000.0,1918000.0,1872000.0,1872000.0,1918000.0,1918000.0,1710000.0,208000.0,208000.0,0.8916,0.8916,1.0,0.8916,22502.68,1936000.0,1974700.0,-0.1167,-0.0331,-0.1084,0.0,0.0,639.43,0.0,0.1279,0.1005,0.036
MPLADS-000081,2838000.0,2838000.0,2833000.0,2833000.0,2784000.0,2784000.0,2833000.0,2833000.0,2510000.0,323000.0,323000.0,0.886,0.886,1.0,0.886,5873.65,2838300.0,2895100.0,-0.1156,-0.019,-0.114,0.0,0.0,832.89,0.0,0.1709,0.1735,0.065
MPLADS-000082,1808000.0,1808000.0,1873000.0,1873000.0,1777000.0,1777000.0,1873000.0,1873000.0,1643000.0,230000.0,230000.0,0.8772,0.8772,1.0,0.8772,6568.0,1808400.0,1844500.0,-0.0913,-0.0171,-0.1228,0.0,1019915.68,0.0,0.0,-0.0129,0.1524,-0.0335
MPLADS-000083,9620000.0,9620000.0,9512000.0,9512000.0,9496000.0,9496000.0,9512000.0,9512000.0,8279000.0,1233000.0,1233000.0,0.8704,0.8704,1.0,0.8704,28461.64,9620400.0,9812800.0,-0.1394,-0.0129,-0.1296,0.0,0.0,6158.98,0.0,0.0827,0.0197,-0.0125
MPLADS-000084,1779000.0,1779000.0,1781000.0,1781000.0,1653000.0,1653000.0,1781000.0,1781000.0,1534000.0,247000.0,247000.0,0.8613,0.8613,1.0,0.8613,5814.37,1778500.0,1814100.0,-0.1377,-0.0708,-0.1387,0.0,0.0,0.0,0.0,-0.0627,0.1071,0.1025
MPLADS-000085,2504000.0,2504000.0,2541000.0,2541000.0,2391000.0,2391000.0,2541000.0,2541000.0,2325000.0,216000.0,216000.0,0.915,0.915,1.0,0.915,13543.89,2503800.0,2553900.0,-0.0715,-0.0451,-0.085,0.0,0.0,0.0,0.0,-0.0023,0.0105,0.1045
MPLADS-000086,13411000.0,13411000.0,13777000.0,13777000.0,12910000.0,12910000.0,13777000.0,13777000.0,12569000.0,1208000.0,1208000.0,0.9123,0.9123,1.0,0.9123,119511.14,13411100.0,13679300.0,-0.0628,-0.0374,-0.0877,0.0,0.0,8832.43,0.0,-0.0271,0.0031,0.0507
